league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,pinnacle_1st_half_under05,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_over15,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_btts_yes,pinnacle_btts_no
Belgium_Pro_League_2025-2026,2025/2026,1,Royal Antwerp FC,Union Saint-Gilloise,2025-07-25 18:45:00,1,1,2,2,5,7,3,3,0,0,4,8,4,9,8,17,9,16,43,57,Bosuilstadion,"Oude Bosuilbaan 54a, Deurne",3,3,4.3,3.48,2.05,1.3,1.95,3.5,1.75,1.95,1.57,2.58,2.1,1.65,1.33,2.83,3.0,1.4,2,1,0,0,1,1,1,-1,0,0,0,-1,2,1,1,1,1,4,2,5,2,1,1,2,3,3,1,27,44,73,126,0.99,1.96,2.95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,20,1,16,8,1,9,4,0,0,0,0,1.5,1.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,True,4.59,1.83,3.67,3.21,1.45,1.37,2.83,1.30,3.30,1.94,1.64,1.73,2.07,2.21,1.83,2.03
Belgium_Pro_League_2025-2026,2025/2026,1,FCV Dender EH,Cercle Brugge,2025-07-26 14:00:00,0,0,0,3,3,6,0,2,0,0,3,2,8,8,11,10,13,13,54,46,,,0,2,2.95,3.25,2.15,1.23,1.87,3.43,1.7,2.21,1.49,1.75,2.57,1.95,1.38,2.65,3.1,1.43,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,1,2,2,1,3,3,0,0,0,2,0,2,1,49,49,106,106,1.27,1.13,2.4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,24,24,1,13,13,1,12,7,0,0,0,0,0.64,1.27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,False,False,False,False,False,False,False,2.76,2.69,3.34,2.93,1.41,1.43,3.00,,,,1.98,1.49,2.57,1.83,1.71,2.19
Belgium_Pro_League_2025-2026,2025/2026,1,Zulte-Waregem,KV Mechelen,2025-07-26 16:15:00,1,1,2,9,6,15,3,2,0,0,5,2,16,5,21,7,8,8,56,44,Regenboogstadion,"Zuiderlaan 17, Waregem",3,2,2.9,3.7,1.97,1.17,1.5,2.25,1.47,2.5,1.36,1.7,3.1,2.18,1.34,2.25,3.37,1.66,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,2,4,7,2,6,9,0,1,3,1,1,4,1,74,34,143,71,2.21,0.83,3.05,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,27,19,1,7,8,1,7,10,0,0,0,0,1.5,1.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,True,3.31,2.13,3.82,3.37,1.66,1.34,2.29,1.17,2.41,1.57,2.31,,,1.60,1.46,2.82
Belgium_Pro_League_2025-2026,2025/2026,1,RAAL La Louvière,Standard Liège,2025-07-26 18:45:00,0,2,2,6,1,7,2,1,0,0,2,4,12,5,14,9,15,12,45,55,Stade du Tivoli,"Avenue de Saint-Maur-des-Fossés, La Louvière",2,1,2.51,3.0,2.67,1.5,2.5,5.41,2.06,1.73,1.5,1.83,2.33,1.79,1.53,3.65,2.57,1.28,2,0,2,0,0,0,2,527,0,0,0,-1,2,1,2,1,4,0,3,4,0,0,2,1,0,3,1,52,23,104,66,1.4,1.02,2.42,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,28,12,1,12,14,1,5,8,0,0,0,0,1.18,1.36,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,False,2.90,2.73,3.11,2.57,1.34,1.54,3.41,1.52,4.87,2.59,1.79,1.62,2.27,2.02,2.14,1.75
Belgium_Pro_League_2025-2026,2025/2026,1,RSC Anderlecht,KVC Westerlo,2025-07-27 11:30:00,5,2,7,8,3,11,4,2,0,0,10,4,15,6,25,10,14,14,48,52,Stade Constant Vanden Stock,"Avenue Théo Verbeeck 2, Brussel",4,2,1.67,3.88,4.25,1.16,1.66,2.61,1.6,2.3,1.3,1.65,2.65,2.32,1.32,2.3,3.5,1.58,7,2,0,3,2,5,2,61,0,0,0,-1,2,1,4,1,4,2,5,6,2,0,2,2,2,4,1,65,24,98,74,2.73,1.09,3.82,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,14,1,14,14,1,2,10,0,0,0,0,2.0,0.73,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,True,True,True,True,True,1.81,4.43,3.90,3.37,1.60,1.34,2.43,1.20,2.61,1.66,2.24,,,1.63,1.60,2.41
Belgium_Pro_League_2025-2026,2025/2026,1,OH Leuven,Sporting Charleroi,2025-07-27 14:00:00,2,2,4,4,8,12,2,2,0,0,3,9,4,7,7,16,15,14,44,56,King Power at Den Dreef Stadion,"Kardinaal Mercierlaan 46, Heverlee",2,2,2.5,3.32,2.82,1.3,1.95,3.2,1.7,2.0,1.41,1.73,2.6,2.0,1.33,2.88,3.0,1.42,4,1,0,1,2,3,1,-1,0,0,0,-1,2,1,2,5,2,3,7,5,0,0,2,2,0,4,1,38,69,67,118,0.93,2.14,3.07,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,17,24,1,14,15,1,8,5,0,0,0,0,0.91,1.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,True,True,False,False,True,2.43,3.10,3.34,3.14,1.44,1.38,2.88,1.29,3.26,1.95,2.02,,,1.78,1.72,2.19
Belgium_Pro_League_2025-2026,2025/2026,1,Club Brugge,KRC Genk,2025-07-27 16:30:00,2,1,3,8,6,14,1,2,1,0,4,10,14,7,18,17,10,7,56,44,Jan Breydelstadion,"Olympialaan 74, Brugge",3,2,1.7,3.9,4.9,1.22,1.6,2.66,1.62,2.2,1.5,2.39,2.35,1.72,1.3,2.27,3.34,1.56,3,0,1,2,0,2,1,95,0,0,0,-1,2,1,1,3,7,3,4,10,0,0,2,2,0,4,1,59,32,117,87,1.84,2.0,3.85,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,21,18,1,7,10,1,8,8,0,0,0,0,2.27,1.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,True,False,False,False,True,1.64,5.34,4.12,,1.61,,2.40,1.19,2.54,1.62,1.72,1.65,2.21,2.10,1.61,2.41
Belgium_Pro_League_2025-2026,2025/2026,1,Sint-Truiden,KAA Gent,2025-07-27 17:15:00,3,1,4,4,6,10,1,1,0,0,5,2,8,10,13,12,13,10,48,52,,,1,1,2.2,3.6,3.05,1.18,1.57,2.3,1.45,2.7,1.45,1.98,2.55,2.05,1.25,2.3,3.5,1.57,4,0,0,3,1,4,0,532,0,0,0,-1,2,1,2,3,2,3,5,5,0,1,1,0,1,1,1,41,51,92,109,1.47,1.27,2.74,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,22,27,1,10,12,1,7,10,0,0,0,0,2.27,1.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,True,True,True,False,False,True,2.16,3.24,3.80,,1.63,,2.35,1.18,2.47,1.60,2.05,,,1.75,1.50,2.70
Belgium_Pro_League_2025-2026,2025/2026,2,KV Mechelen,Club Brugge,2025-08-01 18:45:00,2,1,3,2,3,5,4,0,0,0,5,6,4,14,9,20,11,7,35,65,AFAS-stadion Achter de Kazerne,"Kleine Nieuwedijk 53, Malines",4,0,4.2,4.0,1.8,1.17,1.56,2.35,1.52,2.62,1.42,1.67,2.62,2.14,1.21,2.19,3.8,1.6,3,1,0,1,1,2,1,537,0,0,0,-1,2,1,0,1,2,2,1,4,2,0,2,0,2,2,1,27,80,73,148,1.12,2.26,3.38,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,14,18,1,6,11,1,16,4,0,0,0,0,1.36,1.73,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,22,True,True,True,False,False,False,True,4.52,1.77,4.00,,1.65,,2.31,1.17,2.36,1.56,2.14,,,1.70,1.52,2.62
Belgium_Pro_League_2025-2026,2025/2026,2,KVC Westerlo,Zulte-Waregem,2025-08-02 14:00:00,3,1,4,3,5,8,1,1,0,0,7,4,6,8,13,12,7,10,48,52,Het Kuipje,"De Merodedreef 189, Westerlo",1,1,1.91,3.65,3.05,1.12,1.48,2.19,1.42,2.7,1.23,1.51,3.22,2.68,1.25,2.05,4.0,1.65,4,2,1,1,0,1,3,534,0,0,0,-1,2,1,3,2,0,3,5,3,0,1,1,0,1,1,1,36,50,104,94,1.58,1.4,2.98,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,16,28,1,10,7,1,17,3,0,0,0,0,1.55,0.92,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,22,True,True,True,True,False,False,True,2.13,3.34,3.77,,1.76,,2.13,1.15,2.18,1.50,2.42,,,1.55,1.42,2.96
Belgium_Pro_League_2025-2026,2025/2026,2,Standard Liège,FCV Dender EH,2025-08-02 16:15:00,1,1,2,5,1,6,3,3,0,0,6,2,4,7,10,9,11,13,46,54,Stade Maurice Dufrasne,"Rue de la Centrale 2, Sclessin, Luik",3,3,2.12,3.15,3.4,1.42,2.12,3.9,1.85,1.85,1.49,1.83,2.25,1.85,1.46,2.95,2.82,1.36,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,2,0,3,1,2,4,1,0,2,3,1,5,1,42,37,118,115,1.37,0.99,2.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,18,13,1,13,11,1,8,10,0,0,0,0,1.09,0.91,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,True,2.38,3.25,3.28,2.96,1.40,1.42,3.08,1.38,3.85,2.18,1.76,1.62,2.28,2.05,1.91,1.94
Belgium_Pro_League_2025-2026,2025/2026,2,KAA Gent,RAAL La Louvière,2025-08-02 18:45:00,1,0,1,5,2,7,0,1,0,0,6,1,5,4,11,5,12,19,78,22,GHELAMCO-arena,"Ottergemsesteenweg-Zuid 808, Gent",0,1,1.6,3.6,5.0,1.29,1.9,3.3,1.93,1.91,1.47,1.83,2.4,1.87,1.41,2.75,2.8,1.42,1,0,0,1,0,1,0,525,0,0,0,-1,2,1,0,1,5,1,1,6,0,0,0,1,0,1,1,55,20,152,80,1.53,0.54,2.08,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,26,17,1,19,12,1,10,11,0,0,0,0,1.82,0.91,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,22,True,False,False,False,False,False,False,1.73,5.14,3.79,3.18,1.46,1.38,2.79,1.30,3.25,1.94,1.90,1.54,2.44,1.92,1.87,1.98
Belgium_Pro_League_2025-2026,2025/2026,2,KRC Genk,Royal Antwerp FC,2025-08-03 11:30:00,1,1,2,4,2,6,0,2,0,0,3,5,13,1,16,6,11,10,73,27,Luminus Arena,"Stadionplein 4, Waterschei, Genk",0,2,1.51,3.9,4.6,1.18,1.57,2.64,1.6,2.3,1.53,1.89,2.5,1.8,1.28,2.25,3.35,1.57,2,1,1,0,0,0,2,-1,0,0,0,-1,2,1,1,0,3,2,1,5,0,0,0,2,0,2,1,58,31,155,64,1.65,0.96,2.61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,14,1,10,11,1,1,11,0,0,0,0,1.18,0.9,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,True,1.70,4.92,4.06,,1.59,,2.44,1.21,2.64,1.68,1.72,1.63,2.23,2.09,1.69,2.24
Belgium_Pro_League_2025-2026,2025/2026,2,Cercle Brugge,RSC Anderlecht,2025-08-03 14:00:00,0,2,2,5,3,8,2,2,0,0,2,5,10,4,12,9,7,21,54,46,Jan Breydelstadion,"Olympialaan 74, Brugge",2,2,3.0,3.4,2.15,1.24,1.85,2.97,1.67,2.08,1.5,1.8,2.4,1.91,1.35,2.6,2.8,1.48,2,0,1,0,1,1,1,61,0,0,0,-1,2,1,3,3,2,0,6,2,1,0,1,2,1,3,1,52,38,128,65,1.29,1.19,2.48,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,26,30,1,21,6,1,7,9,0,0,0,0,0.64,1.2,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,22,True,True,False,False,False,False,False,3.29,2.27,3.46,3.28,1.47,1.36,2.76,1.27,3.19,1.92,1.97,1.51,2.53,1.85,1.68,2.25
