league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95
Croatia_HNL_2025-2026,2025/2026,1,Lokomotiva Zagreb,HNK Vukovar 1991,2025-08-01 18:00:00,1,0,1,5,2,7,0,3,0,0,5,2,5,8,10,10,17,12,55,45,Stadion Kranjčevićeva,"Kranjčevićeva 4, Zagreb",0,3,1.77,3.4,4.4,1.37,2.0,3.7,1.91,1.85,1.7,2.1,2.05,1.65,1.4,2.99,2.7,1.33,1,1,0,0,0,0,1,1859,0,0,0,834,2,1,3,1,2,1,4,3,0,0,0,3,0,3,1,56,40,104,91,1.39,1.07,2.46,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,17,17,1,12,17,1,2,7,0,0,0,0,1.57,0.21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,False,False,False,False,False,False,1.93,3.34,4.25,2.09,3.65,1.33,,,,,1.89,1.91,1.68,2.08,2.11,1.65
Croatia_HNL_2025-2026,2025/2026,1,Osijek,Dinamo Zagreb,2025-08-02 19:00:00,0,2,2,4,4,8,1,1,0,0,3,6,9,8,12,14,15,9,47,53,Stadion Gradski vrt,"Delnička bb, Osijek",1,1,5.0,3.75,1.6,1.22,1.63,2.56,1.7,2.05,1.49,2.15,2.38,1.85,1.28,2.44,3.3,1.49,2,0,0,0,2,2,0,122,0,0,0,11502,2,1,2,2,2,2,4,4,1,0,0,1,1,1,1,71,79,104,133,1.48,1.88,3.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,22,1,9,15,1,11,4,0,0,0,0,1.07,2.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,False,4.66,4.01,1.69,1.71,2.77,1.23,1.50,2.59,1.31,3.20,1.68,2.20,1.53,2.33,1.89,1.85
Croatia_HNL_2025-2026,2025/2026,1,Rijeka,Slaven Koprivnica,2025-08-03 16:45:00,2,0,2,1,3,4,1,4,0,0,8,2,12,3,20,5,7,16,48,52,Stadion HNK Rijeka,"Rujevica ulica 6B, Rijeka",1,4,1.5,3.9,7.0,1.26,1.99,3.25,2.1,1.7,1.71,2.43,1.97,1.65,1.36,2.8,2.8,1.4,2,0,0,2,0,2,0,1215,0,0,0,5964,2,1,0,1,1,2,1,3,0,2,1,2,2,3,1,68,60,125,123,2.31,0.91,3.22,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,19,18,1,16,7,1,4,11,0,0,0,0,1.79,0.86,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,False,1.51,3.72,7.89,2.02,3.41,1.31,1.39,3.01,1.40,2.96,2.14,1.71,1.69,2.06,2.13,1.64
Croatia_HNL_2025-2026,2025/2026,1,Hajduk Split,Istra 1961,2025-08-03 19:00:00,2,1,3,4,4,8,1,1,0,0,6,3,8,6,14,9,14,17,57,43,Stadion Poljud,"8. Mediteranskih igara 2, Split",1,1,1.72,3.5,4.75,1.33,2.15,3.6,2.0,1.72,1.85,2.38,1.85,1.53,1.42,2.95,2.62,1.35,3,1,0,1,1,2,1,1863,0,0,0,25501,2,1,3,3,1,1,6,2,0,1,1,0,1,1,1,57,32,121,94,1.72,1.02,2.74,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,21,28,1,16,14,1,10,12,0,0,0,0,2.07,1.21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,True,False,False,False,True,1.83,3.33,4.90,2.28,4.09,1.41,1.32,3.38,1.47,2.67,2.13,1.72,1.85,1.88,2.35,1.52
Croatia_HNL_2025-2026,2025/2026,1,Varaždin,Gorica,2025-08-04 18:00:00,1,1,2,3,7,10,0,2,0,0,5,3,12,10,17,13,6,11,64,36,,,0,2,1.65,3.55,4.95,1.32,2.1,3.9,2.05,1.73,1.75,2.22,1.95,1.57,1.45,3.04,2.5,1.32,2,0,1,1,0,1,1,-1,0,0,0,1880,2,1,2,3,1,4,5,5,0,0,0,2,0,2,1,81,63,145,80,2.01,1.48,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,27,25,1,11,6,1,11,14,0,0,0,0,1.64,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,True,1.76,3.40,5.21,2.29,4.25,1.40,1.32,3.39,1.47,2.66,2.12,1.72,1.96,1.77,2.54,1.45
Croatia_HNL_2025-2026,2025/2026,2,Dinamo Zagreb,HNK Vukovar 1991,2025-08-08 19:00:00,3,0,3,16,6,22,0,2,0,1,11,3,17,6,28,9,9,10,72,28,Stadion Maksimir,"Maksimirska cesta 128, Zagreb",0,4,1.09,6.9,12.0,1.14,1.53,2.12,2.69,1.42,1.67,2.01,1.91,1.67,1.25,2.2,3.42,1.67,3,1,0,2,0,2,1,122,0,0,0,12721,2,1,7,3,9,3,10,12,0,2,0,1,2,1,1,88,42,92,63,3.15,1.08,4.23,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,22,11,1,10,9,1,6,8,0,0,0,50,2.64,0.21,0.0,0.0,3.0,0.0,50,50,0.0,1.07,1.07,28,True,True,True,False,False,False,False,1.11,8.10,30.33,1.50,2.26,1.16,1.70,2.13,,,3.08,1.37,1.62,2.14,2.08,1.66
Croatia_HNL_2025-2026,2025/2026,2,Istra 1961,Lokomotiva Zagreb,2025-08-09 16:15:00,2,2,4,9,5,14,1,2,0,1,4,5,13,8,17,13,7,14,57,43,Stadion Aldo Drosina,"Marsovo polje, Pula",1,4,1.8,3.4,4.5,1.29,1.95,3.22,1.75,1.86,1.74,2.78,1.98,1.56,1.37,2.75,2.8,1.37,4,0,1,2,1,3,1,-1,0,0,0,3483,2,1,3,1,6,4,4,10,0,1,1,2,1,3,1,75,50,106,79,1.89,1.53,3.42,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,14,24,1,14,7,1,4,7,0,0,0,0,1.36,0.64,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,28,True,True,True,True,False,False,True,1.56,3.81,6.56,1.92,3.26,1.28,1.40,2.92,1.38,3.02,1.92,1.88,1.77,1.96,2.24,1.57
Croatia_HNL_2025-2026,2025/2026,2,Osijek,Rijeka,2025-08-09 19:00:00,0,0,0,5,3,8,3,4,0,1,3,1,19,10,22,11,19,10,61,39,Stadion Gradski vrt,"Delnička bb, Osijek",3,6,3.2,3.0,2.25,1.33,2.1,3.6,1.77,1.84,1.7,2.43,2.1,1.67,1.4,3.0,2.6,1.36,0,0,0,0,0,0,0,-1,0,0,0,6132,2,1,3,3,2,0,6,2,0,1,3,4,1,7,1,81,56,124,108,2.18,1.18,3.35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,26,22,1,10,19,1,9,12,0,50,0,0,1.07,1.14,0.0,0.0,0.0,3.0,50,0,1.48,0.0,1.48,28,False,False,False,False,False,False,False,2.74,3.22,2.68,2.16,3.88,1.35,1.35,3.19,1.43,2.80,1.88,1.92,2.03,1.71,2.53,1.44
Croatia_HNL_2025-2026,2025/2026,2,Slaven Koprivnica,Varaždin,2025-08-10 16:45:00,3,1,4,6,3,9,3,1,0,1,7,1,11,3,18,4,12,9,65,35,,,3,3,2.44,3.2,2.79,1.33,2.07,3.7,1.84,1.87,1.76,2.24,1.95,1.57,1.4,2.9,2.62,1.35,4,1,1,2,0,2,2,1861,0,0,0,2050,2,1,3,1,3,2,4,5,1,2,2,0,3,2,1,70,38,122,101,2.13,0.61,2.75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,30,16,1,9,12,1,6,11,0,0,0,0,1.71,1.07,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,28,True,True,True,True,False,False,True,2.39,3.23,3.11,2.16,3.89,1.36,1.35,3.20,1.44,2.78,1.86,1.94,,,,
Croatia_HNL_2025-2026,2025/2026,2,Hajduk Split,Gorica,2025-08-10 19:00:00,2,0,2,5,1,6,1,1,0,1,10,1,13,5,23,6,11,10,66,34,Stadion Poljud,"8. Mediteranskih igara 2, Split",1,3,1.42,4.25,8.2,1.28,2.01,3.52,2.3,1.53,1.83,2.45,1.85,1.49,1.4,2.7,2.8,1.37,2,0,0,2,0,2,0,1863,0,100,0,25302,2,1,1,1,4,0,2,4,1,1,0,1,2,1,1,74,40,131,89,2.68,0.75,3.43,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,25,13,1,8,11,1,4,8,50,100,0,100,2.07,1.0,3.0,1.0,3.0,1.0,50,0,1.72,1.48,3.2,28,True,True,False,False,False,False,False,1.47,4.20,7.23,2.12,3.73,1.35,1.37,3.08,1.42,2.86,2.25,1.64,1.68,2.07,2.12,1.64
Croatia_HNL_2025-2026,2025/2026,3,HNK Vukovar 1991,Istra 1961,2025-08-15 16:45:00,1,1,2,6,4,10,1,1,0,0,2,5,8,2,10,7,6,8,47,53,Stadion Cibalia,"Hansa Dietricha Genschera 10b, Vinkovci",1,1,3.3,3.1,2.1,1.42,2.23,3.7,1.95,1.75,1.94,2.5,1.75,1.48,1.47,3.0,2.5,1.33,2,1,1,0,0,0,2,-1,0,50,0,1235,2,1,4,2,2,2,6,4,0,1,1,0,1,1,1,62,74,102,124,1.22,1.34,2.56,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,13,18,1,8,6,1,5,11,50,50,0,50,1.29,1.21,0.0,0.0,0.0,0.5,0,0,0.0,1.02,1.02,28,True,True,False,False,False,False,True,3.81,3.11,2.15,2.31,4.17,1.41,1.34,3.25,1.45,2.74,2.00,1.81,1.95,1.78,2.49,1.46
Croatia_HNL_2025-2026,2025/2026,3,Lokomotiva Zagreb,Gorica,2025-08-16 16:15:00,1,3,4,2,12,14,1,0,0,0,2,5,7,7,9,12,10,13,49,51,Stadion Kranjčevićeva,"Kranjčevićeva 4, Zagreb",1,0,1.81,3.2,4.2,1.33,2.0,3.4,1.91,1.82,1.65,2.05,2.1,1.7,1.4,2.85,2.7,1.37,4,1,0,0,3,3,1,1875,0,25,0,21702,2,1,1,10,1,2,11,3,1,0,0,0,1,0,1,44,64,93,107,1.03,1.57,2.61,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,19,26,1,12,10,1,7,7,0,50,0,75,1.57,1.0,3.0,0.5,2.0,0.5,100,50,1.39,1.11,2.5,28,True,True,True,True,False,False,True,2.30,3.24,3.27,2.12,3.74,1.35,1.36,3.14,1.42,2.83,1.85,1.96,1.64,2.12,2.09,1.66
Croatia_HNL_2025-2026,2025/2026,3,Rijeka,Dinamo Zagreb,2025-08-16 19:00:00,0,2,2,6,2,8,2,2,0,0,3,3,11,5,14,8,17,19,54,46,Stadion HNK Rijeka,"Rujevica ulica 6B, Rijeka",2,2,4.96,3.2,1.75,1.36,2.1,3.83,2.08,1.63,1.75,2.16,1.91,1.6,1.4,2.9,2.62,1.36,2,0,2,0,0,0,2,122,0,0,0,7076,2,1,4,1,2,1,5,3,0,0,2,2,0,4,1,70,49,105,100,1.6,1.08,2.68,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,20,16,1,19,16,1,10,8,0,100,0,0,1.79,2.07,3.0,3.0,2.0,3.0,100,0,2.31,1.88,4.19,28,True,True,False,False,False,False,False,4.58,3.21,1.91,2.22,3.99,1.38,1.33,3.29,1.45,2.74,1.96,1.84,1.82,1.92,2.29,1.55
Croatia_HNL_2025-2026,2025/2026,3,Varaždin,Osijek,2025-08-17 16:45:00,0,0,0,8,1,9,4,2,0,0,3,2,11,10,14,12,17,14,42,58,,,4,2,2.45,2.99,2.87,1.42,2.25,3.6,1.85,1.85,1.77,2.25,1.95,1.6,1.5,3.2,2.47,1.29,0,0,0,0,0,0,0,-1,0,50,0,2197,2,1,4,1,4,0,5,4,2,0,2,2,2,4,1,59,54,99,114,1.52,1.3,2.82,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,16,26,1,14,17,1,10,13,0,50,0,50,1.64,0.71,1.0,0.0,0.5,0.5,50,0,2.01,0.0,2.01,28,False,False,False,False,False,False,False,2.77,3.09,2.75,2.30,4.23,1.38,1.32,3.37,1.47,2.67,1.90,1.90,1.75,1.98,2.21,1.59
Croatia_HNL_2025-2026,2025/2026,3,Hajduk Split,Slaven Koprivnica,2025-08-17 19:00:00,3,0,3,4,2,6,1,2,0,0,6,1,19,4,25,5,8,17,62,38,Stadion Poljud,"8. Mediteranskih igara 2, Split",1,2,1.65,3.65,5.0,1.25,1.88,3.24,1.89,1.87,2.0,2.6,1.73,1.44,1.37,2.7,2.9,1.38,3,0,0,3,0,3,0,1863,0,25,0,23635,2,1,2,0,2,2,2,4,0,0,1,2,0,3,1,66,30,149,101,2.48,0.62,3.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,25,17,1,17,8,1,4,14,25,100,0,25,2.07,0.86,3.0,0.0,3.0,1.5,75,0,2.2,0.91,3.11,28,True,True,True,False,False,False,False,1.65,3.70,5.56,1.98,3.37,1.30,1.40,2.96,1.39,2.98,1.94,1.86,2.02,1.70,2.56,1.43
