league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_corners_over_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05
Denmark_Superliga_2025-2026,2025/2026,1,Viborg,København,2025-07-18 17:00:00,2,3,5,6,5,11,1,1,0,0,4,6,6,15,10,21,4,11,46,54,Energi Viborg Arena,"Stadion Allé 7, Viborg",1,1,5.0,3.8,1.65,1.2,1.62,2.8,1.7,2.05,1.41,1.69,2.68,2.1,1.33,2.45,3.1,1.49,5,1,1,1,2,3,2,55,0,0,0,-1,2,1,3,4,3,1,7,4,1,1,0,0,2,0,1,23,94,80,115,1.09,2.41,3.5,1,1,1,1,0,0,1,1,0,0,1,2,0,0,1,13,13,1,10,3,1,9,2,0,0,0,0,1.6,1.45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,True,True,True,False,True,2.03,1.83,6.09,4.24,1.57,1.79,2.95,1.25,,,,,2.74,1.48,1.36,3.29
Denmark_Superliga_2025-2026,2025/2026,1,Fredericia,Nordsjælland,2025-07-20 12:00:00,2,3,5,5,2,7,3,1,0,0,3,7,3,6,6,13,14,10,39,61,Monjasa Park,"Vestre Ringvej 102, Fredericia",3,1,4.65,4.05,1.74,1.12,1.52,2.25,1.64,2.27,1.52,1.94,2.32,1.79,1.25,2.2,3.4,1.6,5,1,3,1,0,1,4,986,0,0,0,-1,2,1,1,1,4,1,2,5,0,0,3,1,0,4,1,50,51,82,122,0.96,1.69,2.65,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,21,10,1,10,14,1,8,5,0,0,0,0,0.8,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,True,True,True,False,True,2.41,1.60,3.73,3.68,2.02,1.66,2.59,1.20,1.94,1.54,2.36,1.87,2.47,1.57,,
Denmark_Superliga_2025-2026,2025/2026,1,Vejle,Randers,2025-07-20 12:00:00,1,1,2,5,5,10,0,2,0,0,3,2,11,4,14,6,13,11,44,56,Vejle Stadion,"Roms Hule 3, Vejle",0,2,3.45,3.68,2.16,1.25,1.77,2.8,1.67,2.0,1.32,1.79,2.92,2.18,1.36,2.65,3.1,1.42,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,3,1,2,4,4,6,0,1,0,1,1,1,1,60,32,77,84,1.52,0.76,2.28,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,17,27,1,11,13,1,5,8,0,0,0,0,1.1,0.9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,False,False,False,False,True,2.37,1.62,3.32,3.61,2.19,1.76,2.90,1.24,,,,,2.67,1.50,1.35,3.36
Denmark_Superliga_2025-2026,2025/2026,1,SønderjyskE,AGF,2025-07-20 14:00:00,1,1,2,4,3,7,0,2,0,0,3,3,9,8,12,11,11,6,44,56,Sydbank Park,"Stadionvej 7, Haderslev",0,2,3.65,3.6,1.95,1.3,2.0,3.4,1.75,2.0,1.46,1.8,2.45,1.83,1.3,2.55,3.2,1.37,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,1,1,3,2,2,5,0,0,0,2,0,2,1,41,31,92,89,1.27,1.14,2.4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,22,28,1,6,11,1,11,11,0,0,0,0,2.0,2.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,False,False,False,False,True,1.95,1.90,4.30,3.42,1.96,2.10,3.60,1.35,1.95,1.56,2.35,1.86,,,,
Denmark_Superliga_2025-2026,2025/2026,1,Midtjylland,OB,2025-07-20 16:00:00,3,3,6,6,7,13,2,3,0,0,7,3,10,8,17,11,9,18,58,42,MCH Arena,"Kaj Zartows Vej 5, Herning",2,3,1.48,4.2,6.3,1.09,1.5,2.2,1.62,2.2,1.4,1.64,2.7,2.25,1.2,2.1,3.75,1.67,6,2,2,1,1,2,4,-1,0,0,0,-1,2,1,2,1,4,6,3,10,0,1,2,2,1,4,1,62,37,100,77,2.01,1.17,3.18,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,31,16,1,18,8,1,6,11,0,0,0,0,2.4,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,True,True,True,True,True,2.36,1.62,1.48,4.92,6.31,1.49,2.28,1.16,,,,,2.25,1.68,,
Denmark_Superliga_2025-2026,2025/2026,1,Brøndby,Silkeborg,2025-07-20 18:00:00,3,0,3,2,2,4,0,0,0,0,5,2,8,6,13,8,12,7,53,47,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",0,0,1.67,4.04,4.95,1.22,1.7,2.7,1.7,2.0,1.49,2.06,2.45,1.83,1.32,2.35,3.4,1.52,3,1,0,2,0,2,1,2517,0,0,0,-1,2,-1,2,2,0,0,4,0,0,0,0,0,0,0,1,43,34,108,117,1.49,0.91,2.4,0,0,0,0,0,0,1,1,0,0,1,0,-1,-1,1,17,12,1,7,12,1,5,6,0,0,0,0,1.64,0.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,True,False,False,False,False,2.42,1.60,1.67,4.30,4.89,1.60,2.48,1.18,,,,,2.40,1.61,1.34,3.37
Denmark_Superliga_2025-2026,2025/2026,2,AGF,Randers,2025-07-25 17:00:00,1,2,3,3,3,6,2,3,0,0,4,5,10,7,14,12,7,21,57,43,,,2,3,1.97,3.58,3.89,1.22,1.85,3.1,1.69,2.24,1.5,1.81,2.46,2.0,1.36,2.62,2.9,1.44,3,1,0,0,2,2,1,2521,0,50,0,-1,2,1,3,0,0,3,3,3,1,0,1,3,1,4,1,57,50,101,94,1.58,1.47,3.05,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,17,16,1,20,7,1,6,11,0,50,0,0,2.27,0.9,0.0,1.0,1.0,1.0,50,0,0.0,0.76,0.76,21,True,True,True,False,False,False,True,2.18,1.72,1.93,3.68,4.06,1.85,3.08,1.26,1.81,1.47,2.58,2.00,2.75,1.48,1.36,3.30
Denmark_Superliga_2025-2026,2025/2026,2,København,Vejle,2025-07-26 16:00:00,2,0,2,3,8,11,0,3,0,0,4,1,11,7,15,8,14,9,47,53,Parken,"Øster Allé 50, København",0,3,1.3,5.5,8.5,1.17,1.5,2.4,2.01,1.82,1.5,1.8,2.65,1.9,1.25,2.2,3.6,1.58,2,2,0,0,0,0,2,55,0,0,0,-1,2,1,3,2,0,6,5,6,0,1,0,2,1,2,1,41,48,105,96,1.53,0.93,2.46,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,19,17,1,9,14,1,7,8,0,0,0,0,1.3,0.27,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,21,True,True,False,False,False,False,False,1.85,1.98,1.27,6.13,10.37,1.55,2.39,1.17,1.76,,,2.04,2.23,1.68,,
Denmark_Superliga_2025-2026,2025/2026,2,OB,Viborg,2025-07-27 12:00:00,3,1,4,5,4,9,2,1,0,0,6,5,7,10,13,15,15,8,45,55,Nature Energy Park,"Højstrupvej 7B, Odense",2,1,1.94,3.79,3.22,1.15,1.58,2.25,1.53,2.44,1.27,1.61,2.98,2.22,1.29,2.25,3.55,1.55,4,1,0,2,1,3,1,2523,0,0,0,-1,2,1,3,2,2,2,5,4,0,0,2,1,0,3,1,36,43,91,130,1.51,1.62,3.13,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,25,25,1,8,15,1,3,6,0,0,0,0,1.36,1.27,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,21,True,True,True,True,False,False,True,2.69,1.50,2.33,3.69,3.00,1.62,2.54,1.18,1.58,,,2.31,2.44,1.59,,
Denmark_Superliga_2025-2026,2025/2026,2,Silkeborg,Fredericia,2025-07-27 14:00:00,0,2,2,10,1,11,0,1,0,0,5,3,13,5,18,8,8,9,58,42,JYSK park,"Ansvej 104, Silkeborg",0,1,1.61,3.5,4.7,1.2,1.6,2.8,1.62,2.1,1.6,2.23,2.28,1.75,1.32,2.54,3.1,1.48,2,0,2,0,0,0,2,3649,0,0,0,-1,2,1,4,1,6,0,5,6,0,1,0,0,1,0,1,54,31,159,86,1.89,0.95,2.84,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,21,15,1,9,8,1,7,6,0,0,0,0,1.0,1.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,21,True,True,False,False,False,False,False,2.27,1.67,1.81,3.91,4.40,1.72,2.76,1.23,,,,,2.57,1.54,1.34,3.39
