league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x,pinnacle_corners_under_95,pinnacle_corners_over_95,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_1st_half_over05,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_corners_under_85,pinnacle_corners_over_85
Finland_Veikkausliiga_2025,2025,1,Ilves,HJK,2025-04-05 12:00:00,3,2,5,3,2,5,0,2,0,0,5,5,5,3,10,8,12,15,50,50,,,0,2,2.63,3.43,2.65,1.25,1.85,2.95,1.67,2.1,1.32,1.58,3.0,2.15,1.36,2.75,3.0,1.4,5,1,2,2,0,2,3,407,0,0,0,-1,2,1,2,2,1,0,4,1,0,1,0,1,1,1,1,49,50,100,70,1.34,1.22,2.56,0,0,0,0,0,0,1,1,0,1,1,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2.13,1.56,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,True,True,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,1,Inter Turku,KuPS,2025-04-05 14:00:00,1,1,2,7,1,8,1,2,0,0,2,3,14,1,16,4,7,12,50,50,Veritas Stadion,"Hippoksentie 6, Åbo",1,2,2.55,3.3,2.7,1.33,2.05,3.55,1.91,1.91,1.46,1.8,2.45,1.83,1.44,3.25,2.63,1.33,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,4,0,3,1,4,4,0,1,1,1,1,2,1,59,37,95,94,1.57,0.75,2.32,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2.06,1.88,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,False,False,False,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,1,Mariehamn,Jaro,2025-04-05 14:00:00,0,2,2,7,3,10,2,1,0,0,4,4,4,2,8,6,11,11,58,42,,,2,1,2.09,3.47,3.28,1.4,1.92,4.2,1.95,1.8,1.41,1.72,2.6,1.93,1.5,3.4,2.5,1.3,2,0,1,0,1,1,1,416,0,0,0,-1,2,1,2,0,5,3,2,8,1,0,1,1,1,2,1,92,50,135,105,1.46,1.03,2.49,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.29,1.69,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,1,KTP,SJK,2025-04-05 14:00:00,0,1,1,4,5,9,2,1,0,0,4,8,8,11,12,19,11,10,50,50,Arto Tolsa Areena,"Korkeavuorenkatu 2, Kotka",2,1,4.2,3.71,1.79,1.2,1.54,2.55,1.57,2.25,1.32,1.58,3.0,2.15,1.3,2.38,3.4,1.53,1,0,0,0,1,1,0,102,0,0,0,-1,2,1,2,1,2,4,3,6,1,0,1,1,1,2,1,57,89,69,98,1.44,2.39,3.83,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.69,1.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,1,VPS,Oulu,2025-04-05 14:00:00,4,3,7,7,2,9,0,2,0,1,6,3,12,6,18,9,12,10,50,50,,,0,3,1.75,3.74,4.33,1.25,1.77,2.95,1.75,2.0,1.41,1.72,2.6,1.93,1.36,2.63,3.0,1.44,7,0,2,4,1,5,2,408,0,0,0,-1,2,1,3,2,4,0,5,4,0,2,0,1,2,1,1,67,31,115,80,2.04,1.01,3.05,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.36,0.93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,1,Haka,Gnistan,2025-04-05 16:00:00,3,2,5,4,11,15,3,2,0,0,5,5,10,9,15,14,11,9,50,50,Tehtaan kenttä,"Tehtaankatu 7, Valkeakoski",3,2,2.51,3.41,2.64,1.25,1.8,2.95,1.67,2.1,1.32,1.58,3.0,2.15,1.36,2.75,3.0,1.4,5,1,0,2,2,4,1,424,0,0,0,-1,2,1,2,4,1,7,6,8,1,0,2,2,1,4,1,55,63,105,85,1.7,1.68,3.38,1,1,0,0,1,1,1,1,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.69,1.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,27,True,True,True,True,True,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,2,KTP,VPS,2025-04-11 15:00:00,2,2,4,4,7,11,3,2,0,0,6,5,6,15,12,20,11,16,50,50,Arto Tolsa Areena,"Korkeavuorenkatu 2, Kotka",3,2,3.12,3.25,1.95,1.2,1.68,2.62,1.55,2.46,1.37,1.69,2.75,2.07,1.29,2.5,3.3,1.5,4,1,1,1,1,2,2,-1,0,0,0,-1,2,1,2,1,2,6,3,8,0,1,3,1,1,4,1,40,71,78,100,1.47,2.12,3.58,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.69,0.92,0.0,0.0,0.0,3.0,50,50,1.44,0.0,1.44,27,True,True,True,True,False,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,2,SJK,HJK,2025-04-11 17:00:00,1,0,1,7,6,13,2,1,0,1,7,4,11,9,18,13,5,10,50,50,OmaSP Stadion,"Alaseinäjoenkatu 9, Seinäjoki",2,2,3.0,3.35,2.2,1.17,1.65,2.63,1.56,2.25,1.32,1.64,2.88,2.2,1.33,2.4,3.33,1.5,1,0,0,1,0,1,0,102,0,50,0,-1,2,1,2,1,5,5,3,10,1,2,1,0,3,1,1,42,60,76,123,1.92,1.54,3.47,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,1.94,1.56,0.0,0.0,3.0,0.0,0,0,0.0,1.22,1.22,32,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,2,Ilves,Jaro,2025-04-12 11:30:00,2,1,3,4,3,7,1,3,0,0,5,2,3,5,8,7,13,13,62,38,,,1,3,1.24,4.8,7.96,1.15,1.6,2.5,1.8,1.85,1.47,1.83,2.42,1.87,1.25,2.25,3.6,1.63,3,2,0,0,1,1,2,407,0,50,0,-1,2,1,1,0,3,3,1,6,0,1,1,2,1,3,1,69,36,132,71,1.37,0.85,2.22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,16,1,1,4,1,9,10,50,100,50,100,2.13,1.69,3.0,3.0,3.0,3.0,50,0,1.34,1.03,2.37,27,True,True,True,False,False,False,True,,,,,,,,,,,,,,,,
Finland_Veikkausliiga_2025,2025,2,Haka,Mariehamn,2025-04-12 12:00:00,0,1,1,7,7,14,2,2,0,0,6,4,6,3,12,7,16,20,62,38,Tehtaan kenttä,"Tehtaankatu 7, Valkeakoski",2,2,1.68,3.63,4.15,1.29,1.79,2.95,1.8,2.1,1.33,1.61,2.83,2.12,1.35,2.6,2.9,1.42,1,0,1,0,0,0,1,410,0,50,0,-1,2,1,3,7,4,0,10,4,1,1,1,1,2,2,1,68,27,111,67,1.67,0.92,2.6,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,22,27,1,5,2,1,1,15,50,50,0,50,0.69,1.08,3.0,0.0,3.0,0.0,0,0,1.7,0.0,1.7,27,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
