league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_corners_under_85
Finland_Veikkausliiga_2026,2026,1,Inter Turku,VPS,2026-04-04 10:00:00,0,0,0,4,3,7,1,1,0,0,5,0,8,1,13,1,14,15,67,33,Veritas Stadion,"Hippoksentie 6, Åbo",1,1,1.39,4.8,7.65,1.13,1.52,2.52,1.71,1.95,1.39,1.85,2.75,2.1,1.27,2.1,3.4,1.55,0,0,0,0,0,0,0,-1,0,0,0,3401,2,1,2,1,2,2,3,4,0,0,1,1,0,2,1,74,29,94,88,1.7,0.29,1.99,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,19,27,1,5,4,1,4,9,0,0,0,0,2.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,2,False,False,False,False,False,False,False,2.55,1.61,1.20,2.46,1.57,,,7.56,4.90,1.41,,,,
Finland_Veikkausliiga_2026,2026,1,HJK,SJK,2026-04-04 12:00:00,3,0,3,7,2,9,0,2,0,0,6,3,12,4,18,7,6,17,52,48,,,0,2,1.55,4.25,4.6,1.12,1.44,2.12,1.45,2.45,1.24,1.6,3.05,2.45,1.2,2.16,3.88,1.7,3,1,0,2,0,2,1,412,0,0,0,5041,2,1,6,0,1,2,6,3,0,0,0,2,0,2,1,55,30,106,70,1.95,0.88,2.83,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,17,14,1,3,1,1,4,16,0,0,0,0,1.5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2,True,True,True,False,False,False,False,2.24,1.48,1.15,2.21,1.69,,,5.15,4.51,1.59,,,,
Finland_Veikkausliiga_2026,2026,1,Mariehamn,TPS,2026-04-04 14:00:00,1,1,2,0,10,10,2,2,0,0,1,4,6,13,7,17,13,12,49,51,,,2,2,1.75,3.6,3.6,1.2,1.52,2.28,1.53,2.25,1.49,1.52,3.1,1.91,1.28,2.3,3.34,1.53,2,1,0,0,1,1,1,-1,0,0,0,1258,2,1,0,9,0,1,9,1,0,2,2,0,2,2,1,36,68,75,96,0.78,1.84,2.62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,23,1,2,3,1,9,3,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,2,True,True,False,False,False,False,True,2.61,1.67,1.21,2.51,1.55,,,4.15,3.91,1.83,1.75,2.04,1.45,2.59
Finland_Veikkausliiga_2026,2026,1,Ilves,KuPS,2026-04-04 14:00:00,1,3,4,4,3,7,1,0,0,0,5,7,9,5,14,12,6,5,49,51,,,1,0,2.17,2.95,2.9,1.22,1.76,2.51,1.57,2.2,1.43,1.97,2.53,1.98,1.33,2.5,3.0,1.45,4,0,2,1,1,2,2,411,0,0,0,4774,2,1,2,1,2,2,3,4,1,0,0,0,1,0,1,70,38,112,106,1.74,1.53,3.27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,21,16,1,1,0,1,6,11,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0.0,0.0,0.0,2,True,True,True,True,False,False,True,2.59,1.68,1.19,2.50,1.55,,,3.71,3.37,2.11,,,,
Finland_Veikkausliiga_2026,2026,1,Jaro,Lahti,2026-04-04 14:00:00,0,1,1,0,3,3,3,1,0,0,3,2,7,5,10,7,13,11,60,40,,,3,1,2.46,3.35,2.69,1.17,1.65,2.48,1.5,2.3,1.43,1.93,2.55,1.98,1.31,2.32,3.15,1.5,1,0,1,0,0,0,1,413,0,0,0,2470,2,1,0,2,0,1,2,1,1,1,2,0,2,2,1,61,25,101,60,1.29,0.77,2.05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,36,22,1,11,13,1,6,6,0,0,0,0,0.0,1.5,0,0,0,0,0,0,0.0,0.0,0.0,2,True,False,False,False,False,False,False,2.79,1.75,1.22,,,,,2.47,3.57,2.83,,,,
Finland_Veikkausliiga_2026,2026,1,Gnistan,Oulu,2026-04-04 16:00:00,1,5,6,7,2,9,1,1,0,0,5,8,7,7,12,15,13,6,49,51,Mustapekka Areena,"Käskynhaltijantie 11, Helsinki",1,1,2.75,3.56,2.41,1.14,1.61,2.39,1.48,2.35,1.29,1.57,3.02,2.26,1.3,2.51,3.22,1.53,6,1,2,0,3,3,3,425,0,0,0,1853,2,1,0,2,7,0,2,7,0,0,1,1,0,2,1,47,36,107,79,1.46,1.77,3.22,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,21,14,1,2,2,1,8,9,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0.0,0.0,0.0,2,True,True,True,True,True,True,True,2.67,1.69,1.21,2.51,1.55,,,2.38,3.59,2.94,1.59,2.26,,
Finland_Veikkausliiga_2026,2026,2,TPS,Lahti,2026-04-10 15:00:00,2,1,3,5,6,11,3,7,0,0,6,6,8,12,14,18,16,17,40,60,Veritas Stadion,"Hippoksentie 6, Åbo",3,7,3.15,3.2,2.2,1.22,1.82,2.89,1.64,2.13,1.56,1.83,2.41,1.82,1.34,2.84,3.0,1.42,3,1,0,1,1,2,1,415,0,0,0,-1,2,1,4,3,1,3,7,4,0,1,3,6,1,9,1,49,50,85,78,1.66,1.91,3.57,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,16,25,1,17,16,1,10,1,0,0,0,50,3.0,1.5,0,3,1,3,50,50,0.0,0.77,0.77,2,True,True,True,False,False,False,True,3.07,1.85,1.26,2.81,1.46,1.37,3.19,2.24,3.67,3.19,1.99,1.83,1.56,2.32
Finland_Veikkausliiga_2026,2026,2,SJK,Mariehamn,2026-04-10 16:00:00,3,0,3,6,2,8,0,2,0,0,5,1,6,2,11,3,14,13,51,49,OmaSP Stadion,"Alaseinäjoenkatu 9, Seinäjoki",0,2,1.67,3.5,4.55,1.15,1.61,2.44,1.5,2.26,1.34,1.57,2.98,2.24,1.22,2.05,3.22,1.7,3,1,0,2,0,2,1,102,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,1,75,23,106,90,1.59,0.44,2.03,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,1,12,20,1,13,14,1,3,12,0,0,0,0,3.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,2,True,True,True,False,False,False,False,2.81,1.75,1.23,2.61,1.52,1.34,3.37,5.59,4.00,1.65,,,,
Finland_Veikkausliiga_2026,2026,2,VPS,Jaro,2026-04-10 17:00:00,0,0,0,4,6,10,0,1,0,0,2,5,5,13,7,18,11,10,54,46,,,0,1,1.97,3.6,3.2,1.2,1.8,2.95,1.65,2.23,1.37,1.83,2.8,2.14,1.33,2.62,3.04,1.43,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,2,2,2,4,4,6,0,0,0,1,0,1,1,60,68,124,129,1.03,1.98,3.01,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,17,14,1,10,11,1,8,10,0,0,0,0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,2,False,False,False,False,False,False,False,3.27,1.94,1.29,2.93,1.43,1.40,3.08,3.71,3.67,2.03,1.74,2.07,,
Finland_Veikkausliiga_2026,2026,2,KuPS,Gnistan,2026-04-11 11:00:00,1,0,1,9,3,12,0,0,0,0,11,2,8,5,19,7,8,11,75,25,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",0,0,1.35,4.5,7.64,1.1,1.43,2.21,1.66,2.13,1.35,1.82,2.8,2.13,1.22,2.1,3.66,1.64,1,0,0,1,0,1,0,411,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,96,25,153,59,2.67,0.77,3.43,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,1,28,13,1,11,8,1,4,10,0,0,0,0,3.0,0.0,0,0,3,0,0,0,0.0,0.0,0.0,2,True,False,False,False,False,False,False,2.20,1.46,1.15,2.18,1.72,,,7.24,5.25,1.41,1.64,2.22,,
