league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_2,pinnacle_1st_half_over05,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_btts_yes,pinnacle_btts_no
Italy_Serie_A_2025-2026,2025/2026,1,Genoa,Lecce,2025-08-23 16:30:00,0,0,0,3,7,10,2,3,0,0,2,0,3,7,5,7,16,13,59,41,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1, Genova",2,3,1.75,3.3,4.4,1.43,2.35,4.8,1.93,1.75,1.47,2.21,2.46,1.76,1.51,3.3,2.58,1.26,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,1,5,2,2,6,4,0,2,2,1,2,3,1,32,42,89,95,0.7,0.76,1.46,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,19,28,1,13,16,1,8,6,0,0,0,0,1.0,0.92,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,False,False,False,False,False,False,False,2.55,,1.49,2.38,1.96,1.89,1.57,3.36,1.78,5.88,1.55,1.33,2.50,3.43,2.31,1.64
Italy_Serie_A_2025-2026,2025/2026,1,Sassuolo,Napoli,2025-08-23 16:30:00,0,2,2,1,2,3,2,1,1,0,2,4,5,9,7,13,17,17,38,62,MAPEI Stadium - Città del Tricolore,"Piazza Azzuri d'Italia, 1, Reggio nell'Emilia",3,1,5.5,3.5,1.55,1.3,2.04,3.5,1.85,1.83,1.68,1.97,2.46,1.83,1.4,2.84,2.7,1.4,2,0,1,0,1,1,1,74,0,0,0,-1,2,1,0,2,1,0,2,1,0,0,3,1,0,4,1,25,29,85,103,0.77,1.32,2.09,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10,18,1,17,17,1,5,7,0,0,0,0,1.17,1.69,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,False,2.04,3.54,1.33,2.19,2.13,1.72,1.68,3.67,5.90,1.70,1.40,1.40,2.96,3.00,1.97,1.89
Italy_Serie_A_2025-2026,2025/2026,1,AC Milan,Cremonese,2025-08-23 18:45:00,1,2,3,9,2,11,1,4,0,0,6,3,18,1,24,4,10,14,64,36,Stadio Giuseppe Meazza,"Via Piccolomini 5, Milano",1,4,1.38,5.25,8.5,1.24,1.72,2.8,2.16,1.8,1.55,1.95,2.5,1.75,1.3,2.61,3.2,1.5,3,1,1,0,1,1,2,1046,0,0,0,-1,2,1,3,2,6,0,5,6,0,0,1,4,0,5,1,76,29,141,55,2.48,0.68,3.16,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,28,14,1,14,10,1,2,13,0,0,0,0,2.08,0.92,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,True,1.76,2.88,,2.43,1.94,1.91,1.55,5.54,1.33,10.17,,,,,2.16,1.73
Italy_Serie_A_2025-2026,2025/2026,1,Roma,Bologna,2025-08-23 18:45:00,1,0,1,2,4,6,1,1,0,0,4,2,10,8,14,10,15,13,51,49,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico, Roma",1,1,2.09,3.2,3.6,1.4,2.2,4.2,1.83,1.83,1.89,2.5,1.77,1.49,1.48,3.13,2.5,1.33,1,0,0,1,0,1,0,113,0,0,0,-1,2,1,0,3,2,1,3,3,0,1,1,0,1,1,1,36,20,103,70,1.43,0.92,2.35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,23,1,13,15,1,7,7,0,0,0,0,2.08,1.46,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,False,False,False,False,False,False,2.27,,1.40,,,,,3.23,2.22,3.73,1.45,1.37,2.80,3.13,1.93,1.93
Italy_Serie_A_2025-2026,2025/2026,1,Cagliari,Fiorentina,2025-08-24 16:30:00,1,1,2,3,2,5,4,2,0,0,6,1,8,3,14,4,18,14,45,55,Sardegna Arena,"Via Raimondo Carta Raspi, Cagliari",4,2,2.95,3.0,2.26,1.32,2.0,4.33,1.8,1.95,1.82,2.55,1.87,1.49,1.49,2.85,2.62,1.37,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,3,1,0,1,4,1,2,0,2,2,2,4,1,36,31,89,96,1.57,0.56,2.13,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,15,1,14,18,1,7,12,0,0,0,0,1.25,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,True,2.33,,1.42,2.01,2.33,1.59,1.83,3.13,3.16,2.56,1.48,1.32,2.68,3.41,1.96,1.90
Italy_Serie_A_2025-2026,2025/2026,1,Como,Lazio,2025-08-24 16:30:00,2,0,2,6,0,6,2,3,0,0,6,1,13,4,19,5,15,12,63,37,Stadio Giuseppe Sinigaglia,"Via Giuseppe Sinigaglia, 3, Como",2,3,2.39,3.3,2.93,1.27,1.95,3.4,1.77,1.93,1.53,1.91,2.14,1.8,1.45,2.8,2.55,1.36,2,0,0,2,0,2,0,518,0,0,0,-1,2,1,3,0,3,0,3,3,2,1,0,2,3,2,1,60,23,120,54,2.05,0.56,2.61,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,24,26,1,12,15,1,6,11,0,0,0,0,1.77,1.17,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,False,1.95,3.31,1.29,2.35,1.99,1.85,1.58,3.38,2.35,3.26,1.41,1.40,2.96,3.00,1.70,2.20
Italy_Serie_A_2025-2026,2025/2026,1,Juventus,Parma,2025-08-24 18:45:00,2,0,2,6,6,12,1,2,1,0,8,2,17,6,25,8,9,13,64,36,,,3,2,1.34,4.72,8.5,1.28,1.78,3.2,1.83,1.75,1.4,1.83,2.5,1.95,1.3,2.4,3.2,1.48,2,0,0,2,0,2,0,90,0,0,0,-1,2,1,3,3,3,3,6,6,1,0,1,2,1,3,1,65,30,108,72,2.6,0.87,3.47,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,14,18,1,13,9,1,4,15,0,0,0,0,2.17,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,False,2.12,3.49,1.35,2.58,1.83,2.01,1.49,4.65,1.43,8.41,1.42,1.38,2.92,3.08,2.39,1.60
Italy_Serie_A_2025-2026,2025/2026,1,Atalanta,Pisa,2025-08-24 18:45:00,1,1,2,10,4,14,2,0,0,0,6,2,15,9,21,11,9,10,66,34,Stadio Atleti Azzurri d'Italia,"Viale Caio Giulio Cesare, 18, Bergamo",2,0,1.29,4.7,7.25,1.2,1.73,2.85,1.91,1.8,1.84,2.22,2.0,1.6,1.29,2.3,3.2,1.52,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,6,3,4,1,9,5,1,0,1,0,1,1,1,71,28,129,90,2.26,1.05,3.3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,22,13,1,10,9,1,9,13,0,0,0,0,1.92,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,True,1.82,3.00,1.27,,,,,4.47,1.48,7.27,1.35,1.47,3.27,2.71,2.00,1.87
Italy_Serie_A_2025-2026,2025/2026,1,Udinese,Hellas Verona,2025-08-25 16:30:00,1,1,2,5,1,6,3,2,0,0,4,3,10,6,14,9,10,14,63,37,Dacia Arena,"Piazza le Repubblica Argentina, 3, Udine",3,2,1.74,3.25,4.45,1.38,2.56,3.8,1.95,1.83,1.68,2.13,2.2,1.85,1.48,3.0,2.5,1.33,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,3,0,2,1,3,3,1,0,2,2,1,4,1,42,24,139,82,1.48,0.96,2.44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,19,20,1,14,10,1,4,9,0,0,0,0,1.23,0.62,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,False,False,False,False,True,2.65,,1.53,2.20,2.14,1.71,1.68,3.19,1.99,4.71,1.54,1.32,2.50,3.40,2.29,1.65
Italy_Serie_A_2025-2026,2025/2026,1,Inter Milan,Torino,2025-08-25 18:45:00,5,0,5,6,5,11,0,0,0,0,9,4,11,8,20,12,14,6,60,40,Stadio Giuseppe Meazza,"Via Piccolomini 5, Milano",0,0,1.37,5.0,7.5,1.18,1.66,2.71,1.83,1.85,1.6,2.05,2.08,1.78,1.3,2.44,3.2,1.5,5,2,0,3,0,3,2,470,0,0,0,-1,2,-1,4,2,2,3,6,5,0,0,0,0,0,0,1,40,27,93,67,2.18,1.23,3.41,0,0,0,0,0,0,1,1,0,0,0,1,-1,-1,1,12,12,1,6,14,1,5,7,0,0,0,0,2.38,1.08,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,True,True,False,False,1.68,2.71,,2.32,2.05,1.78,1.61,5.35,1.36,9.00,1.35,1.55,3.31,2.50,2.02,1.85
