league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_under15
Italy_Serie_B_2025-2026,2025/2026,1,Pescara,Cesena,2025-08-22 18:30:00,1,3,4,3,5,8,1,1,0,0,4,9,8,10,12,19,16,7,54,46,Stadio Adriatico-Giovanni Cornacchia,"Via Pepe, Pescara",1,1,3.65,3.1,2.15,1.38,2.33,4.1,1.91,1.73,1.73,2.6,1.99,1.6,1.48,3.2,2.45,1.3,4,1,1,0,2,2,2,475,0,0,0,-1,2,1,1,5,2,0,6,2,0,0,1,1,0,2,1,35,52,103,82,1.3,2.2,3.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,28,1,7,16,1,7,9,0,0,0,0,1.0,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,True,True,False,False,True,2.50,1.47,4.74,1.79,2.02,2.25,1.60,3.64,2.96,2.38,2.03,1.82,3.44,1.54,2.57,1.33
Italy_Serie_B_2025-2026,2025/2026,1,Virtus Entella,Juve Stabia,2025-08-23 17:00:00,1,1,2,5,7,12,2,2,0,0,2,2,8,8,10,10,14,14,46,54,Stadio Comunale Chiavari,"Via Aldo Gastaldi, 22, Chiavari",2,2,2.35,2.99,3.44,1.38,2.3,4.33,1.95,1.78,1.66,2.07,2.07,1.66,1.47,3.25,2.65,1.27,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,4,2,1,5,6,6,0,0,2,2,0,4,1,40,19,76,84,1.06,0.92,1.98,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,28,20,1,14,14,1,4,8,0,0,0,0,1.71,1.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,True,2.51,1.46,4.75,1.71,2.08,2.15,1.67,2.44,2.92,3.56,2.01,1.83,3.41,1.54,2.58,1.33
Italy_Serie_B_2025-2026,2025/2026,1,Empoli,Calcio Padova,2025-08-23 17:00:00,3,1,4,6,4,10,2,4,0,0,4,4,11,5,15,9,19,19,52,48,Stadio Carlo Castellani,"Viale delle Olimpiadi, Empoli",2,4,1.91,3.2,3.95,1.44,2.31,4.33,2.09,1.71,1.74,2.17,2.05,1.58,1.51,3.2,2.55,1.28,4,2,1,1,0,1,3,459,0,0,0,-1,2,1,3,1,3,3,4,6,1,0,1,4,1,5,1,44,30,98,79,1.55,1.07,2.62,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,21,16,1,19,19,1,5,6,0,0,0,0,1.2,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,True,True,False,False,True,2.49,1.48,4.71,1.83,1.99,2.32,1.57,1.91,3.23,4.94,2.17,1.71,3.46,1.53,2.59,1.33
Italy_Serie_B_2025-2026,2025/2026,1,Palermo,Reggiana,2025-08-23 19:00:00,2,1,3,9,6,15,1,1,0,0,14,3,11,7,25,10,11,16,50,50,Stadio Renzo Barbera,"Viale del Fante, 11, Palermo",1,1,1.55,4.1,6.4,1.3,1.84,3.25,2.01,1.81,1.55,2.16,2.45,1.88,1.41,2.98,2.65,1.36,3,1,0,1,1,2,1,462,0,0,0,-1,2,1,5,3,4,3,8,7,1,0,0,1,1,1,1,57,43,81,73,2.95,1.15,4.11,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,23,14,1,16,11,1,3,11,0,0,0,0,2.4,0.86,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,True,False,False,False,True,1.90,1.28,3.20,1.53,2.40,1.92,1.89,1.54,4.15,6.77,1.98,1.87,2.89,1.39,3.13,1.44
Italy_Serie_B_2025-2026,2025/2026,1,Monza,Mantova,2025-08-23 19:00:00,1,0,1,9,1,10,3,3,0,0,2,2,14,6,16,8,21,19,44,56,Stadio Comunale Brianteo,"Via Franco Tognini, Monza",3,3,1.75,3.7,4.24,1.26,1.94,3.3,1.8,1.91,1.7,2.26,2.0,1.62,1.36,2.75,2.9,1.38,1,0,0,1,0,1,0,2356,0,0,0,-1,2,1,4,1,5,0,5,5,2,0,1,3,2,4,1,70,27,78,49,1.65,0.84,2.49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,16,1,19,21,1,3,15,0,0,0,0,2.5,0.64,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,False,False,False,False,False,False,1.96,1.30,3.34,1.76,2.03,2.19,1.64,1.74,3.73,5.14,1.87,1.97,2.94,1.40,3.08,1.43
Italy_Serie_B_2025-2026,2025/2026,1,Venezia,Bari 1908,2025-08-24 17:00:00,2,1,3,6,3,9,1,1,0,0,8,3,12,8,20,11,13,14,59,41,Stadio Pierluigi Penzo,"Isola di Sant'Elena, Venezia",1,1,2.06,3.44,3.4,1.37,2.15,3.9,1.98,1.73,1.51,1.98,2.21,1.75,1.46,3.1,2.5,1.32,3,2,1,0,0,0,3,1047,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,2,1,40,40,90,55,2.11,1.19,3.3,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,1,12,6,1,14,13,1,9,7,0,0,0,0,2.57,0.79,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,True,False,False,False,True,2.11,1.35,3.73,1.64,2.20,2.05,1.75,1.72,3.58,5.69,1.99,1.85,3.19,1.44,2.89,1.38
Italy_Serie_B_2025-2026,2025/2026,1,Spezia,Carrarese,2025-08-24 17:00:00,0,2,2,7,3,10,5,2,1,0,2,6,5,4,7,10,12,19,57,43,Stadio Alberto Picco,"Via Nicolò Fieschi, 18, La Spezia",7,2,1.73,3.3,5.0,1.33,2.2,3.98,1.95,1.75,1.55,1.9,2.3,1.91,1.44,2.85,2.65,1.37,2,0,1,0,1,1,1,2358,0,0,0,-1,2,1,2,1,5,2,3,7,3,2,3,0,5,3,1,44,44,103,68,0.91,1.37,2.28,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,13,21,1,19,11,1,6,8,0,0,0,0,0.93,0.79,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,False,2.36,1.43,4.37,1.53,2.41,1.92,1.90,1.83,3.38,5.12,2.11,1.75,3.45,1.49,2.71,1.33
Italy_Serie_B_2025-2026,2025/2026,1,Frosinone,Avellino,2025-08-24 19:00:00,2,0,2,6,1,7,3,2,1,0,4,3,11,11,15,14,19,16,39,61,Stadio Benito Stirpe,"Viale Olimpia, Frosinone",5,2,2.18,3.25,3.5,1.45,2.29,4.1,1.95,1.79,1.51,1.84,2.3,1.75,1.48,3.2,2.45,1.28,2,2,0,0,0,0,2,474,0,0,0,-1,2,1,5,0,1,1,5,2,1,1,3,1,2,4,1,35,41,81,95,1.48,1.39,2.87,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,19,20,1,16,19,1,9,8,0,0,0,0,1.92,0.79,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,False,2.40,1.42,4.46,1.60,2.26,2.01,1.81,2.46,2.97,3.45,1.96,1.89,3.46,1.50,2.69,1.33
Italy_Serie_B_2025-2026,2025/2026,1,Catanzaro,Südtirol,2025-08-24 19:00:00,1,1,2,1,5,6,0,2,0,0,2,4,5,8,7,12,8,20,74,26,Stadio Nicola Ceravolo,"Via Francesco Paglia, Catanzaro",0,2,2.25,2.8,3.3,1.39,2.33,4.47,2.1,1.8,1.55,1.95,2.25,1.71,1.48,3.3,2.4,1.3,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,0,2,1,3,2,4,0,1,0,1,1,1,1,14,67,77,72,0.7,1.51,2.21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,27,1,20,8,1,13,6,0,0,0,0,1.93,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,True,2.28,1.39,4.18,1.67,2.17,2.12,1.70,2.54,3.08,3.18,1.89,1.96,3.35,1.47,2.76,1.35
Italy_Serie_B_2025-2026,2025/2026,1,Sampdoria,Modena,2025-08-25 18:30:00,0,2,2,4,0,4,1,4,0,0,3,4,8,6,11,10,17,15,55,45,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1, Genova",1,4,2.4,3.0,3.3,1.44,2.3,4.33,2.0,1.76,1.67,2.15,2.08,1.7,1.44,3.2,2.5,1.3,2,0,0,0,2,2,0,517,0,0,0,-1,2,1,3,0,1,0,3,1,0,1,1,3,1,4,1,31,44,93,135,1.14,1.25,2.39,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,20,16,1,15,17,1,7,6,0,0,0,0,1.57,1.57,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,28,True,True,False,False,False,False,False,2.49,1.45,4.72,1.76,2.03,2.24,1.62,2.50,2.90,3.46,2.00,1.85,,1.53,2.59,
