league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_1st_half_over05,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85
Netherlands_Eredivisie_2025-2026,2025/2026,1,Fortuna Sittard,Go Ahead Eagles,2025-08-08 18:00:00,2,2,4,8,5,13,2,2,0,1,8,2,28,4,36,6,10,9,67,33,Fortuna Sittard Stadion,"Milaanstraat, Sittard",2,4,2.95,3.5,2.38,1.2,1.67,2.62,1.57,2.25,1.5,1.68,2.65,1.91,1.35,2.45,3.1,1.44,4,1,1,1,1,2,2,-1,0,0,0,-1,2,1,2,4,5,1,6,6,0,0,2,3,0,5,1,75,26,110,54,3.35,0.71,4.06,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,15,14,1,9,10,1,5,17,0,0,0,0,1.64,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,True,True,False,False,True,2.58,3.50,2.78,1.61,2.39,1.35,2.69,1.49,3.30,1.77,2.86,1.23,2.63,1.78,2.02,1.44
Netherlands_Eredivisie_2025-2026,2025/2026,1,NEC,Excelsior,2025-08-09 14:30:00,5,0,5,7,2,9,1,1,0,0,10,6,6,3,16,9,14,14,62,38,,,1,1,1.73,3.76,4.4,1.2,1.8,2.58,1.62,2.38,1.33,1.65,2.87,2.12,1.34,2.4,3.1,1.44,5,1,0,4,0,4,1,379,0,0,0,-1,2,1,2,1,5,1,3,6,1,1,0,0,2,0,1,33,44,106,81,1.95,1.31,3.27,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,28,22,1,13,14,1,3,8,0,0,0,0,2.09,1.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,True,True,True,False,False,4.95,4.38,1.65,1.56,2.52,1.34,2.33,1.64,3.37,1.51,2.32,1.16,,,,
Netherlands_Eredivisie_2025-2026,2025/2026,1,Feyenoord,NAC Breda,2025-08-09 16:45:00,2,0,2,3,4,7,1,1,0,0,4,0,16,7,20,7,10,13,60,40,Stadion Feijenoord,"Van Zandvlietplein 1, Rotterdam",1,1,1.29,6.0,9.8,1.13,1.5,2.05,1.95,1.85,1.47,1.74,2.6,1.95,1.2,2.11,3.8,1.66,2,1,0,1,0,1,1,367,0,0,0,-1,2,1,2,2,1,2,4,3,0,0,1,1,0,2,1,69,21,125,56,2.04,0.6,2.64,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,22,20,1,13,10,1,7,13,0,0,0,0,2.08,0.64,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,False,False,False,False,False,8.15,5.26,1.38,1.97,1.88,,2.39,1.60,,1.64,2.62,1.21,2.62,1.81,2.00,1.45
Netherlands_Eredivisie_2025-2026,2025/2026,1,Heerenveen,Volendam,2025-08-09 18:00:00,1,1,2,9,2,11,1,1,0,0,6,3,12,2,18,5,8,9,58,42,Abe Lenstra Stadion,"Abe Lenstra Boulevard 23Q, Heerenveen",1,1,1.63,4.1,4.9,1.19,1.71,2.53,1.7,2.05,1.38,1.6,2.92,2.22,1.33,2.45,3.2,1.5,2,1,0,0,1,1,1,-1,0,0,0,-1,2,1,5,2,4,0,7,4,0,0,1,1,0,2,1,69,25,106,74,2.05,0.72,2.77,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,16,21,1,9,8,1,6,12,0,0,0,0,1.42,0.45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,False,False,False,False,True,5.31,4.22,1.63,1.64,2.32,1.33,2.42,1.59,3.32,1.58,2.46,1.18,,1.66,2.18,
Netherlands_Eredivisie_2025-2026,2025/2026,1,PSV,Sparta Rotterdam,2025-08-09 19:00:00,6,1,7,8,5,13,1,1,0,0,12,4,11,4,23,8,8,2,66,34,Philips Stadion,"Frederiklaan 10, Eindhoven",1,1,1.22,7.2,12.0,1.11,1.4,2.04,1.86,1.88,1.26,1.54,3.2,2.2,1.22,1.99,3.9,1.81,7,3,0,3,1,4,3,121,0,0,0,-1,2,1,2,1,6,4,3,10,0,1,1,0,1,1,1,86,34,132,84,2.91,1.04,3.95,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,13,7,1,2,8,1,7,16,0,0,0,0,2.36,1.73,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,True,True,True,True,True,13.49,7.73,1.19,1.75,2.12,,1.87,1.99,,1.30,1.80,1.10,,1.47,2.56,
Netherlands_Eredivisie_2025-2026,2025/2026,1,PEC Zwolle,Twente,2025-08-10 10:15:00,1,0,1,2,4,6,4,1,0,0,2,4,5,12,7,16,14,15,43,57,MAC³PARK Stadion,"Stadionplein 1, Zwolle",4,1,3.65,3.6,1.95,1.22,1.73,2.7,1.65,2.1,1.5,1.77,2.4,1.94,1.33,2.5,3.3,1.45,1,1,0,0,0,0,1,380,0,0,0,-1,2,1,2,2,0,2,4,2,0,1,4,0,1,4,1,46,51,97,107,0.93,1.66,2.59,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,21,29,1,15,14,1,12,6,0,0,0,0,1.73,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,False,False,False,False,False,False,2.07,3.73,3.52,1.62,2.36,1.34,2.59,1.52,3.38,1.73,2.80,1.23,2.45,1.88,1.93,1.52
Netherlands_Eredivisie_2025-2026,2025/2026,1,AZ,Groningen,2025-08-10 12:30:00,4,1,5,6,1,7,2,2,0,0,5,8,5,3,10,11,11,12,51,49,AFAS Stadion,"Stadionweg 1, Alkmaar",2,2,1.38,4.96,7.7,1.17,1.66,2.53,1.83,1.85,1.6,2.0,2.3,1.8,1.3,2.34,3.2,1.53,5,3,1,1,0,1,4,378,0,0,0,-1,2,1,4,1,2,0,5,2,2,0,0,2,2,2,1,39,37,78,96,1.27,1.53,2.8,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,18,17,1,11,11,1,7,6,0,0,0,0,1.55,1.45,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,True,True,True,False,True,9.11,5.29,1.35,1.96,1.89,,,,,1.62,2.52,1.19,2.47,1.90,1.92,1.50
Netherlands_Eredivisie_2025-2026,2025/2026,1,Ajax,Telstar,2025-08-10 12:30:00,2,0,2,8,10,18,0,0,0,0,7,5,8,13,15,18,9,12,62,38,Johan Cruijff Arena,"ArenA Boulevard 1, Amsterdam",0,0,1.15,8.8,19.0,1.07,1.33,1.95,2.0,1.73,1.52,1.85,2.4,1.89,1.19,1.96,4.33,1.8,2,1,0,1,0,1,1,120,0,0,0,-1,2,-1,4,4,4,6,8,10,0,0,0,0,0,0,1,68,36,126,59,1.93,1.74,3.67,0,0,0,0,0,0,1,1,0,0,0,1,-1,-1,1,16,9,1,12,9,1,5,7,0,0,0,0,2.17,0.91,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,False,False,False,False,False,12.47,7.78,1.20,1.86,1.98,,1.88,1.92,,1.36,1.94,1.11,2.46,1.90,1.92,1.51
Netherlands_Eredivisie_2025-2026,2025/2026,1,Utrecht,Heracles,2025-08-10 14:45:00,4,0,4,4,4,8,1,2,0,0,7,3,11,7,18,10,10,16,48,52,Stadion Galgenwaard,"Herculesplein 241, Utrecht",1,2,1.43,3.95,5.5,1.25,1.75,3.0,1.8,1.95,1.32,1.66,2.75,2.1,1.3,2.4,3.3,1.5,4,1,0,3,0,3,1,376,0,0,0,-1,2,1,4,1,0,3,5,3,0,0,1,2,0,3,1,35,34,99,79,1.88,1.09,2.97,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,23,20,1,16,10,1,7,5,0,0,0,0,1.55,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,23,True,True,True,True,False,False,False,6.27,4.32,1.55,1.88,1.97,1.35,2.72,1.48,3.33,1.79,2.94,1.25,,1.66,2.18,
Netherlands_Eredivisie_2025-2026,2025/2026,2,Telstar,PEC Zwolle,2025-08-15 18:00:00,0,2,2,7,0,7,3,3,0,0,5,3,6,7,11,10,13,10,52,48,,,3,3,2.6,3.5,2.5,1.22,1.78,2.7,1.62,2.25,1.36,1.9,2.8,2.05,1.37,2.5,2.8,1.45,2,0,1,0,1,1,1,380,0,0,0,-1,2,1,4,0,3,0,4,3,2,1,1,2,3,3,1,54,28,107,76,1.44,1.05,2.49,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,30,14,1,10,13,1,5,9,0,0,0,0,0.67,0.58,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,23,True,True,False,False,False,False,False,2.76,3.59,2.55,1.56,2.52,1.35,2.62,1.52,3.36,1.70,2.70,1.21,,1.72,2.07,
