league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under15,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05
South_Korea_K_League_1_2026,2026,1,Ulsan,Gangwon,2026-02-28 05:00:00,3,1,4,2,2,4,2,3,0,0,5,4,6,10,11,14,10,15,34,66,Ulsan Munsu Football Stadium,"3302-5 Kozukue, Kohoku-ku, Ulsan",2,3,2.2,3.0,3.0,1.38,2.17,3.9,1.85,1.85,1.73,2.63,1.98,1.59,1.5,3.1,2.41,1.32,4,2,0,1,1,2,2,3836,0,0,0,-1,2,1,1,1,1,1,2,2,1,1,1,2,2,3,1,49,99,81,152,1.4,1.89,3.29,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,19,17,1,17,13,1,9,2,0,0,0,0,3.0,0.5,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,True,False,False,True,1.86,1.97,2.87,3.04,2.77,4.04,1.38,2.24,1.78,2.02,2.25,1.62,1.33,3.40,1.50,2.67
South_Korea_K_League_1_2026,2026,1,Incheon United,FC Seoul,2026-02-28 05:00:00,1,2,3,6,3,9,0,4,0,1,2,7,6,6,8,13,14,18,55,45,Sungui Arena Park,"Dowon-dong, Jung-gu, Incheon",0,5,3.5,2.96,2.19,1.38,2.28,3.85,1.88,1.82,1.95,2.54,1.75,1.47,1.52,2.9,2.36,1.3,3,0,0,1,2,3,0,3833,0,0,0,18108,2,1,2,3,4,0,5,4,0,2,0,3,2,3,1,51,40,99,84,1.02,1.6,2.62,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,21,12,1,16,14,1,4,9,0,0,0,0,0.0,3.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,True,False,False,False,True,1.92,1.92,2.76,3.06,2.86,4.16,1.39,2.29,2.06,1.74,2.54,1.47,,,,
South_Korea_K_League_1_2026,2026,1,Sangju Sangmu,Pohang Steelers,2026-02-28 07:30:00,1,1,2,2,4,6,1,3,0,1,4,1,9,8,13,9,9,9,52,48,,,1,5,2.6,3.0,2.27,1.33,2.05,3.3,1.73,1.9,1.79,2.79,1.87,1.49,1.4,3.15,2.57,1.37,2,1,0,0,1,1,1,-1,0,0,0,-1,2,1,1,3,1,1,4,2,1,1,0,3,2,3,1,70,49,124,102,1.61,1.0,2.61,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,18,18,1,11,13,1,6,4,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,3,True,True,False,False,False,False,True,1.89,1.94,2.65,3.03,3.01,4.05,1.41,2.29,1.88,1.92,2.34,1.55,1.33,3.39,1.48,2.68
South_Korea_K_League_1_2026,2026,1,Jeonbuk Motors,Bucheon 1995,2026-03-01 05:00:00,2,3,5,4,2,6,1,3,0,0,4,3,8,4,12,7,11,12,66,34,Jeonju World Cup Stadium,"763-1 Banwol-dong, Deokjin-gu, Jeonju",1,3,1.38,4.4,7.25,1.25,1.76,2.72,2.02,1.79,2.01,2.6,1.79,1.45,1.32,2.56,3.1,1.45,5,1,1,1,2,3,2,3852,0,0,0,-1,2,1,0,0,3,2,0,5,1,1,0,2,2,2,1,70,59,124,96,1.55,1.09,2.64,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,11,19,1,11,11,1,8,6,0,0,0,0,1.5,3.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,4,True,True,True,True,True,False,True,2.02,1.83,7.54,4.67,1.43,3.12,1.27,1.84,2.02,1.79,2.62,1.45,1.44,2.83,1.38,3.12
South_Korea_K_League_1_2026,2026,1,Jeju United,Gwangju,2026-03-01 07:30:00,0,0,0,3,3,6,2,4,1,0,3,2,4,7,7,9,11,14,34,66,,,4,4,2.37,2.91,3.14,1.5,2.5,4.65,2.03,1.75,1.93,2.48,1.83,1.46,1.59,3.15,2.27,1.3,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,2,0,1,3,2,4,2,2,1,2,4,3,1,44,49,80,107,0.98,1.07,2.05,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,18,19,1,14,11,1,12,6,0,0,0,0,0.33,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,4,False,False,False,False,False,False,False,2.16,1.72,3.42,3.10,2.36,4.98,1.53,2.59,1.97,1.84,2.50,1.50,1.34,3.34,1.60,2.39
South_Korea_K_League_1_2026,2026,1,Daejeon Citizen,Anyang,2026-03-02 05:00:00,1,1,2,6,3,9,5,4,0,0,6,7,10,1,16,8,12,16,60,40,Daejeon World Cup Stadium,"270 Noeun-dong, Yuseong-gu, Daejeon",5,4,1.73,3.4,3.8,1.25,1.91,2.95,1.75,1.95,1.62,2.02,2.14,1.7,1.39,2.69,2.81,1.41,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,4,1,2,2,5,4,3,2,2,2,5,4,1,68,60,144,106,1.93,1.44,3.37,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,19,20,1,15,11,1,3,9,0,0,0,0,1.0,0.67,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,4,True,True,False,False,False,False,True,1.76,2.10,3.78,3.53,2.03,3.36,1.30,1.96,,,,,1.40,3.00,1.41,2.98
South_Korea_K_League_1_2026,2026,2,Bucheon 1995,Daejeon Citizen,2026-03-07 07:30:00,1,1,2,3,5,8,0,0,0,0,2,2,8,11,10,13,8,7,31,69,Bucheon Stadium,"San 8, Chunui-dong, Wonmi-gu, Bucheon",0,0,3.63,3.36,2.02,1.31,1.94,3.45,1.73,1.96,1.48,1.77,2.43,1.91,1.4,2.81,2.73,1.38,2,0,0,1,1,2,0,-1,0,0,0,-1,2,-1,2,3,1,2,5,3,0,0,0,0,0,0,1,43,79,79,146,1.08,1.54,2.63,1,0,1,0,0,0,1,1,0,0,0,2,-1,-1,1,16,16,1,6,8,1,8,8,0,0,0,0,0.67,2.0,0.0,0,3.0,1.0,0,0,0.0,0.0,0.0,4,True,True,False,False,False,False,True,1.80,2.07,2.08,3.41,3.84,3.42,1.31,2.01,1.72,2.09,2.15,1.68,,,,
South_Korea_K_League_1_2026,2026,2,Gwangju,Incheon United,2026-03-07 07:30:00,3,2,5,1,3,4,2,4,0,0,5,6,1,14,6,20,14,17,37,63,Gwangju World Cup Stadium,", Gwangju",2,4,2.9,2.88,2.58,1.45,2.4,4.65,2.1,1.7,1.45,1.74,2.5,1.95,1.6,3.5,2.25,1.24,5,1,1,2,1,3,2,3841,0,0,0,-1,2,1,0,2,1,0,2,1,0,2,2,2,2,4,1,39,93,106,124,1.03,2.35,3.38,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,16,31,1,15,13,1,7,0,0,0,0,0,2.0,0.5,0.0,0,1.0,0.0,0,0,0.0,0.0,0.0,4,True,True,True,True,True,False,True,2.21,1.70,2.39,2.85,3.79,5.55,1.58,2.83,1.88,1.93,2.31,1.57,,,1.61,2.38
South_Korea_K_League_1_2026,2026,2,Sangju Sangmu,Jeonbuk Motors,2026-03-08 05:00:00,1,1,2,2,2,4,1,1,0,0,3,3,5,2,8,5,8,13,51,49,,,1,1,3.25,3.2,2.31,1.23,1.86,2.94,1.55,2.08,1.67,2.18,2.07,1.65,1.4,2.69,2.73,1.41,2,0,0,1,1,2,0,-1,0,50,0,-1,2,1,1,2,1,0,3,1,0,0,1,1,0,2,1,47,51,115,114,1.07,0.91,1.98,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,10,13,1,12,10,1,5,5,0,50,0,50,1.0,1.0,1.0,0,1.0,0.0,50,0,1.61,0.0,1.61,4,True,True,False,False,False,False,True,1.77,2.11,2.30,3.22,3.48,3.49,1.31,2.05,1.77,2.03,2.25,1.62,1.40,3.08,1.43,2.94
South_Korea_K_League_1_2026,2026,2,Anyang,Jeju United,2026-03-08 07:30:00,2,1,3,5,4,9,4,1,0,0,6,2,6,3,12,5,11,14,49,51,Anyang Stadium,"1023, Bisan3-dong, Dongan-gu, Anyang",4,1,2.15,3.1,3.1,1.31,1.93,3.85,1.73,1.98,1.82,2.85,1.88,1.52,1.43,2.7,2.62,1.38,3,0,0,2,1,3,0,3848,0,0,0,-1,2,1,4,1,1,3,5,4,0,0,4,1,0,5,1,52,40,91,106,1.56,0.76,2.32,1,1,1,1,0,0,1,1,0,0,2,0,0,0,1,20,19,1,13,10,1,2,4,0,0,0,0,3.0,0.0,0.0,0,1.0,1.0,0,0,0.0,0.0,0.0,4,True,True,True,False,False,False,True,1.96,1.88,3.66,3.14,2.26,4.39,1.43,2.36,1.88,1.92,2.30,1.58,1.34,3.42,1.50,2.67
