league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_1st_half_over05,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_ft_2,pinnacle_ft_x,pinnacle_ft_1,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_btts_no,pinnacle_btts_yes
Spain_La_Liga_2025-2026,2025/2026,1,Girona FC,Rayo Vallecano,2025-08-15 17:00:00,1,3,4,2,4,6,0,1,1,0,2,5,5,11,7,16,8,17,44,56,Estadi Municipal de Montilivi,"Avenida Montlivi 141, Girona",2,1,2.26,3.15,3.3,1.36,2.15,4.0,1.85,1.97,1.52,1.85,2.46,1.85,1.4,2.95,2.55,1.34,4,0,3,1,0,1,3,291,0,0,0,-1,2,1,0,1,2,3,1,5,1,1,0,0,2,0,1,37,48,98,88,0.86,1.7,2.57,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,25,19,1,17,7,1,10,7,0,0,0,0,1.14,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,True,True,False,False,True,,5.75,44%,0%,2.29,1.40,,1.47,1.36,2.79,3.34,3.18,3.19,2.50,1.97,1.88,1.56,2.40,1.96,1.90
Spain_La_Liga_2025-2026,2025/2026,1,Villarreal,Real Oviedo,2025-08-15 19:30:00,2,0,2,10,1,11,1,1,0,1,10,4,15,1,25,5,10,8,68,32,Estadio de la Cerámica,"Plaza Labrador, Villarreal",1,2,1.41,4.6,9.1,1.25,1.85,3.1,2.23,1.65,1.58,2.4,2.22,1.72,1.35,2.6,3.02,1.43,2,2,0,0,0,0,2,76,0,0,0,-1,2,1,7,1,3,0,8,3,1,2,0,0,3,0,1,86,12,140,48,2.89,0.69,3.58,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,24,11,1,9,9,1,2,14,0,0,0,0,2.67,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,False,False,False,False,False,34.93,4.4,27%,0%,1.87,1.29,3.21,1.36,1.48,3.30,2.76,8.82,4.91,1.40,2.07,1.76,1.64,2.26,1.70,2.23
Spain_La_Liga_2025-2026,2025/2026,1,RCD Mallorca,FC Barcelona,2025-08-16 17:30:00,0,3,3,3,6,9,3,1,2,0,1,8,3,16,4,24,8,17,29,71,,,6,1,8.5,5.5,1.33,1.13,1.44,2.45,1.75,1.95,1.38,1.65,2.95,2.1,1.22,2.1,3.8,1.77,3,0,2,0,1,1,2,83,0,0,0,-1,2,1,2,0,1,6,2,7,5,1,0,0,6,0,1,24,84,54,126,0.5,2.67,3.18,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,18,14,1,20,8,1,9,4,0,0,0,0,1.5,1.86,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,True,False,False,False,False,,1.9,41%,6%,1.47,,2.16,,1.72,,2.14,1.35,5.60,9.08,1.76,2.08,,,2.11,1.79
Spain_La_Liga_2025-2026,2025/2026,1,Valencia CF,Real Sociedad,2025-08-16 19:30:00,1,1,2,8,7,15,1,2,0,0,2,3,16,10,18,13,5,11,54,46,Estadio de Mestalla,"Avenida de Suecia, Valencia",1,2,2.3,3.03,3.1,1.44,2.85,5.0,2.05,1.77,1.5,1.83,2.4,1.91,1.55,4.07,2.3,1.22,2,0,0,1,1,2,0,-1,0,0,0,-1,2,1,2,3,6,4,5,10,1,1,0,1,2,1,1,53,41,92,66,1.65,1.32,2.98,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,17,19,1,13,4,1,12,5,0,0,0,0,1.57,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,False,False,False,False,True,,5.53,39%,84%,2.67,1.52,,,,,,3.34,3.00,2.53,1.97,1.87,1.57,2.38,1.77,2.14
Spain_La_Liga_2025-2026,2025/2026,1,Deportivo Alavés,Levante UD,2025-08-16 19:30:00,2,1,3,10,1,11,0,1,0,0,4,3,11,4,15,7,15,13,62,38,Estadio de Mendizorroza,"Paseo de Cervantes, Vitoria-Gasteiz",0,1,2.09,3.15,3.95,1.47,2.6,5.2,2.1,1.67,1.46,2.06,2.54,1.9,1.53,3.3,2.1,1.29,3,1,0,1,1,2,1,277,0,0,0,-1,2,1,4,1,6,0,5,6,0,1,0,0,1,0,1,66,26,125,74,1.71,0.85,2.56,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,26,21,1,15,14,1,5,16,0,0,0,0,1.57,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13,True,True,True,False,False,False,True,,9.22,90%,20%,2.60,1.51,,1.56,,2.56,,4.18,3.17,2.11,1.93,1.92,1.53,2.46,1.74,2.18
Spain_La_Liga_2025-2026,2025/2026,1,Celta de Vigo,Getafe CF,2025-08-17 15:00:00,0,2,2,9,3,12,3,2,0,0,3,3,8,7,11,10,15,17,69,31,,,3,2,1.78,3.25,6.0,1.51,2.64,4.75,2.37,1.57,1.75,2.94,1.91,1.58,1.56,3.94,2.3,1.29,2,0,0,0,2,2,0,293,0,0,0,-1,2,1,3,2,6,1,5,7,0,1,3,1,1,4,1,69,30,135,70,1.42,1.06,2.48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,14,1,17,15,1,5,11,0,0,0,0,0.71,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,False,False,False,False,False,,12.66,69%,0%,2.64,1.53,,,,,,6.35,3.45,1.71,2.49,1.52,1.95,1.90,1.58,2.49
Spain_La_Liga_2025-2026,2025/2026,1,Athletic Club Bilbao,Sevilla FC,2025-08-17 17:30:00,3,2,5,10,1,11,0,2,0,0,3,6,11,6,14,12,8,12,46,54,San Mamés Barria,"Rafael Moreno Pitxitxi Kalea, Bilbao",0,2,1.58,3.95,6.4,1.36,2.2,3.6,2.3,1.62,1.59,2.08,2.25,1.65,1.4,3.26,2.73,1.36,5,2,0,1,2,3,2,285,0,0,0,-1,2,1,7,0,3,1,7,4,0,2,0,0,2,0,1,48,28,99,86,1.44,1.39,2.83,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,21,17,1,11,8,1,5,4,0,0,0,0,1.86,1.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,True,True,True,False,True,,14,72%,75%,2.27,1.41,,1.48,1.34,2.73,3.40,6.95,3.93,1.58,2.04,1.79,1.62,2.30,1.67,2.29
Spain_La_Liga_2025-2026,2025/2026,1,RCD Espanyol,Atlético Madrid,2025-08-17 19:30:00,2,1,3,1,3,4,3,3,0,0,5,4,4,11,9,15,14,11,40,60,RCDE Stadium,"Avenida Baix Llobregat 100, Cornella de Llobregat",3,3,6.8,4.0,1.63,1.27,2.03,3.5,1.91,1.85,1.65,2.0,2.2,1.72,1.45,2.91,3.06,1.43,3,0,1,2,0,2,1,280,0,0,0,-1,2,1,1,3,0,0,4,0,0,1,3,2,1,5,1,49,55,85,114,1.28,1.63,2.91,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,12,10,1,12,12,1,8,6,0,0,0,0,1.86,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,True,False,False,False,True,,4.61,64%,20%,2.04,1.34,3.68,1.41,1.43,3.06,2.97,1.63,3.94,6.07,2.08,1.76,1.65,2.25,1.85,2.03
Spain_La_Liga_2025-2026,2025/2026,1,Elche CF,Real Betis,2025-08-18 19:00:00,1,1,2,1,3,4,0,1,0,0,2,4,4,8,6,12,14,13,68,32,Estadio Manuel Martínez Valero,"Avenida Manuel Martínez Valero 3, Elche",0,1,3.29,3.0,2.29,1.38,2.05,3.74,1.85,1.83,1.56,1.89,2.25,1.85,1.44,3.1,2.6,1.33,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,1,1,0,2,2,2,0,0,0,1,0,1,1,59,29,131,62,0.96,1.25,2.21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,13,11,1,12,17,1,5,7,0,0,0,0,2.0,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,True,False,False,False,False,True,,10,75%,0%,2.31,1.41,,1.49,1.34,2.73,3.43,2.39,3.21,3.35,2.14,1.72,1.67,2.21,1.93,1.93
Spain_La_Liga_2025-2026,2025/2026,1,Real Madrid,CA Osasuna,2025-08-19 19:00:00,1,0,1,7,0,7,1,0,0,1,5,0,13,2,18,2,10,12,71,29,Estadio Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín, Madrid",1,2,1.1,7.1,12.0,1.15,1.49,2.15,2.07,1.68,1.37,1.52,2.97,2.21,1.25,2.19,3.6,1.55,1,0,0,1,0,1,0,84,0,0,0,-1,2,1,3,0,4,0,3,4,0,0,1,1,0,2,1,89,20,167,61,2.14,0.28,2.42,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,20,16,1,11,10,1,3,11,0,0,0,0,3.0,0.14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,True,False,False,False,False,False,False,,11.5,26%,0%,1.45,,2.17,,1.73,,2.15,12.16,7.30,1.22,1.59,2.33,,,1.79,2.06
Spain_La_Liga_2025-2026,2025/2026,2,Real Betis,Deportivo Alavés,2025-08-22 19:30:00,1,0,1,5,2,7,2,3,0,0,5,5,11,6,16,11,10,17,49,51,,,2,3,1.85,3.4,4.36,1.39,2.3,4.33,2.0,1.7,1.58,2.44,2.3,1.73,1.49,2.9,2.5,1.3,1,1,0,0,0,0,1,284,0,0,0,-1,2,1,3,1,2,1,4,3,0,1,2,2,1,4,1,40,37,102,120,1.65,1.33,2.98,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,15,19,1,17,10,1,8,9,0,0,0,0,2.0,0.67,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,12,True,False,False,False,False,False,False,32.88,6.34,27%,0%,2.27,1.41,,1.49,1.35,2.73,3.41,4.78,3.51,1.87,2.14,1.71,1.65,2.24,1.79,2.08
Spain_La_Liga_2025-2026,2025/2026,2,RCD Mallorca,Celta de Vigo,2025-08-23 15:00:00,1,1,2,3,4,7,3,3,0,0,4,2,8,6,12,8,12,12,50,50,,,3,3,3.25,3.35,2.22,1.36,2.25,4.2,2.0,1.91,1.85,2.3,1.91,1.58,1.48,3.4,2.5,1.32,2,0,1,1,0,1,1,-1,0,0,0,-1,2,1,0,2,3,2,2,5,1,0,2,3,1,5,1,37,24,105,78,1.31,0.83,2.14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,16,1,12,12,1,6,9,50,50,50,50,1.5,1.83,0.0,0.0,0.0,0.0,0,0,0.5,0.0,0.5,12,True,True,False,False,False,False,True,26.08,6.15,57%,2%,2.15,1.37,,1.46,1.34,2.76,3.29,2.29,3.38,3.39,2.38,1.57,1.85,1.99,1.96,1.91
Spain_La_Liga_2025-2026,2025/2026,2,Atlético Madrid,Elche CF,2025-08-23 17:30:00,1,1,2,10,2,12,0,3,0,0,6,2,7,4,13,6,14,7,58,42,Estadio Wanda Metropolitano,"Rosas, Madrid",0,3,1.25,5.97,12.0,1.25,1.81,3.02,2.35,1.56,1.67,2.07,2.15,1.63,1.33,2.5,3.12,1.46,2,1,1,0,0,0,2,-1,0,0,0,-1,2,1,7,1,3,1,8,4,0,2,0,1,2,1,1,72,18,130,86,1.77,0.66,2.43,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,20,14,1,7,14,1,5,10,0,0,0,0,2.71,0.5,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,12,True,True,False,False,False,False,True,30.71,6.15,26%,0%,1.71,1.27,2.84,1.34,1.49,3.32,2.63,11.81,6.31,1.26,2.26,1.64,1.77,2.06,1.60,2.39
Spain_La_Liga_2025-2026,2025/2026,2,Levante UD,FC Barcelona,2025-08-23 19:30:00,2,3,5,0,11,11,3,1,0,0,5,10,3,16,8,26,10,8,18,82,Estadio Ciudad de Valencia,"Calle San Vicente de Paúl 44, Valencia",3,1,10.0,6.8,1.25,1.09,1.33,2.0,1.81,2.1,1.44,1.73,2.6,2.0,1.2,1.85,4.33,1.84,5,2,0,0,3,3,2,83,0,0,0,-1,2,1,0,5,0,6,5,6,1,1,2,0,2,2,1,13,92,22,136,0.94,3.0,3.94,1,0,1,0,0,0,1,1,0,0,0,3,0,0,1,15,18,1,7,10,1,10,2,50,50,50,50,0.2,1.86,0.0,3.0,0.0,3.0,0,0,0.0,2.67,2.67,13,True,True,True,True,True,False,True,27.48,7.3,65%,25%,1.33,,1.85,,1.95,,1.88,1.22,7.60,11.53,1.64,2.26,,,2.02,1.83
Spain_La_Liga_2025-2026,2025/2026,2,CA Osasuna,Valencia CF,2025-08-24 15:00:00,1,0,1,3,4,7,2,1,0,1,4,1,12,3,16,4,14,13,56,44,Estadio El Sadar,"Carretera El Sadar, Iruñea",2,3,2.27,3.2,3.6,1.44,2.33,4.33,1.96,1.75,1.71,2.1,2.05,1.76,1.52,3.24,2.53,1.3,1,1,0,0,0,0,1,287,0,0,0,-1,2,1,2,3,1,1,5,2,1,1,1,1,2,2,1,59,32,99,79,1.71,0.57,2.28,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,15,21,1,13,14,1,6,11,0,0,0,0,2.0,0.33,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,12,True,False,False,False,False,False,False,33.1,6.29,26%,57%,2.33,1.41,,1.48,1.33,2.65,3.45,3.60,3.21,2.28,,,,,1.91,1.96
Spain_La_Liga_2025-2026,2025/2026,2,Real Sociedad,RCD Espanyol,2025-08-24 17:30:00,2,2,4,5,2,7,2,2,0,0,7,3,8,11,15,14,16,18,62,38,Estadio Municipal de Anoeta,"Paseo de Anoeta 1, Donostia-San Sebastián",2,2,1.6,3.4,4.8,1.35,2.19,4.0,2.06,1.67,1.42,1.76,2.49,1.82,1.4,3.0,2.69,1.33,4,0,2,2,0,2,2,-1,0,0,0,-1,2,1,1,2,4,0,3,4,0,1,2,1,1,3,1,45,40,101,89,1.77,1.38,3.15,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,19,21,1,18,15,1,9,10,0,0,0,0,1.67,1.0,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,12,True,True,True,True,False,False,True,28.66,3.5,46%,43%,2.01,1.32,3.60,1.41,1.39,2.95,3.02,4.72,3.51,1.88,1.90,1.83,1.47,2.34,1.96,1.90
Spain_La_Liga_2025-2026,2025/2026,2,Villarreal,Girona FC,2025-08-24 17:30:00,5,0,5,8,1,9,1,2,0,0,7,2,12,3,19,5,8,9,53,47,Estadio de la Cerámica,"Plaza Labrador, Villarreal",1,2,1.39,4.35,5.8,1.19,1.72,2.63,1.62,1.98,1.61,2.0,2.15,1.71,1.29,2.4,3.1,1.54,5,4,0,1,0,1,4,76,0,0,0,-1,2,1,4,1,4,0,5,4,0,0,1,2,0,3,1,53,35,95,96,2.07,0.72,2.79,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,15,15,1,9,8,1,6,10,0,50,50,50,2.67,0.4,3.0,0.0,3.0,0.0,50,0,2.89,0.0,2.89,12,True,True,True,True,True,False,False,30.77,4.54,44%,44%,,,,,1.53,,2.53,6.74,4.56,1.50,,,,,2.02,1.85
Spain_La_Liga_2025-2026,2025/2026,2,Real Oviedo,Real Madrid,2025-08-24 19:30:00,0,3,3,1,9,10,2,1,0,0,3,10,3,16,6,26,8,7,35,65,Estadio Nuevo Carlos Tartiere,"Calle de Ricardo Vázquez Prada, Barrio de la Ería, Oviedo",2,1,9.5,5.25,1.3,1.23,1.7,2.7,1.93,1.75,1.45,1.96,3.2,2.3,1.29,2.4,3.3,1.5,3,0,1,0,2,2,1,84,0,0,0,-1,2,1,0,6,1,3,6,4,0,0,2,1,0,3,1,27,91,57,158,0.79,3.0,3.78,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,17,17,1,7,8,1,12,4,0,0,0,0,0.67,2.17,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,12,True,True,True,False,False,False,False,25.52,3.57,52%,84%,1.86,1.28,3.14,1.34,1.51,3.31,2.59,1.32,5.51,10.33,,,,,1.63,2.33
Spain_La_Liga_2025-2026,2025/2026,2,Athletic Club Bilbao,Rayo Vallecano,2025-08-25 17:30:00,1,0,1,3,6,9,0,4,0,0,4,1,7,5,11,6,13,13,41,59,San Mamés Barria,"Rafael Moreno Pitxitxi Kalea, Bilbao",0,4,1.67,3.7,5.5,1.35,2.2,3.9,2.0,1.7,1.45,1.77,2.55,1.9,1.45,3.12,2.55,1.33,1,0,0,1,0,1,0,285,0,100,0,-1,2,1,3,4,0,2,7,2,0,2,0,2,2,2,1,59,44,96,90,1.4,0.78,2.18,1,0,1,0,0,0,1,1,0,0,0,2,0,0,1,12,21,1,12,13,1,6,11,100,100,100,100,1.86,1.29,3.0,3.0,3.0,3.0,0,0,1.44,1.7,3.14,12,True,False,False,False,False,False,False,29.05,4.28,46%,3%,2.20,1.38,,1.46,1.35,2.77,3.27,5.35,3.51,1.79,2.03,1.81,1.58,2.36,1.81,2.05
Spain_La_Liga_2025-2026,2025/2026,2,Sevilla FC,Getafe CF,2025-08-25 19:30:00,1,2,3,5,3,8,2,2,0,0,3,6,9,3,12,9,10,24,71,29,Estadio Ramón Sánchez Pizjuán,"Avenida de Eduardo Dato, Sevilla",2,2,2.15,3.08,4.11,1.51,2.65,5.0,2.3,1.67,2.01,2.67,1.75,1.41,1.62,3.6,2.35,1.27,3,1,1,0,1,1,2,293,0,0,0,-1,2,1,1,2,4,1,3,5,0,0,2,2,0,4,1,71,25,130,81,1.49,1.18,2.67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,21,24,1,24,10,1,1,11,0,50,0,0,1.17,1.29,0.0,3.0,0.0,3.0,50,0,0.0,1.06,1.06,12,True,True,True,False,False,False,True,32.22,5.59,27%,93%,2.93,1.64,,1.63,,2.33,,4.23,3.15,2.11,2.61,1.48,2.01,1.83,1.58,2.43
