league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_2,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under05,pinnacle_1st_half_over05,pinnacle_corners_over_85,pinnacle_corners_under_85
Sweden_Allsvenskan_2025,2025,1,Djurgården,Malmö FF,2025-03-29 14:00:00,0,1,1,7,3,10,2,6,0,0,1,2,16,7,17,9,11,18,55,45,Tele2 Arena,"Johanneshov, Stockholm",2,6,2.63,2.98,2.48,1.32,2.14,3.71,1.75,1.95,1.42,1.66,2.83,2.22,1.42,2.9,2.6,1.35,1,0,1,0,0,0,1,656,0,0,0,-1,2,1,0,1,7,2,1,9,2,4,0,2,6,2,1,77,34,107,86,1.7,0.96,2.66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,28,13,1,18,11,1,4,12,0,0,0,0,1.67,1.6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,2.69,2.80,3.29,3.80,1.34,2.15,3.18,1.38,1.83,2.03,,,2.87,1.44,,
Sweden_Allsvenskan_2025,2025,1,Häcken,Brommapojkarna,2025-03-29 16:30:00,2,0,2,7,5,12,3,1,0,0,6,6,8,7,14,13,13,12,67,33,Bravida Arena,"Inlandsgatan 48, Göteborg",3,1,1.61,4.0,5.07,1.17,1.57,2.5,1.6,2.2,1.19,1.46,3.78,2.74,1.25,2.54,3.2,1.55,2,0,0,2,0,2,0,664,0,0,0,-1,2,1,2,3,5,2,5,7,2,1,1,0,3,1,1,84,27,148,67,1.92,1.44,3.36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,24,12,1,12,13,1,6,9,0,0,0,0,1.07,1.27,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,5.13,1.64,4.30,2.75,1.23,1.73,2.54,1.55,1.79,2.09,,,,,,
Sweden_Allsvenskan_2025,2025,1,Elfsborg,Mjällby,2025-03-30 12:00:00,2,2,4,7,5,12,2,0,0,0,4,4,14,7,18,11,12,9,46,54,Borås Arena,"Ălgårdsvägen 32, Borås",2,0,2.15,3.0,3.48,1.39,2.25,4.11,1.9,1.91,1.25,1.64,2.9,2.42,1.48,3.0,2.5,1.33,4,0,2,2,0,2,2,-1,0,0,0,-1,2,1,2,3,5,2,5,7,0,0,2,0,0,2,1,75,43,112,82,1.95,1.29,3.24,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,12,16,1,9,12,1,3,13,0,0,0,0,1.6,2.53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,True,3.51,2.26,3.26,4.11,1.39,2.25,3.34,1.35,1.94,1.91,1.64,2.22,2.78,1.47,,
Sweden_Allsvenskan_2025,2025,1,Hammarby,IFK Göteborg,2025-03-30 12:00:00,4,0,4,8,3,11,1,3,0,0,10,1,11,4,21,5,11,15,56,44,Tele2 Arena,"Johanneshov, Stockholm",1,3,1.98,3.5,3.45,1.25,1.8,2.85,1.67,2.2,1.24,1.64,3.72,2.45,1.36,2.6,2.88,1.48,4,2,0,2,0,2,2,655,0,0,0,-1,2,1,4,0,4,3,4,7,0,2,1,1,2,2,1,58,34,109,85,2.44,0.64,3.08,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,23,18,1,14,11,1,4,7,0,0,0,0,2.47,1.93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,False,4.20,1.94,3.55,3.07,1.26,1.83,2.82,1.46,1.71,2.20,,,3.20,1.37,,
Sweden_Allsvenskan_2025,2025,1,Norrköping,Öster,2025-03-30 14:30:00,4,3,7,8,10,18,3,3,1,0,8,5,8,4,16,9,15,16,52,48,,,4,3,1.93,3.65,3.4,1.22,1.81,2.78,1.55,2.2,1.25,1.54,3.99,2.8,1.3,2.65,3.0,1.44,7,2,1,2,2,4,3,125,0,0,0,-1,2,1,5,2,3,8,7,11,1,1,3,2,2,5,1,44,43,83,78,1.88,1.23,3.12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,18,23,1,16,15,1,8,8,0,0,0,0,1.07,0.93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,True,True,True,3.77,2.01,3.69,2.99,1.25,1.82,2.72,1.48,1.70,2.23,1.48,2.55,3.33,1.35,,
Sweden_Allsvenskan_2025,2025,1,Halmstad,Degerfors,2025-03-30 14:30:00,0,5,5,5,5,10,2,4,0,0,4,9,3,10,7,19,13,13,62,38,,,2,4,2.2,3.0,3.2,1.4,2.53,4.65,2.0,1.7,1.45,1.67,2.65,2.07,1.58,3.71,2.4,1.28,5,0,1,0,4,4,1,680,0,0,0,-1,2,1,2,4,3,1,6,4,0,2,2,2,2,4,1,29,35,85,54,0.94,2.07,3.01,0,2,0,2,0,0,1,1,0,0,0,2,0,0,1,13,20,1,13,11,1,8,3,0,0,0,0,1.2,1.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,True,False,False,3.54,2.33,3.11,4.66,1.50,2.51,3.41,1.34,2.12,1.76,,,2.54,1.55,,
Sweden_Allsvenskan_2025,2025,1,Värnamo,Sirius,2025-03-31 17:00:00,1,2,3,4,3,7,3,0,0,0,4,4,9,3,13,7,20,11,50,50,Finnvedsvallen,"Sandgatan, Värnamo",3,0,2.26,3.25,3.3,1.33,2.01,3.53,1.82,1.95,1.3,1.66,3.49,2.5,1.4,2.8,2.86,1.38,3,0,0,1,2,3,0,662,0,0,0,-1,2,1,1,2,3,1,3,4,0,0,3,0,0,3,1,40,40,87,106,1.39,1.03,2.42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,33,19,1,11,20,1,8,6,0,0,0,0,0.73,1.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,3.30,2.27,3.45,3.53,1.33,2.05,3.04,1.40,1.82,2.05,1.53,2.42,3.00,1.41,,
Sweden_Allsvenskan_2025,2025,1,GAIS,AIK,2025-03-31 17:10:00,0,1,1,4,8,12,3,4,0,0,2,2,9,8,11,10,16,12,52,48,,,3,4,2.7,3.0,2.6,1.53,2.6,4.7,1.73,1.67,1.28,1.5,3.35,2.38,1.5,3.6,2.4,1.25,1,0,0,0,1,1,0,661,0,0,0,-1,2,1,1,4,3,4,5,7,1,0,2,4,1,6,1,70,27,126,71,1.35,0.97,2.32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,28,17,1,12,16,1,5,10,0,0,0,0,1.87,1.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,2.99,2.79,2.93,5.30,1.57,2.76,3.40,1.34,2.18,1.72,1.69,2.14,2.40,1.61,,
Sweden_Allsvenskan_2025,2025,2,Sirius,Djurgården,2025-04-05 13:00:00,0,1,1,3,4,7,1,1,0,0,2,7,7,10,9,17,14,17,52,48,Studenternas IP,"Ulleråkersvägen 6, Uppsala",1,1,3.5,3.07,2.5,1.27,1.9,2.8,1.67,2.08,1.47,1.75,2.56,1.96,1.37,2.64,3.12,1.4,1,0,0,0,1,1,0,659,0,0,0,-1,2,1,1,2,2,2,3,4,1,0,0,1,1,1,1,43,60,105,101,1.03,1.99,3.02,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,17,14,1,9,10,0,0,0,0,1.53,1.6,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,2.26,3.31,3.46,3.16,1.27,1.90,2.91,1.43,1.69,2.23,1.80,2.01,3.09,1.40,1.47,2.56
Sweden_Allsvenskan_2025,2025,2,IFK Göteborg,Halmstad,2025-04-05 13:00:00,1,0,1,4,2,6,0,2,0,0,3,1,8,1,11,2,13,24,67,33,,,0,2,1.47,3.63,6.95,1.25,1.91,3.3,1.95,1.8,1.3,1.49,3.3,2.27,1.32,3.0,2.9,1.37,1,0,0,1,0,1,0,665,0,0,0,-1,2,1,2,1,2,1,3,3,0,0,0,2,0,2,1,52,28,124,73,1.29,0.41,1.71,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,24,13,1,4,13,0,0,0,0,1.47,1.13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,7.29,1.48,4.41,3.39,1.31,1.98,3.00,1.41,2.12,1.76,1.60,2.27,3.03,1.41,,
