league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_corners_over_85,pinnacle_corners_under_95,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_ft_2,pinnacle_ft_1,pinnacle_ft_x,pinnacle_btts_yes,pinnacle_btts_no
Turkey_Süper_Lig_2025-2026,2025/2026,1,Gaziantep FK,Galatasaray,2025-08-08 18:30:00,0,3,3,1,4,5,2,4,1,0,2,5,3,10,5,15,14,15,40,60,Gaziantep Stadyumu,"Yukarıbeylerbeyi Mah. 15 Nolu Sok., Şehitkamil, Gaziantep",4,4,7.1,4.8,1.43,1.17,1.52,2.35,1.7,2.0,1.4,1.71,2.64,1.86,1.25,2.2,3.6,1.6,3,0,3,0,0,0,3,187,0,0,0,-1,2,1,1,1,0,3,2,3,2,3,1,1,5,2,1,22,45,58,86,0.62,1.62,2.24,0,2,0,2,0,0,1,1,0,0,0,1,0,0,1,14,17,1,15,12,1,12,6,0,0,0,0,1.23,2.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,False,1.54,2.34,1.17,2.31,1.64,,,,2.11,,1.69,1.43,7.14,4.97,1.74,2.16
Turkey_Süper_Lig_2025-2026,2025/2026,1,Samsunspor,Gençlerbirliği,2025-08-09 16:00:00,2,1,3,2,3,5,1,0,0,0,3,1,6,7,9,8,12,12,62,38,Stadyum Samsun,"Sanayi Mahallesi, Tekkeköy, Samsun",1,0,1.7,3.75,4.5,1.29,1.8,3.02,1.79,2.0,1.66,2.07,2.15,1.7,1.36,2.6,2.9,1.43,3,1,0,1,1,2,1,350,0,0,0,-1,2,1,1,2,1,1,3,2,0,0,1,0,0,1,1,37,25,124,61,1.06,0.76,1.82,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,23,17,1,11,12,1,3,10,0,0,0,0,1.25,0.46,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,True,1.95,3.29,1.30,2.90,1.42,1.38,3.08,,,,,4.93,1.76,3.78,1.87,1.99
Turkey_Süper_Lig_2025-2026,2025/2026,1,Antalyaspor,Kasımpaşa,2025-08-09 18:30:00,2,1,3,3,3,6,3,4,0,0,6,2,10,8,16,10,12,21,37,63,Antalya Stadyumu,"100. Yıl Bulvarı, Antalya",3,4,2.7,3.5,2.37,1.32,1.7,2.6,1.75,2.1,1.65,1.9,2.25,1.8,1.33,2.4,3.0,1.39,3,2,1,0,0,0,3,195,0,0,0,-1,2,1,3,0,0,3,3,3,2,0,1,4,2,5,1,24,41,64,88,1.6,1.07,2.67,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,16,27,1,21,12,1,9,8,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,True,2.02,3.38,1.31,3.09,1.39,1.43,2.92,1.57,1.84,2.31,1.97,2.90,2.60,3.30,1.75,2.14
Turkey_Süper_Lig_2025-2026,2025/2026,1,Rizespor,Göztepe,2025-08-10 16:00:00,0,3,3,3,5,8,2,1,0,0,1,4,12,13,13,17,9,14,56,44,Çaykur Didi Stadyumu,"Karadeniz Sahli Yolu Yanyolu, Rize",2,1,2.03,3.44,3.4,1.27,1.86,2.92,1.62,2.29,1.5,1.85,2.35,1.83,1.33,2.5,3.0,1.48,3,0,0,0,3,3,0,357,0,0,0,-1,2,1,2,5,1,0,7,1,1,1,1,0,2,1,1,33,66,76,118,1.13,1.83,2.96,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,16,1,14,9,1,12,9,0,0,0,0,1.31,1.46,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,False,1.81,2.95,1.25,2.81,1.46,1.37,3.20,1.50,1.95,2.49,1.86,3.81,2.04,3.54,1.66,2.29
Turkey_Süper_Lig_2025-2026,2025/2026,1,Eyüpspor,Konyaspor,2025-08-10 18:30:00,1,4,5,8,7,15,2,1,0,0,3,5,13,11,16,16,9,12,63,37,Eyüp Stadı,"Hz. Halid Bulvarı, İstanbul",2,1,2.4,3.11,3.06,1.39,2.0,3.45,1.8,2.0,1.58,1.9,2.3,1.75,1.4,3.15,2.85,1.4,5,0,3,1,1,2,3,194,0,0,0,-1,2,1,1,3,7,4,4,11,0,0,2,1,0,3,1,61,41,89,59,1.66,1.65,3.3,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,19,20,1,12,8,1,4,14,0,0,0,0,1.0,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,True,True,False,True,2.22,3.91,1.39,3.26,1.36,1.46,2.81,,,,,3.14,2.50,3.18,1.85,2.00
Turkey_Süper_Lig_2025-2026,2025/2026,1,Trabzonspor,Kocaelispor,2025-08-11 18:30:00,1,0,1,3,5,8,2,0,0,0,1,2,10,10,11,12,9,16,56,44,,,2,0,1.46,4.0,6.32,1.24,1.73,2.8,1.81,2.05,1.53,2.33,2.3,1.8,1.34,2.4,3.0,1.48,1,0,0,1,0,1,0,185,0,0,0,-1,2,1,1,2,2,3,3,5,1,0,1,0,1,1,1,34,44,92,96,1.02,1.22,2.24,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,21,28,1,16,9,1,8,13,0,0,0,0,2.08,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,True,False,False,False,False,False,False,1.71,2.74,1.24,2.61,1.51,1.34,3.34,1.61,1.78,2.27,2.02,6.15,1.56,4.26,1.78,2.10
Turkey_Süper_Lig_2025-2026,2025/2026,2,Galatasaray,Fatih Karagümrük,2025-08-15 18:30:00,3,0,3,10,3,13,0,1,0,1,8,2,20,4,28,6,11,12,72,28,,,0,3,1.07,7.75,16.0,1.11,1.33,1.85,2.0,1.75,1.36,1.7,2.62,2.09,1.2,1.88,4.0,1.8,3,1,0,2,0,2,1,187,0,0,0,-1,2,1,6,3,4,0,9,4,0,1,0,1,1,1,1,74,15,121,57,2.85,0.63,3.48,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,19,13,1,12,11,1,7,23,0,0,0,0,2.54,0.38,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,25,True,True,True,False,False,False,False,1.32,1.86,1.11,1.95,1.90,,,,2.17,,1.67,19.20,1.13,9.87,2.20,1.70
Turkey_Süper_Lig_2025-2026,2025/2026,2,Kocaelispor,Samsunspor,2025-08-16 16:00:00,0,1,1,4,7,11,2,2,1,0,5,5,8,8,13,13,10,16,39,61,İsmetpaşa Stadyumu,"Ankara Caddesi, Kocaeli, İzmit",4,2,2.5,3.25,2.75,1.35,2.07,3.5,1.8,1.9,1.72,2.05,2.08,1.67,1.4,2.88,2.76,1.39,1,0,0,0,1,1,0,350,0,0,0,-1,2,1,3,4,1,3,7,4,1,1,2,1,2,3,1,25,30,87,73,1.36,1.39,2.75,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,20,18,1,16,10,1,17,5,0,0,0,0,1.62,1.31,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,25,True,False,False,False,False,False,False,2.13,3.83,1.35,,,,,,,,,2.97,2.49,3.39,1.81,2.06
Turkey_Süper_Lig_2025-2026,2025/2026,2,Alanyaspor,Rizespor,2025-08-16 18:30:00,0,0,0,3,1,4,1,2,0,0,1,3,8,4,9,7,22,14,43,57,Bahçeşehir Okulları Stadyumu,"Sarıkadıoğlu Caddesi, Oba, Obaköy, Alanya",1,2,2.43,3.43,3.01,1.25,1.86,2.9,1.67,2.17,1.8,2.3,1.91,1.55,1.35,2.6,2.9,1.48,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,2,0,1,1,2,2,1,0,0,2,1,2,1,30,42,85,110,0.86,0.97,1.83,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17,12,1,14,22,1,10,5,0,0,0,0,1.23,1.08,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,25,False,False,False,False,False,False,False,1.84,3.00,1.25,2.84,1.45,1.38,3.15,1.66,1.71,2.17,2.10,3.02,2.44,3.44,1.64,2.33
Turkey_Süper_Lig_2025-2026,2025/2026,2,Göztepe,Fenerbahçe,2025-08-16 18:30:00,0,0,0,3,6,9,5,4,2,1,2,1,10,11,12,12,24,13,40,60,,,7,5,4.0,3.85,1.98,1.17,2.0,3.4,1.8,1.91,1.57,1.85,2.0,1.83,1.3,2.98,2.8,1.39,0,0,0,0,0,0,0,-1,0,0,0,-1,2,1,1,3,2,3,4,5,2,2,5,3,4,8,1,35,36,87,89,1.16,1.09,2.25,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,18,18,1,13,23,1,9,5,0,0,0,0,1.92,2.23,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,25,False,False,False,False,False,False,False,2.07,3.53,1.33,3.13,1.39,1.44,2.90,1.53,1.84,2.41,1.97,1.94,4.15,3.58,1.85,2.00
