league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x
Uruguay_Primera_División_2025,2025,1,Cerro Largo,Juventud,2025-01-31 22:00:00,1,1,2,2,2,4,1,3,0,0,3,6,8,4,11,10,-1,-1,46,54,Estadio Municipal Arquitecto Antonio Eleuterio Ubilla,"Calle José Batlle y Ordóñez 695 esc. 101, Melo",1,3,1.75,3.2,4.75,1.45,2.3,4.49,2.1,1.67,1.52,1.92,2.32,1.75,1.5,3.5,2.5,1.29,2,0,0,1,1,2,0,-1,1,0,0,-1,2,1,2,0,0,2,2,2,0,0,1,3,0,4,1,73,54,94,114,1.43,1.45,2.88,0,1,0,0,0,1,1,1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.32,1.65,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,False,False,False,False,True,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Defensor Sporting,Boston River,2025-02-01 00:30:00,2,0,2,3,4,7,1,1,0,0,4,3,7,6,11,9,-1,-1,50,50,Estadio Luis Franzini,"Avenida Dr. Julio Herrera y Reissig 687 esq. Avenida Sarmiento, Parque Rodó, Montevideo",1,1,2.3,3.0,3.2,1.4,2.25,4.31,1.91,1.8,1.5,1.95,2.28,1.77,1.5,3.5,2.5,1.29,2,1,0,1,0,1,1,4361,1,0,0,-1,2,1,3,0,0,4,3,4,1,0,0,1,1,1,1,37,47,101,118,1.25,1.13,2.38,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.65,1.49,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Danubio,Liverpool FC Montevideo,2025-02-01 20:00:00,1,1,2,2,5,7,0,1,0,0,2,2,7,2,9,4,-1,-1,50,50,Estadio Jardines del Hipódromo,"Avenida Dr. Carlos Nery esq. Avenida Acrópolis, Montevideo",0,1,2.25,3.0,3.2,1.45,2.4,4.47,2.1,1.67,1.7,1.85,2.05,1.85,1.57,3.75,2.25,1.25,2,1,1,0,0,0,2,-1,1,0,0,-1,2,1,2,4,0,1,6,1,0,0,0,1,0,1,1,63,74,130,113,1.18,0.94,2.12,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.16,1.71,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,False,False,False,False,True,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Progreso,Peñarol,2025-02-01 23:00:00,1,3,4,5,3,8,3,3,0,0,3,5,4,3,7,8,-1,-1,47,53,,,3,3,9.0,4.5,1.3,1.28,1.9,3.01,2.38,1.53,1.61,2.05,2.07,1.7,1.4,2.75,2.75,1.4,4,0,1,1,2,3,1,4358,1,0,0,-1,2,1,4,2,1,1,6,2,0,1,3,2,1,5,1,46,43,96,121,0.99,1.18,2.18,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.05,2.02,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,True,True,False,False,True,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Miramar Misiones,Plaza Colonia,2025-02-02 20:00:00,0,1,1,2,5,7,2,2,0,0,2,3,5,8,7,11,-1,-1,59,41,Parque Luis Méndez Piana,"Avenida Ramón V. Benzano, Montevideo",2,2,2.35,3.1,2.9,3.03,2.5,4.5,2.1,1.67,1.53,1.95,2.21,1.77,1.57,3.75,2.25,1.25,1,0,1,0,0,0,1,4351,1,0,0,-1,2,1,1,0,1,5,1,6,2,1,0,1,3,1,1,97,63,153,115,1.3,1.37,2.67,0,0,0,0,0,0,1,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.78,0.95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Torque,Nacional,2025-02-02 22:30:00,1,0,1,0,2,2,3,3,0,0,2,3,1,1,3,4,-1,-1,39,61,,,3,3,7.0,4.2,1.38,0.0,1.67,0.0,1.83,1.83,0.0,0.0,0.0,0.0,1.3,2.5,3.4,1.5,1,1,0,0,0,0,1,4379,1,0,0,-1,2,1,0,1,0,1,1,1,1,0,2,3,1,5,1,46,75,98,129,0.68,1.02,1.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.32,2.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Wanderers,Racing,2025-02-03 00:45:00,0,0,0,2,2,4,1,5,2,0,3,3,4,8,7,11,-1,-1,46,54,Parque Alfredo Víctor Viera,"Avenida Buschental entre Atilio Pelossi y Lucas Obes, Barrio Prado, Montevideo",3,5,3.4,3.0,2.2,1.42,2.4,4.55,2.0,1.73,1.52,1.91,2.24,1.8,1.53,3.5,2.38,1.29,0,0,0,0,0,0,0,-1,1,0,0,-1,2,1,2,2,0,0,4,0,0,2,3,3,2,6,1,31,41,108,122,0.89,1.22,2.11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.84,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,1,Cerro,River Plate,2025-02-03 22:30:00,1,1,2,2,4,6,5,3,0,0,2,2,3,5,5,7,-1,-1,42,58,Estadio Monumental Luis Tróccoli,"Avenida Dr. Santín Carlos Rossi 4702 esq. Camina La Paloma, Barrio La Paloma, Montevideo",5,3,2.15,3.3,3.25,1.51,2.5,5.15,2.2,1.62,1.57,1.95,2.14,1.77,1.57,3.75,2.25,1.25,2,1,0,0,1,1,1,-1,1,0,0,-1,2,1,1,1,1,3,2,4,1,0,4,3,1,7,1,48,60,86,118,0.81,1.03,1.84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1.27,0.78,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,False,False,False,False,True,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,2,Cerro Largo,Progreso,2025-02-07 22:00:00,4,1,5,5,2,7,2,2,0,0,11,3,5,4,16,7,-1,-1,55,45,Estadio Municipal Arquitecto Antonio Eleuterio Ubilla,"Calle José Batlle y Ordóñez 695 esc. 101, Melo",2,2,2.25,2.9,3.4,1.62,2.7,5.49,2.38,1.53,1.77,2.05,1.95,1.7,1.63,4.0,2.33,1.22,5,3,0,1,1,2,3,4371,1,100,0,-1,2,1,4,1,1,1,5,2,1,1,1,1,2,2,1,91,80,103,117,2.43,1.24,3.67,1,0,1,0,0,0,1,1,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,50,1.32,1.05,1.0,0.0,1.0,0.0,50,0,1.43,0.99,2.42,37,True,True,True,True,True,False,True,,,,,,,,,,,,,,,,
Uruguay_Primera_División_2025,2025,2,Plaza Colonia,Wanderers,2025-02-08 00:30:00,2,0,2,4,3,7,1,1,0,0,2,0,4,6,6,6,-1,-1,37,63,,,1,1,2.5,3.0,2.7,1.45,2.4,4.47,2.0,1.73,1.72,2.15,1.98,1.61,1.62,3.71,2.25,1.25,2,0,0,2,0,2,0,4351,1,0,0,-1,2,1,3,0,1,3,3,4,0,0,1,1,0,2,1,52,76,75,111,0.9,0.94,1.84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,50,0.95,0.84,3.0,1.0,3.0,1.0,100,100,1.37,0.89,2.26,37,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,
