season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_corners_over_85,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_1st_half_under15,pinnacle_btts_yes,pinnacle_btts_no,date
2016-2017,1,2,0,2,5,2,7,1,3,0,2,3,0,8,3,11,3,12,13,64,36,Gradski Stadion (Koprivnica),"Mihovila Pavleka Miškine bb 12, Koprivnica",1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,2,0,1468605600,1861,0,0,0,620,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,4,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Slaven Koprivnica,Inter Zaprešić,1.5,0.44,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-15 18:00:00
2016-2017,1,0,1,1,7,9,16,3,5,1,1,9,3,5,8,14,11,18,27,45,55,Stadion Aldo Drosina,"Marsovo polje, Pula",4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1468688400,1864,0,0,0,1438,-1,1,-1,-1,-1,-1,-1,-1,1,1,3,5,2,8,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Istra 1961,Osijek,1.28,1.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,False,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-16 17:00:00
2016-2017,1,0,3,3,3,1,4,1,1,0,0,5,3,2,6,7,9,14,14,51,49,Stadion Park mladeži,"Hrvatske mornarice 10, Brodarica, Split",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,2,2,1,1468695600,1215,0,0,0,467,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Split,Rijeka,0.72,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-16 19:00:00
2016-2017,1,3,1,4,4,5,9,0,2,0,0,9,6,6,5,15,11,10,11,62,38,Stadion Maksimir,"Maksimirska cesta 128, Zagreb",0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,1,0,1,3,1468774800,122,0,0,0,2103,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Dinamo Zagreb,Lokomotiva Zagreb,2.22,0.83,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-17 17:00:00
2016-2017,1,0,2,2,5,2,7,0,3,0,0,3,0,6,6,9,6,21,25,52,48,Stadion Cibalia,"Hansa Dietricha Genschera 10b, Vinkovci",0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1468782000,1863,0,0,0,3947,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,3,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Cibalia,Hajduk Split,0.89,1.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-17 19:00:00
2016-2017,2,4,1,5,5,5,10,0,1,0,0,5,0,9,6,14,6,15,7,52,48,Stadion HNK Rijeka,"Rujevica ulica 6B, Rijeka",0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,1,1,2,3,1469210400,1215,0,0,0,3954,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,2,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Rijeka,Istra 1961,2.89,0.89,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,True,True,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-22 18:00:00
2016-2017,2,3,2,5,6,5,11,1,4,0,0,2,2,1,2,3,4,11,17,52,48,Gradski Stadion (Koprivnica),"Mihovila Pavleka Miškine bb 12, Koprivnica",1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,2,0,2,3,1469293200,1861,0,0,0,651,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,0,Slaven Koprivnica,Cibalia,1.5,0.28,3.0,0.0,3.0,0.0,50,0,0.0,0.0,0.0,36,True,True,True,True,True,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-23 17:00:00
2016-2017,2,0,2,2,8,6,14,0,1,0,0,5,5,7,4,12,9,8,17,54,46,Stadion ŠRC Zaprešić,"Vladimira Novaka bb, Zaprešić",0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,2,0,1469300400,1864,0,0,0,371,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,50,Inter Zaprešić,Osijek,1.11,1.67,0.0,3.0,0.0,3.0,50,50,0.0,0.0,0.0,36,True,True,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-23 19:00:00
2016-2017,2,0,0,0,6,3,9,1,2,0,0,5,5,9,5,14,10,4,16,63,37,Stadion Kranjčevićeva,"Kranjčevićeva 4, Zagreb",1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1469386800,-1,0,0,0,212,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Lokomotiva Zagreb,Split,1.61,0.28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,False,False,False,False,False,False,False,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-24 19:00:00
2016-2017,3,1,1,2,7,3,10,2,5,0,0,4,3,12,3,16,6,17,27,72,28,Stadion Maksimir,"Maksimirska cesta 128, Zagreb",2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1469815200,-1,0,50,0,1323,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,4,1,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Dinamo Zagreb,Slaven Koprivnica,2.22,0.61,3.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,36,True,True,False,False,False,False,True,Croatia_HNL,,,,,,,,,,,,,,,,,,,,,2016-07-29 18:00:00
