season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_ft_over15,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_x,pinnacle_ft_2,pinnacle_ft_1,pinnacle_btts_no,pinnacle_btts_yes,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_1st_half_over05,pinnacle_1st_half_under05,date
2016-2017,1,0,4,4,1,3,4,2,2,0,0,4,2,4,5,8,7,9,12,42,58,Energi Viborg Arena,"Stadion Allé 7, Viborg",2,2,2.38,3.35,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0,2,2,2,1468598400,986,0,0,0,2580,-1,1,-1,-1,-1,-1,-1,-1,1,2,1,0,3,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Viborg,Nordsjælland,0.81,1.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-15 16:00:00
2016-2017,1,0,0,0,11,2,13,1,1,0,0,6,3,11,3,17,6,10,8,64,36,EWII Park (Odense),"Højstrupvej 7B, Odense",1,1,1.93,3.61,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1468606500,-1,0,0,0,10778,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,OB,Silkeborg,1.67,0.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,False,False,False,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-15 18:15:00
2016-2017,1,3,0,3,5,5,10,2,2,0,0,7,3,10,5,17,8,7,17,63,37,Telia Parken,"Øster Allé 50, København",2,2,1.48,4.55,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1468686600,55,0,0,0,9953,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,København,Lyngby,2.67,1.61,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,False,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-16 16:30:00
2016-2017,1,1,2,3,6,2,8,1,3,0,0,5,3,4,4,9,7,16,15,46,54,Sydbank Park,"Stadionvej 7, Haderslev",1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1468753200,2516,0,0,0,5474,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,2,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,SønderjyskE,AGF,1.44,1.19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-17 11:00:00
2016-2017,1,1,1,2,5,2,7,1,1,0,0,7,5,5,2,12,7,10,16,64,36,Aalborg Portland Park,"Harald Jensens Vej 9, Aalborg",1,1,1.82,3.74,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1468764000,-1,0,0,0,6493,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,AaB,Horsens,1.47,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,False,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-17 14:00:00
2016-2017,1,4,0,4,6,5,11,0,1,0,0,8,0,3,7,11,7,12,6,52,48,Brøndby Stadion,"Brøndby Stadion 8, Brøndby",0,1,1.83,3.73,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,2,0,2,2,1468771200,2517,0,0,0,10397,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Brøndby,Esbjerg,1.72,0.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-17 16:00:00
2016-2017,1,2,2,4,3,0,3,3,2,0,0,6,0,5,3,11,3,17,16,55,45,MCH Arena,"Kaj Zartows Vej 5, Herning",3,2,1.99,3.55,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1,1,2,2,1468861200,-1,0,0,0,5725,-1,1,-1,-1,-1,-1,-1,-1,0,0,3,2,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Midtjylland,Randers,1.84,0.95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,37,True,True,True,True,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-18 17:00:00
2016-2017,2,2,1,3,1,5,6,2,1,0,0,2,4,3,2,5,6,12,12,51,49,Ceres Park,"Stadion Allé 70, Århus",2,1,2.06,3.49,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,3,1469211300,2516,0,0,0,8156,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,1,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,AGF,Viborg,1.13,1.25,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,32,True,True,True,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-22 18:15:00
2016-2017,2,0,4,4,3,9,12,2,0,0,0,4,9,1,10,5,19,12,3,35,65,Blue Water Arena,"Gl. Vardevej 82, Esbjerg",2,0,5.88,4.04,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,3,3,1,1469286000,55,0,0,0,5439,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Esbjerg,København,1.13,2.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,32,True,True,True,True,False,False,False,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-23 15:00:00
2016-2017,2,1,1,2,0,8,8,2,3,0,0,3,3,2,9,5,12,14,8,35,65,CASA Arena Horsens,"Langmarksvej 53, Horsens",2,3,3.04,3.43,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1469354400,-1,0,0,0,2653,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Horsens,SønderjyskE,1.25,1.11,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,32,True,True,False,False,False,False,True,Denmark_Superliga,,,,,,,,,,,,,,,,,,,,,2016-07-24 10:00:00
