season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,date
2016,1,2,0,2,4,3,7,2,2,0,0,5,0,6,5,11,5,11,12,60,40,Telia 5G -areena,"Urheilukatu 1, Helsinki",2,2,1.54,4.12,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,2,0,1459594800,412,0,0,0,5251,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,HJK,Mariehamn,2.18,1.75,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,True,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-02 11:00:00
2016,1,3,4,7,3,8,11,1,3,0,0,4,2,4,5,8,7,15,23,50,50,Myyrmäen jalkapallostadion,"Raappavuorentie 6, Myyrmäki, Vantaa",1,3,2.37,3.23,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0,1,4,5,2,1459605600,409,0,0,0,2415,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,3,0,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,PK-35 Vantaa,RoPS,0.69,1.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,True,True,True,True,True,True,Finland_Veikkausliiga,,,,,2016-04-02 14:00:00
2016,2,3,1,4,4,5,9,2,2,0,0,4,3,6,2,10,5,18,8,43,57,Telia 5G -areena,"Urheilukatu 1, Helsinki",2,2,1.33,5.21,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,1,3,1,1460129400,412,0,0,0,4799,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,0,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,0,HJK,VPS,2.18,1.35,3.0,0.0,3.0,0.0,50,0,0.0,0.0,0.0,33,True,True,True,True,False,False,True,Finland_Veikkausliiga,,,,,2016-04-08 15:30:00
2016,2,1,1,2,3,5,8,1,1,0,0,4,3,8,4,12,7,16,12,48,52,Veritas Stadion,"Hippoksentie 6, Åbo",1,1,2.45,3.23,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1460206800,-1,0,0,0,3406,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,1,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Inter Turku,Lahti,1.12,0.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,True,False,False,False,False,True,Finland_Veikkausliiga,,,,,2016-04-09 13:00:00
2016,2,0,2,2,6,4,10,1,4,1,0,7,4,0,2,7,6,17,22,54,46,Myyrmäen jalkapallostadion,"Raappavuorentie 6, Myyrmäki, Vantaa",3,4,2.26,3.44,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1460206800,404,0,50,0,2471,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,PK-35 Vantaa,HIFK,0.69,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,True,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-09 13:00:00
2016,2,0,1,1,1,6,7,1,2,0,0,4,5,4,5,8,10,32,14,43,57,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",1,2,2.02,3.38,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1460206800,407,0,0,0,1855,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KuPS,Ilves,1.88,1.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,False,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-09 13:00:00
2016,2,0,2,2,-1,-1,-1,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Rovaniemen Keskuskenttä,"Poromiehentie 2, Rovaniemi",2,1,5.0,3.55,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1460206800,102,0,0,0,415,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,1,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,PS Kemi,SJK,1.19,1.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,33,True,True,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-09 13:00:00
2016,2,1,0,1,-1,-1,-1,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Wiklöf Holding Arena (Maarianhamina (Mariehamn), Ahvenanmaa (Åland))","Idrottsgatan, Maarianhamina (Mariehamn), Ahvenanmaa (Åland)",2,1,2.41,3.35,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1460206800,410,0,50,0,1146,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Mariehamn,RoPS,1.94,1.06,0.0,3.0,0.0,3.0,0,0,0.0,0.0,0.0,33,True,False,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-09 13:00:00
2016,3,0,1,1,-1,-1,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Jouppilanvuoren tekonurmi (Seinäjoki),"Alaseinäjoenkatu 9, Seinäjoki",1,1,1.63,3.8,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1460647800,410,0,0,0,2115,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,0,SJK,Mariehamn,2.35,1.75,0.0,0.0,3.0,1.5,50,0,0.0,0.0,0.0,33,True,False,False,False,False,False,False,Finland_Veikkausliiga,,,,,2016-04-14 15:30:00
2016,3,1,2,3,6,6,12,3,0,0,0,5,3,4,2,9,5,9,15,58,42,Telia 5G -areena,"Urheilukatu 1, Helsinki",3,0,2.58,3.31,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1460647800,406,0,0,0,2374,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,0,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,HIFK,Inter Turku,1.06,0.81,0.0,0.0,3.0,1.0,0,0,0.0,0.0,0.0,33,True,True,True,False,False,False,True,Finland_Veikkausliiga,,,,,2016-04-14 15:30:00
2016,3,2,3,5,5,3,8,0,2,0,0,6,3,2,3,8,6,16,14,49,51,Savon Sanomat Areena,"Kaartokatu 6, Kuopio",0,2,2.5,3.28,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,1,0,1,4,1460647800,414,0,0,0,1550,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,1,1,1,1,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,50,KuPS,PK-35 Vantaa,1.88,0.47,0.0,0.0,0.0,0.0,50,50,0.0,0.0,0.0,33,True,True,True,True,True,False,True,Finland_Veikkausliiga,,,,,2016-04-14 15:30:00
2016,3,2,2,4,5,5,10,4,2,0,0,9,0,5,5,14,5,19,22,53,47,Rovaniemen Keskuskenttä,"Poromiehentie 2, Rovaniemi",4,2,4.29,3.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,0,0,0,4,1460647800,-1,0,0,0,2475,-1,1,-1,-1,-1,-1,-1,-1,1,2,3,0,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,RoPS,HJK,1.94,1.31,0.0,0.0,1.5,3.0,0,0,0.0,0.0,0.0,33,True,True,True,True,False,False,True,Finland_Veikkausliiga,,,,,2016-04-14 15:30:00
