season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,date
2016-2017,1,0,4,4,4,3,7,0,0,0,0,4,3,3,1,7,4,15,13,50,50,Fritz-Walter-Stadion,"Fritz-Walter-Straße 1, Kaiserslautern",0,0,2.63,3.31,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,3,3,1,1470421800,52,0,0,0,40021,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Kaiserslautern,Hannover 96,1.71,1.35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,False,Germany_Bundesliga_2,,,,,2016-08-05 18:30:00
2016-2017,1,2,1,3,3,1,4,1,2,0,0,8,4,8,6,16,10,17,16,51,49,Vonovia Ruhrstadion,"Castropher Straße 145, Bochum",1,2,2.14,3.53,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,3,0,1470481200,540,0,0,0,17118,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,0,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Bochum,Union Berlin,1.71,1.41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-06 11:00:00
2016-2017,1,2,2,4,1,2,3,4,2,0,0,5,3,4,6,9,9,21,21,40,60,BWT-Stadion am Hardtwald,"Jahnstr. 1, Sandhausen",4,2,2.78,3.18,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,1,1,3,1470490200,-1,0,0,0,6451,-1,1,-1,-1,-1,-1,-1,-1,0,1,4,1,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sandhausen,Fortuna Düsseldorf,1.41,1.35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Germany_Bundesliga_2,,,,,2016-08-06 13:30:00
2016-2017,1,1,1,2,4,3,7,0,3,0,0,3,2,8,5,11,7,12,19,61,39,DDV-Stadiom (Dresden),"Lennéstraße 12, Dresden",0,3,2.84,3.39,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1470490200,-1,0,0,0,29453,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Dynamo Dresden,Nürnberg,1.53,1.24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-06 13:30:00
2016-2017,1,1,0,1,5,3,8,3,4,0,0,5,4,14,2,19,6,11,24,52,48,Sportpark Ronhof Thomas Sommer,"Laubenweg 60, Fürth",3,4,2.18,3.42,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1470569400,544,0,0,0,13205,-1,1,-1,-1,-1,-1,-1,-1,2,2,1,2,4,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Greuther Fürth,1860 München,1.71,0.65,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-07 11:30:00
2016-2017,1,2,1,3,7,4,11,1,1,0,1,7,4,3,1,10,5,15,11,53,47,Eintracht-Stadion,", ",1,3,1.94,3.52,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,1,1,2,1,1470576600,128,0,0,0,20390,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Eintracht Braunschweig,Würzburger Kickers,2.47,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-07 13:30:00
2016-2017,1,1,0,1,4,2,6,1,0,0,0,6,6,1,6,7,12,19,15,41,59,Voith-Arena,"Schloßhaustraße 160, Heidenheim an der Brenz",1,0,2.08,3.38,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1470576600,552,0,0,0,11000,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Heidenheim,Erzgebirge Aue,1.53,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-07 13:30:00
2016-2017,1,0,0,0,5,3,8,2,4,0,1,3,3,13,4,16,7,18,11,47,53,SchücoArena,"Melanchthonstraße 31a, Bielefeld",2,5,2.72,3.26,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470576600,-1,0,0,0,17733,-1,1,-1,-1,-1,-1,-1,-1,2,3,0,2,5,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Arminia Bielefeld,Karlsruher SC,1.59,0.65,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,False,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-07 13:30:00
2016-2017,1,2,1,3,5,4,9,2,4,0,0,4,4,5,6,9,10,19,11,52,48,Mercedes-Benz-Arena,"Mercedesstrasse 87, Stuttgart",2,4,1.73,3.91,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,2,1,1470680100,51,0,0,0,60000,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Stuttgart,St. Pauli,2.41,1.35,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-08 18:15:00
2016-2017,2,1,1,2,9,5,14,1,1,0,0,6,4,3,6,9,10,17,10,50,50,Max-Morlock-Stadion,"Max-Morlock-Platz 1, Nürnberg",1,1,1.89,3.62,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1471019400,-1,0,0,0,25769,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Nürnberg,Heidenheim,1.24,1.18,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-12 16:30:00
2016-2017,2,2,0,2,5,4,9,2,4,0,0,7,7,5,2,12,9,23,17,53,47,Sparkassen-Erzgebirgsstadion (Aue),"Lößnitzer Straße 95, Aue",2,4,2.14,3.36,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1471019400,551,0,0,0,7650,-1,1,-1,-1,-1,-1,-1,-1,2,1,0,3,3,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Erzgebirge Aue,Sandhausen,1.47,1.06,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-12 16:30:00
2016-2017,2,1,0,1,6,6,12,2,4,0,0,7,4,0,6,7,10,14,15,40,60,ESPRIT arena (Düsseldorf),"Arena-Str. 1, Düsseldorf",2,4,3.65,3.61,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1471026600,545,0,0,0,37173,-1,1,-1,-1,-1,-1,-1,-1,2,1,0,3,3,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Fortuna Düsseldorf,Stuttgart,1.12,1.65,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-12 18:30:00
2016-2017,2,1,1,2,3,4,7,2,4,0,0,4,2,2,5,6,7,10,25,58,42,Wildparkstadion,"Adenauerring 17, Karlsruhe",2,4,2.45,3.42,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1471086000,-1,0,0,0,14504,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Karlsruher SC,Bochum,0.82,0.88,0.0,0.0,1.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-13 11:00:00
2016-2017,2,0,2,2,6,8,14,1,2,0,0,3,7,4,5,7,12,13,22,55,45,Millerntor-Stadion,"Auf dem Heiligengeistfeld, Hamburg",1,2,2.15,3.43,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,1,1,1,1471095000,128,0,0,0,29546,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,St. Pauli,Eintracht Braunschweig,1.29,1.41,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-13 13:30:00
2016-2017,2,3,1,4,4,8,12,1,3,0,0,7,3,3,8,10,11,13,13,53,47,HDI-Arena,"Robert-Enke-Str. 3, Hannover",1,3,1.89,3.74,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,1,3,1,1471174200,52,0,0,0,38400,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,3,0,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Hannover 96,Greuther Fürth,2.59,0.94,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Germany_Bundesliga_2,,,,,2016-08-14 11:30:00
2016-2017,2,1,0,1,7,5,12,3,2,0,0,2,2,1,4,3,6,10,18,54,46,Allianz Arena,"Werner-Heisenberg-Allee 25, München",3,2,2.19,3.44,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1471181400,546,0,0,0,24800,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,0,3,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1860 München,Arminia Bielefeld,1.47,0.59,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-14 13:30:00
2016-2017,2,1,1,2,6,10,16,2,2,0,0,2,5,3,0,5,5,16,13,40,60,flyeralarm-Arena,"Mittlerer Dallenbergweg 49, Würzburg",2,2,2.54,3.32,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1471181400,-1,0,0,0,12087,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Würzburger Kickers,Kaiserslautern,1.18,0.71,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-14 13:30:00
2016-2017,2,2,2,4,8,6,14,2,2,0,0,2,2,5,2,7,4,7,16,60,40,Stadion An der Alten Försterei,"Hämmerlingstraße 80-88, Köpenick, Berlin",2,2,2.19,3.48,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,2,1,3,1,1471284900,-1,0,0,0,22012,-1,1,-1,-1,-1,-1,-1,-1,2,0,0,2,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Union Berlin,Dynamo Dresden,2.12,1.41,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Germany_Bundesliga_2,,,,,2016-08-15 18:15:00
2016-2017,3,1,1,2,4,4,8,1,3,0,0,4,8,4,6,8,14,14,17,45,55,Vonovia Ruhrstadion,"Castropher Straße 145, Bochum",1,3,2.64,3.51,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,1,2,0,1472229000,-1,0,50,0,19218,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,2,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,0,50,Bochum,Hannover 96,1.71,1.35,3.0,3.0,2.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-26 16:30:00
2016-2017,3,1,2,3,7,0,7,1,0,0,0,5,3,10,4,15,7,13,17,49,51,Voith-Arena,"Schloßhaustraße 160, Heidenheim an der Brenz",1,0,2.12,3.32,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1472229000,549,0,50,0,11100,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,100,Heidenheim,Würzburger Kickers,1.53,0.82,3.0,0.0,2.0,0.5,50,50,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-26 16:30:00
2016-2017,3,1,2,3,7,4,11,2,3,0,0,2,0,6,3,8,3,21,20,44,56,BWT-Stadion am Hardtwald,"Jahnstr. 1, Sandhausen",2,3,3.41,3.54,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1472229000,51,0,50,0,13083,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,3,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,Sandhausen,Stuttgart,1.41,1.65,1.0,0.0,0.5,1.5,50,50,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Germany_Bundesliga_2,,,,,2016-08-26 16:30:00
2016-2017,3,0,0,0,2,7,9,1,4,1,0,2,4,2,1,4,5,13,16,39,61,Wildparkstadion,"Adenauerring 17, Karlsruhe",2,4,2.23,3.3,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1472295600,-1,0,50,0,13246,-1,1,-1,-1,-1,-1,-1,-1,0,2,2,2,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,0,100,Karlsruher SC,1860 München,0.82,0.65,1.0,0.0,1.0,1.5,100,50,0.0,0.0,0.0,34,False,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-27 11:00:00
2016-2017,3,3,2,5,3,11,14,3,1,0,1,5,5,5,5,10,10,18,15,47,53,Sportpark Ronhof Thomas Sommer,"Laubenweg 60, Fürth",3,2,2.11,3.46,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,2,2,4,1,1472295600,544,0,0,0,8705,-1,1,-1,-1,-1,-1,-1,-1,0,0,3,2,0,5,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,100,Greuther Fürth,Erzgebirge Aue,1.71,0.82,3.0,0.0,1.5,1.5,100,100,0.0,0.0,0.0,34,True,True,True,True,True,False,True,Germany_Bundesliga_2,,,,,2016-08-27 11:00:00
2016-2017,3,6,1,7,8,7,15,2,5,0,0,12,4,9,9,21,13,14,19,45,55,Eintracht-Stadion,", ",2,5,2.43,3.31,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,1,4,0,4,3,1472383800,128,0,100,0,20840,-1,1,-1,-1,-1,-1,-1,-1,1,2,1,3,3,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,Eintracht Braunschweig,Nürnberg,2.47,1.24,3.0,1.0,3.0,1.0,50,0,0.0,0.0,0.0,34,True,True,True,True,True,True,True,Germany_Bundesliga_2,,,,,2016-08-28 11:30:00
2016-2017,3,4,4,8,8,3,11,1,3,0,0,7,8,7,5,14,13,12,7,58,42,SchücoArena,"Melanchthonstraße 31a, Bielefeld",1,3,2.49,3.37,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,1,2,3,5,3,1472383800,-1,0,50,0,13604,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,0,Arminia Bielefeld,Union Berlin,1.59,1.41,1.0,0.0,0.5,0.5,50,50,0.0,0.0,0.0,34,True,True,True,True,True,True,True,Germany_Bundesliga_2,,,,,2016-08-28 11:30:00
2016-2017,3,1,0,1,5,4,9,1,2,0,0,3,2,9,11,12,13,12,6,50,50,DDV-Stadiom (Dresden),"Lennéstraße 12, Dresden",1,2,2.44,3.39,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1472383800,539,0,100,0,29350,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,100,0,100,Dynamo Dresden,St. Pauli,1.53,1.35,1.0,0.0,1.0,0.0,50,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,Germany_Bundesliga_2,,,,,2016-08-28 11:30:00
