season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,date
2016-2017,1,1,2,3,5,1,6,2,0,0,0,4,3,4,5,8,8,11,14,50,50,Estádio José Arcanjo,"Apartado 104, Rua da Feira, Olhão",2,0,2.83,3.18,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1470478500,179,0,0,0,821,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,SC Olhanense,Associação Académica de Coimbra OAF,0.9,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-08-06 10:15:00
2016-2017,1,0,1,1,6,6,12,2,2,0,0,5,5,12,2,17,7,16,9,52,48,Estádio Municipal do Fontelo,"Avenida José Relvas, Viseu",2,2,2.33,3.25,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1470495600,4841,0,0,0,627,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Academico Viseu,FC Vizela,1.29,0.95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-08-06 15:00:00
2016-2017,1,1,2,3,0,9,9,0,3,0,0,2,9,1,6,3,15,18,14,47,53,CGD Stadium Aurélio Pereira,", Alcochete",0,3,2.36,3.25,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,2,1,1470495600,1025,0,0,0,195,-1,1,-1,-1,-1,-1,-1,-1,0,1,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sporting CP II,Portimonense,1.48,1.52,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-08-06 15:00:00
2016-2017,1,2,1,3,7,6,13,7,3,0,0,5,3,8,4,13,7,19,12,58,42,"Estádio de São Miguel (Ponta Delgada, Ilha de São Miguel, Açores)","Rua Comandante Jaime de Sousa 21, Ponta Delgada, Ilha de São Miguel, Açores",7,3,2.27,3.28,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,2,1,1470499200,1028,0,0,0,614,-1,1,-1,-1,-1,-1,-1,-1,2,0,5,3,2,8,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Santa Clara,Vitória Guimarães II,1.86,0.62,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,True,True,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-08-06 16:00:00
2016-2017,1,1,1,2,2,3,5,1,3,0,0,3,3,7,4,10,7,11,18,53,47,Estádio 1º de Maio,", Braga",1,3,1.8,3.58,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1470499200,-1,0,0,0,740,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,3,0,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sporting Braga II,Fafe,1.76,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,True,False,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-08-06 16:00:00
2016-2017,1,0,1,1,11,4,15,1,2,0,0,5,2,5,3,10,5,7,14,55,45,Complexo Desportivo do SC Freamunde,"Rua do Sport Clube de Freamunde, Freamunde",1,2,2.55,3.15,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,1470499200,178,0,0,0,679,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,2,1,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Freamunde,CF União,1.14,1.14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-08-06 16:00:00
2016-2017,1,1,0,1,4,3,7,0,2,0,0,8,5,2,3,10,8,9,17,49,51,Estádio Municipal 25 de Abril,"Rua Futebol Clube de Penafiel, Penafiel",0,2,2.27,3.16,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1470499200,182,0,0,0,561,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,FC Penafiel,Sporting Covilhã,2.14,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-08-06 16:00:00
2016-2017,1,0,0,0,-1,-1,-1,1,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Estádio do Mar,"Lugar da Cruz de Pau, Matosinhos",1,2,2.63,3.2,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470499200,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Leixões,Famalicão,1.38,0.81,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,False,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-08-06 16:00:00
2016-2017,1,1,1,2,3,1,4,0,0,0,0,5,3,12,4,17,7,11,17,57,43,Caixa Futebol Campus,", Seixal",0,0,1.67,3.9,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,0,0,2,1470502800,-1,0,0,0,1331,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Benfica II,Cova Piedade,1.9,0.9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,True,False,False,False,False,True,LigaPro_Portugal_2a_división,,,,,2016-08-06 17:00:00
2016-2017,1,1,0,1,3,5,8,3,2,0,0,4,2,2,5,6,7,20,9,45,55,Estádio Cidade de Barcelos,"strada Nacional 103, Vila Boa, Barcelos",3,2,2.1,3.31,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1470502800,183,0,0,0,1227,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Gil Vicente,Varzim,1.81,1.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,42,True,False,False,False,False,False,False,LigaPro_Portugal_2a_división,,,,,2016-08-06 17:00:00
