season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,temperature_celsius,wind_speed,humidity,clouds,league,date
2024-2025,1,3,1,4,6,1,7,2,2,0,0,6,1,14,3,20,4,9,14,59,41,Estádio José Alvalade (Lisboa),,2,2,1.13,6.18,10.12,1.1,1.42,2.15,2.1,1.67,1.3,1.49,3.1,2.38,1.22,2.0,4.0,1.73,4,2,0,1,1,2,2,1723230900,114,0,0,0,-1,2,1,4,0,2,1,4,3,0,1,2,1,1,3,1,60,34,133,70,2.12,0.58,2.7,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,19,13,-1,-1,-1,1,2,13,0,0,0,0,Sporting CP,Rio Ave FC,2.59,0.71,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,,16.11,66%,0%,Liga_Portugal,2024-08-09 19:15:00
2024-2025,1,1,1,2,4,2,6,1,1,0,0,3,2,12,5,15,7,8,13,54,46,Estádio Clube Desportivo das Aves (Vila das Aves),,1,1,2.23,3.24,3.28,1.36,1.9,3.75,1.8,1.95,1.28,1.47,3.2,2.43,1.44,3.25,2.63,1.33,2,0,1,1,0,1,1,1723300200,-1,0,0,0,-1,2,1,1,1,3,1,2,4,0,0,1,1,0,2,1,46,32,88,82,1.49,0.82,2.31,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,19,18,-1,-1,-1,1,10,15,0,0,0,0,AVS,CD Nacional,0.88,0.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,,,,,Liga_Portugal,2024-08-10 14:30:00
2024-2025,1,0,1,1,3,1,4,2,1,0,0,3,2,11,4,14,6,12,6,66,34,Estádio Pina Manique (Lisboa),,2,1,2.2,3.15,3.45,1.36,1.91,3.75,1.95,1.8,1.43,1.7,2.55,1.98,1.44,3.25,2.63,1.33,1,0,0,0,1,1,0,1723309200,176,0,0,0,-1,2,1,0,1,3,0,1,3,2,0,0,1,2,1,1,48,19,94,69,1.44,0.67,2.11,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,26,17,-1,-1,-1,1,3,13,0,0,0,0,Casa Pia,Boavista FC,1.65,1.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,,11.5,57%,0%,Liga_Portugal,2024-08-10 17:00:00
2024-2025,1,3,0,3,7,2,9,0,2,0,1,5,1,6,1,11,2,18,10,71,29,Estádio Do Dragão (Porto),,0,3,1.25,6.0,13.0,1.13,1.57,2.25,2.38,1.53,1.44,1.73,2.5,1.95,1.25,2.25,3.75,1.57,3,1,0,2,0,2,1,1723318200,82,0,0,0,-1,2,1,3,1,4,1,4,5,0,0,0,3,0,3,1,17,5,42,5,1.16,0.23,1.39,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,14,8,-1,-1,-1,1,4,8,0,0,0,0,Porto,Gil Vicente,2.47,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,,5.01,76%,30%,Liga_Portugal,2024-08-10 19:30:00
2024-2025,1,1,4,5,1,3,4,6,3,0,0,2,7,2,2,4,9,11,19,41,59,Estádio António Coimbra da Mota (Estoril),,6,3,2.1,3.2,3.1,1.44,2.15,4.5,2.0,1.75,1.49,1.85,2.38,1.95,1.5,3.5,2.5,1.29,5,1,1,0,3,3,2,1723386600,1028,0,0,0,-1,2,1,0,2,1,1,2,2,0,2,6,1,2,7,1,10,35,35,89,0.47,1.32,1.79,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,11,9,-1,-1,-1,1,6,9,0,0,0,0,GD Estoril Praia,Santa Clara,1.47,1.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,False,True,,6.91,73%,20%,Liga_Portugal,2024-08-11 14:30:00
2024-2025,1,2,0,2,0,7,7,3,4,0,0,5,2,4,5,9,7,8,13,35,65,Estádio Municipal 22 de Junho (Vila Nova de Famalicão),,3,4,6.75,4.0,1.4,1.18,1.58,2.25,1.75,2.0,1.36,1.6,2.8,2.15,1.29,2.25,3.5,1.57,2,1,0,1,0,1,1,1723395600,1033,0,0,0,-1,2,1,0,1,0,6,1,6,0,2,3,2,2,5,1,30,67,78,140,1.14,1.09,2.23,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,26,27,-1,-1,-1,1,9,6,0,0,0,0,Famalicão,Benfica,1.65,2.12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,,8.46,53%,2%,Liga_Portugal,2024-08-11 17:00:00
2024-2025,1,1,2,3,5,4,9,0,3,0,1,5,6,5,4,10,10,13,10,53,47,Estádio de São Lúis (Faro),,0,4,2.6,2.9,2.6,1.36,2.15,3.75,1.91,1.91,1.4,1.67,2.65,2.02,1.44,3.25,2.63,1.33,3,0,1,1,1,2,1,1723395600,174,0,0,0,-1,2,1,2,3,3,1,5,4,0,1,0,3,1,3,1,61,41,95,84,1.43,1.35,2.78,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,31,23,-1,-1,-1,1,4,9,0,0,0,0,Farense,Moreirense FC,0.65,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,,11.5,73%,0%,Liga_Portugal,2024-08-11 17:00:00
2024-2025,1,1,1,2,13,4,17,3,5,0,0,5,4,6,2,11,6,14,9,65,35,Estádio Municipal de Braga (Braga),,3,5,1.38,4.75,7.5,1.16,1.53,2.3,1.8,1.95,1.37,1.6,2.75,2.12,1.29,2.25,3.5,1.57,2,0,0,1,1,2,0,1723404600,-1,0,0,0,-1,2,1,2,4,11,0,6,11,0,1,3,4,1,7,1,74,18,124,68,1.59,0.8,2.39,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,30,12,-1,-1,-1,1,1,11,0,0,0,0,Sporting Braga,Estrela Amadora,1.88,0.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,,1.28,85%,2%,Liga_Portugal,2024-08-11 19:30:00
2024-2025,1,0,1,1,6,5,11,6,2,1,0,0,4,4,4,4,8,13,11,64,36,Estádio Municipal de Arouca (Arouca),,7,2,2.8,3.3,2.45,1.25,1.85,3.04,1.7,2.05,1.44,1.72,2.5,1.96,1.4,2.75,2.75,1.4,1,0,1,0,0,0,1,1723490100,175,0,0,0,3394,2,1,2,3,4,2,5,6,2,0,5,2,2,7,1,51,32,97,73,0.63,1.02,1.66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,26,22,-1,-1,-1,1,8,7,0,0,0,0,FC Arouca,Vitória Guimarães,1.24,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,False,False,False,False,False,False,,0,66%,20%,Liga_Portugal,2024-08-12 19:15:00
2024-2025,2,0,2,2,2,2,4,3,3,1,0,2,6,2,3,4,9,19,12,38,62,"Estádio de São Miguel (Ponta Delgada, Ilha de São Miguel, Açores)","Rua Comandante Jaime de Sousa 21, Ponta Delgada, Ilha de São Miguel, Açores",5,3,8.7,5.4,1.3,1.22,1.55,2.67,1.95,1.8,1.49,1.85,2.38,1.95,1.3,2.5,3.4,1.5,2,0,2,0,0,0,2,1723824000,82,0,0,0,-1,2,1,1,0,1,2,1,3,0,2,4,1,2,5,1,4,15,6,44,0.42,1.1,1.51,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,18,26,-1,-1,-1,1,4,4,0,0,0,0,Santa Clara,Porto,1.88,1.71,0.0,0.0,3.0,3.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,False,,12.66,69%,75%,Liga_Portugal,2024-08-16 16:00:00
