season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_corners_over_85,pinnacle_corners_over_95,pinnacle_corners_under_85,pinnacle_corners_under_95,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_ft_over35,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,date
2016-2017,1,1,1,2,7,7,14,2,0,0,0,2,6,2,8,4,14,12,14,45,55,Goffertstadion,"Stadionplein 1, Nijmegen",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1470420000,-1,0,0,0,10900,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,0,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,NEC,PEC Zwolle,1.29,0.88,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-05 18:00:00
2016-2017,1,3,0,3,8,4,12,1,1,0,0,6,5,14,3,20,8,14,12,43,57,Cars Jeans Stadion,"Haags Kwartier 55, Den Haag",1,1,1.72,4.02,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1470501000,377,0,0,0,10168,-1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,2,0,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,ADO Den Haag,Go Ahead Eagles,1.41,0.59,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-06 16:30:00
2016-2017,1,1,2,3,5,3,8,0,2,0,0,6,3,8,1,14,4,10,10,49,51,Stadion Galgenwaard,"Herculesplein 241, Utrecht",0,2,3.78,3.84,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,2,1,1470505500,121,0,0,0,16329,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Utrecht,PSV,2.05,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-06 17:45:00
2016-2017,1,1,2,3,5,4,9,1,4,0,0,5,2,8,2,13,4,12,18,58,42,De Grolsch Veste,"Colosseum 65, Enschede",1,4,1.8,4.01,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,1,1,2,1,1470505500,374,0,0,0,25100,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Twente,Excelsior,1.65,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-06 17:45:00
2016-2017,1,1,4,5,4,4,8,0,1,0,0,8,3,6,3,14,6,11,9,48,52,Koning Willem II Stadion,"Goirleseweg 34, Tilburg",0,1,3.17,3.59,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,4,1,0,1,4,1470509100,369,0,0,0,12250,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Willem II,Vitesse,1.18,1.29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-06 18:45:00
2016-2017,1,0,5,5,5,4,9,1,2,0,0,7,5,8,12,15,17,6,9,45,55,Noordlease Stadion (Groningen),"Boumaboulevard 41, Groningen",1,2,3.52,3.65,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3,0,2,2,3,1470565800,367,0,0,0,19762,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,0,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Groningen,Feyenoord,1.28,2.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,True,False,False,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-07 10:30:00
2016-2017,1,2,2,4,4,4,8,2,5,0,1,5,5,7,4,12,9,17,19,55,45,AFAS Stadion,"Stadionweg 1, Alkmaar",2,6,1.83,3.96,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1,1,2,2,1470573000,-1,0,0,0,14377,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,5,2,6,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,AZ,Heerenveen,1.58,0.78,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-07 12:30:00
2016-2017,1,1,3,4,6,6,12,3,4,0,1,3,2,2,3,5,5,12,16,29,71,Sparta-Stadion Het Kasteel,"Spartapark Noord 1, Rotterdam",3,5,6.25,4.29,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0,2,2,2,1470573000,120,0,0,0,10599,-1,1,-1,-1,-1,-1,-1,-1,0,2,3,3,2,6,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sparta Rotterdam,Ajax,1.29,2.18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-07 12:30:00
2016-2017,1,1,1,2,2,6,8,0,3,0,0,6,10,9,7,15,17,10,11,55,45,Parkstad Limburg Stadion,"Roda J.C. Ring 1, Kerkrade",0,3,2.47,3.54,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,1,0,1,1,1470581100,-1,0,0,0,13006,-1,1,-1,-1,-1,-1,-1,-1,0,2,0,1,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Roda JC,Heracles,1.35,0.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,34,True,True,False,False,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-07 14:45:00
2016-2017,2,2,2,4,3,3,6,1,1,0,0,6,2,5,3,11,5,17,9,48,52,Abe Lenstra Stadion,"Abe Lenstra Boulevard 23Q, Heerenveen",1,1,2.77,3.68,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,1,0,1,3,1471024800,-1,0,0,0,20850,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Heerenveen,Utrecht,1.61,1.68,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,36,True,True,True,True,False,False,True,Netherlands_Eredivisie,,,,,,,,,,,,,,,,,,,2016-08-12 18:00:00
