season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_under05,pinnacle_1st_half_over05,pinnacle_ft_x,pinnacle_ft_1,pinnacle_ft_2,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_over15,pinnacle_ft_over35,pinnacle_ft_over25,pinnacle_corners_over_95,pinnacle_corners_under_95,date
2016-2017,1,0,0,0,4,2,6,1,3,0,0,3,2,11,2,14,4,17,21,66,34,Stadion Petrovskiy,"2-g Petrovsky Island, St. Petersburg",1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1469889000,-1,0,0,0,18427,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Zenit,Lokomotiv Moskva,2.4,1.53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-30 14:30:00
2016-2017,1,0,0,0,2,4,6,2,0,0,0,0,8,3,8,3,16,21,21,41,59,Anzhi-Arena,", Kaspiysk",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1469898000,-1,0,0,0,16500,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Anzhi Makhachkala,CSKA Moskva,1.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-30 17:00:00
2016-2017,1,1,0,1,8,3,11,1,3,0,1,4,4,7,3,11,7,15,18,62,38,Stadion Olimp 2 (Rostov-na-Donu),"ul. Sholokhova 33, Rostov-na-Donu",1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1469903400,71,0,0,0,6000,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,4,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Rostov,Orenburg,2.47,0.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-30 18:30:00
2016-2017,1,2,0,2,2,3,5,1,2,0,0,5,3,4,6,9,9,10,16,43,57,SKB-Bank Arena (Ekaterinburg),"ul. Festivalnaja 8, Ekaterinburg",1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,2,1469968200,930,0,0,0,7850,-1,1,-1,-1,-1,-1,-1,-1,1,2,0,0,3,0,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Ural,Ufa,1.33,1.4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-31 12:30:00
2016-2017,1,4,0,4,5,6,11,1,0,0,0,7,4,5,6,12,10,10,14,54,46,Otkrytiye Arena,"Volokolamskoye shosse, Tushino, Moskva",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,2,0,2,2,1469977200,924,0,0,0,28052,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Spartak Moskva,Arsenal Tula,2.8,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-31 15:00:00
2016-2017,1,1,0,1,5,2,7,1,2,0,0,5,5,6,3,11,8,10,17,65,35,Akhmat Arena,"Zhukavskogo per. 9, Staraya Sunzha, Groznyi",1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1469986200,923,0,0,0,18783,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Akhmat Grozny,Krylya Sovetov,1.73,0.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-07-31 17:30:00
2016-2017,1,0,0,0,3,5,8,2,3,1,0,2,4,3,5,5,9,15,17,52,48,Central'nyj stadion Kazan' (Kazan'),"ul. Tashajak 2, Kazan'",3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470069000,-1,0,0,0,12178,-1,1,-1,-1,-1,-1,-1,-1,3,1,0,2,4,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Rubin Kazan,Amkar Perm,1.47,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-01 16:30:00
2016-2017,1,3,0,3,6,3,9,1,3,0,1,2,3,7,8,9,11,13,16,63,37,Stadion Kuban',"ul. Zheleznodorozhnaya 49, Krasnodar",1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,0,2,1,1470069000,926,0,0,0,7198,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,4,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Krasnodar,Tom' Tomsk,2.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-01 16:30:00
2016-2017,2,0,0,0,4,4,8,1,4,0,0,5,2,5,5,10,7,17,16,36,64,Stadion Neftyanik (Ufa),"ul. Komarova 9, Ufa",1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1470492000,-1,0,0,0,7800,-1,1,-1,-1,-1,-1,-1,-1,0,0,1,4,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Ufa,Zenit,1.47,1.67,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,30,False,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-06 14:00:00
2016-2017,2,1,0,1,1,2,3,1,3,0,0,4,6,5,7,9,13,14,14,41,59,Stadion Arsenal,"pr. Lenina, 87, Tula",1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1470501000,927,0,0,0,11500,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Arsenal Tula,Rubin Kazan,1.67,1.07,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Russian_Premier_League,,,,,,,,,,,,,,,,,,,2016-08-06 16:30:00
