season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,date
2016-2017,1,1,1,2,5,3,8,2,3,0,0,4,3,7,2,11,5,11,23,55,45,Estadio La Rosaleda (Málaga),,2,3,1.65,3.86,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1471632300,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Málaga CF,CA Osasuna,1.68,0.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,False,False,False,False,True,Spain_La_Liga,2016-08-19 18:45:00
2016-2017,1,2,1,3,1,8,9,3,3,0,0,5,7,5,4,10,11,14,16,52,48,Estadio Abanca-Riazor (A Coruña (La Coruña)),,3,3,2.08,3.42,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,1471636800,286,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,3,3,0,6,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Deportivo La Coruña,SD Eibar,1.37,1.11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,False,False,False,True,Spain_La_Liga,2016-08-19 20:00:00
2016-2017,1,6,2,8,10,2,12,1,3,0,0,7,0,8,3,15,3,15,12,70,30,Camp Nou (Barcelona),,1,3,1.12,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,3,1,4,4,1471709700,83,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1,2,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,FC Barcelona,Real Betis,2.53,0.74,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,True,True,True,True,Spain_La_Liga,2016-08-20 16:15:00
2016-2017,1,1,1,2,7,3,10,2,3,0,0,2,3,4,4,6,7,13,10,59,41,Estadio Nuevo Los Cármenes (Granada),,2,3,3.07,3.31,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1471716900,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Granada CF,Villarreal,0.84,1.58,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,False,False,False,False,True,Spain_La_Liga,2016-08-20 18:15:00
2016-2017,1,6,4,10,8,2,10,2,2,0,0,7,4,1,1,8,5,10,15,68,32,Estadio Ramón Sánchez Pizjuán (Sevilla),,2,2,1.53,4.44,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,1,4,6,1471724100,98,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,1,0,3,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sevilla FC,RCD Espanyol,2.42,1.42,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,True,True,True,True,Spain_La_Liga,2016-08-20 20:15:00
2016-2017,1,2,1,3,2,5,7,3,3,0,0,4,4,5,8,9,12,17,14,33,67,Estadio Municipal El Molinón (Gijón),,3,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,1471796100,289,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,3,2,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sporting Gijón,Athletic Club Bilbao,1.0,1.05,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,False,False,False,True,Spain_La_Liga,2016-08-21 16:15:00
2016-2017,1,0,3,3,4,7,11,2,3,0,0,3,6,4,5,7,11,21,9,48,52,Reale Arena (Donostia-San Sebastián),,2,3,5.88,4.32,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1,2,1471803300,84,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Real Sociedad,Real Madrid,1.84,2.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,False,False,False,False,Spain_La_Liga,2016-08-21 18:15:00
2016-2017,1,1,1,2,20,2,22,0,4,0,0,11,0,9,0,20,0,6,14,63,37,Estadio Vicente Calderón (Madrid),"Paseo Virgen del Puerto 67, Madrid",0,4,1.25,6.3,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1471810500,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,4,0,4,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Atlético Madrid,Deportivo Alavés,2.32,1.37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,False,False,False,False,True,Spain_La_Liga,2016-08-21 20:15:00
2016-2017,1,0,1,1,8,4,12,4,1,0,1,4,6,4,4,8,10,5,13,61,39,Estadio de Balaídos (Vigo),"Avenida de Balaídos, Vigo",4,3,1.5,4.42,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1471888800,278,0,0,0,16578,-1,1,-1,-1,-1,-1,-1,-1,1,0,3,2,1,5,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Celta de Vigo,Leganés,1.53,0.74,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,False,False,False,False,False,False,Spain_La_Liga,2016-08-22 18:00:00
2016-2017,1,2,4,6,12,1,13,2,2,0,0,8,0,6,2,14,2,14,18,61,39,Estadio de Mestalla,"Avenida de Suecia, Valencia",2,2,1.63,4.07,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,1,1,5,1471896000,276,0,0,0,37144,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,1,0,1,0,0,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Valencia CF,UD Las Palmas,1.47,0.32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,38,True,True,True,True,True,True,True,Spain_La_Liga,2016-08-22 20:00:00
