season,game_week,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,date_unix,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_name,away_name,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,league,temperature_celsius,wind_speed,humidity,clouds,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_1st_half_under15,pinnacle_1st_half_over15,pinnacle_1st_half_over05,pinnacle_1st_half_under05,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_1,pinnacle_ft_x,pinnacle_ft_2,pinnacle_corners_over_85,pinnacle_corners_under_85,date
2016-2017,1,0,2,2,4,7,11,3,2,0,0,5,4,5,13,10,17,11,9,42,58,AFAS-stadion Achter de Kazerne,"Kleine Nieuwedijk 53, Malines",3,2,4.32,3.77,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,2,1469817000,95,0,0,0,15136,-1,1,-1,-1,-1,-1,-1,-1,1,0,2,2,1,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KV Mechelen,Club Brugge,2.07,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-29 18:30:00
2016-2017,1,1,2,3,4,5,9,4,2,0,0,2,5,1,4,3,9,11,12,45,55,Stade Le Canonnier,"Rue du Stade 33, Moeskron",4,2,4.46,3.86,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,2,2,1,1469894400,61,0,0,0,7000,-1,1,-1,-1,-1,-1,-1,-1,1,1,3,1,2,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Royal Excel Mouscron,RSC Anderlecht,0.93,1.9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-30 16:00:00
2016-2017,1,3,0,3,10,3,13,0,4,0,1,4,7,5,3,9,10,17,17,58,42,Regenboogstadion,"Zuiderlaan 17, Waregem",0,5,1.95,3.64,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,0,3,0,1469901600,535,0,0,0,7339,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,5,0,5,-1,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Zulte-Waregem,AS Eupen,1.8,0.87,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-30 18:00:00
2016-2017,1,1,0,1,4,3,7,2,2,0,0,5,2,4,2,9,4,13,14,46,54,Stayen (Sint-Truiden (St.-Trond)),"Tiensesteenweg 168, Sint-Truiden (St.-Trond)",2,2,2.68,3.38,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1469901600,532,0,0,0,4066,-1,1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,3,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sint-Truiden,KSC Lokeren,1.67,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-30 18:00:00
2016-2017,1,1,0,1,7,6,13,1,2,1,0,4,6,6,7,10,13,8,13,50,50,Stade du Pays de Charleroi,"Boulevard Zoé Drion 19, Charleroi",3,2,1.67,4.01,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1469903400,529,0,0,0,7466,-1,1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,4,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,Sporting Charleroi,Waasland-Beveren,1.85,0.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-30 18:30:00
2016-2017,1,2,2,4,2,13,15,3,1,0,0,0,4,5,1,5,5,11,17,43,57,Het Kuipje,"De Merodedreef 189, Westerlo",3,1,4.46,3.76,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,0,1,1,3,1469968200,-1,0,0,0,7500,-1,1,-1,-1,-1,-1,-1,-1,2,0,1,1,2,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KVC Westerlo,Standard Liège,0.8,1.07,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,True,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-31 12:30:00
2016-2017,1,2,1,3,3,6,9,1,2,0,0,9,9,6,8,15,17,12,11,48,52,Luminus Arena,"Stadionplein 4, Waterschei, Genk",1,2,1.83,3.82,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,1,3,0,1469980800,533,0,0,0,15230,-1,1,-1,-1,-1,-1,-1,-1,0,2,1,0,2,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KRC Genk,KV Oostende,2.2,1.2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,True,False,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-31 16:00:00
2016-2017,1,1,1,2,3,5,8,3,4,0,0,3,3,4,2,7,5,18,15,35,65,Guldensporenstadion,"Meensesteenweg 84a / Moorseelsestraat 111b, Heule, Kortrijk",3,4,3.47,3.45,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,1,1,1,1469988000,-1,0,0,0,7288,-1,1,-1,-1,-1,-1,-1,-1,3,2,0,2,5,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,KV Kortrijk,KAA Gent,1.2,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30,True,True,False,False,False,False,True,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-07-31 18:00:00
2016-2017,2,1,0,1,2,5,7,1,1,0,0,6,6,8,3,14,9,10,10,48,52,Versluys Arena,"Leopold van Tyghemlaan 62, Mariakerke, Oostende",1,1,4.38,4.05,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1470421800,531,0,0,0,8432,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,1,1,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,50,50,50,KV Oostende,Club Brugge,1.9,1.2,0.0,3.0,0.0,3.0,50,0,0.0,0.0,0.0,40,True,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-05 18:30:00
2016-2017,2,0,1,1,2,4,6,3,2,0,0,3,6,3,4,6,10,21,18,57,43,Stade Le Canonnier,"Rue du Stade 33, Moeskron",3,2,2.78,3.4,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1470499200,529,0,50,0,1500,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,0,3,2,-1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,0,50,Royal Excel Mouscron,Sporting Charleroi,0.93,1.1,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0,30,True,False,False,False,False,False,False,Belgium_Pro_League,,,,,,,,,,,,,,,,,,,,,2016-08-06 16:00:00
