team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Aldosivi,9,4,5,0.0,2.25,3.0,90.25,0.25,3.25,4.5,0.0,61.5,1.0,1.5,17.75,8.25,6.5,0.25,0.25,0.0,0.0,0.0,45.5,0.0,11.0,8.0,3.0,24.25,1.35,3.25,0.0,1.2,1.8,86.0,0.2,2.2,4.0,0.2,55.2,0.8,2.2,13.2,11.8,10.8,1.6,0.4,0.2,0.2,0.0,52.2,0.2,11.2,10.2,1.0,24.6,1.18,1.8,1.33,8.44,1.33,0.33,0.33,0.67,0.0,0.67,0.67,4.0,4.44,66.67,44.44,11.11,11.11,0.0,0.0,33.33,3.0,3.2,3.02,3.02,4.82,5.18,1.62,3.88,2.23,1.22,1.54,2.36,1.82,2.46,1.96,1.58,1.62,2.87,5.79,1.66,3.35,2.27,1.31,1.56,2.53,1.84,2.34,1.98,1.59,1.67,3.08,6.27,0.0,1.67,2.33,87.89,0.22,2.67,4.22,0.11,58.0,0.89,1.89,15.22,10.22,8.89,0.11,0.11,0.0,49.22,0.11,11.11,9.22,1.89,24.44,1.26,2.44
Argentinos Juniors,8,5,3,0.0,0.6,2.8,107.4,-0.2,1.2,5.4,-0.2,80.0,0.6,0.8,7.2,12.8,5.2,0.2,0.6,0.0,0.0,0.0,61.8,0.0,17.2,10.8,6.4,19.2,2.11,1.2,0.0,1.67,2.67,86.67,0.0,2.67,5.0,0.0,57.33,1.0,2.33,13.33,16.0,8.67,1.0,0.67,0.0,0.0,0.0,63.33,0.0,11.0,7.0,4.0,18.0,1.39,2.67,1.12,7.25,1.12,0.38,0.12,0.38,0.25,0.62,0.5,2.12,3.88,62.5,37.5,12.5,0.0,0.0,0.0,37.5,1.71,1.77,3.21,3.42,2.53,2.6,1.57,3.48,2.3,1.25,1.58,2.26,1.82,2.54,1.93,1.56,1.49,2.48,5.0,1.59,3.29,2.41,1.3,1.59,2.5,1.96,2.37,1.88,1.58,1.55,2.73,5.47,0.0,1.0,2.75,99.63,-0.12,1.75,5.25,-0.12,71.5,0.75,1.37,9.5,14.0,6.5,0.0,0.0,0.0,62.37,0.0,14.88,9.38,5.5,18.75,1.84,1.75
Atlético Tucumán,10,5,5,0.0,1.4,3.4,75.8,0.0,2.0,7.2,0.6,66.8,0.6,3.8,12.2,14.0,7.4,1.0,1.2,0.4,0.4,0.0,53.6,0.0,16.4,11.4,5.0,26.2,1.86,2.0,0.0,3.0,2.0,90.8,0.0,4.4,3.4,0.2,57.6,1.4,1.4,13.0,11.6,7.2,2.2,1.0,0.4,0.4,0.0,49.8,0.6,10.0,7.2,2.8,24.0,1.25,3.8,2.7,8.2,2.7,0.9,0.3,0.8,0.7,1.5,1.2,4.5,3.7,90.0,90.0,70.0,20.0,0.0,0.0,70.0,2.32,2.44,3.02,3.11,3.71,4.17,1.56,3.55,2.36,1.25,1.68,2.12,1.72,2.38,2.04,1.64,1.5,2.52,4.8,1.58,3.33,2.41,1.31,1.68,2.27,1.77,2.24,2.05,1.64,1.55,2.72,5.42,0.0,2.2,2.7,83.3,0.0,3.2,5.3,0.4,62.2,1.0,2.6,12.6,12.8,7.3,0.4,0.4,0.0,51.7,0.3,13.2,9.3,3.9,25.1,1.56,2.9
Banfield,10,6,4,0.0,1.83,3.33,88.17,0.0,3.0,5.5,0.67,54.67,1.17,2.17,9.17,12.0,7.5,1.0,1.5,0.0,0.0,0.0,46.5,0.17,14.67,10.33,4.33,26.83,1.62,2.83,0.0,1.25,0.25,84.0,0.25,2.25,1.5,0.0,42.25,0.75,1.25,12.0,13.75,10.25,1.75,0.5,0.0,0.0,0.0,34.75,0.25,7.0,4.75,2.25,21.0,0.91,1.75,2.4,8.7,2.4,0.3,0.7,1.3,0.1,1.4,1.0,4.7,4.0,100.0,80.0,50.0,10.0,0.0,0.0,50.0,2.48,2.66,3.1,3.16,4.5,4.92,1.57,3.5,2.33,1.25,1.63,2.19,1.77,2.42,1.98,1.59,1.53,2.51,4.94,1.57,3.37,2.47,1.33,1.66,2.31,1.77,2.24,2.06,1.64,1.55,2.74,5.51,0.0,1.6,2.1,86.5,0.1,2.7,3.9,0.4,49.7,1.0,1.8,10.3,12.7,8.6,0.0,0.0,0.0,41.8,0.2,11.6,8.1,3.5,24.5,1.34,2.4
Barracas Central,10,5,5,0.0,2.2,0.8,98.4,0.0,3.0,1.8,0.2,50.4,0.8,1.0,13.0,12.4,10.4,0.8,1.4,0.2,0.2,0.0,46.0,0.0,11.0,7.0,4.0,18.2,1.34,3.0,0.2,0.6,-0.2,73.8,0.0,1.8,0.8,-0.4,48.6,1.2,-0.2,11.2,12.0,9.8,1.0,0.6,0.0,0.0,0.0,32.6,0.0,7.8,4.4,3.4,19.2,1.08,1.8,1.9,5.6,1.9,0.2,0.5,1.0,0.2,1.2,0.7,1.6,2.1,90.0,70.0,30.0,0.0,0.0,0.0,50.0,3.28,3.53,3.06,3.28,5.93,7.25,1.65,3.9,2.23,1.2,1.5,2.45,1.82,2.51,1.94,1.56,1.62,2.89,5.93,1.59,3.36,2.42,1.31,1.53,2.63,1.93,2.41,1.89,1.55,1.65,3.01,6.09,0.1,1.4,0.3,86.1,0.0,2.4,1.3,-0.1,49.5,1.0,0.4,12.1,12.2,10.1,0.1,0.1,0.0,39.3,0.0,9.4,5.7,3.7,18.7,1.21,2.4
Belgrano,10,4,6,0.0,2.25,0.75,99.25,0.0,3.0,4.75,0.25,55.5,0.75,1.75,12.25,11.75,6.75,0.5,1.25,0.0,0.0,0.0,55.25,0.0,11.75,8.5,3.25,21.75,1.37,3.0,0.0,0.67,1.33,89.0,0.17,1.67,2.83,0.0,51.67,1.0,0.67,9.17,8.17,10.33,0.83,1.0,0.0,0.0,0.0,46.83,0.0,11.0,7.67,3.33,19.67,1.3,1.67,1.8,7.9,1.8,0.4,0.1,0.6,0.7,1.3,0.5,2.4,3.6,80.0,50.0,30.0,20.0,0.0,0.0,50.0,1.98,2.01,3.04,3.08,3.69,3.75,1.58,3.53,2.26,1.24,1.63,2.18,1.72,2.44,2.02,1.63,1.52,2.63,5.11,1.61,3.39,2.38,1.32,1.62,2.4,1.76,2.23,2.06,1.64,1.57,2.79,5.63,0.0,1.3,1.1,93.1,0.1,2.2,3.6,0.1,53.2,0.9,1.1,10.4,9.6,8.9,0.0,0.0,0.0,50.2,0.0,11.3,8.0,3.3,20.5,1.33,2.2
Boca Juniors,10,6,4,0.0,0.5,2.5,102.5,0.0,2.17,5.5,0.17,50.33,1.67,3.0,9.67,16.5,7.83,0.33,0.83,0.17,0.17,0.0,65.0,0.0,11.83,8.67,3.17,22.0,1.34,2.17,0.0,1.0,2.25,86.75,0.0,1.75,4.75,0.0,51.0,0.75,2.5,7.5,10.5,8.5,1.25,1.5,0.0,0.0,0.0,57.0,0.0,11.5,7.25,4.25,18.25,1.4,1.75,1.8,8.4,1.8,0.5,0.3,0.5,0.5,1.0,0.8,4.3,4.1,80.0,70.0,30.0,0.0,0.0,0.0,50.0,1.71,1.74,3.22,3.22,2.62,2.83,1.4,3.28,2.09,1.11,1.39,2.09,1.6,2.14,1.78,1.43,1.53,2.71,4.76,1.6,3.29,2.37,1.3,1.56,2.54,1.81,2.3,2.02,1.62,1.59,2.83,5.76,0.0,0.7,2.4,96.2,0.0,2.0,5.2,0.1,50.6,1.3,2.8,8.8,14.1,8.1,0.1,0.1,0.0,61.8,0.0,11.7,8.1,3.6,20.5,1.36,2.0
Central Córdoba SdE,10,5,5,0.0,2.2,1.8,92.0,0.0,2.4,4.8,0.0,52.8,0.2,3.0,10.6,11.6,9.4,0.2,0.8,0.0,0.0,0.0,49.2,0.0,10.4,7.8,2.6,18.6,1.22,2.4,0.0,2.2,1.6,81.6,0.0,3.2,3.0,0.4,45.0,1.0,1.4,14.2,14.2,11.4,1.2,0.2,0.2,0.2,0.0,41.6,0.0,6.8,4.4,2.4,17.8,0.93,3.2,1.2,8.5,1.2,0.3,0.1,0.7,0.1,0.8,0.4,4.4,4.1,80.0,40.0,0.0,0.0,0.0,0.0,10.0,3.07,3.38,2.84,2.98,4.71,5.53,1.65,3.9,2.18,1.2,1.56,2.34,1.81,2.54,1.92,1.54,1.62,2.81,6.02,1.71,,2.17,,1.56,2.57,1.87,2.37,1.94,1.57,1.69,3.16,6.37,0.0,2.2,1.7,86.8,0.0,2.8,3.9,0.2,48.9,0.6,2.2,12.4,12.9,10.4,0.1,0.1,0.0,45.4,0.0,8.6,6.1,2.5,18.2,1.08,2.8
Defensa y Justicia,10,5,5,0.0,1.6,1.8,84.8,0.0,2.6,4.4,0.4,53.8,0.6,2.6,9.4,9.0,9.6,0.8,0.8,0.2,0.2,0.0,51.2,0.4,11.0,6.6,4.4,19.2,1.39,1.8,0.2,1.6,1.4,67.0,0.0,1.6,2.6,0.4,39.6,0.0,1.2,8.4,13.2,9.4,0.8,1.8,0.2,0.2,0.0,48.4,0.0,7.8,4.6,3.2,22.2,1.0,1.6,2.1,7.5,2.1,0.2,0.6,0.6,0.7,1.3,0.8,3.6,3.9,70.0,60.0,20.0,20.0,20.0,10.0,60.0,2.83,2.95,2.86,2.93,3.83,4.13,1.62,3.68,2.21,1.22,1.6,2.17,1.8,2.47,1.94,1.56,1.54,2.7,5.49,1.66,,2.25,,1.62,2.39,1.88,2.38,1.93,1.58,1.62,2.97,6.15,0.1,1.6,1.6,75.9,0.0,2.1,3.5,0.4,46.7,0.3,1.9,8.9,11.1,9.5,0.2,0.2,0.0,49.8,0.2,9.4,5.6,3.8,20.7,1.19,1.7
Deportivo Riestra,10,5,5,0.0,2.2,2.6,90.0,0.0,4.0,5.8,1.0,65.8,1.8,3.2,17.6,10.2,8.6,0.4,0.2,0.0,0.0,0.0,50.2,0.0,11.8,7.8,4.0,26.8,1.5,4.0,0.0,2.6,2.0,94.4,0.4,4.4,2.8,0.0,55.2,1.8,0.8,17.6,8.4,9.0,0.8,0.2,0.0,0.0,0.0,32.2,0.0,8.8,6.0,2.8,17.2,1.16,4.4,0.8,8.1,0.8,0.2,0.2,0.3,0.1,0.4,0.4,4.3,3.8,60.0,20.0,0.0,0.0,0.0,0.0,20.0,2.39,2.46,2.76,2.81,4.37,4.79,1.75,4.35,2.05,1.16,1.46,2.59,1.82,2.5,1.89,1.55,1.75,3.34,6.95,1.81,,2.04,,1.45,2.9,1.81,2.29,2.02,1.62,1.88,3.75,7.02,0.0,2.4,2.3,92.2,0.2,4.2,4.3,0.5,60.5,1.8,2.0,17.6,9.3,8.8,0.0,0.0,0.0,41.2,0.0,10.3,6.9,3.4,22.0,1.33,4.2
