team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Cercle Brugge,14,8,6,0.0,0.88,2.62,107.75,0.0,1.38,4.38,0.25,47.75,0.5,1.75,8.62,13.25,7.25,2.0,1.62,0.5,0.5,0.0,51.62,0.0,15.12,10.38,4.75,23.62,1.64,1.38,0.0,1.0,2.33,108.33,0.0,2.5,4.33,0.83,52.0,1.33,2.0,12.83,10.17,7.83,0.83,0.83,0.0,0.0,0.0,49.83,0.17,13.5,9.33,4.17,23.33,1.53,2.17,2.79,9.29,2.79,0.71,0.86,0.57,0.64,1.21,1.57,4.0,5.29,85.71,85.71,50.0,28.57,21.43,7.14,64.29,2.36,2.42,3.46,3.62,3.05,3.32,1.32,2.55,3.12,1.47,2.19,1.66,1.45,1.74,2.57,2.0,1.23,1.77,2.95,1.36,2.62,3.23,1.51,2.33,1.65,1.5,1.76,2.55,2.07,1.24,1.78,2.88,0.0,0.93,2.5,108.0,0.0,1.86,4.36,0.5,49.57,0.86,1.86,10.42,11.93,7.5,0.29,0.29,0.0,50.85,0.07,14.43,9.93,4.5,23.5,1.59,1.72
Club Brugge,14,6,8,0.0,1.33,4.33,122.17,0.0,1.67,6.83,0.83,67.5,0.17,2.5,10.17,12.17,6.83,1.17,2.33,0.0,0.0,0.0,63.67,0.17,16.33,11.33,5.0,22.67,1.87,1.33,0.12,1.12,4.12,107.12,0.0,1.62,6.75,0.12,57.88,0.5,2.62,9.5,12.5,7.5,0.75,0.88,0.0,0.0,0.0,60.75,0.0,15.0,10.25,4.75,18.5,1.7,1.62,2.43,10.79,2.43,0.57,0.36,0.86,0.64,1.5,0.93,4.93,5.86,100.0,57.14,35.71,7.14,7.14,7.14,42.86,1.55,1.54,4.42,4.71,1.64,1.73,1.26,2.24,3.52,1.6,2.13,1.67,1.46,1.87,2.56,1.98,1.17,1.58,2.42,1.33,2.3,3.28,1.66,2.32,1.66,1.52,1.8,2.49,2.03,1.18,1.58,2.44,0.07,1.21,4.21,113.57,0.0,1.64,6.78,0.42,62.0,0.36,2.57,9.79,12.36,7.21,0.0,0.0,0.0,62.0,0.07,15.57,10.71,4.86,20.29,1.77,1.5
FCV Dender EH,14,7,7,0.0,0.71,1.14,94.86,-0.14,1.0,3.43,0.0,43.29,0.29,1.14,8.86,12.14,9.71,1.29,0.43,0.14,0.14,0.0,51.29,0.0,10.14,6.86,3.29,23.71,1.19,1.0,0.29,1.43,1.43,89.29,0.14,2.29,3.14,0.14,36.86,0.57,1.71,12.0,11.71,10.0,2.0,0.71,0.0,0.0,0.0,41.86,0.43,10.57,6.43,4.14,17.57,1.23,1.57,2.21,8.64,2.21,0.5,0.21,0.71,0.79,1.5,0.71,3.5,4.21,85.71,71.43,42.86,21.43,0.0,0.0,50.0,3.4,3.49,3.75,3.98,5.06,5.57,1.34,2.53,3.14,1.48,2.03,1.74,1.53,2.05,2.37,1.85,1.24,1.83,3.0,1.38,2.74,3.13,1.49,2.14,1.76,1.57,1.94,2.4,1.88,1.26,1.86,3.05,0.14,1.07,1.28,92.08,0.0,1.64,3.28,0.07,40.07,0.43,1.42,10.43,11.92,9.86,0.07,0.07,0.0,46.58,0.22,10.36,6.64,3.72,20.64,1.21,1.28
KAA Gent,14,7,7,0.43,1.0,2.71,111.71,0.0,1.43,4.57,0.57,49.86,0.43,1.86,10.57,9.71,8.14,0.86,2.0,0.0,0.0,0.0,55.86,0.0,14.71,10.43,4.29,17.57,1.6,1.43,0.0,1.29,3.71,99.86,0.0,2.57,6.14,1.0,45.43,1.0,2.43,11.43,11.0,9.29,2.29,1.29,0.14,0.14,0.0,53.0,0.29,13.0,7.57,5.43,19.29,1.53,2.0,3.21,9.93,3.21,1.0,0.43,1.14,0.64,1.79,1.43,4.14,5.79,100.0,85.71,64.29,42.86,21.43,7.14,64.29,2.88,3.03,3.59,3.72,3.07,3.26,1.31,2.47,3.2,1.5,2.23,1.64,1.45,1.85,2.56,1.99,1.21,1.74,2.74,1.35,2.56,3.27,1.53,2.33,1.65,1.54,1.79,2.46,2.03,1.23,1.77,2.85,0.22,1.14,3.21,105.78,0.0,2.0,5.36,0.78,47.64,0.72,2.14,11.0,10.36,8.72,0.07,0.07,0.0,54.43,0.14,13.86,9.0,4.86,18.43,1.57,1.72
KRC Genk,14,6,8,0.0,0.67,3.83,137.33,0.0,1.5,6.33,0.33,66.0,0.67,2.5,11.0,14.5,5.33,1.33,1.33,0.0,0.0,0.0,66.67,0.17,16.5,11.17,5.33,23.67,1.9,1.17,0.12,1.5,2.62,99.5,0.12,2.0,5.12,0.88,48.75,0.5,2.5,9.38,12.12,6.88,1.25,1.38,0.0,0.0,0.0,60.88,0.0,15.25,9.88,5.38,18.88,1.69,2.0,2.64,9.64,2.64,0.64,0.93,0.64,0.43,1.07,1.57,4.43,5.21,100.0,85.71,57.14,14.29,7.14,0.0,85.71,1.7,1.82,3.87,4.01,2.52,2.54,1.28,2.38,3.34,1.54,2.27,1.63,1.53,2.04,2.38,1.84,1.18,1.68,2.63,1.4,2.54,3.04,1.55,2.32,1.67,1.6,1.99,2.31,1.83,1.22,1.71,2.74,0.07,1.14,3.14,115.71,0.07,1.79,5.64,0.64,56.14,0.57,2.5,10.07,13.14,6.22,0.0,0.0,0.0,63.36,0.07,15.79,10.43,5.36,20.93,1.78,1.64
KV Mechelen,14,7,7,0.14,1.57,2.14,84.0,0.43,2.43,4.29,0.14,47.71,0.86,2.14,10.43,11.71,11.14,1.29,1.29,0.29,0.29,0.0,48.43,0.0,10.29,6.43,3.86,20.43,1.27,2.43,0.14,1.43,3.0,82.71,0.0,2.0,5.43,0.29,42.14,0.57,2.43,8.57,10.86,8.57,1.14,1.43,0.0,0.0,0.0,49.0,0.0,10.57,6.43,4.14,21.0,1.27,2.0,2.57,12.07,2.57,0.5,0.43,0.71,0.93,1.64,0.93,5.86,6.21,92.86,85.71,42.86,28.57,7.14,0.0,78.57,2.95,3.17,3.63,3.75,3.14,3.58,1.3,2.4,3.26,1.53,2.27,1.6,1.39,1.73,2.81,2.13,1.21,1.69,2.69,1.36,2.56,3.22,1.54,2.41,1.62,1.52,1.71,2.46,2.14,1.22,1.75,2.79,0.14,1.5,2.57,83.35,0.22,2.22,4.86,0.22,44.92,0.72,2.28,9.5,11.28,9.86,0.14,0.14,0.0,48.72,0.0,10.43,6.43,4.0,20.72,1.27,2.22
KVC Westerlo,14,7,7,0.14,1.0,2.71,97.71,0.0,1.14,6.29,0.29,56.14,0.14,3.57,10.57,13.14,8.29,0.86,1.14,0.0,0.0,0.0,51.14,0.0,17.29,12.43,4.86,20.71,1.83,1.14,0.14,1.71,2.0,81.14,0.0,1.71,4.29,0.14,36.0,0.0,2.29,13.71,11.0,8.43,2.57,1.57,0.14,0.14,0.0,48.43,0.0,13.71,9.29,4.43,22.71,1.37,1.71,3.07,10.14,3.07,0.79,0.57,1.07,0.64,1.71,1.36,4.93,5.21,92.86,78.57,35.71,28.57,21.43,14.29,35.71,2.15,2.27,3.92,4.04,4.78,4.67,1.26,2.24,3.57,1.62,2.38,1.57,1.35,1.66,2.9,2.25,1.14,1.58,2.4,1.34,2.3,3.3,1.66,2.58,1.55,,1.6,,2.31,1.18,1.6,2.45,0.14,1.36,2.36,89.42,0.0,1.42,5.29,0.22,46.07,0.07,2.93,12.14,12.07,8.36,0.07,0.07,0.0,49.78,0.0,15.5,10.86,4.65,21.71,1.6,1.42
OH Leuven,14,7,7,0.29,2.57,1.43,72.57,0.0,3.0,3.14,0.71,35.14,0.43,1.71,16.0,11.71,8.71,1.14,1.43,0.0,0.0,0.0,43.29,0.0,12.86,8.43,4.43,17.86,1.37,3.0,0.0,2.14,2.71,81.14,0.0,3.29,4.71,0.29,44.86,1.14,2.0,17.57,10.29,8.29,2.0,0.71,0.0,0.0,0.0,45.29,0.14,11.0,7.71,3.29,20.0,1.25,3.14,2.64,9.57,2.64,0.86,0.29,0.86,0.64,1.5,1.14,5.07,4.5,100.0,78.57,50.0,28.57,7.14,0.0,50.0,3.15,3.2,3.57,3.6,4.22,4.46,1.34,2.64,3.05,1.44,2.0,1.76,1.43,1.74,2.6,2.02,1.27,1.87,3.14,1.39,2.82,3.08,1.45,2.1,1.79,1.5,1.76,2.52,2.06,1.29,1.95,3.26,0.14,2.36,2.07,76.86,0.0,3.14,3.92,0.5,40.0,0.78,1.86,16.78,11.0,8.5,0.0,0.0,0.0,44.29,0.07,11.93,8.07,3.86,18.93,1.31,3.07
RAAL La Louvière,14,7,7,0.0,1.0,2.71,72.29,0.29,1.71,5.0,0.14,39.43,0.71,2.29,11.43,11.86,8.29,0.43,0.57,0.0,0.0,0.0,34.86,0.0,10.0,7.57,2.43,20.86,1.01,1.71,0.14,1.43,2.29,79.86,0.0,2.29,3.29,0.29,33.43,0.71,1.0,13.14,13.57,9.57,1.57,1.0,0.0,0.0,0.0,30.71,0.14,8.29,5.86,2.43,22.57,0.94,2.0,1.79,8.07,1.79,0.5,0.36,0.57,0.36,0.93,0.86,2.93,5.14,71.43,50.0,35.71,14.29,7.14,0.0,42.86,3.8,4.01,3.53,3.6,4.08,4.35,1.38,2.77,2.88,1.4,1.91,1.85,1.58,2.01,2.31,1.81,1.31,1.97,3.46,1.4,2.94,3.02,1.42,2.01,1.87,1.63,2.04,2.27,1.79,1.33,2.06,3.55,0.07,1.21,2.5,76.08,0.14,2.0,4.15,0.22,36.43,0.71,1.64,12.28,12.72,8.93,0.0,0.0,0.0,32.79,0.07,9.14,6.72,2.43,21.72,0.98,1.86
RSC Anderlecht,14,8,6,0.12,1.88,3.62,105.88,0.0,2.88,6.75,0.38,60.75,0.88,3.12,14.38,10.5,7.38,0.88,1.75,0.12,0.12,0.0,50.88,0.12,17.62,11.75,5.88,17.5,1.96,2.62,0.17,1.67,2.67,94.0,0.0,2.67,5.83,0.17,54.83,1.0,3.17,14.33,8.33,7.0,1.0,1.17,0.17,0.17,0.0,54.67,0.33,11.83,8.17,3.67,22.5,1.4,2.33,2.43,10.21,2.43,0.5,0.36,0.93,0.64,1.57,0.86,5.07,5.14,92.86,64.29,28.57,28.57,14.29,7.14,42.86,1.85,1.97,3.67,3.81,2.62,2.77,1.31,2.49,3.14,1.49,2.14,1.68,1.46,1.89,2.56,1.96,1.22,1.73,2.81,1.35,2.6,3.27,1.52,2.26,1.68,1.52,1.82,2.51,2.0,1.24,1.79,2.91,0.14,1.79,3.21,100.79,0.0,2.79,6.36,0.29,58.21,0.93,3.14,14.36,9.57,7.22,0.14,0.14,0.0,52.5,0.21,15.14,10.22,4.93,19.64,1.72,2.5
