team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Atlético Mineiro,34,16,18,0.31,1.94,4.12,100.12,0.0,3.0,7.12,0.31,53.25,0.88,2.0,14.0,9.0,5.81,0.88,1.5,0.0,0.0,0.0,55.62,0.25,17.19,12.0,5.19,12.38,1.83,2.56,0.06,1.56,2.56,88.0,0.11,2.67,4.94,0.61,38.61,1.0,2.33,12.67,11.83,5.44,1.39,0.72,0.06,0.06,0.0,52.83,0.17,12.94,9.17,3.78,12.11,1.36,2.39,2.24,10.74,2.24,0.59,0.12,0.85,0.68,1.53,0.71,4.71,5.44,85.29,58.82,38.24,23.53,11.76,5.88,41.18,1.93,2.0,3.25,3.38,3.53,4.47,1.47,3.26,2.51,1.3,1.73,2.04,1.45,1.83,2.55,1.96,1.42,2.3,4.23,1.51,3.3,2.66,1.35,1.78,2.12,1.52,1.83,2.45,1.98,1.44,2.4,4.6,0.18,1.74,3.29,93.7,0.06,2.83,5.97,0.47,45.5,0.94,2.17,13.3,10.5,5.61,0.03,0.03,0.0,54.14,0.21,14.94,10.5,4.44,12.24,1.58,2.47
Bahia,34,17,17,0.12,1.71,2.47,93.53,0.12,2.35,4.88,0.24,51.41,0.59,2.41,12.76,11.59,5.24,0.82,1.76,0.18,0.18,0.0,56.76,0.12,14.59,9.35,5.24,12.18,1.66,2.18,0.06,1.35,2.41,82.65,-0.06,2.35,4.18,0.24,40.29,0.88,1.47,11.0,10.24,5.41,1.71,0.94,0.06,0.06,0.0,53.76,0.18,11.65,7.94,3.71,11.76,1.29,2.06,2.62,9.38,2.62,0.76,0.35,0.97,0.53,1.5,1.12,4.03,4.82,97.06,73.53,55.88,20.59,8.82,5.88,52.94,2.08,2.39,3.41,3.51,3.65,3.33,1.43,3.02,2.67,1.35,1.8,1.95,1.46,1.84,2.53,1.95,1.35,2.13,3.86,1.47,3.15,2.82,1.39,1.89,1.99,1.56,1.85,2.37,1.97,1.39,2.24,4.16,0.09,1.53,2.44,88.09,0.03,2.35,4.53,0.24,45.85,0.74,1.94,11.88,10.92,5.32,0.12,0.12,0.0,55.26,0.15,13.12,8.64,4.48,11.97,1.48,2.12
Botafogo,34,17,17,0.18,1.76,3.24,85.18,0.12,2.59,5.71,0.41,41.0,0.76,2.41,14.0,8.18,4.53,1.18,1.88,0.12,0.12,0.0,52.12,0.06,16.47,10.24,6.24,9.35,1.77,2.47,0.0,1.88,2.06,93.12,0.12,2.53,3.94,0.18,37.18,0.59,1.47,15.24,8.24,5.82,0.59,0.88,0.06,0.06,0.0,51.0,0.12,12.71,8.88,3.82,12.94,1.34,2.35,2.26,9.47,2.26,0.71,0.41,0.53,0.62,1.15,1.12,4.29,4.68,85.29,61.76,35.29,26.47,14.71,2.94,29.41,1.96,2.01,3.39,3.57,3.11,3.11,1.46,3.09,2.63,1.34,1.76,1.99,1.49,1.86,2.46,1.92,1.37,2.2,4.08,1.48,3.1,2.78,1.4,1.82,2.08,1.54,1.87,2.38,1.93,1.41,2.31,4.33,0.09,1.82,2.65,89.15,0.12,2.56,4.82,0.3,39.09,0.68,1.94,14.62,8.21,5.18,0.09,0.09,0.0,51.56,0.09,14.59,9.56,5.03,11.14,1.56,2.41
Bragantino,34,17,17,0.18,1.76,2.53,93.88,0.06,2.59,5.06,0.53,46.53,0.76,2.53,13.24,9.29,4.88,1.35,1.35,0.18,0.18,0.0,47.41,0.12,14.76,10.18,4.59,15.12,1.59,2.41,0.06,2.06,2.18,85.76,0.18,3.35,4.0,0.41,35.71,1.24,1.82,14.88,10.65,6.59,1.59,1.0,0.18,0.18,0.0,46.35,0.06,10.0,6.35,3.65,13.53,1.15,3.24,2.65,10.53,2.65,0.65,0.56,0.82,0.62,1.44,1.21,4.82,5.68,100.0,70.59,55.88,23.53,8.82,5.88,58.82,2.28,2.47,3.29,3.52,4.05,4.87,1.44,3.11,2.65,1.34,1.81,1.95,1.35,1.65,2.91,2.19,1.38,2.21,3.93,1.44,3.06,2.94,1.41,1.89,1.98,1.46,1.66,2.55,2.18,1.39,2.24,4.16,0.12,1.91,2.36,89.82,0.12,2.97,4.53,0.47,41.12,1.0,2.18,14.06,9.97,5.74,0.18,0.18,0.0,46.88,0.09,12.38,8.26,4.12,14.32,1.37,2.82
Ceará,34,17,17,0.18,1.06,1.88,87.59,0.18,2.06,4.71,0.35,36.76,0.94,1.76,14.24,10.94,5.29,0.82,1.06,0.06,0.06,0.0,43.94,0.06,13.12,8.82,4.29,10.65,1.4,1.94,0.0,1.88,1.53,72.65,0.06,2.65,3.47,0.24,23.82,0.71,1.65,13.76,9.24,6.18,1.06,0.82,0.0,0.0,0.0,40.47,0.06,10.82,6.76,4.06,11.0,1.14,2.53,1.88,9.68,1.88,0.5,0.35,0.56,0.47,1.03,0.85,4.06,4.35,94.12,55.88,26.47,8.82,2.94,0.0,38.24,2.43,2.74,3.17,3.33,4.83,5.64,1.49,3.31,2.48,1.29,1.69,2.09,1.4,1.72,2.53,1.96,1.44,2.38,4.53,1.54,3.33,2.58,1.35,1.71,2.22,1.5,1.78,2.48,2.04,1.49,2.53,4.98,0.09,1.47,1.7,80.12,0.12,2.36,4.09,0.3,30.29,0.82,1.7,14.0,10.09,5.74,0.03,0.03,0.0,42.2,0.06,11.97,7.79,4.18,10.82,1.27,2.24
Corinthians,34,17,17,0.0,1.71,2.59,97.0,0.06,2.41,5.29,0.59,44.47,0.71,2.71,13.76,12.24,4.65,0.88,1.41,0.24,0.24,0.0,57.65,0.0,13.59,9.41,4.18,15.53,1.41,2.41,0.06,2.47,2.35,84.35,0.06,3.71,3.88,0.29,27.71,1.18,1.53,14.41,14.35,6.06,1.41,0.82,0.06,0.0,0.06,52.76,0.24,9.06,6.18,2.88,13.94,0.98,3.41,2.26,9.06,2.26,0.65,0.38,0.76,0.47,1.24,1.03,4.09,4.94,91.18,70.59,41.18,14.71,5.88,2.94,50.0,2.26,2.52,3.17,3.17,3.73,3.89,1.51,3.38,2.46,1.29,1.69,2.09,1.44,1.81,2.57,2.0,1.46,2.38,4.59,1.56,3.39,2.52,1.33,1.71,2.22,1.52,1.88,2.42,1.93,1.52,2.64,5.28,0.03,2.09,2.47,90.68,0.06,3.06,4.58,0.44,36.09,0.94,2.12,14.08,13.3,5.36,0.15,0.12,0.03,55.2,0.12,11.32,7.79,3.53,14.74,1.19,2.91
Cruzeiro,34,17,17,0.24,1.65,3.18,80.94,0.12,2.82,6.82,0.59,43.12,1.18,3.65,14.18,10.06,4.82,0.71,1.76,0.24,0.12,0.12,48.59,0.0,15.18,9.53,5.65,11.47,1.66,2.82,0.12,1.71,2.59,80.06,0.06,3.12,4.94,0.47,33.59,1.29,2.29,13.71,12.12,7.06,0.76,1.12,0.0,0.0,0.0,46.53,0.29,12.18,8.12,4.06,12.53,1.3,2.71,2.18,10.79,2.18,0.68,0.56,0.59,0.35,0.94,1.24,5.12,5.65,82.35,67.65,44.12,14.71,5.88,2.94,44.12,1.97,1.74,3.38,3.59,3.2,3.28,1.46,3.18,2.59,1.33,1.73,2.04,1.38,1.69,2.8,2.12,1.39,2.24,4.19,1.48,3.14,2.78,1.39,1.81,2.08,1.47,1.65,2.56,2.21,1.41,2.29,4.31,0.18,1.68,2.88,80.5,0.09,2.97,5.88,0.53,38.36,1.23,2.97,13.94,11.09,5.94,0.12,0.06,0.06,47.56,0.14,13.68,8.82,4.85,12.0,1.48,2.76
Flamengo,34,17,17,0.29,1.12,3.06,105.29,0.06,2.06,6.82,0.71,52.53,0.82,3.12,14.35,9.41,3.47,0.47,2.47,0.24,0.18,0.06,61.76,0.12,16.71,10.59,6.12,9.41,1.86,1.82,0.18,1.71,2.59,111.35,-0.06,2.71,5.94,0.24,57.29,0.88,2.35,13.65,10.41,4.0,0.88,1.65,0.18,0.18,0.0,63.0,0.18,13.71,9.06,4.65,12.59,1.61,2.41,2.74,10.21,2.74,0.71,0.35,0.97,0.71,1.68,1.06,4.5,4.53,91.18,73.53,50.0,26.47,17.65,8.82,44.12,1.45,1.42,3.98,4.28,1.91,1.96,1.42,3.02,2.76,1.37,1.65,2.16,1.38,1.79,2.56,1.97,1.31,2.12,3.77,1.47,2.99,2.85,1.43,1.68,2.28,1.52,1.78,2.44,2.03,1.41,2.25,4.2,0.24,1.42,2.82,108.32,0.0,2.39,6.38,0.48,54.91,0.85,2.74,14.0,9.91,3.74,0.21,0.18,0.03,62.38,0.15,15.21,9.83,5.39,11.0,1.74,2.11
Fluminense,34,17,17,0.06,1.29,2.53,104.24,0.06,1.94,5.53,0.71,52.06,0.65,3.0,13.53,10.53,4.47,0.65,1.35,0.06,0.06,0.0,53.71,0.0,14.65,10.24,4.41,13.06,1.61,1.94,0.06,1.18,2.47,89.41,0.0,2.41,3.53,0.29,33.88,1.12,1.06,12.06,11.24,5.18,1.59,1.0,0.12,0.12,0.0,52.82,0.18,9.76,6.53,3.24,13.88,1.1,2.12,2.29,9.24,2.29,0.68,0.26,0.79,0.56,1.35,0.94,4.18,5.06,94.12,67.65,38.24,14.71,8.82,5.88,41.18,2.04,2.12,3.18,3.29,3.41,3.62,1.51,3.37,2.48,1.29,1.68,2.12,1.47,1.87,2.52,1.94,1.46,2.4,4.63,1.55,3.33,2.57,1.35,1.72,2.21,1.52,1.88,2.43,1.92,1.51,2.58,5.12,0.06,1.23,2.5,96.82,0.03,2.17,4.53,0.5,42.97,0.89,2.03,12.8,10.89,4.82,0.09,0.09,0.0,53.27,0.09,12.2,8.39,3.82,13.47,1.36,2.03
Fortaleza,34,17,17,0.24,2.41,3.65,93.71,0.12,3.59,7.0,0.71,41.29,1.0,3.35,13.71,9.24,5.06,1.29,1.18,0.18,0.12,0.06,48.53,0.41,15.76,10.65,5.12,9.53,1.65,3.0,0.06,1.76,1.71,78.82,0.18,2.76,4.71,0.29,31.88,0.94,1.94,14.76,9.88,5.76,1.82,1.0,0.06,0.06,0.0,42.82,0.12,10.76,7.06,3.71,11.06,1.17,2.59,2.65,11.0,2.65,0.65,0.65,0.85,0.5,1.35,1.29,4.68,5.62,91.18,76.47,47.06,26.47,20.59,2.94,50.0,2.53,2.57,3.35,3.6,4.58,5.68,1.44,3.05,2.64,1.34,1.78,1.96,1.38,1.76,2.77,2.11,1.37,2.18,3.91,1.45,3.09,2.9,1.4,1.91,1.96,1.48,1.69,2.53,2.15,1.37,2.18,4.0,0.15,2.08,2.68,86.26,0.15,3.18,5.86,0.5,36.58,0.97,2.64,14.24,9.56,5.41,0.12,0.09,0.03,45.68,0.26,13.26,8.86,4.42,10.3,1.41,2.8
