team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Atlético Mineiro,5,3,2,0.33,1.67,2.33,85.67,0.0,1.67,4.33,0.33,29.33,0.0,2.0,13.33,18.0,10.0,1.67,2.0,0.0,0.0,0.0,48.67,0.0,13.0,8.67,4.33,18.0,1.34,1.67,0.0,1.0,1.0,79.0,0.0,2.0,7.5,-0.5,37.0,0.5,-0.5,6.5,14.0,6.5,1.5,0.5,0.0,0.0,0.0,44.5,0.5,10.0,8.0,2.0,17.0,1.04,1.0,3.0,13.2,3.0,0.8,0.4,1.0,0.8,1.8,1.2,3.4,5.8,100.0,60.0,60.0,40.0,20.0,20.0,60.0,2.27,2.29,3.43,3.52,3.34,3.7,1.42,2.97,2.72,1.37,1.9,1.83,1.43,1.81,2.58,2.07,1.31,2.03,3.47,1.42,3.08,2.98,1.4,1.94,1.92,1.46,1.72,2.55,2.1,1.36,2.13,3.78,0.2,1.4,1.8,83.0,0.0,1.8,5.6,-0.0,32.4,0.2,1.0,10.6,16.4,8.6,0.0,0.0,0.0,47.0,0.2,11.8,8.4,3.4,17.6,1.22,1.4
Atlético PR,4,2,2,0.5,1.0,4.0,92.0,0.0,2.0,8.0,0.0,33.5,1.0,4.0,15.0,11.5,4.5,1.0,1.0,0.5,0.5,0.0,56.0,0.0,16.0,11.0,5.0,23.5,1.6,2.0,0.5,0.5,2.5,83.0,0.0,1.5,4.0,0.0,35.5,1.0,1.5,14.0,15.5,8.5,0.5,1.0,0.0,0.0,0.0,45.0,0.0,12.0,8.0,4.0,23.5,1.3,1.5,1.75,10.25,1.75,0.5,0.75,0.25,0.25,0.5,1.25,4.5,5.75,100.0,50.0,25.0,0.0,0.0,0.0,50.0,2.34,2.36,3.24,3.18,4.03,4.1,1.46,3.13,2.52,1.34,1.81,1.91,1.4,1.65,2.81,2.13,1.38,2.24,4.0,1.5,3.3,2.7,1.34,1.86,1.98,1.5,1.73,2.48,2.08,1.41,2.3,4.3,0.5,0.75,3.25,87.5,0.0,1.75,6.0,0.0,34.5,1.0,2.75,14.5,13.5,6.5,0.25,0.25,0.0,50.5,0.0,14.0,9.5,4.5,23.5,1.45,1.75
Bahia,4,2,2,0.0,0.5,2.5,113.5,0.0,1.5,6.5,0.5,33.0,0.5,4.0,14.0,15.5,8.0,1.0,1.0,0.0,0.0,0.0,52.5,0.5,16.0,10.0,6.0,18.5,1.68,0.5,0.0,3.0,1.0,83.5,0.0,4.5,5.0,1.0,23.5,1.5,4.0,13.5,14.0,10.5,0.5,1.5,0.5,0.5,0.0,39.5,0.5,9.5,5.0,4.5,22.5,1.1,4.0,2.0,10.5,2.0,0.5,1.25,0.25,0.0,0.25,1.75,6.5,4.0,100.0,75.0,25.0,0.0,0.0,0.0,75.0,1.95,1.96,3.28,3.39,2.99,3.3,1.39,2.78,2.83,1.39,1.98,1.76,1.52,1.9,2.42,1.9,1.29,1.98,3.32,1.41,3.0,3.03,1.42,2.08,1.81,1.58,1.86,2.31,1.93,1.31,1.99,3.42,0.0,1.75,1.75,98.5,0.0,3.0,5.75,0.75,28.25,1.0,4.0,13.75,14.75,9.25,0.25,0.25,0.0,46.0,0.5,12.75,7.5,5.25,20.5,1.39,2.25
Botafogo,3,1,2,0.0,0.0,1.0,62.0,0.0,1.0,3.0,1.0,28.0,1.0,2.0,10.0,12.0,6.0,0.0,4.0,0.0,0.0,0.0,46.0,0.0,10.0,5.0,5.0,10.0,1.18,1.0,0.0,1.5,1.0,81.5,0.5,3.0,1.0,0.0,15.0,1.5,0.0,12.5,15.5,6.5,3.0,1.5,0.0,0.0,0.0,54.5,0.0,7.0,3.5,3.5,17.0,0.81,3.0,4.33,6.67,4.33,0.33,0.67,3.0,0.33,3.33,1.0,3.67,3.0,100.0,66.67,66.67,66.67,33.33,33.33,33.33,2.5,2.45,3.15,3.19,3.8,4.23,1.48,3.03,2.44,1.32,1.84,1.88,1.47,1.88,2.46,1.92,1.4,2.23,3.85,1.48,3.31,2.74,1.35,1.86,2.0,1.56,1.87,2.32,1.92,1.42,2.32,4.17,0.0,1.0,1.0,75.0,0.33,2.33,1.67,0.33,19.33,1.33,0.67,11.67,14.33,6.33,0.0,0.0,0.0,51.67,0.0,8.0,4.0,4.0,14.67,0.93,2.33
Bragantino,4,2,2,0.0,2.5,-0.5,70.5,0.0,4.0,4.0,0.0,49.5,1.5,0.5,14.0,12.0,7.0,0.5,1.0,0.0,0.0,0.0,43.5,1.0,13.0,9.0,4.0,17.0,1.45,3.0,0.0,2.5,2.0,106.5,0.0,5.0,4.0,1.0,40.0,2.5,2.0,21.5,12.5,6.5,1.0,0.5,0.0,0.0,0.0,55.5,0.0,19.5,12.5,7.0,23.0,2.01,5.0,1.5,9.75,1.5,0.5,0.0,0.5,0.5,1.0,0.5,2.0,2.75,100.0,50.0,0.0,0.0,0.0,0.0,25.0,2.18,2.09,3.2,3.2,3.25,3.8,1.46,3.16,2.48,1.31,1.78,1.92,1.36,1.64,2.92,2.19,1.39,2.28,4.15,1.49,3.43,2.71,1.34,1.81,2.06,,1.65,,2.17,1.45,2.39,4.49,0.0,2.5,0.75,88.5,0.0,4.5,4.0,0.5,44.75,2.0,1.25,17.75,12.25,6.75,0.0,0.0,0.0,49.5,0.5,16.25,10.75,5.5,20.0,1.73,4.0
Chapecoense,3,2,1,0.0,2.0,3.0,70.5,0.0,2.5,3.5,0.0,25.5,0.5,0.5,7.0,6.0,13.0,2.5,3.5,0.5,0.5,0.0,42.5,0.0,14.5,8.5,6.0,17.0,1.52,2.5,0.0,0.0,0.0,57.0,-1.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,15.0,8.0,1.0,1.0,0.0,0.0,0.0,33.0,0.0,7.0,6.0,1.0,17.0,0.58,0.0,4.67,13.33,4.67,0.67,0.67,2.0,1.33,3.33,1.33,8.67,4.67,100.0,100.0,66.67,66.67,66.67,66.67,100.0,2.6,2.88,3.27,3.45,6.55,6.68,1.43,2.89,2.58,1.34,1.83,1.87,1.43,1.88,2.64,2.05,1.36,2.17,3.84,1.46,3.27,2.8,1.36,1.9,1.95,1.51,1.74,2.45,2.06,1.36,2.17,3.96,0.0,1.33,2.0,66.0,-0.33,1.67,2.33,0.0,20.0,0.33,0.33,8.33,9.0,11.33,0.33,0.33,0.0,39.33,0.0,12.0,7.67,4.33,17.0,1.21,1.67
Corinthians,5,3,2,0.0,2.33,3.33,97.33,0.0,3.0,5.0,0.33,32.0,0.67,1.33,15.0,19.0,4.67,1.33,1.0,0.0,0.0,0.0,64.0,0.0,13.67,10.0,3.67,19.67,1.36,3.0,0.0,2.5,1.0,69.5,0.0,3.5,1.5,0.0,9.5,1.0,0.5,10.5,15.0,12.5,0.5,1.0,0.0,0.0,0.0,48.0,0.0,4.0,2.5,1.5,19.0,0.44,3.5,2.0,9.2,2.0,0.4,0.8,0.4,0.4,0.8,1.2,4.0,5.0,100.0,80.0,20.0,0.0,0.0,0.0,40.0,1.88,1.94,3.36,3.43,3.61,4.26,1.42,2.93,2.59,1.34,1.83,1.91,1.38,1.65,2.75,2.08,1.34,2.17,3.81,1.48,3.31,2.75,1.34,1.89,2.01,1.49,1.72,2.5,2.08,1.38,2.22,4.05,0.0,2.4,2.4,86.2,0.0,3.2,3.6,0.2,23.0,0.8,1.0,13.2,17.4,7.8,0.0,0.0,0.0,57.6,0.0,9.8,7.0,2.8,19.4,0.99,3.2
Coritiba,5,2,3,0.0,1.5,1.5,81.5,0.0,3.5,2.0,0.0,15.0,1.5,0.5,5.5,19.0,10.0,1.0,0.0,0.0,0.0,0.0,35.5,0.5,13.0,11.0,2.0,15.0,1.08,2.5,0.0,1.33,2.0,63.33,0.0,1.67,4.33,0.67,30.0,0.33,2.33,14.0,9.33,10.67,1.33,2.33,0.0,0.0,0.0,36.0,0.0,9.0,6.0,3.0,15.33,1.0,1.67,2.6,11.0,2.6,0.4,0.6,0.4,1.2,1.6,1.0,3.4,7.4,100.0,60.0,40.0,20.0,20.0,20.0,40.0,2.45,2.68,3.47,3.56,5.73,6.47,1.47,3.13,2.53,1.3,1.69,2.03,1.37,1.69,2.89,2.16,1.39,2.3,4.15,1.48,3.36,2.76,1.35,1.77,2.14,1.55,1.69,2.33,2.14,1.42,2.34,4.4,0.0,1.4,1.8,70.6,0.0,2.4,3.4,0.4,24.0,0.8,1.6,10.6,13.2,10.4,0.0,0.0,0.0,35.8,0.2,10.6,8.0,2.6,15.2,1.03,2.0
Cruzeiro,5,2,3,0.5,2.5,7.0,114.0,0.5,3.0,8.5,0.5,40.0,0.5,1.5,12.0,15.5,8.0,1.5,1.0,0.0,0.0,0.0,58.0,0.5,15.0,11.5,3.5,20.5,1.49,2.5,0.0,1.0,2.33,89.33,0.33,2.0,4.67,0.0,35.67,1.0,2.33,11.67,13.33,7.0,2.67,0.67,0.33,0.33,0.0,51.33,0.0,13.0,9.0,4.0,21.33,1.36,2.0,3.0,10.4,3.0,0.8,0.4,1.2,0.6,1.8,1.2,4.0,6.4,100.0,100.0,60.0,40.0,0.0,0.0,60.0,1.62,1.56,3.52,3.69,3.72,4.31,1.42,2.97,2.66,1.35,1.8,1.97,1.41,1.77,2.69,2.05,1.34,2.09,3.59,1.46,3.29,2.79,1.36,1.81,2.1,1.5,1.75,2.48,2.05,1.37,2.18,3.9,0.2,1.6,4.2,99.2,0.4,2.4,6.2,0.2,37.4,0.8,2.0,11.8,14.2,7.4,0.2,0.2,0.0,54.0,0.2,13.8,10.0,3.8,21.0,1.41,2.2
Flamengo,4,2,2,0.5,1.5,1.5,116.5,0.0,2.0,4.0,0.5,47.0,0.5,2.0,18.5,15.0,6.0,0.5,1.5,0.5,0.5,0.0,54.5,0.0,16.5,10.5,6.0,10.5,1.8,2.0,0.0,1.5,1.5,116.0,0.0,3.0,4.0,0.0,47.0,1.0,2.5,15.5,13.0,3.5,1.5,1.5,0.0,0.0,0.0,57.5,0.5,10.5,7.0,3.5,24.0,1.26,2.0,2.5,8.75,2.5,0.25,0.75,1.25,0.25,1.5,1.0,4.5,4.0,100.0,100.0,50.0,0.0,0.0,0.0,75.0,1.44,1.5,3.79,3.94,1.88,1.94,1.41,2.84,2.75,1.36,1.7,2.05,1.55,2.14,2.4,1.87,1.29,2.08,3.59,1.48,3.01,2.82,1.4,1.76,2.13,1.64,1.88,2.28,1.91,1.39,2.19,3.98,0.25,1.5,1.5,116.25,0.0,2.5,4.0,0.25,47.0,0.75,2.25,17.0,14.0,4.75,0.25,0.25,0.0,56.0,0.25,13.5,8.75,4.75,17.25,1.53,2.0
