team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Alianza Petrolera,40,20,20,0.15,2.05,2.5,88.3,0.15,2.75,5.7,0.55,43.0,0.7,2.7,13.75,5.5,3.1,0.7,1.45,0.15,0.15,0.0,54.15,0.05,14.7,9.45,5.25,8.5,1.61,2.7,0.1,1.65,1.15,79.1,0.15,2.9,3.35,0.2,33.75,1.0,1.95,10.55,5.4,4.2,1.45,0.9,0.05,0.05,0.0,45.55,0.3,10.25,6.75,3.5,11.35,1.14,2.35,2.25,9.5,2.25,0.68,0.32,0.78,0.48,1.25,1.0,4.92,3.78,85.0,60.0,40.0,22.5,10.0,5.0,37.5,2.09,2.11,3.16,3.32,4.6,4.51,1.45,3.22,2.45,1.27,1.64,2.07,1.37,1.73,1.84,1.46,1.32,2.2,3.88,,,,,1.76,2.08,1.76,1.91,1.92,1.77,1.42,2.36,4.4,0.12,1.85,1.82,83.7,0.15,2.82,4.53,0.38,38.38,0.85,2.33,12.15,5.45,3.65,0.1,0.1,0.0,49.85,0.18,12.48,8.1,4.38,9.93,1.38,2.52
América de Cali,48,24,24,0.12,1.71,2.75,91.75,0.04,2.79,6.38,0.42,42.67,0.96,3.29,11.54,6.33,4.25,0.75,1.62,0.08,0.08,0.0,56.5,0.25,16.17,10.12,6.04,8.25,1.75,2.42,0.08,1.62,1.83,90.29,0.12,2.67,4.17,-0.04,35.79,0.92,1.71,11.92,7.08,6.12,0.92,0.88,0.08,0.08,0.0,50.0,0.21,11.58,8.17,3.42,8.79,1.24,2.33,2.08,9.54,2.08,0.56,0.31,0.71,0.5,1.21,0.88,4.19,4.33,87.5,70.83,33.33,8.33,4.17,2.08,39.58,1.85,1.95,3.31,3.41,3.02,3.32,1.48,3.23,2.48,1.31,1.65,2.13,1.57,2.03,2.02,1.62,1.39,2.28,4.16,1.68,,2.04,,1.7,2.17,1.78,1.89,1.9,1.8,1.45,2.4,4.51,0.1,1.66,2.29,91.02,0.08,2.73,5.28,0.19,39.23,0.94,2.5,11.73,6.71,5.18,0.08,0.08,0.0,53.25,0.23,13.88,9.14,4.73,8.52,1.5,2.38
Atlético Bucaramanga,42,21,21,0.14,1.86,2.38,92.1,0.05,3.43,5.38,0.38,42.67,1.48,2.52,12.62,5.62,3.52,0.76,1.52,0.33,0.24,0.1,57.71,0.14,14.14,8.57,5.57,9.0,1.59,3.19,0.1,2.1,2.33,83.38,0.1,3.19,4.43,0.29,36.81,0.95,2.0,10.33,7.86,4.43,1.14,1.05,0.14,0.14,0.0,48.52,0.38,11.05,7.38,3.67,10.62,1.22,2.67,2.24,8.79,2.24,0.62,0.52,0.71,0.38,1.1,1.14,4.12,4.26,88.1,69.05,45.24,16.67,4.76,0.0,45.24,1.99,1.77,3.22,3.45,3.5,3.57,1.5,3.36,2.43,1.29,1.64,2.14,1.56,2.04,2.03,1.61,1.44,2.36,4.38,,,,,1.73,2.12,1.82,1.9,1.87,1.79,1.42,2.33,4.34,0.12,1.98,2.36,87.74,0.08,3.31,4.9,0.34,39.74,1.22,2.26,11.48,6.74,3.97,0.24,0.19,0.05,53.11,0.26,12.6,7.98,4.62,9.81,1.4,2.93
Atlético Nacional,48,24,24,0.08,1.21,3.21,97.79,-0.04,2.46,6.42,0.67,42.96,1.21,2.71,12.33,6.75,4.12,0.88,2.0,0.21,0.21,0.0,59.71,0.08,18.25,11.75,6.5,12.17,1.92,2.33,0.12,1.75,2.88,86.71,0.12,3.62,5.38,0.38,37.21,1.5,2.33,10.75,7.88,5.62,1.12,1.38,0.38,0.38,0.0,54.88,0.5,13.5,9.0,4.5,8.08,1.44,2.75,2.69,9.79,2.69,0.81,0.67,0.75,0.46,1.21,1.48,4.67,4.62,87.5,70.83,56.25,27.08,14.58,8.33,56.25,1.51,1.52,3.67,3.83,2.25,2.29,1.4,2.89,2.78,1.38,1.76,2.01,1.51,1.93,2.18,1.72,1.27,2.03,3.49,,,,,1.87,1.96,,1.87,,1.82,1.3,1.98,3.41,0.1,1.48,3.04,92.25,0.04,3.04,5.9,0.52,40.08,1.35,2.52,11.54,7.32,4.87,0.3,0.3,0.0,57.29,0.29,15.88,10.38,5.5,10.12,1.68,2.54
Boyacá Chicó,39,19,20,0.0,1.68,3.26,88.74,0.05,3.05,5.63,0.47,36.84,1.16,2.37,10.42,7.53,4.58,1.05,0.84,0.16,0.16,0.0,54.58,0.32,11.95,8.37,3.58,8.47,1.28,2.53,0.05,1.85,1.1,80.7,0.1,2.9,2.35,0.25,26.45,0.95,1.05,11.25,8.35,5.45,2.0,0.6,0.1,0.1,0.0,40.25,0.15,8.7,5.9,2.8,9.4,0.94,2.65,2.26,9.13,2.26,0.56,0.33,0.87,0.49,1.36,0.9,4.31,4.44,84.62,71.79,33.33,17.95,10.26,5.13,38.46,3.08,3.6,3.51,3.65,7.42,7.42,1.48,3.3,2.5,1.3,1.61,2.24,1.55,1.96,2.08,1.66,1.43,2.33,4.32,,,,,1.71,2.16,1.79,1.9,1.89,1.78,1.4,2.27,4.19,0.03,1.77,2.15,84.62,0.08,2.97,3.95,0.36,31.51,1.05,1.69,10.85,7.95,5.03,0.13,0.13,0.0,47.23,0.23,10.28,7.1,3.18,8.95,1.11,2.59
Deportes Tolima,48,24,24,0.21,1.5,1.83,85.04,0.08,3.04,4.5,0.5,34.58,1.42,2.0,11.12,6.38,4.0,0.83,1.54,0.08,0.08,0.0,54.42,0.12,14.0,9.58,4.42,8.67,1.39,2.79,0.17,1.33,1.75,77.58,0.0,2.29,3.79,0.17,33.04,0.92,1.38,9.08,5.79,5.33,1.0,1.33,0.0,0.0,0.0,52.75,0.04,10.46,6.5,3.92,9.71,1.18,2.21,2.35,8.0,2.35,0.81,0.48,0.46,0.6,1.06,1.29,3.25,3.85,87.5,66.67,41.67,27.08,8.33,2.08,50.0,1.94,2.16,3.28,3.29,3.21,3.72,1.48,3.32,2.48,1.29,1.66,2.15,1.59,2.04,1.88,1.53,1.37,2.3,4.24,1.68,,2.04,,1.76,2.07,1.84,1.91,1.86,1.77,1.43,2.34,4.37,0.19,1.42,1.79,81.31,0.04,2.67,4.15,0.34,33.81,1.17,1.69,10.1,6.09,4.66,0.04,0.04,0.0,53.58,0.08,12.23,8.04,4.17,9.19,1.28,2.5
Deportivo Cali,40,20,20,0.2,1.6,2.25,87.75,0.1,2.75,5.1,0.85,42.65,1.05,2.85,14.3,6.55,3.3,1.05,0.95,0.2,0.2,0.0,51.7,0.15,12.35,8.8,3.55,9.1,1.34,2.5,0.1,2.05,2.2,83.6,0.15,3.2,4.55,0.3,37.45,1.0,2.0,12.3,5.65,4.85,1.2,0.85,0.25,0.25,0.0,50.7,0.15,10.0,6.75,3.25,9.2,1.13,2.9,2.02,9.07,2.02,0.52,0.38,0.55,0.57,1.12,0.9,4.42,4.42,80.0,60.0,32.5,22.5,5.0,2.5,40.0,2.25,2.43,3.17,3.21,4.42,5.05,1.51,3.39,2.43,1.28,1.66,2.13,1.55,2.03,2.03,1.63,1.45,2.37,4.39,,,,,1.71,2.17,1.8,1.89,1.88,1.79,1.46,2.45,4.64,0.15,1.82,2.22,85.68,0.12,2.98,4.82,0.57,40.05,1.02,2.42,13.3,6.1,4.08,0.22,0.22,0.0,51.2,0.15,11.18,7.78,3.4,9.15,1.23,2.7
Deportivo Pasto,40,20,20,0.15,2.3,1.4,83.2,0.25,4.05,4.25,0.55,36.3,1.65,2.75,13.1,5.25,4.25,1.05,1.75,0.15,0.15,0.0,45.1,0.15,12.7,8.7,4.0,8.25,1.35,3.8,0.1,2.8,1.95,74.75,0.05,4.1,3.45,0.25,23.45,1.05,1.3,13.7,6.8,4.95,1.35,0.55,0.05,0.05,0.0,42.05,0.3,10.25,6.9,3.35,8.45,1.06,3.55,2.35,8.78,2.35,0.98,0.38,0.57,0.42,1.0,1.35,4.53,3.82,95.0,67.5,42.5,17.5,7.5,5.0,45.0,2.61,3.22,3.29,3.49,5.14,5.89,1.51,3.45,2.42,1.28,1.6,2.23,1.64,2.06,2.16,1.65,1.45,2.46,4.71,1.72,1.64,2.04,2.08,1.61,2.32,1.81,1.93,1.87,1.75,1.5,2.56,4.95,0.12,2.55,1.68,78.97,0.15,4.08,3.85,0.4,29.88,1.35,2.02,13.4,6.02,4.6,0.1,0.1,0.0,43.58,0.22,11.48,7.8,3.68,8.35,1.2,3.68
Deportivo Pereira,40,20,20,0.25,2.2,2.05,78.4,0.0,3.4,4.65,0.3,32.35,1.05,1.95,14.5,4.65,4.0,1.05,1.4,0.15,0.15,0.0,45.9,0.25,11.6,7.2,4.35,7.5,1.27,3.0,0.0,2.05,2.45,73.95,0.0,3.45,4.7,0.35,31.8,1.3,2.15,11.5,5.25,4.65,1.8,0.65,0.05,0.05,0.0,44.85,0.3,10.35,7.2,3.15,8.65,1.11,3.05,2.45,9.18,2.45,0.85,0.35,0.75,0.5,1.25,1.2,4.0,4.47,87.5,67.5,45.0,27.5,12.5,5.0,45.0,2.02,2.44,3.21,3.64,3.97,5.26,1.43,3.14,2.49,1.29,1.65,2.04,1.48,1.88,2.05,1.61,1.38,2.21,4.14,,1.82,,1.92,1.79,2.04,1.76,1.91,1.95,1.78,1.4,2.26,4.14,0.12,2.12,2.25,76.18,0.0,3.42,4.68,0.32,32.08,1.18,2.05,13.0,4.95,4.32,0.1,0.1,0.0,45.38,0.28,10.98,7.2,3.75,8.07,1.19,3.02
Envigado,40,20,20,0.1,2.7,2.1,83.7,0.2,4.15,4.3,0.6,40.5,1.4,2.2,13.85,6.15,5.05,1.4,0.75,0.1,0.1,0.0,49.1,0.15,10.8,7.4,3.4,10.5,1.22,3.95,0.15,2.9,1.1,54.55,0.1,4.6,2.8,0.3,21.0,1.5,1.55,14.55,4.7,5.5,1.15,0.95,0.15,0.15,0.0,37.2,0.3,10.4,7.45,2.95,7.3,1.02,4.1,2.12,9.3,2.12,0.42,0.57,0.52,0.6,1.12,1.0,4.55,4.53,90.0,57.5,32.5,12.5,7.5,5.0,47.5,3.46,3.32,3.46,3.49,6.82,7.8,1.46,3.22,2.53,1.31,1.64,2.16,1.58,2.06,2.12,1.68,1.41,2.25,4.16,,,,,1.69,2.19,1.86,1.86,1.82,1.82,1.43,2.33,4.31,0.12,2.8,1.6,69.12,0.15,4.38,3.55,0.45,30.75,1.45,1.88,14.2,5.42,5.28,0.12,0.12,0.0,43.15,0.22,10.6,7.42,3.18,8.9,1.12,4.03
