team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Alianza Petrolera,19,9,10,0.11,2.44,2.33,89.11,0.11,4.0,4.89,0.44,41.89,1.44,2.56,13.67,13.33,6.89,1.0,0.78,0.0,0.0,0.0,49.33,0.44,11.33,8.22,3.11,18.22,1.24,3.44,0.0,1.7,1.3,65.5,0.0,2.0,3.8,0.1,23.8,0.3,1.4,9.4,10.4,8.0,1.8,0.6,0.1,0.1,0.0,42.2,0.0,10.6,8.1,2.5,18.6,1.02,2.0,2.11,9.05,2.11,0.58,0.37,0.74,0.42,1.16,0.95,3.89,4.21,89.47,63.16,31.58,15.79,10.53,0.0,42.11,2.45,2.53,3.16,3.41,4.45,5.56,1.47,3.21,2.47,1.29,1.67,2.14,1.64,2.17,2.21,1.75,1.42,2.36,4.41,,,1.66,2.28,1.79,1.91,1.93,1.82,1.45,2.41,4.57,0.05,2.05,1.79,76.68,0.05,2.95,4.32,0.26,32.37,0.84,1.95,11.42,11.79,7.47,0.05,0.05,0.0,45.58,0.21,10.95,8.16,2.79,18.42,1.12,2.68
América de Cali,21,10,11,0.0,2.3,1.8,98.7,0.1,3.4,4.6,0.1,57.4,0.9,1.3,12.4,10.5,5.2,0.4,1.6,0.3,0.3,0.0,58.1,0.3,16.9,11.7,5.2,18.0,1.84,2.9,0.0,2.45,1.09,80.09,0.0,3.91,2.64,-0.09,30.82,1.18,1.27,12.91,11.45,9.0,1.45,0.91,0.18,0.18,0.0,52.73,0.27,10.64,7.09,3.55,17.09,1.15,3.36,2.19,7.14,2.19,0.71,0.48,0.81,0.19,1.0,1.19,2.95,2.95,95.24,71.43,42.86,9.52,0.0,0.0,38.1,1.77,1.83,3.28,3.27,2.77,3.11,1.4,2.97,2.39,1.25,1.73,1.99,1.63,2.25,1.92,1.53,1.32,2.26,3.92,,,1.76,2.08,1.82,1.95,1.9,1.78,1.42,2.33,4.33,0.0,2.38,1.43,88.95,0.05,3.67,3.57,0.0,43.48,1.05,1.28,12.67,11.0,7.19,0.24,0.24,0.0,55.29,0.28,13.62,9.29,4.34,17.52,1.48,3.14
Atlético Bucaramanga,19,9,10,0.0,2.33,1.67,100.22,0.22,3.22,4.89,-0.11,42.33,0.78,1.67,13.22,9.67,5.22,0.67,2.11,0.0,0.0,0.0,54.22,0.22,14.11,9.56,4.56,16.56,1.52,2.89,0.0,1.2,2.1,92.2,0.1,1.9,4.4,0.3,34.6,0.7,2.3,9.8,9.4,7.7,1.4,0.7,0.0,0.0,0.0,48.5,0.0,12.5,8.8,3.7,17.1,1.3,1.9,2.42,8.11,2.42,0.79,0.42,0.95,0.26,1.21,1.21,3.68,3.37,78.95,78.95,52.63,21.05,10.53,0.0,47.37,1.71,1.77,3.27,3.35,3.01,3.15,1.48,3.18,2.5,1.3,1.7,2.07,1.71,2.41,2.03,1.62,1.43,2.34,4.27,,,1.74,2.13,1.84,1.86,1.89,1.86,1.43,2.36,4.45,0.0,1.74,1.9,96.0,0.16,2.53,4.63,0.11,38.26,0.74,2.0,11.42,9.53,6.53,0.0,0.0,0.0,51.21,0.1,13.26,9.16,4.11,16.84,1.4,2.37
Atlético Nacional,22,10,12,0.2,1.2,1.5,97.2,0.1,2.1,5.2,0.3,36.6,0.9,2.0,9.8,7.1,7.5,0.4,2.9,0.2,0.2,0.0,57.2,0.0,19.5,11.4,8.1,18.5,2.06,2.1,0.17,1.67,1.0,87.67,0.0,3.42,4.17,0.17,32.5,1.42,1.67,11.75,10.58,8.83,1.08,1.33,0.08,0.08,0.0,55.25,0.42,13.08,8.17,4.92,15.58,1.41,2.67,2.82,8.77,2.82,0.82,0.36,1.09,0.55,1.64,1.18,3.77,2.77,95.45,72.73,63.64,22.73,13.64,4.55,40.91,1.26,1.45,3.57,3.99,2.06,2.39,1.35,2.62,2.92,1.43,1.91,1.86,1.6,2.17,2.2,1.75,1.25,1.84,3.03,1.96,1.77,1.9,1.94,1.8,1.9,1.93,1.83,1.28,1.88,3.18,0.18,1.46,1.23,92.0,0.05,2.82,4.64,0.23,34.36,1.18,1.82,10.86,9.0,8.23,0.13,0.13,0.0,56.14,0.23,16.0,9.64,6.37,16.91,1.71,2.41
Boyacá Chicó,19,9,10,0.33,1.67,1.67,85.44,0.22,3.22,4.67,0.67,27.11,1.44,3.0,14.0,9.78,3.78,0.56,1.44,0.0,0.0,0.0,51.11,0.33,12.11,7.67,4.44,11.78,1.28,2.78,0.0,1.2,1.2,67.8,0.2,2.5,2.8,-0.1,25.3,1.3,0.5,12.7,12.1,8.1,2.7,0.2,0.0,0.0,0.0,43.0,0.1,8.4,6.4,2.0,12.3,0.86,2.4,2.47,7.89,2.47,1.11,0.11,1.0,0.26,1.26,1.21,3.21,3.21,100.0,68.42,47.37,21.05,10.53,0.0,21.05,3.17,3.52,3.5,3.76,7.0,9.48,1.44,3.1,2.56,1.31,1.63,2.24,1.73,2.38,2.02,1.61,1.4,2.28,4.18,,,1.58,2.42,1.87,1.89,1.85,1.83,1.45,2.39,4.52,0.16,1.42,1.42,76.16,0.21,2.84,3.69,0.26,26.16,1.37,1.68,13.32,11.0,6.05,0.0,0.0,0.0,46.84,0.21,10.16,7.0,3.16,12.05,1.06,2.58
Cúcuta Deportivo,19,9,10,0.11,1.89,1.33,63.11,0.22,3.56,3.56,0.0,25.22,1.33,0.67,10.0,13.11,8.22,1.44,1.33,0.33,0.33,0.0,43.11,0.67,8.44,5.33,3.11,11.11,0.94,2.56,0.0,1.1,1.3,83.5,-0.1,1.9,4.1,-0.1,34.8,0.8,0.5,10.0,9.3,11.2,2.2,1.0,0.1,0.1,0.0,49.3,0.1,9.0,5.1,3.9,17.6,1.1,1.8,3.0,9.53,3.0,0.89,0.53,0.89,0.68,1.58,1.42,2.63,3.32,94.74,89.47,52.63,42.11,21.05,0.0,63.16,2.75,2.84,3.34,3.5,4.74,5.53,1.36,2.85,2.49,1.28,1.78,1.95,1.62,2.2,1.94,1.55,1.36,2.14,3.57,,,1.82,2.01,1.82,1.92,1.9,1.8,1.37,2.19,3.96,0.05,1.47,1.31,73.84,0.05,2.69,3.84,-0.05,30.26,1.05,0.58,10.0,11.1,9.79,0.21,0.21,0.0,46.37,0.37,8.73,5.21,3.53,14.53,1.02,2.16
Deportes Tolima,22,12,10,0.17,1.42,1.58,101.67,-0.08,2.58,5.42,1.0,38.5,1.0,3.08,9.33,8.08,5.92,0.67,1.67,0.33,0.33,0.0,61.08,0.33,15.67,10.25,5.42,17.25,1.65,2.08,0.1,1.5,1.0,72.7,0.3,3.6,4.2,0.1,25.9,1.6,1.7,12.0,9.4,6.5,1.0,1.0,0.0,0.0,0.0,49.1,0.5,10.1,6.6,3.5,15.8,1.07,2.6,2.18,9.36,2.18,0.55,0.5,0.82,0.32,1.14,1.05,3.91,3.82,90.91,68.18,27.27,22.73,9.09,0.0,40.91,1.9,1.99,3.34,3.42,3.34,3.98,1.45,3.06,2.54,1.31,1.72,2.05,1.74,2.4,1.99,1.61,1.39,2.23,4.1,,,1.76,2.09,1.86,1.9,1.86,1.82,1.4,2.26,4.12,0.14,1.46,1.32,88.5,0.09,3.04,4.87,0.59,32.77,1.27,2.45,10.54,8.68,6.18,0.18,0.18,0.0,55.63,0.41,13.14,8.59,4.55,16.59,1.39,2.32
Deportivo Cali,19,10,9,0.1,1.6,2.3,97.6,0.1,3.0,6.0,0.0,36.6,1.4,1.4,13.7,8.8,4.1,0.6,1.2,0.2,0.2,0.0,55.2,0.2,14.6,10.2,4.4,17.9,1.5,2.8,0.0,1.89,2.0,86.78,0.11,3.44,4.11,0.33,35.0,1.44,2.11,14.0,11.22,8.11,1.11,0.89,0.11,0.11,0.0,47.56,0.22,11.33,7.89,3.44,17.67,1.22,3.11,1.89,9.95,1.89,0.42,0.21,0.74,0.53,1.26,0.63,3.95,3.79,89.47,57.89,26.32,10.53,5.26,0.0,42.11,2.14,2.16,3.19,3.21,3.21,3.16,1.47,3.18,2.46,1.31,1.74,2.03,1.63,2.19,2.15,1.69,1.4,2.29,4.22,,,1.76,2.11,1.89,1.91,1.84,1.82,1.44,2.4,4.52,0.05,1.74,2.16,92.47,0.1,3.21,5.1,0.16,35.84,1.42,1.74,13.84,9.95,6.0,0.16,0.16,0.0,51.58,0.21,13.05,9.11,3.95,17.79,1.37,2.95
Deportivo Pasto,21,11,10,0.18,1.18,2.09,85.36,0.0,2.45,4.36,0.73,43.0,1.18,1.64,10.09,9.36,6.64,0.91,1.27,0.18,0.18,0.0,52.36,0.18,11.82,8.55,3.27,18.64,1.29,2.18,0.0,2.9,1.9,80.9,0.1,4.6,3.7,0.3,30.4,1.4,1.8,9.8,13.8,5.4,1.8,1.5,0.2,0.2,0.0,49.9,0.7,12.2,7.7,4.5,14.6,1.31,3.6,2.71,8.05,2.71,0.71,0.43,0.81,0.76,1.57,1.14,3.81,3.81,90.48,71.43,52.38,23.81,19.05,9.52,52.38,2.53,2.54,3.13,3.22,3.88,4.24,1.52,3.25,2.41,1.28,1.71,2.06,1.76,2.51,1.95,1.57,1.44,2.35,4.51,,,1.68,2.2,1.9,2.0,1.83,1.75,1.45,2.43,4.62,0.09,2.0,2.0,83.24,0.05,3.47,4.05,0.53,37.0,1.28,1.72,9.95,11.47,6.05,0.19,0.19,0.0,51.19,0.43,12.0,8.15,3.86,16.72,1.3,2.86
Deportivo Pereira,19,9,10,0.11,2.0,1.0,62.0,0.0,2.78,3.44,-0.22,21.78,0.56,0.67,10.44,10.0,7.44,1.44,1.0,0.11,0.11,0.0,46.11,0.33,11.67,7.33,4.33,15.0,1.2,2.22,0.0,1.3,0.4,61.1,0.0,2.0,1.5,0.0,14.7,0.7,0.2,9.2,6.9,8.9,1.9,0.6,0.1,0.1,0.0,42.7,0.1,6.9,4.4,2.5,15.3,0.72,1.9,2.47,8.32,2.47,0.63,0.32,0.84,0.68,1.53,0.95,2.79,2.32,89.47,57.89,42.11,36.84,15.79,5.26,42.11,3.64,4.13,3.73,3.8,7.14,8.65,1.43,3.02,2.64,1.33,1.69,2.13,1.69,2.25,2.06,1.64,1.36,2.12,3.79,,,1.68,2.24,1.81,1.94,1.91,1.78,1.39,2.22,4.05,0.05,1.63,0.68,61.53,0.0,2.37,2.42,-0.1,18.05,0.63,0.42,9.79,8.37,8.21,0.1,0.1,0.0,44.32,0.21,9.16,5.79,3.37,15.16,0.95,2.05
Fortaleza CEIF,19,10,9,0.2,1.7,2.9,109.4,-0.1,2.3,5.0,0.4,37.9,0.5,2.1,10.7,9.8,6.8,1.0,1.4,0.1,0.1,0.0,58.9,0.1,13.4,9.0,4.4,19.3,1.44,2.1,0.0,1.78,0.89,85.11,0.22,2.44,3.44,-0.11,29.67,0.67,1.56,11.22,10.89,6.67,1.89,0.89,0.22,0.22,0.0,49.0,0.22,10.44,7.78,2.67,16.33,1.07,2.22,2.58,7.84,2.58,0.68,0.37,0.95,0.58,1.53,1.05,2.74,3.63,94.74,84.21,47.37,15.79,10.53,5.26,73.68,2.22,2.32,3.36,3.39,4.84,5.67,1.38,2.94,2.4,1.25,1.62,1.96,1.58,2.19,1.98,1.59,1.31,2.25,3.83,,,1.72,2.15,1.88,1.95,1.84,1.77,1.42,2.3,4.26,0.11,1.74,1.95,97.89,0.05,2.37,4.26,0.16,34.0,0.58,1.84,10.95,10.32,6.74,0.16,0.16,0.0,54.21,0.16,12.0,8.42,3.58,17.89,1.26,2.16
