team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Dinamo Zagreb,17,8,9,0.25,2.0,2.88,126.62,0.25,2.88,6.62,0.5,74.38,0.75,3.62,11.88,12.88,5.62,0.88,2.38,0.0,0.0,0.0,59.0,0.12,15.88,9.25,6.62,22.25,2.01,2.62,0.11,1.67,4.33,119.33,0.0,2.22,7.11,0.44,76.0,0.56,2.78,14.44,14.33,6.0,1.0,1.89,0.22,0.22,0.0,55.11,0.22,15.89,11.11,4.78,24.11,1.89,2.0,3.06,10.53,3.06,0.76,0.59,0.88,0.82,1.71,1.35,4.71,5.76,100.0,94.12,64.71,23.53,11.76,5.88,58.82,1.31,1.33,4.52,4.99,1.57,1.66,1.31,2.49,3.21,1.5,1.78,1.99,1.58,2.16,2.2,1.75,1.22,1.74,2.82,1.38,2.57,3.02,1.53,1.84,2.02,1.61,2.0,2.21,1.75,1.24,1.75,2.87,0.18,1.83,3.65,122.76,0.12,2.53,6.88,0.47,75.24,0.65,3.18,13.24,13.65,5.82,0.12,0.12,0.0,56.94,0.17,15.89,10.23,5.65,23.23,1.95,2.29
Gorica,17,9,8,0.22,1.67,2.22,102.44,0.33,2.89,3.89,0.11,52.0,1.22,1.44,11.0,13.78,8.78,1.67,1.22,0.11,0.11,0.0,51.89,0.11,11.0,6.89,4.11,22.11,1.36,2.78,0.0,1.5,1.38,98.12,0.0,2.38,5.0,0.0,55.38,0.62,2.5,12.12,13.0,8.88,1.38,1.25,0.0,0.0,0.0,43.25,0.25,12.5,8.5,4.0,18.5,1.47,1.88,2.76,8.35,2.76,0.53,0.76,0.76,0.71,1.47,1.29,3.71,3.88,100.0,82.35,52.94,35.29,5.88,0.0,70.59,3.03,3.25,3.56,3.68,5.63,5.72,1.4,2.85,2.8,1.38,1.83,1.92,1.7,2.39,2.04,1.63,1.31,2.02,3.5,1.43,3.04,2.83,1.39,1.89,1.93,1.74,2.19,2.01,1.61,1.34,2.1,3.72,0.12,1.59,1.82,100.41,0.17,2.65,4.41,0.06,53.59,0.94,1.94,11.53,13.41,8.83,0.06,0.06,0.0,47.82,0.18,11.71,7.65,4.06,20.41,1.41,2.36
HNK Vukovar 1991,17,9,8,0.0,1.0,2.0,115.89,0.0,1.89,3.44,0.0,68.67,0.78,1.44,13.44,12.44,7.67,1.22,1.44,0.11,0.11,0.0,42.67,0.11,10.44,6.67,3.78,20.56,1.43,1.67,0.12,2.0,2.5,103.62,0.12,3.25,4.0,0.25,56.25,1.0,1.5,12.12,10.12,8.5,2.38,0.62,0.0,0.0,0.0,39.38,0.38,10.25,7.25,3.0,21.12,1.27,2.62,2.82,10.65,2.82,0.82,0.53,1.06,0.41,1.47,1.35,5.24,5.35,100.0,82.35,52.94,35.29,11.76,0.0,64.71,4.46,5.11,4.03,4.22,6.65,9.38,1.36,2.73,2.96,1.43,1.81,1.93,1.6,2.18,1.92,1.54,1.28,1.91,3.17,1.39,2.68,3.03,1.49,1.88,1.98,1.72,2.14,2.05,1.65,1.29,1.92,3.28,0.06,1.47,2.24,110.12,0.06,2.53,3.7,0.12,62.83,0.88,1.47,12.82,11.35,8.06,0.06,0.06,0.0,41.12,0.24,10.35,6.94,3.41,20.82,1.35,2.12
Hajduk Split,17,8,9,0.12,1.0,4.0,124.5,0.0,1.25,5.5,0.0,67.12,0.25,1.5,12.12,15.25,5.25,0.75,1.75,0.38,0.38,0.0,60.0,0.0,15.88,10.12,5.75,23.0,1.89,1.25,0.11,1.78,2.56,100.22,-0.11,2.78,5.56,0.67,58.44,1.0,3.0,13.22,14.67,7.22,1.11,1.44,0.11,0.11,0.0,55.56,0.0,13.22,9.0,4.22,19.78,1.55,2.78,2.53,9.35,2.53,0.59,0.47,0.82,0.65,1.47,1.06,4.0,5.18,94.12,88.24,41.18,23.53,5.88,0.0,35.29,1.74,1.77,3.56,3.55,2.38,2.48,1.41,2.96,2.71,1.35,1.74,2.01,1.7,2.31,2.06,1.64,1.32,2.09,3.69,1.43,3.13,2.82,1.36,1.8,2.02,1.72,2.16,2.05,1.64,1.36,2.16,3.85,0.11,1.41,3.24,111.65,-0.06,2.06,5.53,0.35,62.52,0.65,2.29,12.7,14.94,6.29,0.24,0.24,0.0,57.65,0.0,14.47,9.53,4.94,21.3,1.71,2.06
Istra 1961,16,8,8,0.25,1.5,2.0,103.5,-0.12,1.88,4.12,0.5,57.0,0.38,1.62,10.25,11.12,9.88,1.12,1.25,0.0,0.0,0.0,49.5,0.0,12.0,8.0,4.0,20.62,1.45,1.88,0.0,0.88,1.25,108.62,0.38,1.62,3.25,0.38,55.38,0.75,2.0,11.38,11.62,9.88,1.38,1.25,0.0,0.0,0.0,48.38,0.0,8.25,5.0,3.25,23.38,1.16,1.62,2.5,9.62,2.5,0.56,0.75,0.75,0.44,1.19,1.31,4.25,4.69,93.75,75.0,56.25,12.5,6.25,6.25,62.5,2.57,2.7,3.36,3.47,3.92,4.38,1.4,2.89,2.76,1.37,1.83,1.85,1.74,2.34,1.99,1.59,1.32,2.05,3.47,1.43,3.1,2.82,1.37,1.89,1.92,1.77,2.24,1.97,1.58,1.34,2.1,3.7,0.12,1.19,1.62,106.06,0.13,1.75,3.68,0.44,56.19,0.56,1.81,10.82,11.37,9.88,0.0,0.0,0.0,48.94,0.0,10.12,6.5,3.62,22.0,1.3,1.75
Lokomotiva Zagreb,17,9,8,0.0,1.56,2.89,109.33,0.11,2.56,3.89,0.33,60.11,1.0,1.0,15.89,13.89,6.56,1.33,1.11,0.22,0.22,0.0,51.89,0.0,11.0,6.78,4.22,22.0,1.43,2.56,0.5,1.62,3.12,115.25,0.0,2.25,5.62,0.12,66.62,0.5,2.5,15.12,11.12,6.5,2.0,1.25,0.25,0.25,0.0,54.0,0.25,12.38,8.88,3.5,19.38,1.51,1.88,2.82,9.47,2.82,0.59,0.65,0.94,0.65,1.59,1.24,3.76,5.71,100.0,88.24,47.06,29.41,11.76,5.88,82.35,3.21,3.28,3.51,3.55,4.06,4.44,1.37,2.82,2.87,1.4,1.9,1.81,1.58,2.15,2.2,1.75,1.27,1.96,3.29,1.4,2.97,2.95,1.4,1.96,1.84,1.61,2.02,2.2,1.74,1.31,2.01,3.47,0.24,1.59,3.0,112.12,0.06,2.41,4.7,0.23,63.17,0.76,1.71,15.53,12.59,6.53,0.23,0.23,0.0,52.88,0.12,11.65,7.77,3.88,20.77,1.47,2.24
Osijek,17,8,9,0.0,0.88,3.38,120.75,0.12,2.0,6.62,0.62,83.75,1.12,3.12,14.88,12.5,6.38,1.38,0.88,0.0,0.0,0.0,53.38,0.12,13.75,10.0,3.75,22.62,1.74,1.88,0.11,2.0,1.67,103.56,-0.11,2.56,4.0,0.89,55.22,0.56,2.33,15.89,13.89,8.78,1.67,1.0,0.0,0.0,0.0,49.0,0.33,12.56,9.11,3.44,22.22,1.44,2.22,2.47,10.24,2.47,0.47,0.65,0.82,0.53,1.35,1.12,4.88,5.29,82.35,76.47,41.18,23.53,11.76,11.76,52.94,2.65,2.65,3.43,3.53,3.59,4.0,1.39,2.82,2.8,1.39,1.92,1.8,1.6,2.18,2.2,1.74,1.3,1.96,3.21,1.4,2.98,2.94,1.4,1.99,1.83,1.62,2.02,2.2,1.74,1.31,2.01,3.46,0.06,1.47,2.47,111.65,-0.0,2.3,5.23,0.76,68.65,0.82,2.7,15.41,13.24,7.65,0.0,0.0,0.0,51.06,0.23,13.12,9.53,3.59,22.41,1.58,2.06
Rijeka,16,8,8,0.38,1.38,3.12,111.75,0.0,2.12,6.25,0.75,67.25,0.75,3.12,12.12,15.38,6.88,1.0,2.0,0.12,0.12,0.0,52.12,0.0,16.38,11.5,4.88,24.75,1.86,2.12,0.12,2.5,3.25,112.5,0.0,3.75,6.38,0.75,58.88,1.12,3.12,12.12,13.12,7.75,1.38,1.25,0.12,0.12,0.0,49.38,0.12,15.12,11.5,3.62,22.62,1.64,3.5,2.81,10.81,2.81,0.81,0.62,0.88,0.5,1.38,1.44,5.12,5.69,87.5,81.25,50.0,37.5,18.75,6.25,62.5,2.17,2.13,3.51,3.67,2.94,3.2,1.4,2.92,2.74,1.37,1.77,1.97,1.58,2.17,1.92,1.54,1.32,2.02,3.51,1.43,3.1,2.83,1.38,1.81,2.0,1.76,2.22,2.0,1.6,1.35,2.12,3.76,0.25,1.94,3.18,112.12,0.0,2.94,6.32,0.75,63.06,0.94,3.12,12.12,14.25,7.32,0.12,0.12,0.0,50.75,0.06,15.75,11.5,4.25,23.68,1.75,2.81
Slaven Koprivnica,17,9,8,0.33,2.11,2.22,118.67,0.0,2.67,3.44,0.33,59.56,0.33,1.22,13.22,13.22,8.67,1.44,1.89,0.0,0.0,0.0,51.78,0.33,13.67,8.67,5.0,25.78,1.65,2.11,0.0,1.75,1.75,104.12,0.12,2.75,2.75,0.25,46.62,0.75,1.0,15.0,11.25,8.88,1.88,1.12,0.12,0.12,0.0,44.25,0.25,9.12,6.38,2.75,18.75,1.12,2.25,3.18,7.0,3.18,0.71,0.82,1.18,0.47,1.65,1.53,3.18,3.82,94.12,94.12,70.59,29.41,17.65,5.88,82.35,2.71,2.91,3.44,3.53,4.62,5.0,1.37,2.84,2.92,1.4,1.89,1.82,1.74,2.37,2.0,1.6,1.28,1.95,3.34,1.41,2.97,2.92,1.4,1.96,1.85,1.75,2.21,2.0,1.61,1.31,2.02,3.49,0.17,1.94,2.0,111.82,0.06,2.71,3.12,0.29,53.47,0.53,1.12,14.06,12.29,8.77,0.06,0.06,0.0,48.24,0.29,11.53,7.59,3.94,22.47,1.4,2.18
Varaždin,17,8,9,0.25,1.5,1.88,108.62,0.0,2.0,3.88,0.38,56.62,0.5,2.0,12.38,12.88,8.38,1.12,1.62,0.25,0.25,0.0,46.0,0.12,13.88,10.0,3.88,21.38,1.56,1.88,0.11,1.11,1.78,94.56,0.11,2.56,4.11,1.33,46.11,1.33,2.33,12.89,12.56,7.33,1.44,0.89,0.22,0.22,0.0,43.33,0.22,9.89,6.78,3.11,19.22,1.18,2.22,2.53,9.18,2.53,0.59,0.71,0.94,0.29,1.24,1.29,4.29,4.88,88.24,70.59,47.06,35.29,5.88,5.88,58.82,3.01,3.27,3.41,3.46,4.11,4.43,1.42,3.0,2.64,1.35,1.8,1.93,1.73,2.32,2.01,1.61,1.32,2.07,3.63,1.45,3.17,2.77,1.36,1.87,1.95,1.76,2.2,1.99,1.6,1.36,2.15,3.84,0.18,1.29,1.83,101.18,0.06,2.3,4.0,0.88,51.06,0.94,2.17,12.65,12.71,7.82,0.23,0.23,0.0,44.59,0.17,11.77,8.3,3.47,20.24,1.36,2.06
