team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
AGF,32,16,16,0.31,0.75,2.94,113.25,0.19,1.31,6.5,0.69,77.25,0.56,3.31,10.75,13.19,5.5,0.88,1.94,0.19,0.19,0.0,60.12,0.0,18.44,11.81,6.62,18.38,2.18,1.31,0.19,1.31,2.38,87.0,-0.06,1.62,4.5,0.75,44.81,0.31,2.06,11.0,13.0,7.62,1.12,1.94,0.12,0.12,0.0,47.0,0.0,12.88,8.0,4.88,19.75,1.48,1.62,2.94,9.28,2.94,0.62,0.69,0.91,0.72,1.62,1.31,4.12,4.91,90.62,81.25,53.12,25.0,21.88,12.5,71.88,1.86,1.9,3.82,3.98,2.52,2.53,1.3,2.44,3.28,1.51,2.22,1.62,1.5,1.92,2.42,1.88,1.2,1.69,2.66,1.34,2.52,3.31,1.56,2.34,1.65,1.55,1.9,2.4,1.92,1.21,1.7,2.7,0.25,1.03,2.66,100.12,0.06,1.46,5.5,0.72,61.03,0.44,2.68,10.88,13.1,6.56,0.16,0.16,0.0,53.56,0.0,15.66,9.91,5.75,19.06,1.83,1.46
Brøndby,33,17,16,0.12,1.12,2.29,99.24,0.06,1.82,4.0,0.41,58.06,0.53,1.12,13.76,12.94,7.47,1.35,1.65,0.18,0.18,0.0,51.29,0.18,14.18,9.35,4.82,19.18,1.65,1.47,0.06,1.88,2.06,93.75,0.06,2.69,4.19,0.31,53.19,0.69,2.12,11.06,12.75,6.88,0.94,1.06,0.0,0.0,0.0,51.12,0.12,14.06,9.56,4.5,19.12,1.59,2.44,2.52,8.97,2.52,0.61,0.48,0.7,0.73,1.42,1.09,4.3,4.06,87.88,69.7,45.45,24.24,15.15,9.09,39.39,2.25,2.3,3.73,3.93,2.77,2.94,1.3,2.39,3.29,1.53,2.26,1.59,1.48,1.92,2.49,1.93,1.18,1.66,2.59,1.35,2.5,3.3,1.56,2.35,1.64,1.55,1.89,2.41,1.92,1.21,1.69,2.69,0.09,1.49,2.18,96.58,0.06,2.24,4.09,0.36,55.7,0.61,1.6,12.45,12.85,7.18,0.09,0.09,0.0,51.21,0.15,14.12,9.45,4.66,19.15,1.62,1.94
Fredericia,32,16,16,0.19,1.06,3.44,89.88,-0.06,1.56,5.75,0.38,48.5,0.5,2.31,10.38,10.94,8.88,2.06,1.25,0.0,0.0,0.0,47.38,0.0,13.94,9.19,4.75,18.38,1.56,1.56,0.12,0.94,1.62,82.06,-0.06,1.25,3.81,0.19,47.0,0.31,1.69,10.31,8.56,10.31,2.19,1.56,0.06,0.06,0.0,40.88,0.06,10.38,6.81,3.56,17.0,1.24,1.19,3.53,11.31,3.53,0.88,0.94,0.84,0.88,1.72,1.81,4.69,5.84,100.0,93.75,71.88,50.0,31.25,6.25,62.5,3.86,4.15,4.19,4.5,5.26,5.74,1.26,2.25,3.54,1.61,2.29,1.58,1.39,1.76,2.75,2.1,1.15,1.54,2.33,1.33,2.28,3.35,1.68,2.39,1.62,1.48,1.68,2.53,2.18,1.17,1.55,2.36,0.16,1.0,2.53,85.97,-0.06,1.4,4.78,0.29,47.75,0.4,2.0,10.34,9.75,9.6,0.03,0.03,0.0,44.13,0.03,12.16,8.0,4.16,17.69,1.4,1.38
København,33,16,17,0.38,0.94,2.44,120.81,0.0,1.44,6.56,0.88,68.19,0.44,3.06,11.31,8.94,6.19,1.19,2.06,0.38,0.38,0.0,55.5,0.12,19.94,13.81,6.12,20.81,2.18,1.25,0.12,1.59,2.47,120.71,-0.06,2.18,5.0,0.35,56.29,0.59,1.88,12.71,11.06,7.0,1.53,2.18,0.18,0.18,0.0,54.65,0.0,15.35,9.71,5.65,20.94,1.78,2.18,3.48,10.27,3.48,0.82,0.67,0.97,1.03,2.0,1.48,4.3,4.76,96.97,93.94,72.73,42.42,27.27,12.12,66.67,1.52,1.53,4.29,4.48,1.85,1.91,1.28,2.36,3.37,1.56,2.14,1.67,1.5,1.96,2.45,1.91,1.18,1.61,2.53,1.35,2.42,3.27,1.61,2.2,1.73,1.55,1.87,2.4,1.94,1.2,1.65,2.6,0.25,1.27,2.46,120.76,-0.03,1.82,5.76,0.61,62.06,0.52,2.45,12.03,10.03,6.61,0.28,0.28,0.0,55.06,0.06,17.58,11.7,5.88,20.88,1.97,1.73
Midtjylland,32,16,16,0.19,1.31,3.62,104.81,0.12,1.94,6.19,0.5,52.56,0.62,2.56,13.12,14.69,6.25,1.5,2.69,0.06,0.06,0.0,57.5,0.0,15.19,8.75,6.44,19.56,1.79,1.94,0.12,2.19,2.06,97.31,0.19,2.94,4.75,0.5,42.94,0.62,2.69,12.5,11.81,7.5,0.75,1.81,0.12,0.12,0.0,50.19,0.31,13.44,8.56,4.88,21.25,1.5,2.5,3.38,9.78,3.38,0.81,0.59,0.91,1.06,1.97,1.41,4.44,5.34,87.5,81.25,62.5,43.75,31.25,25.0,62.5,1.64,1.68,4.12,4.37,2.06,2.12,1.25,2.23,3.52,1.61,2.37,1.55,1.44,1.84,2.57,2.0,1.14,1.54,2.32,1.35,2.26,3.29,1.69,2.52,1.57,1.52,1.8,2.46,2.01,1.17,1.55,2.36,0.16,1.75,2.84,101.06,0.16,2.44,5.47,0.5,47.75,0.62,2.62,12.81,13.25,6.88,0.09,0.09,0.0,53.84,0.16,14.32,8.66,5.66,20.4,1.64,2.22
Nordsjælland,32,16,16,0.19,1.19,2.62,111.94,0.06,1.94,6.06,0.69,61.12,0.62,3.44,10.56,8.81,6.75,1.06,1.81,0.06,0.06,0.0,60.38,0.12,15.31,8.5,6.81,15.44,1.89,1.69,0.19,1.44,1.56,102.56,0.0,2.19,3.62,0.38,44.44,0.62,2.06,11.56,12.0,8.0,1.81,1.38,0.06,0.06,0.0,54.06,0.12,11.62,7.12,4.5,17.44,1.38,1.94,3.03,8.31,3.03,0.81,0.47,1.0,0.75,1.75,1.28,4.12,4.19,96.88,75.0,59.38,31.25,28.12,12.5,53.12,2.24,2.35,3.82,4.02,3.04,3.24,1.25,2.26,3.49,1.59,2.45,1.51,1.53,2.0,2.35,1.84,1.15,1.54,2.34,1.35,2.29,3.34,1.67,2.58,1.54,1.57,1.93,2.36,1.87,1.17,1.56,2.38,0.19,1.32,2.09,107.25,0.03,2.06,4.84,0.53,52.78,0.62,2.75,11.06,10.4,7.38,0.06,0.06,0.0,57.22,0.12,13.46,7.81,5.65,16.44,1.63,1.82
OB,32,16,16,0.06,0.81,3.0,110.62,0.0,1.44,6.06,0.81,56.69,0.56,2.94,11.44,10.56,5.94,1.88,1.75,0.19,0.19,0.0,52.94,0.06,12.88,7.25,5.62,19.06,1.62,1.31,0.31,1.25,2.56,86.19,-0.06,1.69,4.81,0.25,46.19,0.38,1.75,11.25,9.38,7.62,1.88,1.44,0.12,0.12,0.0,49.88,0.12,11.44,7.44,4.0,18.19,1.34,1.5,3.47,10.47,3.47,0.84,0.88,0.97,0.78,1.75,1.72,4.75,5.12,96.88,87.5,71.88,50.0,28.12,12.5,78.12,2.51,2.57,3.82,3.98,3.6,3.73,1.27,2.34,3.39,1.57,2.35,1.55,1.41,1.8,2.67,2.05,1.16,1.6,2.44,1.34,2.43,3.3,1.59,2.48,1.58,1.52,1.77,2.46,2.07,1.19,1.62,2.53,0.18,1.03,2.78,98.4,-0.03,1.56,5.44,0.53,51.44,0.47,2.34,11.34,9.97,6.78,0.16,0.16,0.0,51.41,0.09,12.16,7.35,4.81,18.62,1.48,1.4
Randers,32,16,16,0.0,0.56,3.06,105.94,0.0,1.44,5.38,0.38,52.88,0.81,2.31,9.88,10.62,7.5,1.44,1.06,0.19,0.19,0.0,49.06,0.06,12.81,8.19,4.62,17.38,1.52,1.31,0.19,1.44,3.06,88.62,-0.06,1.94,5.31,0.44,44.94,0.5,2.25,12.12,10.69,7.69,1.5,1.0,0.06,0.06,0.0,47.81,0.0,12.06,7.88,4.19,18.75,1.38,1.94,2.5,9.88,2.5,0.69,0.72,0.59,0.5,1.09,1.41,4.5,5.34,87.5,71.88,53.12,21.88,12.5,3.12,46.88,2.52,2.73,3.67,3.78,3.26,3.37,1.31,2.45,3.15,1.5,2.23,1.61,1.45,1.88,2.54,1.99,1.2,1.7,2.68,1.34,2.55,3.3,1.54,2.39,1.62,1.51,1.8,2.46,2.02,1.22,1.73,2.76,0.1,1.0,3.06,97.28,-0.03,1.69,5.34,0.41,48.91,0.66,2.28,11.0,10.66,7.6,0.12,0.12,0.0,48.44,0.03,12.44,8.04,4.4,18.06,1.45,1.62
Silkeborg,32,16,16,0.06,0.94,2.56,90.88,-0.06,1.19,5.0,0.56,45.06,0.25,2.44,7.12,10.94,9.44,1.62,1.12,0.06,0.06,0.0,51.38,0.0,12.44,7.56,4.88,17.19,1.46,1.19,0.19,0.62,1.88,82.5,0.06,1.06,3.62,0.38,32.19,0.38,1.75,7.12,10.62,9.31,2.56,1.44,0.12,0.12,0.0,46.25,0.06,10.44,6.19,4.25,15.19,1.19,0.94,3.38,9.69,3.38,1.03,0.78,0.81,0.75,1.56,1.81,5.03,4.66,96.88,90.62,65.62,43.75,25.0,12.5,56.25,2.94,3.25,3.84,4.05,4.12,4.42,1.27,2.3,3.37,1.57,2.36,1.54,1.48,1.88,2.49,1.93,1.16,1.58,2.43,1.34,2.38,3.34,1.62,2.52,1.57,1.53,1.83,2.43,2.0,1.19,1.61,2.49,0.12,0.78,2.22,86.69,0.0,1.12,4.31,0.47,38.62,0.32,2.09,7.12,10.78,9.38,0.09,0.09,0.0,48.82,0.03,11.44,6.88,4.56,16.19,1.32,1.06
SønderjyskE,32,16,16,0.25,1.31,2.0,82.44,0.0,1.62,4.06,0.31,45.06,0.31,2.0,10.94,10.56,9.12,1.25,1.56,0.25,0.25,0.0,44.0,0.06,12.81,8.62,4.19,18.75,1.43,1.56,0.06,1.19,1.94,86.88,0.06,1.88,4.0,0.38,40.94,0.62,2.06,12.0,10.12,10.0,1.81,1.19,0.06,0.06,0.0,43.88,0.06,11.31,7.25,4.06,18.31,1.3,1.75,2.91,10.16,2.91,0.69,0.5,1.0,0.72,1.72,1.19,5.06,5.03,93.75,81.25,56.25,28.12,18.75,6.25,56.25,3.27,3.45,3.86,4.05,4.27,4.54,1.27,2.34,3.39,1.55,2.32,1.57,1.44,1.87,2.53,1.97,1.18,1.6,2.5,1.34,2.4,3.34,1.61,2.45,1.59,1.52,1.81,2.45,2.0,1.19,1.62,2.53,0.16,1.25,1.97,84.66,0.03,1.75,4.03,0.34,43.0,0.46,2.03,11.47,10.34,9.56,0.16,0.16,0.0,43.94,0.06,12.06,7.94,4.12,18.53,1.36,1.66
