team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
AFC Bournemouth,29,15,14,0.13,1.33,2.53,95.93,0.0,2.07,5.47,0.67,52.47,0.73,2.87,11.8,10.87,6.93,1.0,1.4,0.13,0.13,0.0,52.6,0.0,14.4,9.93,4.47,21.07,1.6,2.07,0.29,2.07,3.71,91.79,0.07,2.93,5.79,0.5,47.57,0.71,2.07,12.5,10.64,8.64,2.21,1.64,0.07,0.07,0.0,46.86,0.14,12.86,7.64,5.21,17.07,1.52,2.64,3.1,10.83,3.1,0.79,0.66,1.0,0.66,1.66,1.45,4.59,6.17,86.21,75.86,55.17,48.28,27.59,10.34,65.52,2.51,2.67,3.75,3.91,3.85,4.1,1.32,2.48,3.25,1.53,2.24,1.63,1.35,1.69,2.91,2.2,1.21,1.72,2.72,1.37,2.56,3.18,1.55,2.36,1.65,1.52,1.66,2.49,2.24,1.28,1.72,2.76,0.21,1.69,3.1,93.93,0.03,2.49,5.62,0.59,50.1,0.72,2.48,12.14,10.76,7.76,0.1,0.1,0.0,49.83,0.07,13.66,8.82,4.83,19.14,1.56,2.35
Arsenal,30,14,16,0.0,0.71,3.14,104.21,-0.07,0.93,5.79,0.36,65.71,0.21,2.64,10.0,11.5,4.79,0.64,2.36,0.14,0.14,0.0,57.0,0.0,15.93,11.0,4.93,16.29,1.82,0.93,0.12,1.0,2.88,97.56,0.0,1.69,5.75,0.25,57.0,0.69,2.88,10.31,10.75,5.69,0.81,1.62,0.06,0.06,0.0,55.94,0.0,12.94,8.06,4.88,17.19,1.57,1.69,2.7,9.03,2.7,0.57,0.43,0.97,0.73,1.7,1.0,4.43,4.6,93.33,73.33,53.33,30.0,20.0,0.0,50.0,1.43,1.44,4.6,4.82,1.7,1.78,1.33,2.63,3.14,1.47,1.84,1.96,1.48,1.86,2.55,1.99,1.25,1.83,3.03,1.36,2.6,3.19,1.53,1.89,2.05,1.55,1.87,2.44,1.98,1.3,1.85,3.06,0.06,0.86,3.0,100.66,-0.03,1.34,5.77,0.3,61.06,0.47,2.77,10.17,11.1,5.27,0.1,0.1,0.0,56.43,0.0,14.34,9.43,4.9,16.77,1.69,1.34
Aston Villa,29,15,14,0.07,0.87,3.0,88.33,0.0,1.4,5.73,0.53,55.73,0.47,2.73,10.13,16.47,6.67,1.0,1.4,0.0,0.0,0.0,54.0,0.07,13.6,9.07,4.53,15.13,1.58,1.27,0.07,1.43,2.14,83.86,0.0,1.86,4.86,0.14,45.5,0.43,1.71,10.71,14.86,9.86,1.36,1.29,0.0,0.0,0.0,53.21,0.0,11.5,7.36,4.14,16.0,1.35,1.86,2.52,10.0,2.52,0.62,0.45,0.76,0.69,1.45,1.07,4.07,4.9,89.66,68.97,48.28,24.14,13.79,3.45,51.72,2.29,2.38,3.6,3.75,3.3,3.23,1.35,2.66,3.06,1.46,2.12,1.7,1.4,1.77,2.73,2.09,1.25,1.83,3.01,1.38,2.77,3.12,1.47,2.2,1.75,1.52,1.75,2.49,2.11,1.29,1.88,3.09,0.07,1.14,2.58,86.17,0.0,1.62,5.31,0.34,50.79,0.45,2.24,10.41,15.69,8.21,0.0,0.0,0.0,53.62,0.04,12.59,8.24,4.34,15.55,1.47,1.55
Brentford,29,14,15,0.21,1.43,2.36,93.71,0.07,1.71,4.29,0.36,47.14,0.29,1.86,10.14,10.21,5.79,1.07,1.71,0.21,0.21,0.0,45.64,0.0,11.43,7.29,4.14,20.43,1.36,1.71,0.07,1.33,2.6,81.0,0.0,2.27,5.67,0.13,42.87,0.87,2.73,11.07,9.47,8.8,1.67,1.33,0.2,0.2,0.0,48.73,0.07,9.6,5.67,3.93,18.4,1.2,2.13,2.9,10.03,2.9,0.72,0.59,0.97,0.62,1.59,1.31,4.83,4.66,93.1,82.76,48.28,37.93,17.24,6.9,51.72,2.98,3.13,3.62,3.65,3.46,3.49,1.36,2.68,3.09,1.46,2.1,1.71,1.39,1.73,2.79,2.14,1.25,1.86,3.03,1.37,2.71,3.17,1.48,2.2,1.75,1.54,1.74,2.46,2.13,1.3,1.92,3.12,0.14,1.38,2.48,87.14,0.03,2.0,5.0,0.24,44.93,0.59,2.31,10.62,9.83,7.35,0.2,0.2,0.0,47.24,0.04,10.48,6.45,4.03,19.38,1.28,1.93
Brighton & Hove Albion,29,15,14,0.2,1.4,2.6,101.33,0.07,1.8,5.13,0.6,56.0,0.4,2.53,11.27,11.87,8.0,1.07,1.47,0.13,0.13,0.0,54.8,0.0,13.6,8.93,4.67,15.33,1.59,1.8,0.0,1.64,2.5,90.64,0.14,3.14,4.5,0.57,48.71,1.5,1.93,13.0,9.64,7.79,1.43,1.14,0.07,0.07,0.0,51.07,0.0,11.86,7.79,4.07,17.36,1.39,3.14,2.55,9.48,2.55,0.69,0.45,0.76,0.66,1.41,1.14,4.52,4.93,93.1,82.76,44.83,17.24,6.9,6.9,62.07,2.23,2.37,3.73,3.79,3.68,3.72,1.33,2.5,3.25,1.51,2.2,1.64,1.45,1.85,2.6,1.99,1.21,1.74,2.78,1.36,2.6,3.2,1.52,2.31,1.68,1.57,1.84,2.4,2.01,1.28,1.77,2.88,0.1,1.52,2.55,96.17,0.1,2.45,4.83,0.59,52.48,0.93,2.24,12.11,10.79,7.9,0.1,0.1,0.0,53.0,0.0,12.76,8.38,4.38,16.31,1.49,2.45
Burnley,29,14,15,0.0,0.86,2.07,92.71,-0.07,1.36,3.29,0.14,43.64,0.5,1.21,9.57,9.0,9.43,1.64,1.07,0.0,0.0,0.0,42.86,0.07,10.07,7.14,2.93,19.43,1.16,1.29,0.0,1.27,2.0,78.87,-0.07,2.07,3.6,0.27,35.33,0.73,1.6,10.4,10.13,11.4,2.33,1.13,0.13,0.13,0.0,39.67,0.07,8.13,5.2,2.93,17.07,0.98,1.93,3.1,9.38,3.1,0.83,0.76,0.9,0.62,1.52,1.59,4.52,4.83,96.55,89.66,51.72,37.93,24.14,6.9,58.62,4.97,5.29,4.32,4.47,7.65,8.05,1.37,2.7,3.08,1.46,1.86,1.9,1.43,1.8,2.66,2.04,1.26,1.87,3.16,1.4,2.79,3.05,1.48,1.92,1.99,1.57,1.85,2.39,2.0,1.35,1.94,3.03,0.0,1.07,2.03,85.55,-0.07,1.73,3.45,0.21,39.34,0.62,1.41,10.0,9.58,10.45,0.07,0.07,0.0,41.21,0.07,9.07,6.14,2.93,18.21,1.07,1.62
Chelsea,29,14,15,0.14,1.64,3.86,108.43,0.14,2.43,7.0,0.71,63.36,0.64,2.57,10.86,12.71,6.14,1.14,1.64,0.29,0.29,0.0,60.5,0.21,14.5,10.07,4.43,15.07,1.68,2.07,0.0,2.0,2.6,94.93,0.13,3.07,5.2,0.47,46.87,0.93,2.6,11.47,12.87,7.07,1.2,2.0,0.2,0.2,0.0,56.93,0.27,12.6,7.53,5.07,16.07,1.49,2.67,3.0,10.34,3.0,0.79,0.59,0.62,1.0,1.62,1.38,4.31,5.48,93.1,89.66,65.52,37.93,10.34,3.45,68.97,1.8,1.86,4.05,4.09,2.52,2.69,1.3,2.45,3.3,1.52,2.17,1.66,1.41,1.82,2.72,2.08,1.2,1.69,2.68,1.35,2.54,3.26,1.54,2.28,1.7,1.52,1.76,2.5,2.1,1.28,1.73,2.78,0.07,1.83,3.21,101.45,0.13,2.76,6.07,0.59,54.83,0.79,2.59,11.18,12.79,6.62,0.24,0.24,0.0,58.65,0.24,13.52,8.76,4.76,15.59,1.58,2.38
Crystal Palace,29,14,15,0.07,1.43,2.71,90.64,0.0,2.0,4.36,0.29,48.86,0.57,1.64,10.14,10.07,7.57,1.29,1.0,0.14,0.14,0.0,46.5,0.07,13.79,9.64,4.14,19.0,1.51,1.93,0.07,1.33,1.47,80.0,-0.07,2.4,3.93,0.73,40.47,1.0,2.47,11.13,10.27,7.8,1.13,1.27,0.27,0.27,0.0,44.47,0.07,9.67,6.2,3.47,15.0,1.15,2.27,2.34,9.03,2.34,0.48,0.66,0.59,0.62,1.21,1.14,4.48,4.55,86.21,68.97,48.28,17.24,10.34,3.45,51.72,2.47,2.58,3.52,3.64,3.61,3.81,1.38,2.76,2.96,1.43,2.03,1.77,1.47,1.83,2.53,1.98,1.29,1.93,3.26,1.39,2.89,3.07,1.44,2.1,1.81,1.57,1.89,2.4,1.97,1.32,1.96,3.17,0.07,1.38,2.07,85.14,-0.04,2.21,4.14,0.52,44.52,0.79,2.07,10.65,10.17,7.69,0.21,0.21,0.0,45.45,0.07,11.66,7.86,3.79,16.93,1.32,2.11
Everton,29,15,14,0.07,1.6,2.93,102.73,-0.07,2.13,5.47,0.4,57.8,0.4,1.73,10.4,12.87,5.6,1.27,1.2,0.13,0.13,0.0,48.33,0.2,12.53,8.6,3.93,20.27,1.49,1.8,0.07,1.43,1.79,86.07,0.0,2.07,3.36,0.29,39.93,0.57,1.57,10.79,12.0,10.0,1.0,1.14,0.0,0.0,0.0,39.5,0.07,9.5,6.64,2.86,17.93,1.09,1.93,2.31,9.41,2.31,0.52,0.55,0.59,0.66,1.24,1.07,4.03,4.86,93.1,72.41,34.48,13.79,13.79,3.45,44.83,2.64,2.72,3.51,3.58,4.08,4.39,1.41,2.87,2.84,1.4,1.95,1.81,1.44,1.84,2.62,2.0,1.31,2.01,3.44,1.41,3.02,3.0,1.41,2.02,1.88,1.55,1.86,2.44,2.0,1.35,2.07,3.28,0.07,1.52,2.38,94.69,-0.04,2.1,4.45,0.35,49.17,0.48,1.65,10.59,12.45,7.72,0.07,0.07,0.0,44.07,0.14,11.07,7.65,3.41,19.14,1.3,1.86
Fulham,29,15,14,0.13,1.53,2.2,90.27,-0.13,1.73,5.27,0.27,52.6,0.2,2.6,10.6,10.87,7.73,1.2,1.6,0.07,0.07,0.0,53.4,0.0,13.27,9.53,3.73,19.53,1.48,1.73,0.29,1.43,2.14,84.86,0.14,2.43,4.07,0.29,41.07,1.0,1.93,11.64,10.57,8.57,1.79,1.14,0.14,0.14,0.0,49.71,0.0,11.14,7.36,3.79,20.36,1.27,2.43,2.86,10.38,2.86,0.69,0.38,1.0,0.79,1.79,1.07,5.1,4.76,100.0,75.86,58.62,27.59,10.34,3.45,62.07,2.96,3.13,3.56,3.67,3.84,4.1,1.37,2.76,2.96,1.43,2.03,1.76,1.37,1.69,2.77,2.12,1.28,1.92,3.25,1.4,2.88,3.04,1.44,2.14,1.78,1.52,1.74,2.49,2.13,1.31,1.95,3.26,0.21,1.48,2.17,87.66,0.0,2.07,4.69,0.28,47.03,0.59,2.28,11.1,10.73,8.14,0.1,0.1,0.0,51.62,0.0,12.24,8.48,3.76,19.93,1.38,2.07
