team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Gnistan,32,16,16,0.19,1.44,3.31,84.44,0.06,2.69,5.94,0.56,48.62,1.06,1.5,11.88,3.0,5.19,2.0,1.44,0.12,0.12,0.0,45.69,0.19,11.88,7.69,4.19,20.0,1.4,2.31,0.12,1.31,2.88,79.06,0.12,2.31,5.06,0.25,41.12,0.81,2.19,10.25,4.19,6.81,2.06,1.5,0.25,0.19,0.06,44.5,0.19,10.25,5.69,4.56,18.12,1.2,1.94,3.5,12.34,3.5,0.69,0.62,1.06,1.12,2.19,1.31,5.06,6.16,90.62,87.5,68.75,50.0,28.12,12.5,65.62,3.04,3.53,4.09,4.51,4.94,5.28,1.26,2.26,3.57,1.63,2.33,1.57,1.26,1.53,3.02,2.26,1.16,1.56,2.4,1.37,2.28,3.24,1.71,2.5,1.58,1.46,1.54,2.57,2.41,1.17,1.55,2.36,0.16,1.38,3.1,81.75,0.09,2.5,5.5,0.4,44.87,0.94,1.84,11.07,3.6,6.0,0.18,0.16,0.03,45.1,0.19,11.07,6.69,4.38,19.06,1.3,2.12
HJK,32,16,16,0.31,0.81,2.62,102.81,0.0,1.06,6.0,0.25,61.0,0.25,2.06,8.5,2.62,4.62,1.81,2.56,0.38,0.38,0.0,58.94,0.0,15.0,8.75,6.25,18.5,1.82,1.06,0.19,1.06,1.88,94.88,0.06,1.69,5.31,0.38,56.19,0.62,2.38,9.38,1.81,4.94,1.44,2.06,0.12,0.12,0.0,55.12,0.06,14.44,8.12,6.31,20.94,1.76,1.62,3.94,10.72,3.94,0.91,0.75,1.09,1.19,2.28,1.66,4.12,4.72,93.75,87.5,75.0,65.62,37.5,18.75,68.75,1.78,1.98,4.12,4.49,2.16,2.18,1.25,2.22,3.66,1.64,2.36,1.57,1.28,1.58,2.92,2.17,1.14,1.53,2.34,1.35,2.2,3.32,1.74,2.64,1.55,,1.57,,2.34,1.16,1.51,2.28,0.25,0.94,2.25,98.84,0.03,1.38,5.65,0.32,58.6,0.44,2.22,8.94,2.22,4.78,0.25,0.25,0.0,57.03,0.03,14.72,8.43,6.28,19.72,1.79,1.34
Haka,27,13,14,0.08,1.62,1.69,80.38,-0.08,2.31,5.23,0.46,42.85,0.62,1.69,10.23,2.77,5.0,1.92,1.08,0.31,0.23,0.08,45.38,0.15,10.08,6.23,3.85,20.08,1.16,2.08,0.07,1.57,3.07,88.93,0.0,2.07,5.71,0.43,49.5,0.5,1.93,11.21,4.57,7.79,1.79,1.14,0.0,0.0,0.0,47.07,0.07,11.29,7.36,3.93,20.14,1.35,2.0,2.96,11.89,2.96,0.67,0.48,0.78,1.04,1.81,1.15,4.33,5.3,96.3,77.78,62.96,37.04,22.22,0.0,70.37,2.79,3.55,3.79,4.06,3.49,3.59,1.28,2.37,3.36,1.55,2.35,1.56,1.29,1.6,3.13,2.3,1.18,1.61,2.53,1.33,2.37,3.33,1.62,2.5,1.57,,1.56,,2.35,1.19,1.61,2.52,0.07,1.59,2.41,84.81,-0.04,2.19,5.48,0.44,46.3,0.56,1.81,10.74,3.7,6.45,0.15,0.11,0.04,46.26,0.11,10.71,6.82,3.89,20.11,1.26,2.04
Ilves,32,16,16,0.06,1.19,3.06,105.31,0.06,1.62,5.94,0.5,61.0,0.44,2.88,8.56,2.56,5.62,1.44,2.12,0.19,0.19,0.0,54.75,0.0,11.44,6.81,4.62,17.31,1.49,1.62,0.25,1.12,2.62,102.5,0.12,1.81,7.19,0.5,59.44,0.56,3.31,8.0,2.19,3.56,1.38,2.12,0.31,0.31,0.0,55.38,0.12,14.62,8.56,6.06,17.19,1.78,1.56,3.53,10.53,3.53,0.66,0.56,1.09,1.22,2.31,1.22,4.84,4.88,96.88,87.5,75.0,53.12,31.25,9.38,65.62,1.63,1.74,4.14,4.63,2.15,2.22,1.24,2.16,3.69,1.68,2.4,1.54,1.35,1.68,2.85,2.17,1.14,1.49,2.25,1.34,2.17,3.3,1.76,2.66,1.54,1.47,1.61,2.54,2.29,1.16,1.5,2.25,0.16,1.16,2.84,103.9,0.09,1.72,6.56,0.5,60.22,0.5,3.1,8.28,2.38,4.59,0.25,0.25,0.0,55.06,0.06,13.03,7.68,5.34,17.25,1.64,1.59
Inter Turku,32,16,16,0.31,1.06,3.19,95.38,0.0,1.38,7.44,0.88,62.38,0.25,3.19,9.31,2.12,4.25,0.94,2.0,0.12,0.12,0.0,54.56,0.06,14.25,8.88,5.38,18.31,1.72,1.25,0.12,1.06,3.19,96.56,0.0,1.75,6.5,0.44,54.5,0.69,2.25,10.44,2.25,4.62,1.12,1.75,0.12,0.12,0.0,53.19,0.06,12.88,7.81,5.06,22.56,1.56,1.69,2.91,11.16,2.91,0.91,0.53,0.66,0.81,1.47,1.44,4.41,4.94,93.75,81.25,59.38,37.5,18.75,0.0,62.5,1.72,1.62,4.18,4.54,2.09,2.17,1.27,2.31,3.44,1.58,2.22,1.62,1.3,1.6,2.85,2.15,1.16,1.58,2.43,1.37,2.32,3.23,1.66,2.45,1.61,1.46,1.59,2.59,2.31,1.18,1.58,2.43,0.22,1.06,3.19,95.97,0.0,1.56,6.97,0.66,58.44,0.47,2.72,9.88,2.18,4.44,0.12,0.12,0.0,53.88,0.06,13.57,8.35,5.22,20.43,1.64,1.47
Jaro,27,14,13,0.14,1.36,2.71,88.29,0.0,2.0,4.93,0.5,58.14,0.43,2.21,13.29,2.86,5.86,1.93,1.14,0.0,0.0,0.0,50.64,0.21,11.07,7.0,4.07,23.71,1.4,1.57,0.23,1.15,2.15,79.0,0.0,1.54,4.31,0.46,49.15,0.38,2.15,10.31,2.0,6.69,1.31,1.46,0.0,0.0,0.0,41.77,0.0,9.77,5.46,4.31,18.62,1.27,1.54,2.93,11.0,2.93,0.67,0.59,0.56,1.11,1.67,1.26,5.22,5.78,96.3,77.78,66.67,37.04,14.81,0.0,66.67,3.29,3.43,3.89,4.13,5.04,5.47,1.31,2.46,3.22,1.51,2.15,1.67,1.32,1.72,2.71,2.13,1.22,1.72,2.76,1.38,2.54,3.16,1.57,2.42,1.62,1.53,1.67,2.43,2.2,1.21,1.69,2.71,0.18,1.26,2.44,83.82,0.0,1.78,4.63,0.48,53.81,0.41,2.18,11.86,2.45,6.26,0.0,0.0,0.0,46.37,0.11,10.44,6.26,4.19,21.26,1.34,1.56
KTP,27,13,14,0.08,1.62,2.62,87.15,0.08,2.31,5.62,0.77,57.08,0.62,3.0,11.54,2.62,4.08,2.0,1.0,0.08,0.08,0.0,49.54,0.08,12.69,8.85,3.85,17.38,1.48,2.15,0.0,1.43,1.79,80.21,0.0,2.21,4.29,0.5,38.93,0.79,2.29,11.07,2.71,6.0,2.5,1.29,0.29,0.29,0.0,45.29,0.07,10.71,6.21,4.5,18.57,1.15,2.14,3.41,10.56,3.41,0.74,0.74,1.04,0.89,1.93,1.48,4.93,5.07,92.59,88.89,77.78,48.15,33.33,0.0,62.96,3.55,4.0,4.23,4.59,5.49,5.46,1.26,2.23,3.56,1.62,2.28,1.58,1.34,1.65,2.96,2.2,1.15,1.56,2.39,1.35,2.3,3.29,1.69,2.5,1.58,1.5,1.6,2.47,2.29,1.17,1.55,2.37,0.04,1.52,2.19,83.55,0.04,2.26,4.93,0.63,47.67,0.71,2.63,11.3,2.67,5.08,0.19,0.19,0.0,47.34,0.07,11.66,7.48,4.19,18.0,1.31,2.14
KuPS,32,16,16,0.12,1.38,3.06,111.12,0.06,1.69,5.88,0.69,58.56,0.31,2.81,9.0,2.88,3.75,1.31,2.25,0.12,0.12,0.0,55.38,0.06,13.94,8.06,5.88,18.69,1.59,1.62,0.06,0.88,2.56,105.19,0.06,1.69,5.38,0.25,55.12,0.75,2.38,10.38,2.69,4.06,0.81,1.62,0.06,0.06,0.0,54.62,0.06,12.19,7.5,4.69,16.69,1.5,1.56,3.0,10.28,3.0,0.69,0.5,0.84,0.97,1.81,1.19,4.66,5.16,96.88,81.25,56.25,34.38,18.75,6.25,53.12,1.88,2.24,3.9,3.94,2.33,2.45,1.29,2.38,3.3,1.55,2.25,1.61,1.38,1.71,2.81,2.13,1.19,1.63,2.6,1.35,2.42,3.32,1.61,2.49,1.58,1.46,1.66,2.58,2.2,1.2,1.64,2.57,0.09,1.13,2.81,108.16,0.06,1.69,5.63,0.47,56.84,0.53,2.6,9.69,2.78,3.9,0.09,0.09,0.0,55.0,0.06,13.06,7.78,5.28,17.69,1.54,1.59
Mariehamn,27,14,13,0.0,0.79,2.57,85.14,0.0,1.36,4.57,0.29,41.64,0.57,1.57,8.64,2.5,9.36,1.86,1.36,0.0,0.0,0.0,46.14,0.0,9.86,6.07,3.79,18.43,1.13,1.36,0.0,0.77,0.85,79.77,0.0,1.23,2.69,0.15,35.23,0.38,1.15,9.92,3.54,10.62,2.08,1.15,0.08,0.08,0.0,43.15,0.08,7.54,4.46,3.08,20.46,0.95,1.08,3.22,10.41,3.22,0.67,0.44,1.04,1.07,2.11,1.11,3.96,5.04,96.3,81.48,51.85,37.04,25.93,11.11,62.96,4.2,3.91,4.24,4.59,6.62,8.01,1.3,2.43,3.33,1.53,2.09,1.72,1.34,1.64,2.91,2.19,1.19,1.65,2.67,1.36,2.42,3.28,1.63,2.29,1.67,1.47,1.6,2.55,2.3,1.2,1.64,2.58,0.0,0.78,1.74,82.55,0.0,1.3,3.66,0.22,38.55,0.48,1.37,9.26,3.0,9.97,0.04,0.04,0.0,44.7,0.04,8.74,5.29,3.45,19.41,1.04,1.23
Oulu,27,13,14,0.15,1.62,1.85,92.46,0.08,2.15,4.69,0.62,40.69,0.46,2.23,10.85,2.31,4.69,2.15,1.31,0.0,0.0,0.0,50.31,0.23,11.0,6.92,4.08,24.46,1.28,1.85,0.14,0.43,1.29,81.14,0.07,1.36,3.36,0.21,37.43,0.93,1.36,10.57,2.21,6.29,1.79,1.29,0.07,0.07,0.0,48.93,0.14,8.5,4.86,3.64,20.5,1.03,1.21,3.26,9.04,3.26,0.52,0.52,1.04,1.19,2.22,1.04,4.07,4.11,96.3,77.78,66.67,51.85,25.93,3.7,59.26,2.89,2.85,3.69,3.96,4.12,4.35,1.32,2.48,3.15,1.49,2.14,1.66,1.36,1.73,2.57,2.06,1.21,1.72,2.8,1.36,2.62,3.27,1.53,2.28,1.67,1.52,1.72,2.45,2.12,1.24,1.76,2.85,0.14,1.0,1.56,86.59,0.07,1.74,4.0,0.41,39.0,0.7,1.78,10.7,2.26,5.52,0.04,0.04,0.0,49.59,0.18,9.7,5.85,3.85,22.41,1.15,1.52
