team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Gnistan,9,5,4,0.4,1.8,2.4,82.8,0.0,2.0,3.6,0.2,35.6,0.2,1.2,10.2,3.4,8.8,2.0,2.2,0.0,0.0,0.0,41.4,0.0,10.6,6.0,4.6,21.0,1.26,2.0,0.0,2.0,2.0,73.75,0.0,2.75,3.5,0.5,39.0,0.75,1.5,16.25,4.0,7.5,1.25,0.5,0.0,0.0,0.0,42.25,0.25,7.5,4.75,2.75,18.75,0.95,2.5,3.11,10.11,3.11,0.67,0.44,1.11,0.89,2.0,1.11,4.44,5.67,100.0,88.89,44.44,33.33,33.33,11.11,44.44,3.35,3.48,3.71,4.0,4.24,4.37,1.29,2.44,3.23,1.52,2.21,1.59,1.3,1.67,3.03,2.28,1.18,1.64,2.6,1.35,2.51,3.23,1.56,,1.58,,2.31,1.2,1.64,2.57,0.22,1.89,2.22,78.78,0.0,2.33,3.56,0.33,37.11,0.44,1.33,12.89,3.67,8.22,0.0,0.0,0.0,41.78,0.11,9.22,5.44,3.78,20.0,1.12,2.22
HJK,10,5,5,0.0,1.2,2.2,105.2,0.0,1.6,5.0,0.8,66.2,0.4,2.8,10.2,1.4,7.4,0.6,1.4,0.2,0.2,0.0,55.8,0.2,14.2,9.8,4.4,20.2,1.68,1.4,0.2,0.6,2.2,87.4,0.0,1.0,5.0,0.2,49.4,0.4,2.8,11.4,8.4,10.4,1.0,1.2,0.0,0.0,0.0,52.2,0.0,11.8,8.8,3.0,23.8,1.32,1.0,2.1,10.4,2.1,0.5,0.5,0.7,0.4,1.1,1.0,5.7,4.7,100.0,60.0,40.0,10.0,0.0,0.0,40.0,1.5,1.54,4.18,4.44,2.2,2.31,1.28,2.36,3.36,1.56,2.19,1.63,1.32,1.62,3.01,2.3,1.17,1.6,2.48,1.36,2.46,3.22,1.6,,1.54,,2.39,1.2,1.63,2.55,0.1,0.9,2.2,96.3,0.0,1.3,5.0,0.5,57.8,0.4,2.8,10.8,4.9,8.9,0.1,0.1,0.0,54.0,0.1,13.0,9.3,3.7,22.0,1.5,1.2
Ilves,10,4,6,0.0,1.25,2.0,98.0,0.0,2.25,3.0,0.0,51.0,0.75,1.0,11.5,9.5,9.0,1.5,1.25,0.25,0.25,0.0,47.25,0.25,8.0,5.0,3.0,20.25,1.09,1.75,0.17,1.17,1.5,78.17,0.17,1.67,3.83,0.0,36.67,0.5,1.5,10.17,2.67,8.67,2.5,1.33,0.33,0.33,0.0,47.0,0.0,9.83,6.33,3.5,15.33,1.14,1.67,3.4,9.1,3.4,1.1,0.8,0.9,0.6,1.5,1.9,3.3,5.1,100.0,90.0,70.0,60.0,20.0,0.0,70.0,2.53,2.65,3.54,3.81,2.75,3.04,1.33,2.5,3.08,1.49,2.21,1.6,1.36,1.75,2.86,2.17,1.21,1.74,2.73,1.36,2.65,3.24,1.5,1.45,1.67,2.58,2.18,1.23,1.76,2.82,0.1,1.2,1.7,86.1,0.1,1.9,3.5,0.0,42.4,0.6,1.3,10.7,5.4,8.8,0.3,0.3,0.0,47.1,0.1,9.1,5.8,3.3,17.3,1.12,1.7
Inter Turku,11,6,5,0.0,1.5,3.67,99.5,0.0,1.83,6.83,1.17,67.83,0.33,3.17,11.0,1.83,5.33,0.5,1.33,0.0,0.0,0.0,60.5,0.0,15.33,9.67,5.67,20.17,1.85,1.83,0.6,1.4,2.2,83.6,0.0,1.6,5.4,0.8,47.6,0.2,1.2,10.2,2.4,8.6,1.0,1.8,0.2,0.2,0.0,53.4,0.0,9.6,5.6,4.0,20.2,1.23,1.6,2.27,9.64,2.27,0.64,0.64,0.55,0.45,1.0,1.27,3.64,4.55,90.91,81.82,36.36,18.18,0.0,0.0,54.55,1.67,1.76,3.77,4.02,2.06,2.18,1.35,2.58,2.91,1.43,1.95,1.75,1.4,1.77,2.71,2.1,1.24,1.81,3.06,1.38,2.76,3.16,1.47,1.54,1.73,2.4,2.09,1.27,1.87,3.12,0.27,1.45,3.0,92.27,0.0,1.73,6.18,1.0,58.63,0.27,2.27,10.64,2.09,6.82,0.09,0.09,0.0,57.27,0.0,12.73,7.82,4.91,20.18,1.57,1.73
Jaro,10,4,6,0.25,1.25,1.75,95.5,0.0,1.5,2.75,0.0,64.5,0.25,1.0,15.75,4.25,8.0,1.0,1.5,0.5,0.5,0.0,47.5,0.0,10.5,5.5,5.0,24.25,1.48,1.5,0.17,1.0,2.67,95.83,0.0,1.17,3.5,0.17,46.33,0.17,0.83,10.67,1.5,7.83,2.17,0.33,0.0,0.0,0.0,46.0,0.0,12.33,8.5,3.83,18.67,1.38,1.17,2.5,7.8,2.5,0.8,0.3,1.1,0.3,1.4,1.1,4.0,3.8,90.0,80.0,50.0,20.0,10.0,0.0,40.0,2.88,3.1,3.68,3.92,4.33,4.75,1.34,2.56,3.05,1.44,2.04,1.68,1.42,1.88,2.64,2.04,1.22,1.77,2.91,1.37,2.7,3.2,1.49,1.6,1.78,2.26,2.02,1.25,1.8,2.95,0.2,1.1,2.3,95.7,0.0,1.3,3.2,0.1,53.6,0.2,0.9,12.7,2.6,7.9,0.2,0.2,0.0,46.6,0.0,11.6,7.3,4.3,20.9,1.42,1.3
KuPS,11,7,4,0.29,0.57,3.0,104.86,-0.29,0.57,7.71,1.43,60.14,0.0,4.71,11.57,2.0,7.86,0.71,1.57,0.14,0.14,0.0,56.57,0.0,15.57,10.29,5.29,18.0,1.79,0.57,0.0,1.5,3.0,128.25,0.0,1.5,6.75,1.0,71.0,0.0,3.75,9.75,2.75,7.25,1.25,1.25,0.0,0.0,0.0,63.0,0.25,12.75,7.5,5.25,24.0,1.7,1.25,2.36,10.73,2.36,0.73,0.45,0.73,0.45,1.18,1.18,6.09,4.64,90.91,81.82,36.36,18.18,9.09,0.0,63.64,1.81,1.85,3.8,4.1,2.03,2.28,1.33,2.54,3.11,1.47,2.05,1.69,1.43,1.91,2.57,2.0,1.22,1.74,2.82,1.36,2.57,3.24,1.54,1.49,1.77,2.49,2.05,1.23,1.76,2.86,0.18,0.91,3.0,113.37,-0.18,0.91,7.36,1.27,64.09,0.0,4.36,10.91,2.27,7.64,0.09,0.09,0.0,58.91,0.09,14.54,9.28,5.28,20.18,1.76,0.82
Lahti,9,5,4,0.4,1.2,0.6,101.2,0.0,1.6,4.0,0.0,48.0,0.4,1.2,11.0,5.0,7.4,1.0,1.8,0.2,0.2,0.0,56.0,0.0,12.0,7.6,4.4,24.0,1.42,1.6,0.25,2.75,2.5,75.0,0.0,4.25,5.0,0.25,38.5,1.25,2.5,13.5,6.25,6.0,1.25,0.75,0.0,0.0,0.0,51.25,0.5,11.0,7.25,3.75,20.75,1.24,3.5,2.44,9.0,2.44,1.22,0.33,0.33,0.56,0.89,1.56,3.78,2.89,100.0,77.78,44.44,11.11,11.11,0.0,55.56,2.6,2.63,3.55,3.82,3.94,4.24,1.38,2.8,2.85,1.39,1.96,1.78,1.46,1.8,2.55,1.97,1.28,1.95,3.29,1.41,3.04,2.99,1.4,1.51,1.83,2.45,1.99,1.3,1.97,3.38,0.33,1.89,1.44,89.56,0.0,2.78,4.44,0.11,43.78,0.78,1.78,12.11,5.56,6.78,0.11,0.11,0.0,53.89,0.22,11.56,7.44,4.11,22.56,1.34,2.44
Mariehamn,9,4,5,0.0,0.75,1.5,79.5,-0.25,1.0,2.5,0.5,34.75,0.25,1.25,12.25,2.75,10.25,1.25,1.0,0.0,0.0,0.0,47.5,0.0,7.75,4.5,3.25,23.0,0.98,1.0,0.0,1.2,1.2,88.0,0.0,1.8,3.4,0.0,41.4,0.6,1.4,11.6,2.4,11.2,1.8,0.2,0.2,0.2,0.0,45.8,0.0,6.2,4.8,1.4,19.8,0.8,1.8,2.11,10.22,2.11,0.78,0.33,0.67,0.33,1.0,1.11,4.67,4.44,100.0,66.67,33.33,11.11,0.0,0.0,44.44,4.01,4.67,4.24,4.77,6.66,8.17,1.3,2.44,3.22,1.51,1.98,1.76,1.36,1.65,2.83,2.12,1.22,1.71,2.65,1.36,2.63,3.23,1.51,1.45,1.68,2.59,2.16,1.23,1.75,2.84,0.0,1.0,1.33,84.22,-0.11,1.44,3.0,0.22,38.44,0.44,1.33,11.89,2.56,10.78,0.11,0.11,0.0,46.56,0.0,6.89,4.67,2.22,21.22,0.88,1.44
Oulu,10,4,6,0.25,1.5,3.0,87.5,0.0,2.0,6.25,0.25,43.75,0.5,3.25,10.25,2.5,9.25,0.25,1.5,0.25,0.25,0.0,46.5,0.25,10.25,5.75,4.5,27.75,1.28,1.75,0.0,0.83,1.33,78.0,-0.17,1.33,3.33,0.17,38.17,0.5,2.0,10.67,6.17,9.17,1.17,1.67,0.17,0.17,0.0,46.17,0.0,11.83,7.83,4.0,21.33,1.3,1.33,2.4,9.0,2.4,0.6,0.5,0.7,0.6,1.3,1.1,4.5,4.6,100.0,50.0,40.0,20.0,20.0,10.0,40.0,1.98,2.0,3.63,3.83,2.92,3.1,1.33,2.57,3.11,1.48,2.13,1.64,1.43,1.83,2.61,2.0,1.21,1.76,2.85,1.37,2.66,3.22,1.51,1.54,1.8,2.4,2.02,1.25,1.8,2.97,0.1,1.1,2.0,81.8,-0.1,1.6,4.5,0.2,40.4,0.5,2.5,10.5,4.7,9.2,0.2,0.2,0.0,46.3,0.1,11.2,7.0,4.2,23.9,1.29,1.5
SJK,9,5,4,0.0,0.6,3.0,116.8,0.0,1.0,7.0,-0.2,68.8,0.4,2.2,12.8,4.2,5.0,1.2,1.2,0.0,0.0,0.0,57.2,0.0,17.2,11.6,5.6,20.0,1.98,1.0,0.0,2.75,3.25,82.25,0.0,3.5,5.5,0.0,52.75,0.5,2.25,14.75,3.0,12.0,2.0,0.5,0.0,0.0,0.0,51.25,0.25,9.25,5.75,3.5,19.75,1.22,3.0,2.44,10.11,2.44,0.44,0.67,1.11,0.22,1.33,1.11,4.33,4.56,88.89,77.78,44.44,22.22,11.11,0.0,44.44,2.3,2.43,3.64,3.89,3.24,3.57,1.29,2.4,3.25,1.54,2.26,1.55,1.36,1.74,2.84,2.19,1.18,1.66,2.62,1.35,2.53,3.3,1.54,,1.67,,2.16,1.21,1.68,2.66,0.0,1.56,3.11,101.44,0.0,2.11,6.33,-0.11,61.67,0.44,2.22,13.67,3.67,8.11,0.0,0.0,0.0,54.56,0.11,13.67,9.0,4.67,19.89,1.64,1.89
