team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Arminia Bielefeld,21,11,10,0.18,1.18,4.27,102.36,0.18,2.09,6.55,0.18,49.55,0.82,2.27,13.18,13.82,7.73,1.27,2.0,0.36,0.36,0.0,55.36,0.09,14.73,10.09,4.64,23.0,1.61,1.91,0.0,1.7,3.9,98.7,-0.1,2.4,5.9,0.4,51.0,0.7,2.0,13.3,14.7,6.8,1.6,1.1,0.3,0.3,0.0,49.5,0.1,12.9,9.0,3.9,23.7,1.46,2.3,3.0,10.67,3.0,0.52,0.76,1.29,0.43,1.71,1.29,3.95,6.67,95.24,85.71,52.38,38.1,14.29,9.52,61.9,2.11,2.21,3.55,3.66,3.16,3.36,1.31,2.45,3.21,1.51,2.33,1.57,1.36,1.75,2.8,2.17,1.19,1.68,2.62,1.39,2.59,3.13,1.54,2.46,1.59,1.46,1.66,2.59,2.19,1.22,1.72,2.74,0.09,1.43,4.09,100.62,0.05,2.24,6.24,0.28,50.24,0.76,2.14,13.24,14.24,7.29,0.33,0.33,0.0,52.57,0.09,13.86,9.57,4.29,23.33,1.54,2.1
Bochum,21,10,11,0.1,2.3,3.0,104.4,0.1,3.3,5.9,0.5,54.3,1.0,2.9,14.7,10.4,8.3,1.2,1.7,0.0,0.0,0.0,46.6,0.0,16.7,11.5,5.2,21.5,1.81,3.3,0.18,2.18,2.91,83.82,-0.09,3.09,5.82,0.55,39.09,0.91,2.91,12.82,9.0,9.36,1.36,1.18,0.18,0.18,0.0,44.55,0.0,12.0,8.45,3.55,23.18,1.29,3.09,2.71,11.81,2.71,0.62,0.62,0.9,0.57,1.48,1.24,5.81,6.0,95.24,80.95,47.62,23.81,19.05,4.76,57.14,2.19,2.3,3.6,3.68,3.01,3.34,1.3,2.37,3.25,1.52,2.33,1.56,1.32,1.65,3.01,2.28,1.19,1.66,2.61,1.37,2.6,3.22,1.53,2.44,1.59,1.45,1.6,2.59,2.3,1.21,1.7,2.71,0.14,2.24,2.95,93.62,0.0,3.19,5.86,0.53,46.33,0.95,2.91,13.72,9.67,8.86,0.09,0.09,0.0,45.53,0.0,14.24,9.9,4.34,22.38,1.54,3.19
Darmstadt 98,22,11,11,0.27,1.36,2.45,87.27,0.18,1.91,5.36,0.82,46.36,0.55,2.91,10.91,12.09,8.36,0.73,2.18,0.09,0.09,0.0,48.73,0.09,15.09,8.64,6.45,17.45,1.74,1.82,0.27,1.18,2.09,89.27,-0.09,1.45,4.73,0.27,36.73,0.27,2.64,11.64,10.91,8.64,1.45,1.64,0.09,0.09,0.0,50.82,0.0,12.45,8.09,4.36,17.82,1.36,1.45,3.0,10.5,3.0,0.86,0.5,0.95,0.68,1.64,1.36,5.23,5.27,86.36,72.73,59.09,50.0,22.73,9.09,54.55,1.84,1.89,3.68,3.76,2.88,3.09,1.3,2.39,3.22,1.52,2.33,1.57,1.4,1.78,2.7,2.07,1.18,1.64,2.53,1.36,2.53,3.26,1.55,2.43,1.6,1.47,1.72,2.58,2.11,1.21,1.71,2.71,0.27,1.27,2.27,88.27,0.04,1.68,5.05,0.55,41.54,0.41,2.78,11.28,11.5,8.5,0.09,0.09,0.0,49.78,0.04,13.77,8.36,5.4,17.64,1.55,1.64
Dynamo Dresden,22,11,11,0.09,1.82,3.0,85.45,0.0,2.27,5.09,0.45,43.27,0.36,2.09,10.45,13.09,7.18,1.73,1.45,0.09,0.09,0.0,49.0,0.18,11.91,8.0,3.91,20.64,1.34,2.0,0.09,1.18,3.18,97.45,0.18,2.09,5.27,0.27,47.55,0.82,2.09,11.09,11.45,8.82,1.91,1.45,0.0,0.0,0.0,49.27,0.09,13.91,9.91,4.0,22.36,1.51,1.91,3.27,11.05,3.27,0.86,0.91,0.82,0.68,1.5,1.77,4.86,6.14,100.0,95.45,77.27,36.36,13.64,4.55,81.82,2.54,2.62,3.62,3.68,3.6,3.9,1.32,2.45,3.23,1.5,2.29,1.59,1.35,1.69,2.86,2.17,1.19,1.69,2.69,1.36,2.59,3.25,1.53,2.42,1.61,1.46,1.65,2.6,2.2,1.23,1.74,2.78,0.09,1.5,3.09,91.45,0.09,2.18,5.18,0.36,45.41,0.59,2.09,10.77,12.27,8.0,0.04,0.04,0.0,49.14,0.13,12.91,8.96,3.96,21.5,1.42,1.95
Eintracht Braunschweig,22,12,10,0.0,1.42,2.08,92.83,0.0,2.67,4.08,0.33,35.75,1.08,2.0,12.0,12.58,8.58,1.75,1.17,0.25,0.25,0.0,40.33,0.25,12.67,8.67,4.0,22.42,1.34,2.25,0.2,2.4,2.8,105.4,0.1,3.2,5.3,0.3,47.7,0.6,2.5,12.7,13.8,7.5,1.6,1.1,0.0,0.0,0.0,49.0,0.4,13.2,9.3,3.9,20.8,1.46,2.6,2.82,10.68,2.82,0.64,0.77,0.73,0.68,1.41,1.41,4.73,5.95,95.45,81.82,59.09,27.27,18.18,0.0,59.09,3.0,3.1,3.56,3.67,4.0,4.45,1.33,2.54,3.03,1.47,2.17,1.63,1.41,1.79,2.72,2.08,1.21,1.76,2.81,1.38,2.7,3.18,1.5,2.3,1.67,1.47,1.75,2.56,2.08,1.24,1.79,2.91,0.09,1.87,2.41,98.54,0.05,2.91,4.63,0.32,41.18,0.86,2.23,12.32,13.13,8.09,0.14,0.14,0.0,44.27,0.32,12.91,8.96,3.95,21.68,1.39,2.41
Elversberg,22,10,12,0.1,1.0,3.2,104.1,0.0,1.5,6.3,0.5,58.8,0.5,3.1,11.2,14.0,6.5,0.9,1.6,0.1,0.1,0.0,55.2,0.0,16.5,11.4,5.1,23.9,1.82,1.5,0.08,1.92,2.08,96.42,0.33,2.58,6.08,0.42,47.0,0.67,3.0,10.25,14.83,7.17,1.25,1.92,0.17,0.17,0.0,53.92,0.08,14.75,9.5,5.25,21.67,1.64,2.5,2.86,10.77,2.86,0.45,0.68,0.95,0.77,1.73,1.14,5.36,4.68,95.45,77.27,54.55,36.36,18.18,4.55,50.0,1.95,1.98,3.42,3.72,2.2,2.58,1.25,2.35,3.14,1.45,2.25,1.49,1.3,1.62,2.69,2.07,1.14,1.58,2.47,1.37,2.6,3.22,1.53,2.42,1.6,1.44,1.68,2.6,2.16,1.22,1.72,2.75,0.09,1.5,2.59,99.91,0.18,2.09,6.18,0.46,52.36,0.59,3.05,10.68,14.45,6.87,0.14,0.14,0.0,54.5,0.04,15.55,10.36,5.18,22.68,1.72,2.05
Fortuna Düsseldorf,22,12,10,0.0,1.58,2.42,92.67,-0.17,2.92,4.0,0.17,51.75,1.33,1.58,12.5,11.33,6.17,1.33,0.92,0.0,0.0,0.0,51.33,0.08,12.08,8.5,3.58,21.92,1.39,2.83,0.1,1.4,2.3,94.6,0.1,2.7,3.8,0.2,41.1,1.3,1.4,12.6,12.2,9.5,1.5,0.9,0.1,0.1,0.0,45.4,0.2,13.4,9.7,3.7,20.0,1.41,2.5,2.32,8.45,2.32,0.27,0.45,0.91,0.68,1.59,0.73,3.64,4.77,90.91,68.18,50.0,9.09,9.09,4.55,54.55,2.36,2.42,3.64,3.77,3.45,3.79,1.31,2.45,3.18,1.51,2.32,1.58,1.41,1.78,2.65,2.04,1.19,1.65,2.58,1.37,2.58,3.18,1.54,2.44,1.6,1.49,1.74,2.49,2.08,1.21,1.7,2.71,0.05,1.5,2.37,93.55,-0.05,2.82,3.91,0.18,46.91,1.32,1.5,12.55,11.73,7.68,0.05,0.05,0.0,48.63,0.13,12.68,9.05,3.63,21.05,1.4,2.68
Greuther Fürth,22,10,12,0.3,0.9,2.5,85.6,0.2,2.1,5.0,0.0,34.2,1.0,1.3,10.5,14.9,8.5,2.4,1.4,0.0,0.0,0.0,45.2,0.2,10.8,7.4,3.4,19.4,1.17,1.7,0.0,1.33,2.08,75.92,0.0,2.58,4.08,0.33,34.67,1.25,2.0,13.58,11.83,8.92,2.42,1.5,0.25,0.25,0.0,47.5,0.0,11.92,7.5,4.42,22.67,1.31,2.58,3.86,10.05,3.86,0.73,0.91,1.23,1.0,2.23,1.64,4.18,5.27,95.45,81.82,72.73,50.0,36.36,22.73,59.09,2.9,3.34,3.78,3.98,4.2,4.95,1.29,2.36,3.36,1.55,2.35,1.55,1.37,1.73,2.8,2.14,1.17,1.61,2.48,1.35,2.46,3.32,1.58,2.46,1.59,1.47,1.68,2.58,2.18,1.2,1.65,2.57,0.14,1.13,2.27,80.32,0.09,2.36,4.5,0.18,34.46,1.14,1.68,12.18,13.23,8.73,0.14,0.14,0.0,46.45,0.09,11.41,7.45,3.96,21.18,1.25,2.18
Hannover 96,22,10,12,0.2,1.1,3.5,111.8,0.0,1.5,6.8,0.5,58.5,0.4,3.3,13.1,13.6,6.0,1.3,1.7,0.1,0.1,0.0,57.3,0.0,17.6,11.6,6.0,19.8,1.96,1.5,0.17,1.58,2.58,100.67,0.17,2.33,4.75,0.33,45.17,0.75,2.17,13.33,13.5,6.33,1.42,2.0,0.17,0.17,0.0,54.58,0.08,12.75,7.5,5.25,19.25,1.5,2.25,3.23,9.5,3.23,0.59,0.77,0.95,0.91,1.86,1.36,4.23,5.27,95.45,90.91,81.82,45.45,9.09,0.0,63.64,1.81,1.9,3.67,3.79,2.35,2.42,1.31,2.45,3.24,1.53,2.29,1.57,1.34,1.7,2.91,2.17,1.18,1.66,2.58,1.35,2.53,3.3,1.56,2.43,1.6,1.47,1.69,2.56,2.15,1.21,1.68,2.66,0.18,1.36,3.0,105.73,0.09,1.95,5.68,0.41,51.23,0.59,2.68,13.23,13.55,6.18,0.14,0.14,0.0,55.82,0.04,14.95,9.36,5.59,19.5,1.71,1.91
Hertha BSC,22,12,10,0.08,1.5,2.67,96.0,-0.08,2.42,5.08,0.33,44.75,0.75,2.42,12.42,10.25,8.92,1.08,0.92,0.17,0.17,0.0,49.42,0.25,12.92,8.08,4.83,20.0,1.48,2.0,0.1,2.1,1.6,93.5,0.2,2.9,4.0,0.0,47.0,0.8,1.8,14.4,12.8,9.0,1.0,1.9,0.1,0.1,0.0,47.7,0.0,12.0,7.8,4.2,21.8,1.4,2.9,2.41,10.23,2.41,0.55,0.55,0.41,0.91,1.32,1.09,4.73,4.91,86.36,68.18,45.45,22.73,13.64,4.55,36.36,1.91,2.08,3.36,3.75,2.69,3.01,1.25,2.3,3.08,1.45,2.22,1.48,1.31,1.63,2.69,2.06,1.13,1.59,2.44,1.35,2.52,3.32,1.56,2.44,1.6,1.48,1.69,2.54,2.15,1.21,1.68,2.67,0.09,1.77,2.18,94.86,0.05,2.64,4.59,0.18,45.77,0.77,2.14,13.32,11.41,8.96,0.14,0.14,0.0,48.64,0.14,12.5,7.95,4.54,20.82,1.44,2.41
