team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
AEK Athens,32,16,16,0.19,1.62,2.69,95.5,0.06,2.62,5.31,0.69,56.0,0.94,2.62,16.06,14.12,6.25,0.44,1.94,0.19,0.19,0.0,56.44,0.06,16.31,10.94,5.38,21.56,1.81,2.5,0.12,1.75,2.69,94.88,0.19,3.0,5.56,0.5,54.5,1.19,2.88,15.75,13.62,6.81,0.81,1.62,0.25,0.25,0.0,57.75,0.12,13.69,9.44,4.25,20.31,1.56,2.81,2.41,8.56,2.41,0.53,0.38,0.84,0.66,1.5,0.91,4.0,4.56,93.75,65.62,40.62,28.12,12.5,0.0,37.5,1.62,1.6,4.38,4.83,2.15,2.32,1.36,2.72,2.92,1.43,1.71,2.04,1.79,2.46,1.94,1.56,1.26,1.87,3.14,1.39,2.81,2.98,1.45,1.74,2.17,1.85,2.32,1.97,1.6,1.29,1.91,3.29,0.16,1.68,2.69,95.19,0.12,2.81,5.44,0.6,55.25,1.06,2.75,15.9,13.87,6.53,0.22,0.22,0.0,57.1,0.09,15.0,10.19,4.81,20.94,1.68,2.66
Aris,32,16,16,0.0,1.88,3.44,93.38,0.25,3.06,5.88,0.75,50.44,1.0,2.38,14.31,15.12,6.75,0.88,1.19,0.0,0.0,0.0,51.94,0.19,16.62,11.44,5.19,20.06,1.78,2.69,0.06,1.5,3.06,88.56,0.06,2.31,4.44,0.25,38.56,0.75,1.38,16.25,13.31,6.5,1.12,0.94,0.06,0.06,0.0,50.06,0.12,11.06,7.81,3.25,19.25,1.21,2.12,2.06,9.19,2.06,0.44,0.44,0.72,0.47,1.19,0.88,3.34,5.81,84.38,68.75,34.38,15.62,3.12,0.0,50.0,2.42,2.45,3.52,3.62,3.34,4.0,1.44,3.02,2.64,1.34,1.74,1.99,1.82,2.5,1.91,1.55,1.36,2.11,3.87,1.45,3.08,2.78,1.37,1.76,2.12,1.86,2.36,1.95,1.57,1.39,2.22,4.05,0.03,1.69,3.25,90.97,0.16,2.68,5.16,0.5,44.5,0.88,1.88,15.28,14.22,6.62,0.03,0.03,0.0,51.0,0.16,13.84,9.62,4.22,19.66,1.5,2.41
Asteras Tripolis,36,18,18,0.17,1.94,2.83,88.33,0.11,3.0,5.39,0.56,42.56,0.94,2.56,13.17,14.28,7.83,1.28,1.44,0.11,0.11,0.0,47.06,0.22,10.89,7.28,3.61,21.83,1.25,2.67,0.0,2.11,2.56,74.78,0.06,3.11,4.33,0.17,32.28,0.94,1.78,14.44,14.78,8.83,1.44,0.56,0.11,0.11,0.0,42.78,0.11,8.94,5.94,3.0,18.5,1.01,2.94,2.36,9.75,2.36,0.64,0.56,0.81,0.36,1.17,1.19,4.83,4.92,86.11,69.44,47.22,22.22,5.56,5.56,50.0,3.14,3.66,3.54,3.73,5.48,5.7,1.45,3.05,2.65,1.34,1.75,2.01,1.83,2.55,1.92,1.54,1.35,2.13,3.83,1.43,3.02,2.83,1.39,1.8,2.1,1.86,2.36,1.95,1.57,1.38,2.22,4.04,0.08,2.03,2.7,81.56,0.08,3.06,4.86,0.37,37.42,0.94,2.17,13.8,14.53,8.33,0.11,0.11,0.0,44.92,0.16,9.91,6.61,3.3,20.16,1.13,2.8
Atromitos,36,18,18,0.11,1.56,2.06,95.94,-0.06,2.44,3.61,0.17,46.22,0.83,1.56,14.28,15.56,5.56,1.22,1.39,0.17,0.17,0.0,55.39,0.06,12.0,8.28,3.72,21.33,1.36,2.33,0.17,1.5,2.22,80.0,0.11,2.72,4.94,0.78,36.83,1.22,2.72,16.17,14.33,8.28,1.11,1.33,0.0,0.0,0.0,50.28,0.06,9.67,6.33,3.33,19.11,1.11,2.67,2.53,8.53,2.53,0.75,0.53,0.5,0.75,1.25,1.28,4.06,4.47,88.89,69.44,52.78,25.0,11.11,5.56,47.22,3.15,3.48,3.48,3.73,4.58,5.25,1.44,3.07,2.64,1.34,1.75,1.99,1.91,2.64,1.83,1.48,1.35,2.15,3.85,1.44,3.01,2.82,1.39,1.8,2.08,1.96,2.48,1.85,1.52,1.38,2.21,4.04,0.14,1.53,2.14,87.97,0.02,2.58,4.28,0.48,41.53,1.02,2.14,15.23,14.94,6.92,0.08,0.08,0.0,52.84,0.06,10.84,7.31,3.53,20.22,1.24,2.5
Kifisia,36,18,18,0.11,1.89,2.17,91.67,0.0,3.06,4.0,0.39,45.89,1.0,1.83,16.11,15.44,6.89,1.39,1.17,0.06,0.06,0.0,49.28,0.22,14.5,9.28,5.22,19.33,1.61,2.67,0.0,2.89,1.78,82.28,0.22,4.22,4.06,0.72,36.06,1.33,2.28,18.33,13.28,9.17,1.44,1.06,0.17,0.17,0.0,46.28,0.22,12.33,7.94,4.39,17.22,1.35,4.0,2.53,9.22,2.53,0.64,0.58,0.67,0.64,1.31,1.22,4.56,4.61,86.11,75.0,52.78,25.0,13.89,0.0,58.33,3.45,3.6,3.7,3.76,5.22,5.23,1.42,2.96,2.7,1.37,1.79,1.92,1.79,2.51,1.86,1.55,1.33,2.06,3.66,1.45,3.02,2.76,1.4,1.84,2.02,1.87,2.38,1.94,1.57,1.36,2.14,3.84,0.06,2.39,1.98,86.98,0.11,3.64,4.03,0.56,40.97,1.16,2.05,17.22,14.36,8.03,0.12,0.12,0.0,47.78,0.22,13.42,8.61,4.8,18.27,1.48,3.34
Larissa,36,18,18,0.06,1.94,2.11,89.0,0.06,3.39,4.5,0.61,39.5,1.39,2.39,15.5,16.06,6.83,1.5,0.94,0.17,0.17,0.0,49.78,0.06,12.28,8.39,3.89,18.28,1.34,3.28,0.06,2.11,1.56,80.89,0.06,3.06,2.94,0.22,33.78,0.89,1.39,14.56,12.33,10.06,1.61,0.94,0.11,0.11,0.0,41.94,0.22,10.44,6.72,3.72,17.39,1.17,2.78,2.5,8.67,2.5,0.64,0.58,0.64,0.64,1.28,1.22,4.33,4.28,94.44,80.56,38.89,19.44,11.11,2.78,61.11,4.06,4.2,3.7,3.96,6.17,7.81,1.45,3.01,2.65,1.35,1.73,2.0,1.9,2.61,1.83,1.48,1.35,2.12,3.84,1.45,3.01,2.79,1.4,1.75,2.16,1.93,2.44,1.88,1.53,1.38,2.22,4.04,0.06,2.03,1.84,84.94,0.06,3.22,3.72,0.42,36.64,1.14,1.89,15.03,14.2,8.44,0.14,0.14,0.0,45.86,0.14,11.36,7.56,3.81,17.83,1.25,3.03
Levadiakos,32,16,16,0.25,0.81,2.0,95.88,0.0,1.75,4.25,0.56,42.19,0.88,2.25,13.0,17.31,6.81,1.25,2.56,0.5,0.5,0.0,58.75,0.12,12.94,7.69,5.25,22.75,1.49,1.56,0.19,1.69,1.94,89.88,0.06,2.69,4.44,0.44,41.69,0.94,2.31,13.19,16.75,6.44,1.69,1.38,0.06,0.06,0.0,54.12,0.12,9.5,5.88,3.62,20.19,1.16,2.5,3.44,8.78,3.44,0.91,0.56,1.22,0.75,1.97,1.47,4.69,3.88,96.88,87.5,65.62,50.0,28.12,9.38,56.25,2.54,2.59,3.67,3.83,4.2,4.44,1.39,2.88,2.81,1.39,1.84,1.89,1.81,2.41,1.92,1.55,1.29,1.98,3.41,1.41,2.98,2.93,1.4,1.86,2.0,1.85,2.35,1.96,1.57,1.33,2.03,3.56,0.22,1.25,1.97,92.88,0.03,2.22,4.35,0.5,41.94,0.91,2.28,13.1,17.03,6.62,0.28,0.28,0.0,56.44,0.12,11.22,6.78,4.44,21.47,1.32,2.03
OFI,32,16,16,0.25,1.0,1.56,76.94,0.12,2.06,3.0,0.25,28.19,1.0,1.44,14.31,16.56,9.62,1.25,1.56,0.25,0.25,0.0,46.75,0.12,10.25,6.94,3.31,17.81,1.09,1.88,0.31,1.75,1.0,68.06,0.12,3.19,2.81,0.31,26.94,1.38,1.81,12.5,15.44,9.38,2.19,1.12,0.06,0.06,0.0,43.94,0.31,8.81,5.38,3.44,15.25,1.0,2.81,3.06,8.34,3.06,0.91,0.59,0.97,0.59,1.56,1.5,4.5,3.81,100.0,87.5,68.75,34.38,12.5,3.12,46.88,3.66,3.82,3.95,4.18,6.5,7.78,1.38,2.78,2.94,1.42,1.89,1.84,1.74,2.41,2.01,1.62,1.26,1.9,3.19,1.4,2.86,2.93,1.45,1.91,1.96,1.75,2.21,2.07,1.65,1.29,1.95,3.33,0.28,1.38,1.28,72.5,0.12,2.62,2.9,0.28,27.56,1.19,1.62,13.4,16.0,9.5,0.16,0.16,0.0,45.34,0.22,9.53,6.16,3.38,16.53,1.04,2.34
Olympiakos Piraeus,32,16,16,0.0,0.56,3.56,135.38,-0.06,1.0,8.44,1.0,75.19,0.38,4.81,11.44,12.5,4.25,0.44,1.62,0.19,0.19,0.0,63.31,0.06,21.19,15.38,5.81,28.5,2.29,0.88,0.12,1.06,2.94,125.0,0.0,2.0,5.31,0.5,61.81,0.94,2.38,14.5,12.06,4.31,0.62,1.56,0.31,0.31,0.0,57.5,0.06,14.88,9.38,5.5,26.75,1.78,1.94,2.12,9.0,2.12,0.31,0.47,0.81,0.53,1.34,0.78,4.22,4.75,87.5,71.88,34.38,12.5,6.25,0.0,34.38,1.35,1.34,5.05,5.73,1.72,1.78,1.35,2.64,3.09,1.46,1.64,2.21,1.83,2.6,1.9,1.55,1.24,1.85,3.09,1.4,2.7,2.97,1.49,1.64,2.37,1.84,2.3,1.99,1.61,1.29,1.92,3.31,0.06,0.81,3.25,130.19,-0.03,1.5,6.88,0.75,68.5,0.66,3.6,12.97,12.28,4.28,0.25,0.25,0.0,60.4,0.06,18.04,12.38,5.65,27.62,2.04,1.41
PAOK,32,16,16,0.25,1.12,3.56,107.31,0.06,1.62,6.44,0.62,58.81,0.5,2.88,11.81,12.5,4.81,0.31,1.94,0.12,0.12,0.0,60.81,0.0,14.69,9.25,5.44,24.06,1.74,1.62,0.12,1.38,2.44,99.81,0.06,2.0,4.38,0.44,50.62,0.56,1.94,12.31,13.19,6.94,1.25,1.75,0.25,0.25,0.0,58.38,0.06,11.75,8.06,3.69,23.12,1.37,1.88,2.62,9.0,2.62,0.66,0.62,0.94,0.41,1.34,1.28,4.12,4.88,84.38,78.12,56.25,25.0,15.62,3.12,43.75,1.65,1.64,4.52,4.84,2.17,2.28,1.36,2.69,3.02,1.44,1.75,2.02,1.78,2.42,1.96,1.58,1.26,1.85,3.11,1.41,2.82,2.95,1.45,1.76,2.17,1.8,2.28,2.02,1.62,1.3,1.93,3.33,0.18,1.25,3.0,103.56,0.06,1.81,5.41,0.53,54.72,0.53,2.41,12.06,12.84,5.88,0.18,0.18,0.0,59.6,0.03,13.22,8.66,4.57,23.59,1.56,1.75
