team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Avellino,14,6,8,0.17,1.5,3.67,79.67,0.0,2.5,5.0,0.0,35.17,0.83,1.33,13.0,17.5,7.5,1.83,1.33,0.17,0.17,0.0,48.5,0.17,10.83,7.0,3.83,18.17,1.21,2.17,0.12,1.62,1.75,85.12,0.12,2.88,2.88,0.25,33.62,1.25,1.12,12.5,17.75,10.5,1.75,1.12,0.0,0.0,0.0,51.12,0.38,10.5,7.62,2.88,16.38,1.11,2.5,3.0,9.79,3.0,1.0,0.64,0.57,0.79,1.36,1.64,3.86,5.93,92.86,85.71,50.0,28.57,14.29,14.29,42.86,2.55,2.72,3.15,3.12,3.4,3.94,1.46,3.15,2.49,1.31,1.8,1.97,1.68,2.23,2.08,1.68,1.39,2.27,4.11,1.49,3.3,2.72,1.35,1.88,1.98,1.71,2.15,2.12,1.69,1.42,2.35,4.36,0.14,1.57,2.57,82.78,0.07,2.72,3.79,0.14,34.28,1.07,1.21,12.71,17.64,9.21,0.07,0.07,0.0,50.0,0.29,10.64,7.35,3.29,17.15,1.15,2.36
Bari 1908,14,6,8,0.0,1.0,2.67,72.17,0.0,1.83,3.83,0.0,29.33,0.83,1.17,14.33,17.0,8.83,1.0,1.33,0.17,0.17,0.0,45.83,0.0,12.17,8.33,3.83,13.67,1.25,1.83,0.12,1.12,1.5,74.62,0.0,2.12,3.25,0.0,30.88,0.88,1.0,14.0,15.12,7.62,2.25,0.62,0.0,0.0,0.0,50.12,0.12,9.25,7.75,1.5,18.38,0.92,1.88,2.64,8.29,2.64,0.71,0.64,1.14,0.14,1.29,1.36,3.86,3.57,92.86,78.57,50.0,28.57,14.29,0.0,57.14,2.51,2.89,3.16,3.15,3.68,4.59,1.46,3.12,2.51,1.32,1.82,1.92,1.63,2.15,2.19,1.72,1.38,2.22,4.01,1.48,3.24,2.76,1.36,1.92,1.94,1.66,2.1,2.19,1.73,1.4,2.3,4.2,0.07,1.07,2.0,73.57,0.0,2.0,3.5,0.0,30.22,0.86,1.07,14.14,15.93,8.14,0.07,0.07,0.0,48.28,0.07,10.5,8.0,2.5,16.36,1.06,1.86
Calcio Padova,14,6,8,0.17,1.83,2.33,88.33,0.0,2.17,4.33,0.5,35.17,0.33,2.0,12.83,16.17,7.33,1.5,1.17,0.5,0.5,0.0,50.83,0.0,10.67,6.5,4.17,17.17,1.23,2.17,0.0,2.75,1.5,84.0,0.12,3.62,3.75,0.5,31.25,0.75,2.25,16.5,14.12,9.88,0.88,0.75,0.0,0.0,0.0,44.62,0.25,10.38,6.75,3.62,19.12,1.14,3.25,2.07,9.93,2.07,0.43,0.64,0.57,0.43,1.0,1.07,5.0,4.79,92.86,57.14,35.71,21.43,0.0,0.0,50.0,2.78,2.9,3.12,3.08,3.44,3.95,1.48,3.17,2.56,1.3,1.76,1.97,1.69,2.3,2.09,1.67,1.41,2.33,4.32,1.52,3.38,2.64,1.34,1.84,2.02,1.71,2.14,2.12,1.69,1.44,2.43,4.56,0.07,2.36,1.86,85.86,0.07,3.0,4.0,0.5,32.93,0.57,2.14,14.93,15.0,8.79,0.21,0.21,0.0,47.28,0.14,10.5,6.64,3.86,18.28,1.18,2.79
Carrarese,15,7,8,0.14,1.0,3.14,87.57,0.0,2.71,5.43,0.71,47.57,1.71,2.29,14.86,17.0,8.43,1.14,1.29,0.29,0.29,0.0,51.14,0.0,14.29,10.57,3.71,18.71,1.51,2.71,0.25,1.0,2.38,88.38,0.25,2.38,4.62,0.0,42.75,1.38,2.25,13.75,14.25,7.25,2.0,1.38,0.25,0.25,0.0,50.25,0.0,11.0,7.12,3.88,20.12,1.28,2.38,2.93,9.33,2.93,0.67,0.6,1.0,0.67,1.67,1.27,4.4,4.93,80.0,80.0,53.33,40.0,26.67,6.67,53.33,2.64,2.64,3.11,3.14,3.74,4.02,1.45,3.08,2.6,1.33,1.83,1.92,1.58,2.12,2.23,1.76,1.36,2.2,3.99,1.48,3.26,2.77,1.36,1.95,1.91,1.63,2.04,2.24,1.77,1.39,2.28,4.14,0.2,1.0,2.73,88.0,0.13,2.53,5.0,0.33,45.0,1.53,2.27,14.27,15.53,7.8,0.27,0.27,0.0,50.67,0.0,12.54,8.73,3.8,19.46,1.39,2.53
Catanzaro,14,8,6,0.0,1.62,2.12,73.38,0.12,2.75,5.12,1.0,34.5,1.12,3.0,11.75,18.75,8.5,1.38,1.62,0.12,0.12,0.0,53.0,0.0,14.5,10.12,4.38,19.5,1.25,2.75,0.17,1.67,2.33,95.67,0.17,2.17,4.17,0.17,40.33,0.5,1.83,12.17,17.5,7.67,1.0,1.0,0.0,0.0,0.0,58.67,0.0,12.33,8.33,4.0,12.33,1.36,2.17,2.57,8.93,2.57,0.5,0.71,0.86,0.5,1.36,1.21,5.07,3.86,85.71,64.29,50.0,35.71,14.29,7.14,64.29,2.5,2.75,3.12,3.16,3.53,3.92,1.46,3.15,2.56,1.32,1.82,1.95,1.68,2.25,2.1,1.67,1.37,2.22,4.18,1.48,3.29,2.74,1.35,1.9,1.96,1.71,2.14,2.12,1.69,1.41,2.32,4.26,0.07,1.64,2.21,82.93,0.14,2.5,4.71,0.64,37.0,0.85,2.5,11.93,18.21,8.14,0.07,0.07,0.0,55.43,0.0,13.57,9.35,4.22,16.43,1.3,2.5
Cesena,14,6,8,0.0,1.33,2.5,84.5,0.17,2.33,5.17,0.5,50.17,0.83,2.67,15.0,9.67,7.33,0.83,1.5,0.5,0.5,0.0,46.83,0.17,13.0,10.67,2.33,17.83,1.35,2.0,0.0,1.25,1.62,89.0,0.0,1.62,4.0,0.25,45.88,0.38,2.38,14.62,13.88,7.75,1.12,1.38,0.0,0.0,0.0,47.75,0.0,11.38,7.25,4.12,20.62,1.34,1.62,2.43,8.43,2.43,0.64,0.5,0.64,0.64,1.29,1.14,4.0,4.43,100.0,71.43,57.14,14.29,0.0,0.0,64.29,2.27,2.32,3.15,3.12,3.06,3.39,1.48,3.15,2.53,1.31,1.79,1.96,1.8,2.36,1.93,1.58,1.39,2.31,4.23,1.5,3.33,2.7,1.34,1.88,1.98,1.82,2.28,1.99,1.59,1.43,2.38,4.46,0.0,1.28,2.0,87.07,0.07,1.92,4.5,0.36,47.72,0.57,2.5,14.78,12.08,7.57,0.21,0.21,0.0,47.36,0.07,12.07,8.72,3.35,19.42,1.34,1.78
Empoli,15,9,6,0.0,1.78,1.56,83.0,0.0,2.56,4.0,0.44,39.22,0.78,2.44,15.78,14.44,7.67,1.11,1.78,0.11,0.11,0.0,45.67,0.22,12.44,7.78,4.67,19.22,1.4,2.33,0.0,1.17,2.17,81.67,0.0,2.83,4.17,0.67,40.33,1.33,2.0,16.83,14.0,7.0,1.83,1.17,0.0,0.0,0.0,48.83,0.33,9.17,6.0,3.17,17.0,1.1,2.17,2.93,9.53,2.93,0.53,0.67,1.27,0.47,1.73,1.2,4.4,5.13,100.0,86.67,60.0,40.0,6.67,0.0,66.67,2.54,2.74,3.02,3.04,3.37,3.53,1.48,3.2,2.51,1.31,1.81,1.96,1.63,2.14,2.15,1.71,1.41,2.31,4.26,1.51,3.38,2.65,1.34,1.87,1.98,1.65,2.07,2.2,1.75,1.44,2.41,4.49,0.0,1.54,1.8,82.47,0.0,2.67,4.07,0.53,39.66,1.0,2.26,16.2,14.26,7.4,0.07,0.07,0.0,46.93,0.26,11.13,7.07,4.07,18.33,1.28,2.27
Frosinone,14,6,8,0.5,1.83,3.17,80.33,0.0,2.5,6.33,0.67,36.5,0.33,3.17,14.5,17.33,8.33,1.0,2.17,0.17,0.17,0.0,48.33,0.33,16.17,11.0,5.17,18.17,1.64,1.83,0.12,2.0,1.25,77.12,0.25,3.12,4.88,0.38,41.88,1.12,2.5,19.0,15.12,8.38,0.88,1.62,0.12,0.12,0.0,45.62,0.12,16.5,11.12,5.38,16.5,1.72,3.0,2.79,9.79,2.79,0.71,0.79,0.71,0.57,1.29,1.5,4.71,4.21,92.86,71.43,50.0,42.86,14.29,7.14,42.86,2.47,2.58,3.18,3.15,3.3,3.44,1.42,3.03,2.66,1.35,1.9,1.84,1.61,2.14,2.18,1.75,1.34,2.12,3.74,1.44,3.17,2.89,1.38,2.05,1.83,1.62,2.02,2.26,1.8,1.35,2.15,3.85,0.28,1.93,2.07,78.5,0.14,2.85,5.5,0.5,39.57,0.78,2.79,17.07,16.07,8.36,0.14,0.14,0.0,46.78,0.21,16.36,11.07,5.29,17.22,1.69,2.5
Juve Stabia,14,7,7,0.14,1.71,2.71,96.29,0.14,2.57,5.86,0.57,45.86,0.86,3.14,17.14,15.14,5.14,0.43,1.0,0.0,0.0,0.0,57.0,0.0,13.57,9.86,3.71,20.14,1.45,2.57,0.14,2.71,1.71,93.57,0.14,3.86,3.86,0.57,35.14,1.0,2.14,18.71,12.14,6.29,1.86,1.14,0.14,0.14,0.0,52.43,0.43,10.57,7.14,3.43,20.71,1.17,3.29,2.21,8.43,2.21,0.64,0.43,0.79,0.36,1.14,1.07,3.79,4.64,78.57,64.29,50.0,28.57,0.0,0.0,42.86,2.48,2.64,3.07,3.1,3.17,3.55,1.5,3.27,2.48,1.29,1.74,1.99,1.66,2.21,2.13,1.68,1.41,2.34,4.42,1.53,3.41,2.59,1.33,1.83,2.03,1.7,2.13,2.13,1.7,1.45,2.44,4.59,0.14,2.21,2.21,94.93,0.14,3.22,4.86,0.57,40.5,0.93,2.64,17.92,13.64,5.71,0.07,0.07,0.0,54.72,0.22,12.07,8.5,3.57,20.43,1.31,2.93
Mantova,14,7,7,0.14,1.71,3.29,83.14,0.14,2.14,6.0,0.43,42.71,0.43,2.71,13.14,18.29,7.29,2.0,1.57,0.29,0.29,0.0,64.43,0.0,19.29,12.29,7.0,16.29,2.01,2.14,0.0,1.86,2.14,86.71,0.0,2.43,3.57,0.14,37.0,0.57,1.43,13.14,19.71,7.86,1.14,0.29,0.0,0.0,0.0,59.0,0.14,11.71,7.57,4.14,17.71,1.3,2.29,2.5,10.43,2.5,0.57,0.57,0.79,0.57,1.36,1.14,4.5,5.93,92.86,57.14,50.0,28.57,14.29,7.14,50.0,2.57,2.75,3.35,3.38,4.34,5.0,1.38,2.85,2.75,1.37,1.91,1.81,1.71,2.38,2.04,1.65,1.31,2.01,3.41,1.42,3.05,3.0,1.41,2.03,1.83,1.71,2.14,2.13,1.7,1.32,2.04,3.51,0.07,1.78,2.72,84.92,0.07,2.28,4.78,0.28,39.86,0.5,2.07,13.14,19.0,7.58,0.14,0.14,0.0,61.72,0.07,15.5,9.93,5.57,17.0,1.65,2.22
