team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Academico Viseu,29,14,15,0.0,2.07,3.21,82.93,0.14,3.36,5.5,0.64,53.29,0.93,2.29,12.14,12.93,3.21,0.79,1.93,0.0,0.0,0.0,53.07,0.5,15.07,9.43,5.64,22.93,1.73,2.5,0.13,1.67,2.27,81.53,0.07,2.6,4.4,0.53,46.73,0.8,2.13,13.4,14.07,5.0,1.47,1.73,0.13,0.13,0.0,49.13,0.13,12.2,7.87,4.33,23.2,1.41,2.33,2.97,8.79,2.97,0.52,0.62,1.17,0.66,1.83,1.14,4.03,4.72,89.66,72.41,62.07,41.38,20.69,6.9,55.17,2.01,2.01,3.23,3.32,2.62,2.63,1.44,3.06,2.64,1.33,1.82,1.88,1.41,1.84,2.62,2.0,1.34,2.11,3.86,1.45,3.2,2.73,1.34,1.87,1.95,1.52,1.77,2.43,2.03,1.39,2.23,4.09,0.07,1.86,2.72,82.21,0.1,2.97,4.93,0.58,49.9,0.86,2.21,12.79,13.52,4.14,0.07,0.07,0.0,51.03,0.31,13.59,8.62,4.96,23.07,1.56,2.41
Benfica II,29,15,14,0.07,1.53,3.2,90.93,0.27,2.53,7.4,0.4,63.2,1.0,3.27,14.8,15.33,5.4,1.2,1.6,0.27,0.27,0.0,57.0,0.13,17.13,11.13,6.0,21.67,1.95,2.4,0.14,2.21,2.21,75.93,0.0,3.14,4.79,0.36,44.93,0.86,2.07,13.5,14.79,7.57,1.21,1.21,0.07,0.07,0.0,45.21,0.36,9.93,6.07,3.86,22.0,1.22,2.71,2.62,10.76,2.62,0.48,0.59,0.93,0.62,1.55,1.07,4.83,4.86,96.55,79.31,44.83,17.24,10.34,10.34,65.52,2.13,2.29,3.29,3.46,2.93,3.32,1.38,2.77,2.82,1.39,1.99,1.75,1.38,1.81,2.72,2.08,1.28,1.93,3.26,1.39,2.94,3.0,1.4,2.07,1.78,1.52,1.71,2.44,2.12,1.3,1.98,3.41,0.1,1.86,2.72,83.69,0.14,2.82,6.14,0.38,54.38,0.93,2.69,14.17,15.07,6.45,0.17,0.17,0.0,51.31,0.24,13.65,8.69,4.97,21.83,1.6,2.55
CD Feirense,28,14,14,0.21,2.79,3.0,79.86,0.21,3.79,5.79,0.57,55.71,0.93,2.71,15.57,13.36,8.21,0.86,1.07,0.21,0.21,0.0,47.29,0.36,14.0,10.29,3.71,27.0,1.54,3.36,0.21,2.21,2.36,74.64,0.14,3.36,5.36,0.57,48.5,1.07,2.0,17.0,12.36,8.14,1.43,1.14,0.0,0.0,0.0,45.36,0.21,13.43,9.07,4.36,24.36,1.5,3.07,2.25,10.11,2.25,0.54,0.39,0.71,0.61,1.32,0.93,4.57,4.68,85.71,60.71,39.29,17.86,14.29,3.57,46.43,2.5,2.62,3.12,3.15,3.17,3.75,1.4,3.04,2.45,1.26,1.74,1.84,1.38,1.81,2.48,1.9,1.32,2.13,3.86,1.48,3.27,2.65,1.33,1.85,1.98,1.5,1.8,2.49,2.0,1.42,2.34,4.33,0.21,2.5,2.68,77.25,0.18,3.58,5.58,0.57,52.1,1.0,2.36,16.28,12.86,8.18,0.1,0.1,0.0,46.32,0.29,13.72,9.68,4.04,25.68,1.52,3.22
CS Marítimo,28,14,14,0.14,2.36,1.79,93.36,0.0,3.64,5.36,0.43,59.57,0.93,3.0,13.86,14.71,4.71,0.86,1.21,0.0,0.0,0.0,57.57,0.36,15.14,9.79,5.36,22.64,1.76,2.93,0.21,2.29,2.0,78.36,0.14,3.43,4.5,0.21,47.29,1.07,1.57,16.0,15.36,4.43,0.64,1.86,0.21,0.21,0.0,52.5,0.21,12.86,8.5,4.36,24.79,1.37,3.14,2.29,8.79,2.29,0.54,0.5,0.39,0.86,1.25,1.04,3.89,3.5,96.43,67.86,35.71,21.43,7.14,0.0,42.86,1.87,1.85,3.15,3.49,2.29,2.55,1.37,2.83,2.55,1.3,1.79,1.81,1.4,1.84,2.43,1.88,1.27,1.99,3.41,1.43,3.11,2.84,1.36,1.91,1.93,1.55,1.87,2.36,1.92,1.35,2.12,3.76,0.18,2.32,1.9,85.86,0.07,3.54,4.93,0.32,53.43,1.0,2.28,14.93,15.04,4.57,0.1,0.1,0.0,55.04,0.29,14.0,9.14,4.86,23.72,1.56,3.04
FC Penafiel,29,15,14,0.07,1.47,2.47,89.0,0.13,2.6,4.27,0.07,52.27,1.07,1.8,14.73,13.87,7.0,1.0,1.0,0.07,0.07,0.0,48.87,0.13,11.73,7.67,4.07,20.93,1.41,2.4,0.0,1.64,2.57,78.14,0.07,2.86,5.0,0.07,42.43,1.07,1.43,15.64,15.57,8.07,1.07,0.93,0.29,0.29,0.0,42.07,0.14,9.93,6.64,3.29,24.79,1.17,2.57,2.0,10.0,2.0,0.52,0.31,0.52,0.66,1.17,0.83,3.86,5.38,82.76,62.07,31.03,10.34,6.9,3.45,41.38,2.76,3.09,3.31,3.41,4.27,4.59,1.36,2.84,2.61,1.31,1.81,1.79,1.28,1.66,2.54,1.93,1.27,2.0,3.48,1.43,3.1,2.82,1.37,1.93,1.9,1.55,1.72,2.37,2.09,1.35,2.13,3.81,0.04,1.55,2.52,83.76,0.1,2.73,4.62,0.07,47.52,1.07,1.62,15.17,14.69,7.52,0.18,0.18,0.0,45.59,0.13,10.86,7.17,3.69,22.79,1.29,2.48
FC Vizela,28,14,14,0.07,1.86,2.71,86.36,0.14,2.79,4.57,0.29,57.5,0.79,1.86,14.71,15.86,6.29,1.29,1.64,0.14,0.14,0.0,56.79,0.14,13.36,8.36,5.0,19.21,1.61,2.5,0.0,2.93,2.36,84.93,0.07,4.36,4.93,0.57,53.29,1.36,2.5,13.29,15.86,6.29,1.07,1.0,0.14,0.14,0.0,56.07,0.29,11.79,7.64,4.14,20.71,1.42,4.0,2.5,9.32,2.5,0.5,0.29,0.86,0.86,1.71,0.79,4.29,4.93,96.43,71.43,46.43,21.43,7.14,3.57,50.0,1.92,2.03,3.29,3.4,2.4,2.53,1.41,2.89,2.72,1.37,1.92,1.81,1.41,1.84,2.64,2.02,1.29,2.01,3.47,1.41,3.08,2.89,1.37,1.96,1.86,1.52,1.79,2.43,2.0,1.34,2.08,3.66,0.04,2.4,2.53,85.64,0.11,3.58,4.75,0.43,55.4,1.08,2.18,14.0,15.86,6.29,0.14,0.14,0.0,56.43,0.22,12.58,8.0,4.57,19.96,1.52,3.25
Farense,29,15,14,0.13,2.8,2.73,89.73,0.13,3.73,5.47,0.33,59.67,0.87,1.87,15.27,13.53,5.2,1.33,0.87,0.07,0.07,0.0,50.93,0.13,13.13,8.27,4.87,25.27,1.6,3.53,0.07,2.29,3.29,79.79,0.07,3.21,5.0,0.5,49.21,0.86,1.29,13.79,15.14,6.0,1.07,0.86,0.07,0.07,0.0,47.93,0.07,11.79,7.64,4.14,21.93,1.39,3.07,2.07,9.38,2.07,0.45,0.41,0.52,0.69,1.21,0.86,3.48,4.55,82.76,65.52,34.48,10.34,6.9,3.45,37.93,1.98,2.07,3.21,3.36,2.65,2.84,1.42,2.99,2.66,1.33,1.86,1.85,1.35,1.76,2.6,1.99,1.33,2.08,3.64,1.44,3.15,2.79,1.36,1.91,1.91,1.53,1.77,2.42,2.04,1.37,2.17,3.92,0.1,2.55,3.0,84.93,0.1,3.48,5.24,0.41,54.62,0.87,1.59,14.56,14.31,5.59,0.07,0.07,0.0,49.48,0.1,12.48,7.97,4.52,23.66,1.5,3.31
Felgueiras 1932,29,15,14,0.0,1.4,2.93,91.73,0.0,2.47,5.73,0.6,60.67,0.87,2.8,14.13,15.87,4.4,0.93,0.87,0.13,0.13,0.0,50.33,0.2,13.0,9.07,3.93,23.47,1.53,2.07,0.07,1.86,2.21,86.86,0.21,2.43,4.79,0.29,52.86,0.57,1.64,13.57,17.79,6.36,1.43,0.86,0.21,0.21,0.0,52.79,0.07,12.29,8.21,4.07,23.93,1.44,2.36,2.03,9.93,2.03,0.52,0.31,0.62,0.59,1.21,0.83,4.41,4.86,82.76,62.07,31.03,17.24,6.9,3.45,37.93,2.04,2.06,3.15,3.34,3.0,3.14,1.42,3.0,2.66,1.34,1.88,1.83,1.39,1.79,2.69,2.06,1.33,2.09,3.67,1.42,3.08,2.88,1.37,1.95,1.88,1.5,1.76,2.51,2.04,1.36,2.14,3.82,0.03,1.62,2.58,89.38,0.1,2.45,5.28,0.45,56.9,0.73,2.24,13.86,16.8,5.35,0.17,0.17,0.0,51.52,0.14,12.66,8.65,4.0,23.69,1.49,2.21
GD Chaves,29,15,14,0.07,2.0,2.8,79.6,0.07,3.0,5.2,0.2,51.8,0.93,1.6,10.87,15.07,4.2,0.87,1.0,0.13,0.13,0.0,55.47,0.07,14.13,10.33,3.8,18.73,1.53,2.87,0.14,1.86,2.14,85.14,0.07,2.79,4.36,0.57,51.71,0.79,2.07,14.29,15.5,7.29,1.14,1.14,0.14,0.14,0.0,49.36,0.21,10.71,6.86,3.86,19.5,1.32,2.43,2.07,9.0,2.07,0.41,0.41,0.66,0.59,1.24,0.83,3.66,4.48,96.55,58.62,24.14,17.24,10.34,0.0,31.03,2.11,2.29,3.15,3.26,2.65,2.79,1.43,3.0,2.62,1.34,1.86,1.86,1.46,1.89,2.52,1.94,1.35,2.13,3.76,1.45,3.21,2.75,1.35,1.91,1.91,1.54,1.86,2.4,1.94,1.37,2.2,3.97,0.1,1.93,2.48,82.27,0.07,2.9,4.79,0.38,51.76,0.86,1.83,12.52,15.28,5.69,0.13,0.13,0.0,52.52,0.14,12.48,8.65,3.83,19.1,1.43,2.66
Leixões,28,14,14,0.07,1.57,2.21,93.14,0.07,2.57,5.14,0.07,54.0,0.93,1.79,14.07,16.07,5.71,2.21,1.29,0.07,0.07,0.0,50.14,0.07,12.86,8.43,4.43,23.93,1.51,2.43,0.0,2.07,1.93,85.36,0.07,3.93,3.71,0.29,42.36,1.71,1.79,15.0,16.64,6.36,1.36,1.07,0.14,0.14,0.0,46.64,0.43,10.79,7.14,3.64,20.21,1.24,3.36,2.96,9.21,2.96,0.43,0.79,0.89,0.86,1.75,1.21,3.61,4.61,92.86,78.57,57.14,39.29,21.43,7.14,57.14,2.53,2.73,3.11,3.2,3.44,3.65,1.44,3.06,2.62,1.33,1.86,1.86,1.37,1.85,2.5,1.92,1.34,2.12,3.65,1.44,3.18,2.77,1.35,1.94,1.89,1.52,1.83,2.44,1.97,1.37,2.21,3.98,0.04,1.82,2.07,89.25,0.07,3.25,4.42,0.18,48.18,1.32,1.79,14.54,16.36,6.04,0.11,0.11,0.0,48.39,0.25,11.82,7.78,4.03,22.07,1.38,2.9
