team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
América,24,12,12,0.08,1.33,3.75,100.08,0.0,1.75,7.17,0.58,59.58,0.33,3.25,11.25,11.75,6.42,0.67,1.92,0.25,0.25,0.0,56.58,0.08,17.0,10.58,6.42,20.33,1.95,1.58,0.08,1.58,3.33,101.75,0.08,2.25,5.25,0.25,49.83,0.58,1.92,10.33,12.83,6.42,1.25,1.25,0.08,0.08,0.0,54.0,0.08,10.92,7.58,3.33,17.25,1.29,2.08,2.54,9.25,2.54,0.71,0.29,0.88,0.67,1.54,1.0,3.96,5.17,91.67,79.17,45.83,25.0,8.33,4.17,50.0,1.45,1.5,4.0,4.34,2.24,2.43,1.27,2.35,3.1,1.44,1.91,1.72,1.39,1.74,2.4,1.86,1.18,1.77,2.77,1.4,2.69,3.11,1.53,2.08,1.83,1.54,1.85,2.41,1.97,1.25,1.81,2.97,0.08,1.46,3.54,100.92,0.04,2.0,6.21,0.42,54.71,0.45,2.58,10.79,12.29,6.42,0.16,0.16,0.0,55.29,0.08,13.96,9.08,4.88,18.79,1.62,1.83
Atlas,23,11,12,0.45,2.09,1.55,75.91,0.0,2.55,3.82,-0.09,35.91,0.36,1.36,13.55,13.64,9.55,1.55,1.73,0.36,0.36,0.0,43.45,0.18,11.18,7.18,4.0,16.09,1.25,2.27,0.08,1.25,1.75,65.42,0.0,2.42,3.25,0.08,21.67,1.08,0.83,9.75,12.5,10.75,2.08,0.92,0.25,0.25,0.0,45.42,0.17,9.42,6.67,2.75,17.0,0.95,2.17,3.13,9.17,3.13,1.09,0.57,0.83,0.65,1.48,1.65,3.96,4.09,95.65,78.26,52.17,47.83,26.09,13.04,52.17,3.11,3.39,3.68,3.94,4.66,5.23,1.32,2.57,3.09,1.47,2.06,1.73,1.44,1.83,2.61,2.0,1.23,1.81,2.92,1.39,2.72,3.11,1.51,2.16,1.76,1.54,1.81,2.41,2.0,1.27,1.85,3.08,0.26,1.65,1.65,70.44,0.0,2.48,3.52,-0.0,28.48,0.74,1.08,11.57,13.05,10.18,0.3,0.3,0.0,44.48,0.17,10.26,6.91,3.35,16.56,1.09,2.22
Atlético San Luis,23,11,12,0.0,0.64,1.91,68.18,0.09,1.73,4.45,0.18,24.91,0.91,1.82,10.55,12.0,8.64,1.73,1.36,0.18,0.18,0.0,47.36,0.18,9.0,6.36,2.64,23.0,0.9,1.36,0.17,1.17,2.33,79.17,0.17,2.17,4.67,0.42,39.25,0.92,2.33,11.92,12.83,8.83,1.67,1.67,0.33,0.33,0.0,48.08,0.25,12.33,7.42,4.92,17.83,1.41,1.83,3.22,8.39,3.22,0.57,0.48,0.96,1.22,2.17,1.04,3.74,4.22,100.0,82.61,60.87,34.78,26.09,8.7,65.22,3.13,3.34,3.66,3.88,4.04,4.49,1.26,2.37,3.03,1.42,2.05,1.59,1.39,1.78,2.44,1.87,1.15,1.73,2.61,1.37,2.68,3.22,1.51,2.27,1.68,1.53,1.83,2.41,1.98,1.24,1.78,2.88,0.09,0.92,2.13,73.91,0.13,1.96,4.56,0.31,32.39,0.92,2.09,11.26,12.43,8.74,0.26,0.26,0.0,47.74,0.22,10.74,6.91,3.83,20.3,1.17,1.61
Cruz Azul,26,13,13,0.15,1.54,4.08,107.38,0.0,2.62,7.15,0.38,59.31,0.92,3.0,11.69,10.46,7.15,1.08,2.0,0.08,0.08,0.0,59.92,0.15,19.92,13.0,6.92,22.15,2.17,2.31,0.23,1.23,2.15,97.31,0.15,2.08,4.38,0.38,38.77,0.62,1.54,9.77,14.15,8.23,1.23,1.54,0.31,0.31,0.0,52.77,0.31,14.54,9.46,5.08,21.92,1.56,1.54,2.92,9.54,2.92,0.81,0.58,0.81,0.73,1.54,1.38,3.58,5.38,92.31,80.77,50.0,30.77,26.92,7.69,65.38,1.68,1.78,3.95,4.14,2.43,2.61,1.31,2.5,3.18,1.5,2.06,1.72,1.49,1.93,2.49,1.92,1.21,1.73,2.78,1.37,2.63,3.2,1.54,2.2,1.75,1.54,1.86,2.41,1.95,1.24,1.78,2.9,0.19,1.38,3.12,102.35,0.08,2.35,5.76,0.38,49.04,0.77,2.27,10.73,12.31,7.69,0.2,0.2,0.0,56.34,0.23,17.23,11.23,6.0,22.04,1.86,1.92
Guadalajara,24,12,12,0.17,1.5,3.0,77.92,0.08,2.25,5.75,0.58,34.5,0.67,2.75,10.92,11.75,8.67,1.25,1.92,0.08,0.08,0.0,54.67,0.08,14.67,9.58,5.08,15.92,1.26,2.08,0.17,1.08,2.42,98.33,0.0,2.0,5.42,0.92,47.0,0.83,2.83,11.75,9.75,7.17,1.17,1.5,0.08,0.08,0.0,54.0,0.17,14.58,10.5,4.08,19.08,1.55,1.75,2.92,9.12,2.92,0.88,0.54,0.67,0.83,1.5,1.42,4.38,4.54,91.67,70.83,58.33,29.17,25.0,12.5,54.17,1.94,2.0,3.58,3.87,2.35,2.42,1.29,2.51,2.88,1.39,1.93,1.69,1.38,1.7,2.52,1.93,1.2,1.81,2.86,1.38,2.77,3.17,1.48,2.12,1.78,1.52,1.84,2.44,1.96,1.27,1.87,3.1,0.17,1.29,2.71,88.12,0.04,2.12,5.58,0.75,40.75,0.75,2.79,11.34,10.75,7.92,0.08,0.08,0.0,54.34,0.12,14.62,10.04,4.58,17.5,1.4,1.92
Juárez,27,14,13,0.14,1.5,1.57,92.43,0.14,2.71,4.29,0.29,36.93,1.14,2.07,11.5,12.29,8.21,1.64,1.64,0.29,0.29,0.0,51.64,0.07,12.71,8.5,4.21,22.0,1.37,2.57,0.15,1.46,2.23,76.15,0.15,2.54,3.77,0.23,38.15,0.92,1.54,12.69,13.69,10.15,1.77,1.23,0.08,0.08,0.0,46.0,0.15,10.92,7.31,3.62,20.77,1.22,2.23,3.15,8.89,3.15,0.85,0.74,0.85,0.7,1.56,1.59,4.07,4.15,96.3,85.19,62.96,33.33,14.81,11.11,74.07,2.72,2.87,3.49,3.77,4.02,4.63,1.36,2.71,2.93,1.43,1.97,1.78,1.53,1.98,2.35,1.86,1.26,1.9,3.2,1.4,2.86,3.1,1.46,2.07,1.82,1.58,1.98,2.32,1.83,1.3,1.97,3.35,0.14,1.48,1.89,84.59,0.14,2.63,4.04,0.26,37.52,1.03,1.81,12.07,12.96,9.14,0.19,0.19,0.0,48.92,0.11,11.85,7.93,3.93,21.41,1.3,2.41
León,23,11,12,0.0,2.0,2.73,70.09,0.09,2.45,4.82,0.45,31.18,0.45,2.0,11.64,12.36,8.91,1.55,1.36,0.36,0.36,0.0,50.73,0.09,12.27,8.0,4.27,17.82,1.2,2.36,0.08,1.5,2.33,75.67,0.0,2.33,4.75,0.33,30.58,0.83,1.83,11.08,12.92,10.17,1.92,0.33,0.0,0.0,0.0,51.42,0.17,11.83,8.17,3.67,18.42,1.23,2.17,2.57,9.91,2.57,0.7,0.35,0.96,0.57,1.52,1.04,4.57,4.74,95.65,78.26,43.48,21.74,13.04,4.35,47.83,2.71,3.14,3.66,3.97,4.32,4.53,1.31,2.49,3.2,1.51,2.13,1.66,1.46,1.9,2.56,1.95,1.21,1.74,2.78,1.37,2.61,3.24,1.54,2.27,1.69,1.51,1.84,2.45,1.96,1.23,1.76,2.86,0.04,1.74,2.52,73.0,0.04,2.39,4.78,0.39,30.87,0.65,1.91,11.35,12.65,9.57,0.17,0.17,0.0,51.09,0.13,12.04,8.09,3.96,18.13,1.22,2.26
Mazatlán,22,12,10,0.17,1.5,2.25,78.92,0.25,3.17,3.92,0.33,35.42,1.5,1.67,11.08,11.75,8.08,2.08,1.5,0.17,0.17,0.0,42.0,0.17,9.42,6.25,3.17,15.42,1.02,2.83,0.0,1.6,1.4,75.6,0.0,2.6,3.3,-0.1,35.9,0.9,1.3,11.5,13.7,10.9,1.6,0.6,0.0,0.0,0.0,44.0,0.1,8.5,5.4,3.1,18.8,1.02,2.4,2.95,9.36,2.95,0.95,0.64,0.59,0.77,1.36,1.59,4.18,4.73,95.45,77.27,63.64,40.91,13.64,4.55,72.73,3.42,3.82,3.9,4.22,5.87,7.46,1.32,2.55,3.14,1.48,2.0,1.78,1.45,1.88,2.51,1.96,1.23,1.81,2.96,1.39,2.68,3.14,1.53,2.12,1.79,1.53,1.84,2.41,1.96,1.26,1.84,3.06,0.09,1.55,1.86,77.41,0.14,2.91,3.64,0.13,35.64,1.23,1.5,11.27,12.64,9.36,0.09,0.09,0.0,42.91,0.14,9.0,5.86,3.14,16.96,1.02,2.63
Monterrey,27,13,14,0.08,1.38,2.08,92.69,0.0,1.92,4.31,0.31,42.77,0.46,2.23,11.08,12.92,6.15,0.92,1.85,0.23,0.23,0.0,57.23,0.15,14.31,8.85,5.46,17.31,1.6,1.69,0.14,1.5,1.86,64.79,-0.07,2.14,3.86,0.43,28.71,0.57,2.0,10.36,13.29,8.14,1.93,1.79,0.21,0.21,0.0,54.64,0.14,12.86,7.64,5.21,19.14,1.24,1.93,3.26,8.93,3.26,1.11,0.67,0.78,0.7,1.48,1.78,4.37,4.52,100.0,74.07,55.56,44.44,25.93,18.52,55.56,1.77,1.89,3.83,4.15,3.07,3.63,1.31,2.42,3.2,1.52,2.15,1.68,1.45,1.9,2.5,1.91,1.2,1.71,2.7,1.35,2.53,3.29,1.57,2.25,1.69,1.52,1.85,2.43,1.95,1.22,1.72,2.76,0.11,1.44,1.97,78.22,-0.04,2.03,4.08,0.37,35.48,0.52,2.11,10.71,13.11,7.18,0.22,0.22,0.0,55.89,0.14,13.56,8.22,5.33,18.26,1.41,1.81
Necaxa,23,11,12,0.18,1.45,2.64,82.09,0.0,2.09,5.64,-0.09,42.09,0.64,1.36,12.36,11.09,9.09,1.0,1.36,0.09,0.09,0.0,52.09,0.09,17.09,12.45,4.64,24.18,1.52,2.0,0.08,1.92,2.92,84.92,0.08,2.92,4.58,0.42,40.83,0.83,1.67,12.08,12.0,9.5,2.42,1.5,0.08,0.08,0.0,47.58,0.33,13.75,8.92,4.83,19.33,1.5,2.42,3.17,9.83,3.17,1.09,0.7,0.83,0.57,1.39,1.78,3.91,4.74,100.0,82.61,52.17,39.13,21.74,8.7,65.22,2.22,2.24,3.74,3.9,3.73,4.15,1.3,2.39,3.23,1.53,2.23,1.63,1.4,1.79,2.71,2.06,1.2,1.68,2.65,1.37,2.63,3.22,1.52,2.33,1.66,1.49,1.76,2.49,2.05,1.23,1.74,2.78,0.13,1.7,2.79,83.57,0.04,2.52,5.09,0.18,41.43,0.74,1.52,12.21,11.56,9.3,0.08,0.08,0.0,49.74,0.22,15.35,10.61,4.74,21.65,1.51,2.22
