team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
AZ,27,13,14,0.31,1.0,3.23,103.69,0.08,1.77,5.62,0.62,49.77,0.77,2.38,9.46,11.62,6.69,1.62,2.23,0.23,0.23,0.0,51.15,0.0,15.69,9.69,6.0,17.92,1.77,1.77,0.07,1.71,3.14,97.07,0.0,2.57,5.43,0.57,42.79,0.86,2.07,11.29,10.79,7.79,1.5,1.29,0.07,0.07,0.0,53.64,0.07,14.93,9.29,5.64,16.07,1.65,2.5,3.3,9.93,3.3,1.11,0.59,0.74,0.85,1.59,1.7,4.48,5.15,100.0,81.48,66.67,48.15,18.52,11.11,70.37,1.71,1.79,4.53,4.62,2.43,2.54,1.24,2.19,3.68,1.64,2.32,1.58,1.42,1.81,2.63,2.04,1.14,1.51,2.31,1.34,2.26,3.32,1.7,2.42,1.63,1.51,1.77,2.44,2.06,1.17,1.55,2.35,0.19,1.37,3.18,100.26,0.04,2.18,5.52,0.59,46.15,0.82,2.22,10.41,11.19,7.26,0.15,0.15,0.0,52.44,0.04,15.3,9.48,5.81,16.96,1.71,2.15
Ajax,27,14,13,0.14,0.71,2.64,102.29,-0.14,1.21,5.57,0.64,55.79,0.5,2.93,10.29,13.71,6.29,0.79,2.0,0.0,0.0,0.0,56.29,0.0,16.79,9.71,7.07,16.0,1.96,1.21,0.08,1.62,2.92,100.0,0.0,2.0,4.62,0.31,49.62,0.38,1.69,9.77,10.85,6.85,1.77,1.85,0.08,0.08,0.0,58.15,0.08,13.31,8.0,5.31,17.08,1.57,1.92,3.19,10.04,3.19,1.04,0.63,0.85,0.67,1.52,1.67,4.74,5.3,96.3,96.3,59.26,48.15,14.81,3.7,70.37,1.62,1.65,4.52,4.69,2.29,2.42,1.24,2.2,3.69,1.66,2.33,1.59,1.46,1.82,2.5,1.97,1.13,1.49,2.28,1.33,2.22,3.32,1.71,2.42,1.62,1.52,1.8,2.43,2.02,1.16,1.53,2.31,0.11,1.15,2.77,101.19,-0.07,1.59,5.11,0.48,52.82,0.44,2.33,10.04,12.33,6.56,0.04,0.04,0.0,57.19,0.04,15.11,8.89,6.22,16.52,1.77,1.55
Excelsior,27,14,13,0.21,1.21,2.07,103.21,0.0,1.79,4.36,0.57,42.0,0.43,2.29,11.64,8.57,9.21,1.36,1.0,0.14,0.14,0.0,47.43,0.21,13.14,9.0,4.14,18.86,1.43,1.43,0.08,0.92,2.23,93.0,-0.08,1.38,4.23,0.46,40.54,0.46,2.0,13.23,8.08,7.46,2.08,1.08,0.08,0.08,0.0,45.46,0.0,10.77,6.85,3.92,18.15,1.25,1.38,2.74,9.85,2.74,0.67,0.52,0.85,0.7,1.56,1.19,4.63,5.22,96.3,77.78,62.96,22.22,11.11,3.7,62.96,3.2,3.34,4.27,4.46,6.14,6.5,1.27,2.3,3.55,1.58,2.25,1.6,1.4,1.76,2.72,2.06,1.17,1.61,2.45,1.35,2.45,3.3,1.6,2.38,1.63,1.5,1.75,2.48,2.08,1.19,1.62,2.53,0.15,1.07,2.15,98.29,-0.04,1.59,4.3,0.52,41.3,0.44,2.15,12.41,8.33,8.37,0.11,0.11,0.0,46.48,0.11,12.0,7.96,4.03,18.52,1.34,1.41
Feyenoord,27,14,13,0.07,0.86,4.0,103.79,-0.07,1.29,8.5,0.71,62.07,0.36,4.5,9.79,11.93,6.0,1.43,2.43,0.14,0.14,0.0,55.57,0.14,19.93,12.29,7.64,18.0,2.24,1.07,0.15,1.54,3.54,104.77,0.15,2.38,6.62,0.38,54.62,0.77,3.08,9.23,10.77,6.92,1.46,2.0,0.08,0.08,0.0,52.77,0.15,14.31,9.0,5.31,20.08,1.67,2.15,3.67,11.11,3.67,1.0,0.78,0.96,0.93,1.89,1.78,5.3,5.78,100.0,85.19,66.67,44.44,33.33,25.93,59.26,1.4,1.44,4.91,5.24,2.2,2.25,1.23,2.15,3.8,1.67,2.25,1.64,1.4,1.75,2.74,2.08,1.13,1.49,2.2,1.33,2.17,3.24,1.75,2.33,1.67,1.52,1.7,2.46,2.15,1.16,1.51,2.28,0.11,1.19,3.78,104.26,0.04,1.81,7.59,0.55,58.48,0.56,3.82,9.52,11.37,6.44,0.11,0.11,0.0,54.22,0.14,17.22,10.71,6.52,19.0,1.97,1.59
Fortuna Sittard,27,13,14,0.31,1.69,2.46,89.77,0.0,2.46,5.0,0.62,41.54,0.69,2.46,12.92,11.54,7.0,1.69,1.69,0.23,0.23,0.0,45.23,0.08,15.85,11.31,4.54,15.46,1.62,2.31,0.07,1.29,1.57,88.43,-0.07,1.93,3.71,0.29,32.07,0.64,2.14,13.0,11.57,8.71,2.0,1.43,0.0,0.0,0.0,45.14,0.0,10.5,5.86,4.64,18.0,1.23,1.93,3.41,11.15,3.41,1.15,0.67,0.7,0.89,1.59,1.81,5.44,5.67,100.0,85.19,70.37,44.44,25.93,7.41,77.78,3.22,3.11,4.05,4.24,5.68,6.25,1.3,2.42,3.3,1.53,2.18,1.65,1.4,1.73,2.73,2.08,1.19,1.67,2.62,1.37,2.54,3.21,1.59,2.29,1.68,1.49,1.71,2.5,2.13,1.23,1.72,2.74,0.19,1.48,2.0,89.08,-0.04,2.19,4.33,0.45,36.63,0.66,2.29,12.96,11.56,7.89,0.11,0.11,0.0,45.18,0.04,13.08,8.48,4.59,16.78,1.42,2.11
Go Ahead Eagles,27,14,13,0.14,0.5,3.64,92.93,-0.07,1.0,6.57,0.64,49.5,0.5,2.93,8.57,10.93,8.36,1.43,2.0,0.07,0.07,0.0,51.93,0.0,13.79,7.5,6.29,17.36,1.67,1.0,0.23,1.31,2.23,92.31,0.0,2.54,4.08,0.38,39.38,1.08,1.85,10.54,9.0,10.38,1.77,1.31,0.0,0.0,0.0,47.23,0.31,9.23,5.38,3.85,19.08,1.14,2.08,3.26,11.19,3.26,0.89,0.56,1.0,0.81,1.81,1.44,5.07,6.04,100.0,88.89,62.96,48.15,14.81,11.11,62.96,2.74,2.92,4.04,4.2,4.29,4.63,1.26,2.26,3.57,1.6,2.38,1.54,1.35,1.64,2.97,2.21,1.15,1.58,2.38,1.34,2.36,3.34,1.65,2.51,1.57,1.44,1.63,2.62,2.23,1.19,1.6,2.47,0.18,0.89,2.96,92.63,-0.04,1.74,5.37,0.51,44.63,0.78,2.41,9.52,10.0,9.33,0.04,0.04,0.0,49.67,0.15,11.59,6.48,5.12,18.19,1.41,1.52
Groningen,27,13,14,0.23,1.08,3.77,115.15,0.08,1.62,7.46,1.23,50.92,0.54,3.69,9.77,9.69,6.0,1.08,1.54,0.15,0.15,0.0,53.54,0.08,17.0,11.62,5.38,21.31,1.82,1.54,0.07,1.14,2.29,105.86,0.0,2.0,5.36,0.57,42.29,0.86,3.07,11.79,10.5,7.64,1.64,1.21,0.07,0.07,0.0,48.21,0.07,14.86,8.64,6.21,19.93,1.69,1.93,2.74,11.0,2.74,0.67,0.44,0.93,0.7,1.63,1.11,5.52,5.48,96.3,88.89,51.85,22.22,11.11,3.7,55.56,2.15,2.34,3.93,4.05,4.29,4.35,1.33,2.49,3.19,1.49,2.1,1.7,1.51,1.98,2.42,1.9,1.22,1.75,2.78,1.37,2.65,3.21,1.53,2.19,1.74,1.55,1.88,2.39,1.93,1.25,1.8,2.95,0.15,1.11,3.0,110.33,0.04,1.82,6.37,0.89,46.45,0.71,3.37,10.82,10.11,6.85,0.11,0.11,0.0,50.78,0.07,15.89,10.07,5.81,20.59,1.75,1.74
Heerenveen,27,14,13,0.07,1.29,3.07,102.43,0.14,1.71,5.43,0.57,55.64,0.43,2.29,9.93,9.86,6.86,1.57,1.93,0.07,0.07,0.0,51.43,0.07,15.86,10.5,5.36,17.14,1.78,1.64,0.0,1.08,2.69,91.92,0.08,1.62,5.54,0.85,40.62,0.54,2.85,12.08,9.54,8.92,1.69,1.54,0.15,0.15,0.0,49.54,0.08,14.69,9.23,5.46,19.0,1.6,1.54,3.37,10.52,3.37,0.78,0.63,1.04,0.93,1.96,1.41,4.96,5.52,100.0,96.3,74.07,40.74,18.52,7.41,70.37,2.21,2.17,3.94,4.1,3.64,4.12,1.27,2.3,3.46,1.6,2.39,1.56,1.42,1.79,2.7,2.08,1.17,1.61,2.44,1.36,2.41,3.26,1.62,2.51,1.57,1.5,1.71,2.5,2.12,1.19,1.6,2.47,0.04,1.19,2.89,97.37,0.11,1.67,5.48,0.7,48.41,0.48,2.56,10.97,9.71,7.85,0.11,0.11,0.0,50.52,0.07,15.3,9.89,5.41,18.04,1.69,1.59
Heracles,27,13,14,0.15,1.0,2.15,94.23,0.08,1.54,4.23,0.69,40.85,0.46,2.08,12.46,12.54,7.77,2.15,1.62,0.08,0.08,0.0,44.54,0.08,13.69,8.62,5.08,17.23,1.52,1.38,0.0,1.64,2.07,78.79,0.0,2.64,4.29,0.29,32.71,1.0,2.21,14.64,10.07,8.29,2.93,0.79,0.14,0.14,0.0,42.86,0.07,8.5,5.86,2.64,18.29,0.96,2.57,3.74,10.44,3.74,1.04,0.7,1.26,0.74,2.0,1.74,5.33,5.11,96.3,92.59,74.07,44.44,25.93,18.52,51.85,3.89,4.11,4.49,4.73,6.48,7.27,1.26,2.28,3.55,1.6,2.2,1.64,1.35,1.65,2.92,2.21,1.17,1.61,2.49,1.36,2.4,3.3,1.63,2.29,1.67,1.46,1.63,2.59,2.24,1.2,1.62,2.53,0.07,1.33,2.11,86.22,0.04,2.11,4.26,0.48,36.63,0.74,2.15,13.59,11.26,8.04,0.11,0.11,0.0,43.67,0.07,11.0,7.19,3.81,17.78,1.23,2.0
NAC Breda,27,14,13,0.0,1.0,2.5,98.14,0.21,2.0,5.29,0.5,45.5,0.86,2.71,10.21,13.0,6.43,1.5,1.29,0.07,0.07,0.0,50.86,0.21,14.36,9.79,4.57,19.0,1.56,1.64,0.08,1.08,2.92,94.77,0.0,2.15,5.38,0.69,41.0,0.92,2.46,11.54,12.08,8.69,2.08,0.77,0.15,0.15,0.0,46.23,0.23,12.85,9.54,3.31,21.77,1.34,1.77,2.81,9.67,2.81,0.7,0.63,0.96,0.52,1.48,1.33,4.56,5.07,96.3,66.67,55.56,29.63,14.81,14.81,48.15,2.89,3.01,3.96,4.08,4.82,5.07,1.3,2.51,3.25,1.51,2.14,1.67,1.44,1.83,2.57,1.97,1.21,1.74,2.75,1.37,2.65,3.23,1.52,2.24,1.7,1.51,1.78,2.46,2.03,1.23,1.76,2.84,0.04,1.04,2.7,96.52,0.11,2.07,5.33,0.59,43.33,0.89,2.59,10.85,12.56,7.52,0.11,0.11,0.0,48.63,0.22,13.63,9.67,3.96,20.33,1.45,1.7
