team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Aalesund,2,1,1,1.0,1.0,2.0,80.0,0.0,1.0,3.0,0.0,37.0,0.0,1.0,11.0,9.0,8.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,14.0,7.0,7.0,23.0,1.64,1.0,1.0,1.0,0.0,75.0,0.0,2.0,2.0,0.0,25.0,1.0,2.0,13.0,14.0,13.0,1.0,1.0,0.0,0.0,0.0,42.0,0.0,11.0,8.0,3.0,20.0,1.09,2.0,3.0,11.5,3.0,0.5,1.0,0.5,1.0,1.5,1.5,6.5,5.0,100.0,100.0,50.0,50.0,0.0,0.0,100.0,3.07,3.46,3.4,3.68,2.75,3.17,1.32,2.55,3.09,1.5,2.21,1.57,1.28,1.53,3.06,2.3,1.25,1.65,2.8,,2.49,,1.57,2.35,1.64,,1.58,,2.28,1.23,1.78,2.86,1.0,1.0,1.0,77.5,0.0,1.5,2.5,0.0,31.0,0.5,1.5,12.0,11.5,10.5,0.0,0.0,0.0,41.0,0.0,12.5,7.5,5.0,21.5,1.36,1.5
Brann,2,1,1,0.0,1.0,3.0,130.0,0.0,1.0,6.0,3.0,54.0,0.0,3.0,12.0,12.0,7.0,2.0,1.0,0.0,0.0,0.0,61.0,0.0,10.0,7.0,3.0,37.0,1.25,1.0,0.0,0.0,4.0,89.0,0.0,2.0,11.0,0.0,67.0,2.0,7.0,13.0,11.0,11.0,3.0,2.0,1.0,1.0,0.0,63.0,0.0,15.0,9.0,6.0,33.0,1.85,2.0,4.0,16.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,6.0,100.0,100.0,100.0,50.0,50.0,0.0,100.0,2.0,1.93,3.68,4.06,1.66,1.57,1.34,2.58,3.15,1.48,2.09,1.64,1.44,1.68,2.62,2.04,1.19,1.8,2.9,1.4,2.96,3.05,1.42,2.11,1.78,1.48,1.74,2.52,2.08,1.26,1.83,2.98,0.0,0.5,3.5,109.5,0.0,1.5,8.5,1.5,60.5,1.0,5.0,12.5,11.5,9.0,0.5,0.5,0.0,62.0,0.0,12.5,8.0,4.5,35.0,1.55,1.5
Fredrikstad,2,1,1,1.0,0.0,3.0,101.0,0.0,0.0,5.0,0.0,52.0,0.0,2.0,7.0,11.0,5.0,1.0,3.0,0.0,0.0,0.0,35.0,0.0,14.0,7.0,7.0,21.0,1.75,0.0,0.0,0.0,1.0,121.0,0.0,1.0,2.0,0.0,56.0,1.0,1.0,4.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,57.0,0.0,6.0,5.0,1.0,13.0,0.87,1.0,4.0,9.0,4.0,2.0,0.5,1.5,0.0,1.5,2.5,4.0,5.0,100.0,100.0,100.0,100.0,0.0,0.0,50.0,2.37,2.31,3.51,3.63,4.5,5.07,1.42,2.84,2.7,1.35,1.84,1.75,1.52,1.95,2.37,1.83,1.34,2.04,3.6,1.45,3.22,2.85,1.37,1.94,1.92,1.52,1.89,2.4,1.9,1.35,2.08,3.68,0.5,0.0,2.0,111.0,0.0,0.5,3.5,0.0,54.0,0.5,1.5,5.5,11.5,5.5,0.0,0.0,0.0,46.0,0.0,10.0,6.0,4.0,17.0,1.31,0.5
HamKam,1,1,0,0.0,1.0,2.0,62.0,0.0,3.0,6.0,0.0,38.0,2.0,4.0,14.0,14.0,14.0,1.0,2.0,0.0,0.0,0.0,39.0,0.0,11.0,7.0,4.0,17.0,1.25,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,11.0,6.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,4.5,5.02,4.1,4.02,,,1.29,2.51,3.28,1.51,2.15,1.61,1.3,1.64,3.11,2.31,1.15,1.68,2.48,1.37,2.81,3.2,1.46,2.04,1.82,,1.49,,2.48,1.27,1.85,3.13,,,,,,,,,,,,,,,,,,,,,,,,,
KFUM,2,1,1,0.0,0.0,2.0,109.0,1.0,1.0,4.0,0.0,55.0,1.0,2.0,9.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,15.0,9.0,6.0,22.0,1.77,1.0,0.0,1.0,4.0,100.0,0.0,2.0,5.0,0.0,39.0,1.0,1.0,12.0,7.0,9.0,3.0,1.0,0.0,0.0,0.0,65.0,0.0,13.0,5.0,8.0,24.0,1.67,2.0,3.0,8.0,3.0,1.5,0.5,1.0,0.0,1.0,2.0,2.5,5.5,100.0,100.0,50.0,50.0,0.0,0.0,50.0,1.85,1.92,3.32,3.44,3.15,3.31,1.43,3.02,2.66,1.37,1.9,1.76,1.48,1.88,2.48,1.94,1.3,2.02,3.52,1.44,3.16,2.9,1.38,2.0,1.86,1.54,1.84,2.37,1.95,1.34,2.08,3.7,0.0,0.5,3.0,104.5,0.5,1.5,4.5,0.0,47.0,1.0,1.5,10.5,10.0,7.5,0.0,0.0,0.0,62.5,0.0,14.0,7.0,7.0,23.0,1.72,1.5
Kristiansund,1,1,0,1.0,3.0,3.0,94.0,0.0,4.0,6.0,2.0,39.0,1.0,3.0,12.0,12.0,8.0,2.0,3.0,1.0,1.0,0.0,37.0,0.0,18.0,13.0,5.0,11.0,1.77,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,17.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,10.0,7.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,5.2,5.81,4.0,4.43,,,1.3,2.39,3.22,1.57,2.18,1.58,1.38,1.62,2.75,2.12,1.15,1.66,2.56,,,,,2.11,1.78,,1.65,,2.19,1.22,1.69,2.67,,,,,,,,,,,,,,,,,,,,,,,,,
Lillestrøm,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,102.0,0.0,1.0,7.0,2.0,56.0,0.0,4.0,9.0,11.0,6.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,17.0,10.0,7.0,21.0,1.97,1.0,4.0,10.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,5.0,5.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,,,3.5,3.88,2.0,2.05,1.28,2.41,3.3,1.58,2.32,1.52,1.28,1.55,3.08,2.28,1.21,1.55,2.65,,2.49,,1.57,2.44,1.59,,1.55,,2.32,1.21,1.67,2.59,,,,,,,,,,,,,,,,,,,,,,,,,
Molde,2,1,1,0.0,0.0,2.0,131.0,0.0,1.0,5.0,2.0,53.0,1.0,3.0,13.0,13.0,6.0,0.0,2.0,0.0,0.0,0.0,62.0,0.0,13.0,9.0,4.0,15.0,1.5,1.0,1.0,2.0,-1.0,67.0,0.0,2.0,9.0,-1.0,38.0,0.0,-1.0,15.0,20.0,3.0,4.0,1.0,0.0,0.0,0.0,66.0,1.0,12.0,7.0,5.0,19.0,1.38,1.0,3.5,10.5,3.5,2.0,0.5,1.0,0.0,1.0,2.5,2.0,1.5,100.0,100.0,50.0,50.0,50.0,0.0,50.0,1.93,1.85,3.6,3.98,3.9,5.1,1.31,2.29,3.2,1.54,2.26,1.56,1.32,1.74,2.95,2.34,1.21,1.67,2.62,,2.61,,1.53,2.32,1.65,,1.78,,2.02,1.2,1.68,2.63,0.5,1.0,0.5,99.0,0.0,1.5,7.0,0.5,45.5,0.5,1.0,14.0,16.5,4.5,0.0,0.0,0.0,64.0,0.5,12.5,8.0,4.5,17.0,1.44,1.0
Rosenborg,2,1,1,0.0,1.0,9.0,118.0,0.0,1.0,16.0,3.0,75.0,0.0,7.0,9.0,19.0,6.0,2.0,0.0,0.0,0.0,0.0,61.0,0.0,12.0,11.0,1.0,16.0,1.37,1.0,0.0,2.0,2.0,90.0,1.0,4.0,4.0,0.0,38.0,2.0,2.0,13.0,14.0,13.0,2.0,0.0,0.0,0.0,0.0,38.0,0.0,9.0,7.0,2.0,28.0,0.99,4.0,2.0,15.5,2.0,0.5,0.0,0.5,1.0,1.5,0.5,8.0,7.5,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2.2,2.24,3.65,3.83,3.6,4.16,1.27,2.2,3.35,1.51,2.33,1.49,1.34,1.68,2.9,2.18,1.21,1.66,2.42,,2.61,,1.53,2.39,1.62,,1.66,,2.2,1.21,1.7,2.7,0.0,1.5,5.5,104.0,0.5,2.5,10.0,1.5,56.5,1.0,4.5,11.0,16.5,9.5,0.0,0.0,0.0,49.5,0.0,10.5,9.0,1.5,22.0,1.18,2.5
Sandefjord,2,1,1,0.0,1.0,8.0,114.0,0.0,1.0,9.0,0.0,59.0,0.0,1.0,18.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,64.0,0.0,16.0,10.0,6.0,21.0,1.86,1.0,0.0,1.0,1.0,108.0,0.0,1.0,7.0,0.0,65.0,0.0,6.0,7.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,17.0,13.0,4.0,23.0,1.82,1.0,1.5,14.5,1.5,0.5,1.0,0.0,0.0,0.0,1.5,6.0,8.5,100.0,50.0,0.0,0.0,0.0,0.0,0.0,2.06,2.15,3.85,4.07,3.7,3.52,1.21,2.13,3.75,1.68,2.6,1.42,1.27,1.48,3.47,2.6,1.12,1.42,2.12,,2.22,,1.69,2.75,1.48,,1.48,,2.54,1.15,1.52,2.26,0.0,1.0,4.5,111.0,0.0,1.0,8.0,0.0,62.0,0.0,3.5,12.5,8.5,7.0,0.0,0.0,0.0,61.0,0.0,16.5,11.5,5.0,22.0,1.84,1.0
