team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Akhmat Grozny,17,8,9,0.25,1.62,-1.0,92.0,0.12,1.88,5.62,-1.0,48.12,0.25,-1.0,9.5,16.38,5.25,1.38,1.62,0.25,0.25,0.0,46.12,0.0,15.25,10.25,5.0,22.5,1.66,1.88,0.0,1.56,-1.0,93.22,0.11,2.78,3.89,-1.0,42.22,0.78,-1.0,14.11,17.11,7.44,1.56,0.89,0.11,0.11,0.0,46.56,0.67,10.78,7.78,3.0,21.56,1.2,1.67,2.71,8.65,2.71,0.71,0.53,0.88,0.59,1.47,1.24,-1.0,-1.0,100.0,82.35,52.94,23.53,5.88,5.88,58.82,2.71,2.75,3.49,3.57,3.38,3.46,1.41,2.96,2.82,1.4,1.95,1.85,1.48,1.88,2.48,1.94,1.33,2.04,3.49,1.39,2.94,3.07,1.42,2.01,1.88,1.57,1.93,2.39,1.88,1.34,2.06,3.62,0.12,1.59,-1.0,92.65,0.11,2.36,4.7,-1.0,45.0,0.53,-1.0,11.94,16.77,6.41,0.18,0.18,0.0,46.35,0.35,12.88,8.94,3.94,22.0,1.42,1.77
Akron,17,9,8,0.0,0.89,-1.0,99.67,0.22,1.67,4.11,-1.0,49.33,0.78,-1.0,15.22,15.56,7.0,1.56,1.22,0.11,0.11,0.0,46.0,0.0,11.11,6.56,4.56,19.0,1.38,1.67,0.12,1.5,-1.0,86.5,0.12,2.25,4.62,-1.0,41.0,0.75,-1.0,14.88,13.12,8.0,1.25,1.38,0.25,0.25,0.0,42.62,0.0,11.12,8.12,3.0,18.38,1.21,2.25,2.71,9.12,2.71,0.59,0.71,0.65,0.76,1.41,1.29,-1.0,-1.0,100.0,88.24,52.94,23.53,5.88,0.0,70.59,3.38,3.61,3.84,4.13,4.83,5.3,1.32,2.56,3.31,1.52,2.12,1.69,1.47,1.93,2.51,1.93,1.22,1.8,2.83,1.38,2.76,3.11,1.47,2.18,1.74,1.55,1.96,2.43,1.85,1.24,1.78,2.91,0.06,1.18,-1.0,93.47,0.17,1.94,4.35,-1.0,45.41,0.77,-1.0,15.06,14.41,7.47,0.18,0.18,0.0,44.41,0.0,11.11,7.29,3.83,18.71,1.3,1.94
Baltika,17,8,9,0.38,1.88,-1.0,83.25,0.12,3.12,3.5,-1.0,42.88,1.12,-1.0,20.12,12.88,7.88,0.5,1.25,0.25,0.25,0.0,41.25,0.12,12.0,8.25,3.75,22.75,1.33,2.88,0.22,1.78,-1.0,92.67,0.22,3.44,3.33,-1.0,43.11,1.67,-1.0,20.22,13.56,7.44,0.33,1.33,0.11,0.11,0.0,48.22,0.11,12.56,8.11,4.44,21.22,1.42,3.33,1.71,8.41,1.71,0.35,0.41,0.41,0.53,0.94,0.76,-1.0,-1.0,76.47,64.71,17.65,5.88,5.88,0.0,29.41,2.58,2.79,3.42,3.45,3.37,3.67,1.38,2.99,2.54,1.26,1.68,1.9,1.44,1.86,2.29,1.76,1.32,2.12,3.92,1.47,3.06,2.78,1.39,1.81,2.08,1.63,1.98,2.28,1.86,1.43,2.35,4.4,0.3,1.83,-1.0,88.24,0.17,3.29,3.41,-1.0,43.0,1.41,-1.0,20.17,13.24,7.65,0.18,0.18,0.0,44.94,0.11,12.3,8.18,4.12,21.94,1.38,3.12
CSKA Moskva,17,9,8,0.33,1.22,-1.0,105.33,0.0,1.89,4.56,-1.0,53.44,0.67,-1.0,11.33,17.67,8.33,0.67,2.22,0.33,0.33,0.0,58.22,0.0,14.56,9.11,5.44,20.78,1.69,1.89,0.0,1.88,-1.0,99.0,0.0,2.5,5.5,-1.0,46.0,0.5,-1.0,12.62,13.25,10.38,1.0,1.0,0.25,0.25,0.0,53.5,0.25,12.75,8.62,4.12,21.38,1.43,2.12,2.47,10.47,2.47,1.06,0.53,0.59,0.29,0.88,1.59,-1.0,-1.0,94.12,64.71,41.18,29.41,11.76,5.88,47.06,1.82,1.9,3.76,3.86,2.71,2.88,1.38,2.77,3.01,1.45,1.96,1.82,1.49,1.94,2.44,1.88,1.28,1.94,3.23,1.43,3.06,2.89,1.39,2.05,1.83,1.6,1.97,2.32,1.84,1.3,1.95,3.32,0.17,1.53,-1.0,102.35,0.0,2.18,5.0,-1.0,49.94,0.59,-1.0,11.94,15.59,9.29,0.29,0.29,0.0,56.0,0.12,13.71,8.88,4.82,21.06,1.57,2.0
Dinamo Moskva,17,9,8,0.0,0.67,-1.0,102.0,0.11,1.56,5.67,-1.0,54.0,0.89,-1.0,12.44,17.78,4.67,1.67,1.89,0.11,0.11,0.0,58.0,0.0,16.44,10.67,5.78,21.44,1.83,1.56,0.12,1.38,-1.0,93.25,0.0,2.38,5.0,-1.0,48.25,1.0,-1.0,14.38,14.75,6.5,1.25,1.12,0.12,0.12,0.0,53.25,0.0,14.5,11.25,3.25,21.12,1.49,2.38,3.0,9.53,3.0,0.53,0.82,1.06,0.59,1.65,1.35,-1.0,-1.0,94.12,76.47,64.71,35.29,11.76,5.88,64.71,1.87,1.89,3.82,4.02,2.65,2.61,1.33,2.58,3.3,1.5,2.15,1.7,1.45,1.9,2.57,1.97,1.23,1.79,2.85,1.35,2.59,3.22,1.52,2.21,1.71,1.54,1.9,2.45,1.91,1.26,1.85,3.07,0.06,1.0,-1.0,97.88,0.06,1.95,5.35,-1.0,51.29,0.94,-1.0,13.35,16.35,5.53,0.11,0.11,0.0,55.76,0.0,15.53,10.94,4.59,21.29,1.67,1.95
FK Sochi,17,8,9,0.0,1.25,-1.0,78.38,0.12,2.12,4.12,-1.0,37.25,0.88,-1.0,13.12,15.25,7.88,1.88,0.5,0.0,0.0,0.0,46.5,0.0,8.38,6.12,2.25,18.75,0.96,2.12,0.0,1.56,-1.0,83.67,0.11,2.44,2.56,-1.0,33.67,0.89,-1.0,15.11,14.56,9.11,2.44,1.11,0.0,0.0,0.0,47.11,0.11,8.0,5.44,2.56,19.0,0.93,2.33,3.0,8.35,3.0,0.35,0.76,1.18,0.71,1.88,1.12,-1.0,-1.0,88.24,82.35,64.71,35.29,17.65,11.76,52.94,4.09,4.09,3.67,3.86,4.89,5.52,1.4,2.93,2.99,1.42,1.91,1.89,1.5,2.02,2.44,1.87,1.3,2.03,3.43,1.48,2.96,2.74,1.41,1.92,1.96,1.62,2.02,2.29,1.8,1.36,2.12,3.79,0.0,1.41,-1.0,81.18,0.11,2.29,3.29,-1.0,35.35,0.89,-1.0,14.17,14.88,8.53,0.0,0.0,0.0,46.82,0.06,8.18,5.76,2.41,18.88,0.94,2.23
Krasnodar,17,9,8,0.0,2.11,-1.0,95.89,0.22,3.0,5.89,-1.0,52.89,0.89,-1.0,13.56,16.0,6.56,0.78,2.11,0.11,0.11,0.0,59.11,0.33,19.0,13.67,5.33,21.0,1.95,2.67,0.25,1.25,-1.0,89.75,0.0,1.88,4.25,-1.0,39.25,0.5,-1.0,13.62,19.5,8.5,0.38,1.88,0.12,0.12,0.0,56.88,0.12,13.0,8.75,4.25,22.12,1.4,1.62,2.59,8.53,2.59,0.59,0.59,0.71,0.71,1.41,1.18,-1.0,-1.0,94.12,76.47,41.18,17.65,17.65,11.76,41.18,1.74,1.72,3.88,4.13,1.95,1.98,1.36,2.71,3.1,1.47,1.97,1.82,1.49,1.96,2.47,1.9,1.26,1.89,3.08,1.42,2.89,2.92,1.44,2.03,1.86,1.56,1.93,2.4,1.88,1.26,1.83,3.02,0.12,1.71,-1.0,93.0,0.12,2.47,5.12,-1.0,46.47,0.71,-1.0,13.59,17.65,7.47,0.11,0.11,0.0,58.06,0.23,16.18,11.35,4.82,21.53,1.69,2.18
Krylya Sovetov,17,8,9,0.12,1.5,-1.0,82.38,0.0,2.0,3.62,-1.0,39.12,0.5,-1.0,14.12,14.75,9.12,1.5,1.38,0.0,0.0,0.0,46.12,0.12,9.38,6.62,2.75,20.88,1.07,1.88,0.11,2.11,-1.0,74.56,0.22,2.89,2.56,-1.0,29.22,0.78,-1.0,14.89,14.56,8.22,2.11,1.0,0.11,0.11,0.0,46.44,0.0,7.89,5.44,2.44,18.78,0.89,2.89,3.0,9.24,3.0,0.59,0.53,1.18,0.71,1.88,1.12,-1.0,-1.0,100.0,94.12,41.18,35.29,23.53,5.88,52.94,3.54,3.82,3.83,3.91,5.27,5.58,1.38,2.83,2.99,1.43,1.94,1.87,1.53,2.05,2.39,1.85,1.3,1.95,3.36,1.43,2.98,2.93,1.41,1.96,1.92,1.62,2.02,2.29,1.81,1.32,2.0,3.49,0.11,1.82,-1.0,78.24,0.12,2.47,3.06,-1.0,33.88,0.65,-1.0,14.53,14.65,8.64,0.06,0.06,0.0,46.29,0.06,8.59,6.0,2.59,19.77,0.97,2.41
Lokomotiv Moskva,17,8,9,0.25,1.75,-1.0,93.62,0.12,2.5,3.0,-1.0,45.62,0.75,-1.0,15.25,13.88,7.0,1.0,2.25,0.12,0.12,0.0,44.25,0.12,15.25,9.12,6.12,18.0,1.72,2.38,0.22,1.67,-1.0,93.11,0.22,2.44,4.44,-1.0,46.44,0.78,-1.0,14.11,15.11,7.56,1.44,1.89,0.33,0.33,0.0,51.67,0.11,13.33,8.78,4.56,16.11,1.5,2.33,3.29,8.94,3.29,0.82,0.47,1.0,1.0,2.0,1.29,-1.0,-1.0,100.0,88.24,52.94,35.29,23.53,17.65,70.59,2.07,2.27,3.64,3.78,2.89,3.19,1.2,2.38,2.72,1.3,1.9,1.5,1.31,1.76,2.19,1.69,1.09,1.59,2.62,1.38,2.73,3.12,1.47,2.26,1.68,1.53,1.89,2.48,1.93,1.25,1.81,2.98,0.23,1.71,-1.0,93.35,0.17,2.47,3.76,-1.0,46.05,0.77,-1.0,14.65,14.53,7.3,0.23,0.23,0.0,48.18,0.11,14.23,8.94,5.29,17.0,1.6,2.35
Makhachkala,17,8,9,0.25,1.5,-1.0,105.62,0.0,2.0,4.75,-1.0,48.75,0.5,-1.0,14.0,18.88,7.88,0.62,0.75,0.0,0.0,0.0,47.0,0.0,10.75,7.88,2.88,24.88,1.24,2.0,0.0,1.67,-1.0,110.22,0.0,2.22,3.89,-1.0,48.56,0.56,-1.0,13.56,18.67,6.56,1.67,0.22,0.0,0.0,0.0,48.33,0.22,10.11,7.33,2.78,23.0,1.19,2.0,1.65,8.12,1.65,0.71,0.06,0.53,0.35,0.88,0.76,-1.0,-1.0,88.24,58.82,11.76,5.88,0.0,0.0,23.53,3.19,3.34,3.48,3.55,5.29,5.62,1.49,3.33,2.61,1.33,1.75,2.07,1.55,2.06,2.32,1.81,1.42,2.29,4.18,1.5,3.15,2.68,1.37,1.76,2.16,1.61,1.97,2.3,1.85,1.43,2.35,4.4,0.12,1.59,-1.0,108.06,0.0,2.12,4.29,-1.0,48.65,0.53,-1.0,13.77,18.77,7.18,0.0,0.0,0.0,47.7,0.12,10.41,7.59,2.83,23.88,1.21,2.0
