team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Al Ahli,25,13,12,0.23,1.85,2.85,84.69,0.0,2.77,6.85,0.38,61.08,0.62,2.85,14.31,11.31,6.0,0.92,2.46,0.46,0.46,0.0,49.85,0.38,14.15,8.15,6.0,14.62,1.75,2.08,0.08,2.08,3.08,79.42,0.0,2.67,5.58,0.42,48.42,0.58,2.42,15.0,10.92,6.5,0.33,1.42,0.17,0.17,0.0,49.0,0.08,12.0,7.33,4.67,18.0,1.36,2.58,2.6,9.28,2.6,0.48,0.6,0.96,0.56,1.52,1.08,4.0,4.44,92.0,64.0,44.0,28.0,20.0,8.0,44.0,1.77,1.73,4.75,5.23,1.7,1.76,1.1,2.02,2.99,1.37,1.96,1.68,1.32,1.76,2.13,1.67,1.02,1.56,2.29,1.33,2.3,3.21,1.61,2.06,1.84,1.54,1.91,2.43,1.9,1.19,1.6,2.5,0.16,1.96,2.96,82.16,0.0,2.72,6.24,0.4,55.0,0.6,2.64,14.64,11.12,6.24,0.32,0.32,0.0,49.44,0.24,13.12,7.76,5.36,16.24,1.56,2.32
Al Akhdoud,25,13,12,0.08,1.69,1.15,54.23,0.0,2.69,4.23,0.15,25.69,0.85,1.62,7.85,11.31,10.15,2.46,1.08,0.0,0.0,0.0,44.62,0.38,9.46,6.0,3.46,19.46,0.94,2.15,0.0,1.83,1.42,57.83,0.08,2.67,2.92,0.42,26.33,0.75,1.08,10.08,13.58,9.42,1.92,0.67,0.08,0.08,0.0,37.92,0.25,7.0,4.42,2.58,14.83,0.82,2.33,3.08,10.0,3.08,0.68,0.64,0.8,0.96,1.76,1.32,4.24,4.0,96.0,76.0,60.0,36.0,24.0,12.0,56.0,4.72,5.09,4.49,5.03,7.7,8.43,1.27,2.46,3.08,1.43,1.85,1.88,1.43,1.82,2.39,1.87,1.18,1.79,2.89,1.36,2.57,3.05,1.54,1.92,1.9,1.57,1.88,2.37,1.96,1.28,1.84,3.1,0.04,1.76,1.28,55.96,0.04,2.68,3.6,0.28,26.0,0.8,1.36,8.92,12.4,9.8,0.04,0.04,0.0,41.4,0.32,8.28,5.24,3.04,17.24,0.88,2.24
Al Fateh,25,13,12,0.0,1.46,3.0,84.23,0.08,3.0,6.0,0.08,47.46,1.38,1.54,13.38,15.31,7.69,1.77,1.54,0.31,0.31,0.0,49.77,0.15,13.92,8.85,5.08,17.31,1.57,2.69,0.17,1.42,1.75,68.33,0.08,2.25,4.75,0.17,38.42,0.83,1.5,10.83,11.17,9.17,1.92,1.17,0.17,0.17,0.0,40.33,0.08,10.42,6.17,4.25,17.08,1.23,2.17,3.2,11.2,3.2,0.64,0.8,1.08,0.68,1.76,1.44,4.56,3.96,96.0,84.0,52.0,32.0,24.0,20.0,72.0,3.07,3.16,4.24,4.7,4.91,5.42,1.21,2.2,3.4,1.54,2.27,1.56,1.33,1.69,2.61,2.0,1.11,1.57,2.39,1.34,2.39,3.18,1.62,2.32,1.62,1.49,1.71,2.55,2.17,1.2,1.62,2.53,0.08,1.44,2.4,76.6,0.08,2.64,5.4,0.12,43.12,1.12,1.52,12.16,13.32,8.4,0.24,0.24,0.0,45.24,0.12,12.24,7.56,4.68,17.2,1.41,2.44
Al Feiha,25,12,13,0.0,0.83,1.42,79.33,0.0,1.67,4.58,0.42,33.5,0.75,2.5,10.33,12.0,5.5,1.17,1.25,0.08,0.08,0.0,47.08,0.08,9.92,6.83,3.08,19.5,1.09,1.5,0.0,0.92,1.62,51.77,-0.08,1.54,4.15,0.08,23.92,0.62,2.0,10.15,9.62,10.0,2.08,1.38,0.0,0.0,0.0,43.0,0.08,10.23,7.15,3.08,16.54,0.96,1.46,2.96,10.24,2.96,0.72,0.56,0.96,0.72,1.68,1.28,5.04,4.4,92.0,88.0,60.0,32.0,24.0,0.0,56.0,3.03,3.19,3.9,4.08,4.97,5.68,1.25,2.58,2.7,1.29,1.82,1.76,1.37,1.81,2.23,1.75,1.18,1.94,3.07,1.41,2.86,2.84,1.44,1.89,1.92,1.57,1.94,2.37,1.89,1.32,2.01,3.49,0.0,0.88,1.52,65.0,-0.04,1.6,4.36,0.24,28.52,0.68,2.24,10.24,10.76,7.84,0.04,0.04,0.0,44.96,0.08,10.08,7.0,3.08,17.96,1.02,1.48
Al Hazm,25,12,13,0.0,1.5,2.17,86.67,0.0,2.67,4.08,0.42,47.83,1.17,1.92,12.83,10.75,7.42,2.08,1.17,0.17,0.17,0.0,48.58,0.08,12.67,8.58,4.08,16.08,1.43,2.58,0.0,1.54,1.77,69.15,0.0,2.38,3.46,0.08,33.62,0.85,0.85,11.46,10.92,7.77,1.62,1.0,0.23,0.23,0.0,43.85,0.08,9.31,5.38,3.92,19.77,1.02,2.31,2.92,9.0,2.92,0.44,0.52,0.96,1.0,1.96,0.96,3.56,4.36,92.0,88.0,64.0,32.0,12.0,4.0,64.0,4.93,4.7,4.42,4.76,5.7,6.09,1.3,2.54,3.27,1.5,2.01,1.74,1.51,1.94,2.4,1.87,1.21,1.75,2.77,1.37,2.55,3.01,1.56,2.06,1.78,1.57,1.89,2.37,1.93,1.25,1.77,2.9,0.0,1.52,1.96,77.56,0.0,2.52,3.76,0.24,40.44,1.0,1.36,12.12,10.84,7.6,0.2,0.2,0.0,46.12,0.08,10.92,6.92,4.0,18.0,1.22,2.44
Al Hilal,25,13,12,0.08,1.15,2.69,102.62,-0.08,1.38,6.15,0.31,67.23,0.08,2.69,8.85,8.92,6.31,0.69,2.31,0.31,0.31,0.0,61.23,0.15,16.15,9.46,6.69,16.77,1.97,1.08,0.17,1.0,3.67,96.0,-0.08,1.83,6.92,0.5,54.0,0.83,3.17,9.5,9.67,6.5,1.17,3.0,0.25,0.25,0.0,58.17,0.0,16.83,9.58,7.25,14.67,1.96,1.83,3.56,9.64,3.56,0.88,0.84,0.88,0.96,1.84,1.72,4.36,4.6,96.0,92.0,64.0,52.0,28.0,16.0,60.0,1.32,1.34,6.46,7.14,1.42,1.47,1.17,1.97,4.21,1.79,2.12,1.73,1.4,1.74,2.7,2.09,1.09,1.36,1.94,,1.93,,1.87,2.19,1.75,1.49,1.67,2.56,2.18,1.13,1.38,1.98,0.12,1.08,3.16,99.44,-0.08,1.6,6.52,0.4,60.88,0.44,2.92,9.16,9.28,6.4,0.28,0.28,0.0,59.76,0.08,16.48,9.52,6.96,15.76,1.97,1.44
Al Ittifaq,25,13,12,0.23,1.77,1.46,67.08,0.0,2.69,3.08,0.38,29.38,0.85,1.62,10.62,10.15,9.92,1.38,1.54,0.08,0.08,0.0,46.23,0.08,9.08,5.23,3.85,14.31,1.06,2.54,0.08,1.5,2.25,64.92,0.17,2.67,4.17,0.08,36.75,1.08,1.92,11.25,11.75,9.58,2.08,1.33,0.17,0.17,0.0,51.0,0.17,9.5,5.67,3.83,16.67,1.06,2.42,3.16,9.12,3.16,0.92,0.44,0.88,0.92,1.8,1.36,4.44,4.68,92.0,84.0,60.0,44.0,20.0,8.0,56.0,3.28,3.41,4.04,4.34,4.7,5.0,1.12,2.12,2.89,1.33,2.08,1.69,1.34,1.77,2.08,1.64,1.05,1.71,2.35,1.35,2.43,3.09,1.58,2.18,1.7,1.61,1.94,2.3,1.9,1.22,1.7,2.73,0.16,1.64,1.84,66.04,0.08,2.68,3.6,0.24,32.92,0.96,1.76,10.92,10.92,9.76,0.12,0.12,0.0,48.52,0.12,9.28,5.44,3.84,15.44,1.06,2.48
Al Ittihad,25,12,13,0.08,1.0,3.83,94.67,0.0,2.0,7.25,0.5,55.33,0.75,3.42,12.58,10.17,5.67,0.92,1.25,0.0,0.0,0.0,61.92,0.25,14.5,9.17,5.33,18.42,1.62,1.5,0.15,1.38,2.15,91.69,0.08,2.46,6.15,0.31,49.69,0.92,2.54,11.54,10.23,7.38,1.54,1.92,0.31,0.31,0.0,58.08,0.23,12.69,7.85,4.85,16.77,1.5,2.08,2.84,10.04,2.84,0.8,0.56,0.6,0.88,1.48,1.36,4.68,4.44,100.0,76.0,44.0,28.0,12.0,12.0,56.0,1.87,1.88,4.8,5.2,2.29,2.44,1.22,2.14,3.7,1.64,2.23,1.61,1.44,1.89,2.57,1.98,1.12,1.47,2.2,1.33,2.2,3.21,1.68,2.29,1.67,1.52,1.81,2.46,2.02,1.16,1.51,2.28,0.12,1.2,2.96,93.12,0.04,2.24,6.68,0.4,52.4,0.84,2.96,12.04,10.2,6.56,0.16,0.16,0.0,59.92,0.24,13.56,8.48,5.08,17.56,1.56,1.8
Al Khaleej,25,12,13,0.33,1.08,2.25,80.08,0.08,2.17,5.25,0.25,44.58,1.0,2.17,9.75,12.25,7.25,1.17,1.92,0.17,0.17,0.0,53.83,0.17,11.92,7.58,4.33,16.75,1.38,1.92,0.15,1.38,2.15,72.0,0.08,2.54,5.15,0.77,35.38,1.0,2.46,12.31,12.15,9.15,1.92,1.62,0.23,0.23,0.0,49.38,0.23,12.15,7.54,4.62,15.54,1.35,2.15,3.32,10.4,3.32,0.88,0.44,1.04,0.96,2.0,1.32,4.68,4.44,96.0,76.0,64.0,48.0,36.0,4.0,68.0,2.35,2.33,4.07,4.27,4.44,4.76,1.27,2.38,3.35,1.54,2.19,1.59,1.47,1.88,2.47,1.92,1.18,1.66,2.59,1.36,2.54,3.06,1.53,2.26,1.66,1.54,1.86,2.44,1.95,1.22,1.69,2.7,0.24,1.24,2.2,75.88,0.08,2.36,5.2,0.52,39.8,1.0,2.32,11.08,12.2,8.24,0.2,0.2,0.0,51.52,0.2,12.04,7.56,4.48,16.12,1.36,2.04
Al Kholood,25,13,12,0.31,0.77,2.62,66.85,0.08,1.77,4.38,0.15,33.54,0.85,1.77,11.46,13.23,8.77,2.15,1.08,0.15,0.15,0.0,44.69,0.23,9.23,5.77,3.46,18.0,1.07,1.38,0.17,1.08,1.67,80.08,0.08,1.83,4.0,0.17,42.75,0.75,1.25,9.75,11.08,8.92,1.5,1.58,0.08,0.08,0.0,48.5,0.0,11.5,7.83,3.67,17.25,1.29,1.83,3.16,9.8,3.16,0.64,1.0,0.64,0.88,1.52,1.64,3.56,5.28,96.0,80.0,68.0,36.0,24.0,8.0,52.0,4.54,4.67,4.13,4.37,4.38,4.69,1.29,2.45,3.25,1.51,2.09,1.68,1.49,1.95,2.47,1.94,1.21,1.72,2.75,1.36,2.54,3.08,1.55,2.14,1.72,1.57,1.86,2.38,1.99,1.26,1.81,3.0,0.24,0.92,2.16,73.2,0.08,1.8,4.2,0.16,37.96,0.8,1.52,10.64,12.2,8.84,0.12,0.12,0.0,46.52,0.12,10.32,6.76,3.56,17.64,1.18,1.6
