team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Anyang,5,2,3,0.0,3.0,1.0,83.0,0.0,4.5,3.5,1.5,36.0,1.5,2.5,13.0,9.5,4.0,1.0,1.0,0.5,0.5,0.0,39.5,0.5,9.0,5.0,4.0,20.5,1.12,4.0,0.0,1.67,1.33,89.33,0.0,2.67,3.33,0.67,50.0,0.67,2.0,11.0,9.67,10.0,1.33,1.0,0.33,0.33,0.0,37.67,0.33,8.67,4.33,4.33,15.67,1.22,2.0,2.2,10.8,2.2,0.4,0.4,0.8,0.6,1.4,0.8,5.0,5.6,100.0,80.0,40.0,0.0,0.0,0.0,80.0,2.35,2.52,3.16,3.41,4.05,4.64,1.43,3.01,2.66,1.34,1.87,1.85,1.73,2.45,2.0,1.61,1.32,2.11,3.7,1.49,3.27,2.7,1.36,1.87,2.0,1.85,2.31,1.96,1.59,1.41,2.27,4.19,0.0,2.2,1.2,86.8,0.0,3.4,3.4,1.0,44.4,1.0,2.2,11.8,9.6,7.6,0.4,0.4,0.0,38.4,0.4,8.8,4.6,4.2,17.6,1.18,2.8
Bucheon 1995,5,3,2,0.33,0.0,1.67,107.33,-0.33,1.0,3.33,0.0,50.0,1.0,1.67,12.0,12.0,8.67,1.0,0.67,0.33,0.33,0.0,39.67,0.0,10.0,7.0,3.0,21.33,1.21,1.0,0.0,1.5,0.5,101.5,0.0,2.0,3.0,-0.5,55.0,0.5,-0.5,10.5,11.0,5.0,1.0,1.5,0.5,0.5,0.0,42.0,0.0,10.0,7.5,2.5,16.5,1.22,2.0,2.0,7.8,2.0,0.4,0.4,0.4,0.8,1.2,0.8,2.6,2.4,60.0,60.0,40.0,20.0,20.0,0.0,60.0,3.72,4.17,3.43,3.66,5.38,5.64,1.43,3.02,2.71,1.36,1.82,1.9,1.83,2.55,1.95,1.57,1.34,2.06,3.65,1.5,3.2,2.73,1.37,1.84,2.04,1.94,2.45,1.86,1.52,1.38,2.21,4.05,0.2,0.6,1.2,105.0,-0.2,1.4,3.2,-0.2,52.0,0.8,0.8,11.4,11.6,7.2,0.4,0.4,0.0,40.6,0.0,10.0,7.2,2.8,19.4,1.21,1.4
Daejeon Citizen,5,3,2,0.0,1.0,2.0,145.67,0.0,2.67,4.67,0.33,70.67,1.67,2.67,10.67,14.0,5.33,1.0,0.67,0.0,0.0,0.0,59.33,0.0,13.33,9.0,4.33,19.33,1.67,2.67,0.5,1.5,1.5,141.0,-0.5,1.5,3.5,1.0,54.5,0.0,2.0,11.5,8.0,5.0,1.0,2.0,0.0,0.0,0.0,60.0,0.0,10.5,7.0,3.5,13.0,1.32,1.5,2.2,9.0,2.2,0.2,0.6,0.6,0.8,1.4,0.8,5.6,3.4,100.0,80.0,20.0,20.0,0.0,0.0,80.0,2.26,2.31,3.3,3.4,2.38,2.42,1.41,2.83,2.73,1.39,1.95,1.74,1.76,2.25,2.02,1.61,1.3,1.97,3.4,1.43,3.12,2.9,1.38,2.09,1.78,1.89,2.22,1.92,1.63,1.32,2.04,3.53,0.2,1.2,1.8,143.8,-0.2,2.2,4.2,0.6,64.2,1.0,2.4,11.0,11.6,5.2,0.0,0.0,0.0,59.6,0.0,12.2,8.2,4.0,16.8,1.53,2.2
FC Seoul,4,1,3,1.0,1.0,0.0,98.0,0.0,1.0,2.0,0.0,52.0,0.0,2.0,10.0,13.0,4.0,0.0,5.0,0.0,0.0,0.0,52.0,0.0,12.0,6.0,6.0,27.0,1.56,1.0,0.33,1.67,1.67,90.0,0.33,3.33,5.67,0.0,54.0,1.67,1.33,12.67,16.67,7.0,0.67,1.67,0.0,0.0,0.0,57.33,0.33,12.67,7.33,5.33,20.33,1.56,3.0,3.0,8.5,3.0,0.25,0.25,1.5,1.0,2.5,0.5,2.75,2.75,100.0,75.0,75.0,25.0,25.0,0.0,50.0,1.6,1.44,3.17,3.54,2.21,2.33,1.48,2.95,2.48,1.33,1.78,1.87,1.9,2.63,1.8,1.48,1.36,2.16,3.76,1.55,3.38,2.55,1.34,1.85,2.02,1.94,2.48,1.86,1.51,1.38,2.21,3.99,0.5,1.5,1.25,92.0,0.25,2.75,4.75,0.0,53.5,1.25,1.5,12.0,15.75,6.25,0.0,0.0,0.0,56.0,0.25,12.5,7.0,5.5,22.0,1.56,2.5
Gangwon,5,2,3,0.5,0.5,4.0,108.5,0.0,1.5,12.5,0.0,98.5,1.0,2.0,6.0,11.5,4.0,1.0,1.0,0.0,0.0,0.0,67.0,0.0,15.0,10.5,4.5,24.5,1.96,1.5,0.0,1.67,1.0,117.0,0.0,2.67,4.0,0.0,72.0,1.0,3.0,16.0,12.33,1.0,1.33,0.33,0.0,0.0,0.0,57.67,0.0,9.0,7.0,2.0,13.33,1.24,2.67,1.8,11.2,1.8,0.6,0.4,0.6,0.2,0.8,1.0,4.2,3.8,80.0,60.0,20.0,20.0,0.0,0.0,60.0,1.92,1.93,3.05,3.26,2.51,2.37,1.49,3.31,2.48,1.3,1.77,1.96,1.76,2.57,1.98,1.59,1.41,2.31,4.01,1.54,3.39,2.56,1.34,1.77,2.11,1.98,2.38,1.85,1.55,1.45,2.4,4.5,0.2,1.2,2.2,113.6,0.0,2.2,7.4,0.0,82.6,1.0,2.6,12.0,12.0,2.2,0.0,0.0,0.0,61.4,0.0,11.4,8.4,3.0,17.8,1.53,2.2
Gwangju,5,2,3,0.0,2.0,1.5,108.0,0.0,2.0,1.5,0.0,45.0,0.0,0.0,17.0,14.5,10.0,1.0,1.5,0.5,0.5,0.0,39.5,0.0,5.5,2.5,3.0,15.5,0.9,2.0,0.0,2.33,2.33,99.67,0.0,3.67,3.33,0.0,46.67,1.33,1.0,15.0,13.0,6.0,2.0,0.33,0.33,0.33,0.0,55.0,0.0,11.33,8.33,3.0,16.0,1.27,3.67,2.4,7.0,2.4,0.4,0.2,1.4,0.4,1.8,0.6,3.0,3.8,60.0,60.0,40.0,40.0,40.0,0.0,40.0,3.47,4.14,3.17,3.49,4.41,5.52,1.48,3.18,2.42,1.31,1.74,2.02,1.84,2.29,1.96,1.56,1.4,2.25,4.35,1.56,3.39,2.51,1.34,1.74,2.15,2.03,2.52,1.79,1.49,1.46,2.41,4.52,0.0,2.2,2.0,103.0,0.0,3.0,2.6,0.0,46.0,0.8,0.6,15.8,13.6,7.6,0.4,0.4,0.0,48.8,0.0,9.0,6.0,3.0,15.8,1.12,3.0
Incheon United,5,2,3,0.0,0.5,3.0,106.0,0.0,1.5,6.5,0.5,45.5,1.0,3.5,10.5,16.0,4.0,2.5,1.0,0.5,0.5,0.0,52.0,0.0,9.0,5.0,4.0,19.5,1.18,1.5,0.0,1.67,1.67,108.0,0.0,2.67,4.33,0.0,61.67,1.0,2.0,10.33,13.67,2.67,1.33,1.33,0.0,0.0,0.0,60.0,0.0,14.0,9.67,4.33,21.33,1.64,2.67,3.0,7.4,3.0,0.4,0.6,0.8,1.2,2.0,1.0,3.8,3.2,100.0,80.0,60.0,40.0,20.0,0.0,80.0,2.94,2.84,2.92,3.08,2.62,2.68,1.51,3.19,2.4,1.28,1.8,1.96,1.84,2.58,1.93,1.54,1.39,2.27,4.19,1.54,3.28,2.56,1.36,1.84,2.04,2.01,2.4,1.8,1.53,1.47,2.47,4.7,0.0,1.2,2.2,107.2,0.0,2.2,5.2,0.2,55.2,1.0,2.6,10.4,14.6,3.2,0.2,0.2,0.0,56.8,0.0,12.0,7.8,4.2,20.6,1.46,2.2
Jeju United,5,3,2,0.0,1.0,0.33,82.33,0.0,2.33,3.0,0.0,46.67,1.0,0.67,13.67,13.33,9.0,1.33,0.33,0.0,0.0,0.0,37.67,0.33,11.33,7.33,4.0,18.0,1.34,1.67,0.0,1.0,1.0,78.5,0.0,1.0,3.5,-0.5,35.0,0.0,0.0,14.5,8.0,9.5,1.5,1.0,0.5,0.5,0.0,39.0,0.0,5.5,3.5,2.0,16.0,0.75,1.0,2.0,10.2,2.0,0.0,0.2,0.8,1.0,1.8,0.2,1.6,2.6,80.0,80.0,40.0,0.0,0.0,0.0,60.0,2.99,3.39,3.11,3.35,4.15,4.82,1.48,2.99,2.55,1.35,1.89,1.84,1.78,2.44,1.94,1.55,1.36,2.18,3.71,1.52,3.29,2.65,1.36,1.87,2.0,1.85,2.29,1.95,1.59,1.41,2.29,4.22,0.0,1.0,0.6,80.8,0.0,1.8,3.2,-0.2,42.0,0.6,0.4,14.0,11.2,9.2,0.2,0.2,0.0,38.2,0.2,9.0,5.8,3.2,17.2,1.1,1.4
Jeonbuk Motors,5,2,3,0.5,1.0,3.5,136.5,0.0,2.0,5.0,0.5,72.5,1.0,1.0,10.0,10.5,7.5,2.0,2.0,0.0,0.0,0.0,66.0,0.0,13.5,9.5,4.0,17.5,1.66,2.0,0.0,1.67,2.33,101.67,0.0,2.33,4.67,0.33,62.33,0.67,2.33,14.0,14.0,6.33,0.33,0.67,0.0,0.0,0.0,48.0,0.0,11.33,6.33,5.0,13.67,1.52,2.33,2.2,7.0,2.2,0.4,0.6,0.6,0.6,1.2,1.0,2.6,4.2,80.0,60.0,40.0,20.0,20.0,0.0,60.0,1.56,1.51,3.54,3.76,2.11,2.32,1.38,2.84,2.77,1.39,1.88,1.82,1.85,2.45,1.89,1.53,1.29,1.94,3.29,1.44,3.11,2.89,1.39,1.94,1.93,1.9,2.35,1.91,1.57,1.33,2.07,3.63,0.2,1.4,2.8,115.6,0.0,2.2,4.8,0.4,66.4,0.8,1.8,12.4,12.6,6.8,0.0,0.0,0.0,55.2,0.0,12.2,7.6,4.6,15.2,1.58,2.2
Pohang Steelers,5,4,1,0.0,2.0,1.25,100.25,0.0,3.25,5.5,-0.5,51.5,1.0,0.5,11.25,12.25,6.0,0.5,0.5,0.0,0.0,0.0,47.25,0.5,9.0,6.75,2.25,12.75,1.1,2.5,0.0,3.0,1.0,102.0,0.0,5.0,4.0,0.0,49.0,1.0,3.0,9.0,13.0,4.0,1.0,1.0,0.0,0.0,0.0,48.0,1.0,9.0,8.0,1.0,18.0,1.0,3.0,1.2,9.6,1.2,0.2,0.4,0.4,0.2,0.6,0.6,2.8,1.8,80.0,40.0,0.0,0.0,0.0,0.0,40.0,2.55,3.1,2.98,3.1,2.27,2.65,1.51,3.27,2.44,1.33,1.8,1.93,1.89,2.98,1.8,1.45,1.4,2.22,4.12,1.56,3.38,2.5,1.34,1.78,2.11,2.07,2.52,1.75,1.48,1.48,2.52,4.78,0.0,2.2,1.2,100.6,0.0,3.6,5.2,-0.4,51.0,1.0,1.0,10.8,12.4,5.6,0.0,0.0,0.0,47.4,0.6,9.0,7.0,2.0,13.8,1.08,2.6
