team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Athletic Club Bilbao,15,8,7,0.12,1.12,2.5,118.75,0.0,1.5,5.88,1.0,55.88,0.38,3.38,14.38,12.12,3.88,1.12,1.0,0.38,0.38,0.0,50.88,0.0,13.62,9.25,4.38,21.88,1.58,1.5,0.14,2.0,2.57,99.43,0.0,3.0,4.86,0.43,45.86,0.57,2.29,11.71,12.71,7.14,1.57,0.86,0.0,0.0,0.0,45.71,0.43,12.0,8.29,3.71,20.0,1.35,2.14,2.27,9.93,2.27,0.47,0.4,0.8,0.6,1.4,0.87,5.4,4.53,93.33,60.0,40.0,20.0,13.33,0.0,33.33,1.97,1.98,3.69,3.66,3.19,3.26,1.42,3.0,2.78,1.37,1.81,2.03,1.55,2.03,2.31,1.81,1.35,2.17,3.88,1.48,3.22,2.73,1.36,1.84,2.09,1.64,2.05,2.27,1.8,1.41,2.22,2.89,0.13,1.53,2.53,109.73,0.0,2.2,5.4,0.73,51.2,0.47,2.87,13.13,12.4,5.4,0.2,0.2,0.0,48.47,0.2,12.86,8.8,4.07,21.0,1.47,1.8
Atlético Madrid,15,8,7,0.25,1.25,3.62,105.12,0.0,1.75,9.25,0.75,61.12,0.5,5.62,9.75,10.38,7.0,0.75,2.5,0.25,0.25,0.0,56.12,0.0,15.75,8.62,7.12,20.25,1.94,1.75,0.43,1.29,2.71,98.57,0.0,2.29,4.86,0.86,46.0,0.86,2.14,12.57,10.29,9.86,1.14,1.14,0.0,0.0,0.0,51.71,0.29,11.0,6.71,4.29,18.29,1.33,1.86,2.8,10.47,2.8,0.67,0.73,1.2,0.2,1.4,1.4,5.47,5.0,100.0,86.67,40.0,26.67,13.33,6.67,60.0,1.57,1.63,4.43,4.53,2.15,2.21,1.36,2.67,3.11,1.48,1.93,1.93,1.56,2.02,2.34,1.83,1.26,1.86,3.13,1.4,2.7,3.06,1.49,1.93,2.02,1.62,2.0,2.31,1.86,1.34,1.95,3.0,0.33,1.27,3.2,102.06,0.0,2.0,7.2,0.8,54.06,0.67,4.0,11.07,10.34,8.33,0.13,0.13,0.0,54.06,0.14,13.53,7.73,5.8,19.34,1.66,1.8
CA Osasuna,14,6,8,0.33,1.83,0.5,93.67,0.0,3.0,2.83,0.33,48.0,0.83,1.17,13.33,10.83,7.17,1.33,1.5,0.17,0.17,0.0,49.5,0.33,12.0,7.5,4.5,23.5,1.42,2.33,0.0,1.5,1.75,81.38,0.0,2.5,3.25,0.25,38.25,0.88,1.5,12.5,12.0,9.5,1.25,0.38,0.12,0.12,0.0,44.5,0.25,9.12,6.75,2.38,17.12,1.02,2.12,2.14,7.36,2.14,0.64,0.21,0.71,0.57,1.29,0.86,3.07,3.64,92.86,57.14,35.71,21.43,7.14,0.0,42.86,2.34,2.41,3.56,3.64,5.5,5.69,1.47,3.11,2.71,1.35,1.79,2.0,1.6,1.98,2.25,1.78,1.39,2.23,3.99,1.5,3.06,2.68,1.41,1.83,2.07,1.65,2.03,2.27,1.84,1.44,2.33,3.05,0.14,1.64,1.21,86.65,0.0,2.71,3.07,0.28,42.43,0.86,1.36,12.86,11.5,8.5,0.14,0.14,0.0,46.64,0.28,10.35,7.07,3.29,19.85,1.19,2.21
Celta de Vigo,14,8,6,0.0,1.25,3.88,114.88,0.0,1.5,5.38,0.0,53.75,0.25,1.5,11.0,12.38,5.75,1.5,0.88,0.12,0.12,0.0,55.12,0.12,11.75,8.12,3.62,20.25,1.4,1.38,0.0,1.83,1.5,81.0,0.0,2.67,3.5,0.0,35.33,0.83,1.33,13.67,12.0,9.67,1.17,1.5,0.17,0.17,0.0,46.67,0.0,10.5,6.5,4.0,18.17,1.2,2.67,2.5,9.14,2.5,0.43,0.71,0.57,0.79,1.36,1.14,3.21,5.29,100.0,85.71,28.57,14.29,14.29,7.14,78.57,2.66,2.75,3.43,3.52,2.76,2.92,1.41,2.9,2.9,1.42,2.05,1.8,1.63,2.16,2.16,1.75,1.3,2.01,3.4,1.41,2.89,2.99,1.46,2.15,1.81,1.67,2.1,2.25,1.77,1.34,2.02,3.12,0.0,1.5,2.86,100.36,0.0,2.0,4.57,0.0,45.86,0.5,1.43,12.14,12.22,7.43,0.14,0.14,0.0,51.5,0.07,11.21,7.43,3.78,19.36,1.31,1.93
Deportivo Alavés,14,7,7,0.14,1.0,3.57,110.86,0.14,1.86,5.86,0.14,43.71,0.86,2.29,15.14,14.86,6.0,1.0,1.29,0.43,0.43,0.0,52.29,0.14,12.0,8.43,3.57,20.71,1.33,1.71,0.14,2.0,2.14,94.43,0.0,3.0,4.71,0.43,39.71,1.0,2.57,17.0,12.43,8.86,1.14,0.43,0.0,0.0,0.0,47.57,0.0,10.29,7.0,3.29,18.71,1.18,3.0,1.93,9.43,1.93,0.71,0.21,0.5,0.5,1.0,0.93,4.36,5.07,92.86,50.0,35.71,14.29,0.0,0.0,50.0,2.75,2.87,3.32,3.45,4.91,5.5,1.54,3.35,2.5,1.31,1.7,2.12,1.58,2.17,2.26,1.79,1.47,2.46,4.87,1.53,3.05,2.57,1.46,1.76,2.19,1.68,2.08,2.24,1.8,1.51,2.53,2.06,0.14,1.5,2.86,102.64,0.07,2.43,5.29,0.28,41.71,0.93,2.43,16.07,13.64,7.43,0.22,0.22,0.0,49.93,0.07,11.14,7.71,3.43,19.71,1.26,2.36
Elche CF,14,7,7,0.14,1.29,1.0,107.14,0.0,1.86,3.43,0.71,56.0,0.57,2.43,11.57,15.57,7.43,0.71,1.29,0.0,0.0,0.0,62.71,0.14,13.71,8.86,4.86,15.29,1.62,1.71,0.0,1.14,1.57,87.43,0.0,2.29,3.0,0.29,34.43,1.0,1.43,12.86,16.14,7.29,1.71,0.86,0.0,0.0,0.0,55.29,0.14,8.57,5.43,3.14,17.43,1.02,2.0,2.29,7.79,2.29,0.5,0.29,1.0,0.5,1.5,0.79,4.79,3.0,92.86,71.43,35.71,28.57,0.0,0.0,64.29,3.28,3.58,3.7,3.92,6.18,6.82,1.44,3.04,2.79,1.39,1.81,1.98,1.65,2.1,2.17,1.72,1.38,2.17,3.93,1.49,3.0,2.69,1.45,1.86,2.04,1.71,2.13,2.15,1.75,1.42,2.2,2.72,0.07,1.22,1.28,97.28,0.0,2.08,3.22,0.5,45.22,0.78,1.93,12.22,15.86,7.36,0.0,0.0,0.0,59.0,0.14,11.14,7.14,4.0,16.36,1.32,1.86
FC Barcelona,15,8,7,0.38,0.5,2.75,114.75,0.0,0.88,6.5,0.75,58.12,0.38,3.75,9.62,11.62,4.62,0.62,3.25,0.0,0.0,0.0,66.25,0.0,20.25,12.5,7.75,17.75,2.24,0.88,0.29,1.57,3.71,115.29,0.0,2.57,6.43,0.71,64.43,1.0,2.71,9.57,12.57,4.14,1.71,2.29,0.29,0.29,0.0,68.43,0.29,19.57,11.86,7.71,18.29,2.24,2.29,3.93,11.07,3.93,1.4,0.87,1.13,0.53,1.67,2.27,5.67,5.4,100.0,100.0,93.33,60.0,26.67,13.33,73.33,1.29,1.34,5.54,5.91,1.67,1.74,1.21,2.04,4.12,1.8,2.26,1.68,1.42,1.71,2.74,2.08,1.1,1.4,2.06,,2.01,,1.84,2.37,1.69,1.51,1.71,2.52,2.15,,1.42,2.04,0.34,1.0,3.2,115.0,0.0,1.67,6.47,0.73,61.06,0.67,3.26,9.6,12.06,4.4,0.14,0.14,0.0,67.27,0.14,19.93,12.2,7.73,18.0,2.24,1.54
Getafe CF,14,7,7,0.0,1.71,2.43,101.43,0.14,2.71,4.29,0.14,41.0,0.86,1.0,16.0,15.43,6.86,0.71,1.0,0.0,0.0,0.0,41.0,0.29,10.14,7.29,2.86,25.71,1.15,2.29,0.0,1.43,3.0,94.86,0.14,2.43,5.57,0.43,42.71,1.0,2.57,14.29,13.29,6.86,1.43,0.86,0.0,0.0,0.0,39.57,0.0,8.71,5.86,2.86,25.71,1.07,2.43,2.0,9.14,2.0,0.57,0.21,0.64,0.57,1.21,0.79,3.79,4.71,100.0,64.29,35.71,0.0,0.0,0.0,35.71,3.25,3.32,3.31,3.47,5.27,5.79,1.58,3.62,2.4,1.28,1.6,2.32,1.85,2.6,1.91,1.55,1.54,2.66,5.25,1.62,2.82,2.36,1.44,1.62,2.43,1.97,2.45,1.87,1.56,1.63,2.82,2.81,0.0,1.57,2.72,98.14,0.14,2.57,4.93,0.28,41.86,0.93,1.78,15.14,14.36,6.86,0.0,0.0,0.0,40.29,0.14,9.43,6.58,2.86,25.71,1.11,2.36
Girona FC,14,8,6,0.0,1.5,2.75,88.88,0.12,2.75,5.62,0.38,45.5,0.88,2.88,9.62,14.12,7.38,1.75,1.0,0.25,0.25,0.0,50.0,0.62,9.75,6.38,3.38,17.88,1.18,1.75,0.17,2.0,1.0,73.17,0.0,2.33,2.17,0.0,30.83,0.33,1.17,11.83,11.67,13.5,2.0,0.83,0.17,0.17,0.0,43.0,0.0,9.0,4.83,4.17,14.33,1.09,2.33,2.79,10.21,2.79,0.57,0.71,0.86,0.64,1.5,1.29,4.43,5.79,92.86,85.71,50.0,28.57,14.29,7.14,64.29,2.77,2.87,3.95,4.07,6.8,7.03,1.37,2.7,3.1,1.48,1.99,1.79,1.54,1.97,2.35,1.84,1.27,1.9,3.28,1.43,2.9,2.91,1.46,2.07,1.84,1.64,1.99,2.29,1.87,1.33,1.89,2.92,0.07,1.71,2.0,82.15,0.07,2.57,4.14,0.22,39.21,0.64,2.15,10.57,13.07,10.0,0.22,0.22,0.0,47.0,0.35,9.43,5.72,3.72,16.36,1.14,2.0
Levante UD,14,6,8,0.33,1.67,2.17,77.17,0.0,2.5,4.0,0.0,34.5,0.67,1.83,11.67,12.5,9.5,2.67,1.0,0.17,0.17,0.0,39.0,0.17,10.17,6.83,3.33,17.67,1.13,2.17,0.0,1.0,1.5,81.5,0.12,2.0,2.5,0.25,36.0,1.0,1.0,13.38,11.62,10.62,1.25,1.25,0.0,0.0,0.0,41.12,0.0,10.38,7.0,3.38,17.5,1.16,2.0,3.0,10.79,3.0,0.43,0.93,0.71,0.93,1.64,1.36,5.43,5.36,100.0,92.86,57.14,35.71,14.29,0.0,57.14,5.01,5.48,3.94,4.14,4.65,4.94,1.37,2.71,3.01,1.46,1.97,1.83,1.49,1.91,2.49,1.92,1.28,1.95,3.36,1.42,2.68,2.96,1.54,2.06,1.85,1.6,1.96,2.37,1.9,1.34,1.91,2.96,0.14,1.29,1.79,79.64,0.07,2.21,3.14,0.14,35.36,0.86,1.36,12.65,12.0,10.14,0.07,0.07,0.0,40.21,0.07,10.29,6.93,3.36,17.57,1.15,2.07
