team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Albacete Balompié,31,15,16,0.07,1.53,2.67,91.13,-0.07,1.8,5.33,0.33,43.13,0.2,2.6,9.6,8.33,6.73,1.47,1.2,0.13,0.13,0.0,42.4,0.07,14.2,9.93,4.27,24.07,1.51,1.67,0.31,1.62,2.44,87.31,0.12,2.81,5.06,0.69,44.25,1.0,2.62,11.62,12.5,8.88,1.12,1.31,0.12,0.12,0.0,43.75,0.19,12.44,7.88,4.56,23.31,1.43,2.44,2.55,10.35,2.55,0.45,0.42,0.71,0.97,1.68,0.87,4.84,5.45,83.87,64.52,45.16,29.03,16.13,6.45,51.61,2.2,2.25,3.29,3.49,3.74,4.22,1.39,2.77,2.83,1.4,1.97,1.75,1.5,1.93,2.42,1.88,1.29,1.96,3.29,1.42,2.95,3.0,1.43,2.1,1.8,1.52,1.88,2.43,1.92,1.31,2.01,3.47,0.19,1.58,2.55,89.16,0.03,2.32,5.19,0.52,43.71,0.61,2.61,10.64,10.48,7.84,0.12,0.12,0.0,43.1,0.13,13.29,8.87,4.42,23.68,1.47,2.07
Almería,31,15,16,0.2,1.47,3.13,96.67,0.07,2.53,6.53,0.73,49.6,1.0,3.33,13.67,12.13,7.33,1.47,2.4,0.33,0.33,0.0,52.8,0.07,16.47,9.8,6.67,18.33,1.86,2.4,0.06,1.5,1.69,88.19,0.06,3.06,3.62,0.0,40.25,1.5,1.56,13.0,13.69,7.94,1.31,1.44,0.25,0.25,0.0,53.31,0.12,13.81,9.19,4.62,20.69,1.49,2.88,3.29,9.16,3.29,0.81,0.55,1.03,0.9,1.94,1.35,3.94,4.9,96.77,83.87,70.97,38.71,22.58,9.68,70.97,1.74,1.81,3.42,3.6,2.51,2.75,1.36,2.71,2.95,1.43,2.05,1.74,1.52,1.98,2.35,1.87,1.25,1.87,3.14,1.4,2.89,3.07,1.45,2.2,1.74,1.56,1.94,2.36,1.87,1.29,1.93,3.29,0.13,1.49,2.39,92.29,0.06,2.8,5.03,0.35,44.77,1.26,2.42,13.32,12.94,7.64,0.29,0.29,0.0,53.06,0.1,15.1,9.49,5.61,19.55,1.67,2.65
Burgos CF,31,16,15,0.06,1.69,1.69,93.75,-0.06,2.69,3.69,0.12,44.19,1.0,2.0,13.06,14.44,8.38,0.62,1.31,0.25,0.25,0.0,49.81,0.06,11.19,7.62,3.56,25.0,1.28,2.62,0.07,1.27,2.07,86.33,0.0,2.53,3.8,0.27,36.73,1.27,1.73,12.8,14.8,9.0,1.07,1.0,0.27,0.27,0.0,44.27,0.0,9.0,6.47,2.53,20.87,1.02,2.53,2.0,8.58,2.0,0.61,0.32,0.58,0.48,1.06,0.94,4.03,4.55,83.87,58.06,35.48,12.9,6.45,3.23,38.71,2.23,2.25,2.99,3.09,3.8,4.1,1.57,3.53,2.32,1.25,1.65,2.17,1.71,2.36,2.05,1.65,1.51,2.59,5.03,1.61,3.4,2.41,1.33,1.68,2.27,1.79,2.23,2.04,1.64,1.56,2.75,5.6,0.06,1.49,1.87,90.16,-0.03,2.61,3.74,0.19,40.58,1.13,1.87,12.93,14.61,8.68,0.26,0.26,0.0,47.13,0.03,10.13,7.06,3.06,23.0,1.15,2.58
CD Castellón,30,14,16,0.29,2.5,2.93,104.07,0.0,3.57,5.86,0.29,59.86,0.93,2.93,14.29,13.5,4.79,1.21,2.07,0.36,0.36,0.0,55.29,0.36,15.57,10.29,5.29,17.93,1.79,3.07,0.12,1.69,2.75,98.62,0.19,2.81,6.19,0.44,55.75,1.0,3.12,11.75,13.62,5.94,1.25,1.25,0.06,0.06,0.0,55.25,0.19,13.75,9.19,4.56,18.62,1.59,2.5,2.87,9.6,2.87,0.67,0.7,0.97,0.53,1.5,1.37,4.63,4.7,86.67,70.0,50.0,43.33,16.67,10.0,53.33,1.64,1.64,3.58,3.86,2.58,2.7,1.35,2.64,3.02,1.45,2.07,1.72,1.55,2.02,2.32,1.83,1.23,1.8,2.93,1.39,2.79,3.13,1.48,2.17,1.75,1.56,1.93,2.37,1.88,1.26,1.86,3.12,0.2,2.07,2.83,101.16,0.1,3.16,6.04,0.37,57.67,0.97,3.03,12.94,13.56,5.4,0.2,0.2,0.0,55.27,0.27,14.6,9.7,4.9,18.3,1.68,2.77
Ceuta,31,15,16,0.2,1.67,2.8,93.67,0.13,2.8,5.2,0.4,50.53,1.13,2.13,14.87,13.2,6.27,1.13,1.53,0.07,0.07,0.0,51.87,0.0,12.53,7.73,4.8,19.73,1.49,2.8,0.12,1.56,1.94,81.25,-0.06,2.56,3.69,0.44,37.44,0.88,1.75,12.0,13.12,8.69,2.06,1.0,0.31,0.31,0.0,49.06,0.25,9.62,6.62,3.0,22.12,1.09,2.19,2.87,9.26,2.87,1.03,0.55,0.77,0.52,1.29,1.58,4.19,4.87,93.55,74.19,58.06,29.03,19.35,9.68,54.84,2.45,2.61,3.19,3.33,4.03,4.42,1.44,3.02,2.67,1.35,1.85,1.91,1.66,2.19,2.11,1.69,1.35,2.17,3.91,1.47,3.16,2.81,1.39,1.95,1.92,1.67,2.09,2.18,1.74,1.38,2.22,4.05,0.16,1.61,2.36,87.26,0.03,2.68,4.42,0.42,43.77,1.0,1.93,13.39,13.16,7.52,0.19,0.19,0.0,50.42,0.13,11.03,7.16,3.87,20.96,1.28,2.49
Cultural y Deportiva Leonesa,30,15,15,0.07,1.47,3.13,93.07,0.0,1.87,4.53,0.27,46.73,0.33,1.4,10.8,12.67,7.53,1.4,0.6,0.0,0.0,0.0,52.8,0.07,12.27,8.6,3.67,20.13,1.37,1.73,0.13,1.67,2.2,76.67,0.13,2.47,3.2,0.33,32.93,0.73,1.0,12.73,11.0,10.27,1.87,1.27,0.13,0.13,0.0,42.27,0.13,10.53,6.33,4.2,18.07,1.2,2.27,2.57,9.03,2.57,0.6,0.73,0.63,0.6,1.23,1.33,3.77,5.27,90.0,63.33,50.0,26.67,16.67,10.0,43.33,2.73,2.8,3.35,3.48,4.75,5.3,1.42,2.93,2.75,1.37,1.88,1.88,1.58,2.03,2.26,1.79,1.31,2.08,3.68,1.45,3.16,2.88,1.38,1.95,1.92,1.62,2.02,2.25,1.79,1.36,2.16,3.89,0.1,1.57,2.66,84.87,0.06,2.17,3.86,0.3,39.83,0.53,1.2,11.77,11.84,8.9,0.06,0.06,0.0,47.54,0.1,11.4,7.46,3.94,19.1,1.28,2.0
Cádiz,31,16,15,0.06,2.12,2.88,94.06,0.12,3.19,5.94,0.31,49.31,1.0,2.56,13.06,12.12,8.38,1.31,1.0,0.06,0.06,0.0,50.38,0.06,12.25,8.56,3.69,20.06,1.39,3.06,0.2,1.87,2.0,88.6,-0.07,2.27,3.53,0.07,32.07,0.4,1.53,13.53,11.27,9.6,1.2,1.0,0.0,0.0,0.0,42.47,0.07,8.33,5.53,2.8,19.93,0.96,2.2,2.26,10.16,2.26,0.55,0.55,0.55,0.61,1.16,1.1,4.32,5.48,87.1,61.29,45.16,19.35,9.68,3.23,45.16,2.42,2.58,3.15,3.29,3.71,4.24,1.47,3.15,2.58,1.32,1.81,1.94,1.62,2.14,2.21,1.75,1.38,2.23,4.08,1.5,3.17,2.72,1.38,1.91,1.97,1.61,2.01,2.28,1.81,1.41,2.29,4.25,0.13,2.0,2.45,91.42,0.03,2.74,4.77,0.19,40.97,0.71,2.06,13.29,11.71,8.97,0.03,0.03,0.0,46.55,0.06,10.35,7.09,3.26,20.0,1.18,2.64
Córdoba,31,15,16,0.13,1.33,3.6,101.8,0.07,2.47,6.47,0.73,58.0,1.13,2.87,14.87,13.8,4.93,1.4,1.27,0.2,0.2,0.0,59.93,0.13,17.4,12.07,5.33,21.73,1.89,2.33,0.31,1.81,3.38,96.25,-0.06,3.0,5.75,0.38,46.88,1.12,2.38,15.44,14.62,6.94,1.62,1.38,0.06,0.06,0.0,56.0,0.06,13.56,8.56,5.0,21.0,1.55,2.88,2.84,10.52,2.84,0.71,0.68,0.74,0.71,1.45,1.39,4.97,5.55,90.32,80.65,61.29,35.48,9.68,3.23,67.74,2.01,2.04,3.28,3.43,3.06,3.24,1.4,2.77,2.88,1.4,2.03,1.75,1.53,1.96,2.36,1.87,1.28,1.95,3.29,1.43,2.99,2.94,1.42,2.14,1.77,1.56,1.92,2.37,1.89,1.31,2.0,3.47,0.22,1.58,3.49,98.94,0.0,2.74,6.1,0.55,52.26,1.12,2.62,15.16,14.22,5.97,0.13,0.13,0.0,57.9,0.09,15.42,10.26,5.16,21.35,1.71,2.61
Deportivo La Coruña,31,15,16,0.13,1.73,2.93,97.6,0.0,2.73,5.2,0.4,44.8,0.93,2.13,11.2,12.2,8.0,1.07,1.33,0.07,0.07,0.0,54.33,0.13,13.07,8.87,4.2,18.4,1.45,2.53,0.06,2.0,1.75,78.94,0.06,2.62,4.38,0.44,38.62,0.62,2.62,11.38,12.19,8.62,1.19,1.75,0.25,0.25,0.0,48.75,0.0,12.5,8.06,4.44,15.44,1.38,2.62,2.68,8.71,2.68,0.74,0.48,0.52,0.94,1.45,1.23,4.1,4.55,96.77,80.65,54.84,25.81,6.45,3.23,54.84,1.88,1.89,3.29,3.43,2.82,3.05,1.41,2.9,2.8,1.38,1.95,1.82,1.62,2.08,2.17,1.74,1.31,2.03,3.51,1.45,3.15,2.87,1.39,2.02,1.86,1.64,2.06,2.23,1.76,1.34,2.09,3.7,0.09,1.87,2.32,87.97,0.03,2.67,4.78,0.42,41.61,0.77,2.38,11.29,12.19,8.32,0.16,0.16,0.0,51.45,0.06,12.78,8.45,4.32,16.87,1.41,2.58
FC Andorra,31,15,16,0.07,1.67,3.13,106.73,0.07,2.27,5.67,0.33,53.93,0.6,2.53,12.0,14.53,7.13,1.07,1.07,0.0,0.0,0.0,62.87,0.07,15.0,10.4,4.6,19.93,1.66,2.2,0.19,2.0,2.94,94.5,0.12,3.19,4.62,0.31,38.69,1.12,1.69,13.25,15.94,7.44,1.62,1.31,0.12,0.12,0.0,57.44,0.06,13.38,8.56,4.81,18.06,1.47,3.06,2.55,9.74,2.55,0.52,0.52,0.84,0.68,1.52,1.03,4.35,5.35,93.55,77.42,51.61,22.58,9.68,0.0,67.74,2.2,2.27,3.38,3.53,3.97,4.34,1.41,2.87,2.8,1.38,1.96,1.8,1.57,2.09,2.11,1.68,1.3,2.0,3.44,1.44,3.02,2.89,1.42,2.04,1.84,1.63,2.04,2.23,1.78,1.34,2.08,3.69,0.13,1.84,3.03,100.42,0.1,2.74,5.13,0.32,46.06,0.87,2.1,12.65,15.26,7.29,0.06,0.06,0.0,60.07,0.06,14.16,9.45,4.71,18.96,1.56,2.64
