team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
AIK,10,5,5,0.0,2.6,5.2,93.0,0.0,3.0,7.6,0.6,59.0,0.4,2.4,11.4,12.0,5.2,1.8,1.0,0.2,0.2,0.0,54.6,0.0,17.0,11.0,6.0,25.8,1.92,3.0,0.2,2.6,2.6,92.4,0.2,3.6,5.8,0.8,46.2,1.0,3.0,12.8,12.2,10.6,1.4,1.4,0.0,0.0,0.0,52.4,0.0,11.4,6.8,4.6,19.2,1.38,3.6,2.8,11.6,2.8,0.6,0.9,0.6,0.7,1.3,1.5,5.1,6.4,100.0,80.0,60.0,20.0,10.0,10.0,70.0,2.26,2.31,3.54,3.71,3.04,3.11,1.37,2.67,2.9,1.42,1.98,1.75,1.36,1.69,2.89,2.19,1.26,1.88,3.01,1.38,2.82,3.06,1.44,,1.65,,2.19,1.28,1.9,3.26,0.1,2.6,3.9,92.7,0.1,3.3,6.7,0.7,52.6,0.7,2.7,12.1,12.1,7.9,0.1,0.1,0.0,53.5,0.0,14.2,8.9,5.3,22.5,1.65,3.3
Brommapojkarna,10,3,7,0.33,1.0,2.33,61.0,0.33,2.0,4.67,1.0,32.0,1.0,2.33,8.0,11.33,8.33,1.33,1.33,0.0,0.0,0.0,47.67,0.0,11.67,7.67,4.0,20.0,1.24,2.0,0.29,0.86,1.43,78.86,0.0,1.71,4.43,0.14,40.43,0.86,3.0,11.43,10.71,9.71,1.71,1.57,0.0,0.0,0.0,45.71,0.14,11.43,7.0,4.43,20.0,1.33,1.57,3.1,9.1,3.1,0.6,0.5,1.0,1.0,2.0,1.1,4.9,4.2,100.0,90.0,80.0,40.0,0.0,0.0,70.0,2.83,2.98,3.65,3.76,4.05,4.17,1.34,2.63,3.04,1.44,2.06,1.67,1.35,1.7,2.94,2.23,1.23,1.8,2.87,1.38,2.75,3.08,1.47,,1.6,,2.27,1.26,1.84,3.05,0.3,0.9,1.7,73.5,0.1,1.8,4.5,0.4,37.9,0.9,2.8,10.4,10.9,9.3,0.0,0.0,0.0,46.3,0.1,11.5,7.2,4.3,20.0,1.3,1.7
Degerfors,10,6,4,0.0,1.17,2.33,86.17,0.0,1.83,4.33,0.0,46.5,0.67,2.0,17.0,11.5,8.0,2.0,1.0,0.0,0.0,0.0,47.5,0.0,11.33,9.17,2.17,21.67,1.2,1.83,0.0,1.75,1.75,101.5,0.0,2.0,4.25,0.5,46.5,0.25,2.5,10.5,12.25,9.5,1.0,1.5,0.0,0.0,0.0,50.5,0.0,12.25,6.75,5.5,18.75,1.5,2.0,2.8,8.7,2.8,0.3,0.7,0.7,1.1,1.8,1.0,4.6,4.1,100.0,90.0,60.0,20.0,10.0,0.0,70.0,2.89,3.04,3.25,3.37,3.35,3.56,1.42,3.01,2.78,1.35,1.93,1.81,1.35,1.69,2.95,2.25,1.33,2.08,3.61,1.43,3.12,2.87,1.37,1.47,1.67,2.56,2.18,1.36,2.15,3.83,0.0,1.4,2.1,92.3,0.0,1.9,4.3,0.2,46.5,0.5,2.2,14.4,11.8,8.6,0.0,0.0,0.0,48.7,0.0,11.7,8.2,3.5,20.5,1.32,1.9
Djurgården,9,6,3,0.5,1.17,2.83,111.17,0.0,1.5,5.5,0.83,61.0,0.33,2.67,13.83,11.5,5.83,1.5,2.17,0.0,0.0,0.0,58.5,0.0,16.67,10.83,5.83,18.83,1.9,1.5,0.33,0.33,5.33,105.33,0.0,1.67,8.67,0.67,45.0,1.33,3.33,9.0,14.0,6.33,1.33,2.0,0.0,0.0,0.0,55.67,0.0,16.67,10.0,6.67,21.67,1.85,1.67,3.56,10.67,3.56,1.11,1.0,0.78,0.67,1.44,2.11,4.89,5.78,100.0,77.78,66.67,44.44,44.44,22.22,66.67,1.98,2.12,3.55,3.74,2.62,2.89,1.34,2.59,3.06,1.44,2.08,1.67,1.36,1.71,2.85,2.16,1.23,1.8,2.89,1.38,2.87,3.1,1.43,,1.63,,2.22,1.25,1.81,2.99,0.44,0.89,3.66,109.22,0.0,1.56,6.56,0.78,55.67,0.66,2.89,12.22,12.33,6.0,0.0,0.0,0.0,57.56,0.0,16.67,10.55,6.11,19.78,1.88,1.56
Elfsborg,11,6,5,0.33,0.67,2.67,87.83,0.0,1.33,3.67,0.0,37.17,0.67,1.0,11.67,7.67,9.83,0.67,1.5,0.17,0.17,0.0,40.17,0.0,11.67,7.33,4.33,17.33,1.32,1.33,0.2,2.0,2.8,106.4,0.0,2.4,3.4,0.2,46.0,0.4,0.6,11.4,12.6,7.2,1.4,1.4,0.2,0.2,0.0,50.4,0.0,8.6,5.8,2.8,27.2,1.08,2.4,2.45,8.82,2.45,0.45,0.45,1.0,0.55,1.55,0.91,3.18,5.55,100.0,90.91,36.36,18.18,0.0,0.0,72.73,2.51,2.47,3.25,3.38,2.32,2.43,1.39,2.82,2.88,1.39,2.03,1.7,1.38,1.73,2.84,2.13,1.28,1.98,3.38,1.44,3.18,2.83,1.36,1.49,1.63,2.5,2.23,1.35,2.12,3.74,0.27,1.27,2.73,96.27,0.0,1.82,3.55,0.09,41.18,0.55,0.82,11.55,9.91,8.63,0.18,0.18,0.0,44.82,0.0,10.27,6.63,3.63,21.82,1.21,1.82
GAIS,11,6,5,0.17,0.67,2.83,102.67,0.0,1.17,5.5,0.83,46.67,0.5,2.67,12.83,9.0,7.5,0.33,1.67,0.17,0.17,0.0,46.5,0.0,17.17,11.67,5.5,17.83,1.81,1.17,0.0,1.2,2.2,107.6,0.2,3.2,4.0,0.6,59.4,2.0,1.8,18.6,10.4,6.8,1.8,1.2,0.0,0.0,0.0,54.6,0.0,10.6,6.4,4.2,22.4,1.4,3.2,2.45,9.0,2.45,0.91,0.09,0.82,0.64,1.45,1.0,4.55,4.45,90.91,72.73,54.55,27.27,0.0,0.0,45.45,2.26,2.22,3.49,3.67,3.15,3.49,1.35,2.61,2.97,1.44,2.07,1.68,1.33,1.69,3.04,2.28,1.23,1.82,2.99,1.41,3.04,2.93,1.39,1.47,1.63,2.57,2.24,1.28,1.89,3.17,0.09,0.91,2.54,104.91,0.09,2.09,4.82,0.73,52.46,1.18,2.27,15.45,9.64,7.18,0.09,0.09,0.0,50.18,0.0,14.18,9.27,4.91,19.91,1.62,2.09
Halmstad,10,5,5,0.0,1.4,0.8,89.0,0.0,1.6,2.4,0.4,42.8,0.2,1.4,14.2,12.0,8.6,1.6,1.0,0.0,0.0,0.0,45.8,0.0,12.4,10.0,2.4,20.8,1.26,1.6,0.4,0.8,1.4,71.2,0.0,1.2,3.2,0.6,31.2,0.4,1.8,12.0,11.0,11.0,2.4,0.8,0.0,0.0,0.0,35.4,0.0,12.0,8.0,4.0,18.0,1.26,1.2,2.9,8.9,2.9,0.5,0.4,1.2,0.8,2.0,0.9,4.6,4.2,100.0,100.0,40.0,20.0,10.0,10.0,60.0,2.91,3.16,3.83,4.07,6.8,7.53,1.37,2.71,2.89,1.41,1.88,1.84,1.41,1.84,2.65,2.05,1.29,1.91,3.21,1.4,2.86,3.01,1.44,1.48,1.73,2.54,2.07,1.3,1.96,3.38,0.2,1.1,1.1,80.1,0.0,1.4,2.8,0.5,37.0,0.3,1.6,13.1,11.5,9.8,0.0,0.0,0.0,40.6,0.0,12.2,9.0,3.2,19.4,1.26,1.4
Hammarby,11,6,5,0.0,0.67,3.5,111.0,0.0,1.0,6.5,0.83,65.83,0.33,3.0,12.0,14.17,5.0,0.83,3.33,0.17,0.17,0.0,59.33,0.0,24.83,16.17,8.67,17.33,2.64,1.0,0.2,1.0,2.4,109.0,0.0,1.4,4.0,0.0,58.4,0.4,1.6,9.8,16.2,7.0,1.6,0.8,0.0,0.0,0.0,61.4,0.2,15.6,11.2,4.4,19.8,1.72,1.2,3.36,8.36,3.36,1.09,0.45,1.45,0.36,1.82,1.55,3.82,4.45,100.0,90.91,54.55,27.27,27.27,9.09,54.55,1.47,1.45,4.34,4.65,2.15,2.19,1.29,2.38,3.28,1.54,2.07,1.68,1.34,1.68,2.96,2.24,1.18,1.62,2.54,1.34,2.36,3.35,1.6,1.46,1.65,2.58,2.19,1.2,1.65,2.61,0.09,0.82,3.0,110.09,0.0,1.18,5.36,0.45,62.45,0.36,2.36,11.0,15.09,5.91,0.09,0.09,0.0,60.27,0.09,20.63,13.91,6.73,18.45,2.22,1.09
Häcken,10,5,5,0.2,1.6,2.6,81.2,0.0,2.4,5.0,0.6,37.4,0.8,2.4,11.8,16.0,8.2,1.8,2.4,0.2,0.2,0.0,47.0,0.0,14.8,9.6,5.2,15.4,1.57,2.4,0.0,2.0,2.6,101.6,0.4,3.2,6.0,0.4,47.0,1.2,3.4,12.0,14.0,7.4,1.0,1.6,0.2,0.2,0.0,54.0,0.0,15.6,11.0,4.6,24.4,1.65,3.2,3.4,10.8,3.4,0.7,1.0,1.0,0.7,1.7,1.7,5.6,5.2,100.0,90.0,60.0,50.0,30.0,10.0,80.0,2.28,2.4,3.51,3.66,2.61,2.49,1.32,2.47,3.12,1.49,2.21,1.57,1.28,1.56,3.23,2.45,1.19,1.7,2.64,1.37,2.6,3.14,1.51,1.45,1.53,2.6,2.41,1.21,1.69,2.68,0.1,1.8,2.6,91.4,0.2,2.8,5.5,0.5,42.2,1.0,2.9,11.9,15.0,7.8,0.2,0.2,0.0,50.5,0.0,15.2,10.3,4.9,19.9,1.61,2.8
IFK Göteborg,10,4,6,0.0,3.0,2.0,94.5,0.0,3.75,4.75,1.0,47.0,0.5,2.75,13.0,15.0,9.0,1.5,0.75,0.0,0.0,0.0,49.75,0.25,15.0,9.5,5.5,25.25,1.67,3.25,0.5,1.33,2.33,93.83,0.17,2.17,5.0,0.0,42.5,0.83,2.0,12.17,11.33,8.67,2.67,1.67,0.0,0.0,0.0,52.33,0.0,15.67,11.17,4.5,21.67,1.61,2.17,3.5,10.0,3.5,0.8,0.8,1.1,0.8,1.9,1.6,4.8,4.5,100.0,90.0,40.0,40.0,30.0,20.0,60.0,3.18,3.46,3.36,3.58,2.72,3.04,1.37,2.62,2.96,1.44,2.1,1.66,1.32,1.64,3.15,2.34,1.24,1.81,3.05,1.36,2.75,3.17,1.46,,1.58,,2.32,1.27,1.87,3.13,0.3,2.0,2.2,94.1,0.1,2.8,4.9,0.4,44.3,0.7,2.3,12.5,12.8,8.8,0.0,0.0,0.0,51.3,0.1,15.4,10.5,4.9,23.1,1.63,2.6
