team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Alanyaspor,24,12,12,0.17,1.17,2.33,91.17,0.0,2.17,5.42,0.33,46.92,1.0,3.08,12.17,14.5,6.75,1.0,1.0,0.17,0.17,0.0,49.0,0.0,13.17,8.92,4.25,17.67,1.47,2.17,0.08,1.92,1.83,76.67,-0.08,2.75,3.67,0.25,37.25,0.83,1.83,11.58,16.0,7.17,1.5,1.17,0.08,0.08,0.0,45.83,0.08,12.25,8.58,3.67,18.75,1.3,2.67,2.33,8.17,2.33,0.54,0.38,0.71,0.71,1.42,0.92,3.92,4.25,83.33,75.0,45.83,25.0,4.17,0.0,62.5,2.93,3.05,3.79,3.88,4.47,5.35,1.35,2.67,3.01,1.45,2.0,1.76,1.69,2.16,2.07,1.66,1.25,1.86,2.98,1.4,2.84,3.09,1.46,2.08,1.81,1.71,2.15,2.11,1.68,1.28,1.9,3.2,0.12,1.54,2.08,83.92,-0.04,2.46,4.54,0.29,42.08,0.92,2.46,11.88,15.25,6.96,0.12,0.12,0.0,47.42,0.04,12.71,8.75,3.96,18.21,1.38,2.42
Antalyaspor,24,12,12,0.08,1.25,2.17,75.75,0.08,1.92,4.67,0.25,34.08,0.67,2.08,12.58,15.67,8.5,2.25,1.42,0.0,0.0,0.0,42.08,0.17,10.25,6.25,4.0,18.25,1.18,1.75,0.0,1.58,1.33,73.83,0.0,2.67,3.42,0.17,28.17,1.08,2.08,11.5,14.42,10.75,0.92,0.58,0.0,0.0,0.0,44.25,0.0,6.75,4.25,2.5,20.58,0.81,2.67,2.58,10.17,2.58,0.71,0.54,0.46,0.88,1.33,1.25,4.96,4.46,87.5,66.67,54.17,29.17,12.5,4.17,58.33,3.74,4.01,3.7,3.79,4.91,5.42,1.38,2.82,2.84,1.41,1.91,1.85,1.59,2.07,2.24,1.76,1.29,1.96,3.31,1.42,3.0,2.97,1.42,1.99,1.88,1.61,2.03,2.26,1.78,1.33,2.04,3.55,0.04,1.42,1.75,74.79,0.04,2.3,4.04,0.21,31.12,0.88,2.08,12.04,15.04,9.62,0.0,0.0,0.0,43.16,0.08,8.5,5.25,3.25,19.42,1.0,2.21
Beşiktaş,25,13,12,0.31,1.54,3.38,98.62,0.15,2.62,6.46,0.77,50.31,0.85,3.0,14.0,14.46,6.69,1.15,1.77,0.23,0.23,0.0,56.92,0.23,18.46,11.69,6.77,16.54,2.0,2.15,0.25,1.75,2.5,84.75,0.17,2.5,4.33,0.5,36.92,0.67,1.83,13.33,11.25,9.25,1.25,1.83,0.0,0.0,0.0,51.42,0.08,14.25,8.67,5.58,20.5,1.56,2.33,3.0,9.92,3.0,0.64,0.88,0.88,0.6,1.48,1.52,4.56,5.32,100.0,84.0,60.0,40.0,12.0,4.0,60.0,1.73,1.77,4.17,4.32,2.3,2.25,1.28,2.36,3.35,1.54,2.19,1.64,1.51,1.98,2.39,1.87,1.18,1.63,2.53,1.36,2.55,3.25,1.56,2.31,1.67,1.55,1.91,2.39,1.9,1.2,1.66,2.63,0.28,1.64,2.96,91.96,0.16,2.56,5.44,0.64,43.88,0.76,2.44,13.68,12.92,7.92,0.12,0.12,0.0,54.28,0.16,16.44,10.24,6.2,18.44,1.79,2.24
Eyüpspor,24,12,12,0.08,1.33,2.5,77.42,0.17,2.0,4.25,0.33,38.67,0.67,1.75,10.5,14.25,7.58,1.42,0.92,0.08,0.08,0.0,51.25,0.0,11.33,7.0,4.33,18.75,1.3,2.0,0.08,1.5,1.25,72.42,0.08,2.5,3.08,0.25,30.83,0.92,1.75,12.83,15.58,8.33,1.5,0.67,0.08,0.08,0.0,47.5,0.08,10.5,7.42,3.08,18.17,1.1,2.33,2.25,9.62,2.25,0.38,0.38,0.83,0.67,1.5,0.75,4.5,5.08,87.5,66.67,41.67,16.67,8.33,4.17,45.83,3.97,4.4,4.09,4.24,5.71,6.19,1.34,2.6,3.09,1.48,1.99,1.75,1.54,2.03,2.33,1.82,1.24,1.8,2.89,1.39,2.73,3.09,1.51,2.11,1.78,1.57,1.94,2.35,1.88,1.26,1.81,2.99,0.08,1.42,1.88,74.92,0.12,2.25,3.67,0.29,34.75,0.8,1.75,11.66,14.92,7.96,0.08,0.08,0.0,49.38,0.04,10.92,7.21,3.7,18.46,1.2,2.16
Fatih Karagümrük,24,12,12,0.08,1.08,2.17,88.5,0.0,1.75,3.67,0.17,33.67,0.67,1.5,12.17,14.5,8.58,1.58,0.83,0.08,0.08,0.0,45.75,0.0,10.83,7.92,2.92,19.92,1.14,1.75,0.0,1.5,1.75,86.0,0.0,2.33,3.83,0.33,38.83,0.75,2.08,12.83,15.0,9.08,2.17,0.92,0.0,0.0,0.0,46.5,0.17,10.92,7.58,3.33,20.92,1.21,2.08,2.75,9.08,2.75,0.71,0.46,0.79,0.79,1.58,1.17,4.42,4.67,95.83,83.33,50.0,25.0,12.5,4.17,50.0,3.96,3.95,4.06,4.17,6.32,6.78,1.35,2.61,3.09,1.46,1.98,1.79,1.57,2.1,2.29,1.78,1.25,1.84,3.02,1.41,2.88,3.03,1.47,2.04,1.85,1.59,1.97,2.29,1.84,1.29,1.92,3.29,0.04,1.29,1.96,87.25,0.0,2.04,3.75,0.25,36.25,0.71,1.79,12.5,14.75,8.83,0.04,0.04,0.0,46.12,0.08,10.88,7.75,3.12,20.42,1.18,1.92
Fenerbahçe,24,11,13,0.09,1.73,3.45,118.82,0.09,2.36,6.91,0.64,66.18,0.64,3.45,11.64,14.55,4.27,0.91,2.18,0.36,0.36,0.0,63.82,0.0,21.09,13.91,7.18,21.73,2.31,2.36,0.23,1.69,2.62,93.92,0.0,2.46,6.38,0.54,41.46,0.77,2.62,13.23,12.77,6.77,1.0,2.31,0.0,0.0,0.0,55.23,0.08,14.54,9.0,5.54,19.0,1.61,2.38,3.21,10.75,3.21,0.92,0.75,0.62,0.92,1.54,1.67,4.88,5.12,91.67,87.5,58.33,50.0,20.83,8.33,66.67,1.37,1.37,4.86,5.03,1.66,1.72,1.29,2.42,3.3,1.55,1.94,1.82,1.55,2.02,2.3,1.82,1.18,1.65,2.6,1.36,2.56,3.24,1.55,2.0,1.88,1.58,1.95,2.33,1.86,1.23,1.71,2.78,0.17,1.71,3.0,105.33,0.04,2.41,6.62,0.59,52.79,0.71,3.0,12.5,13.59,5.62,0.16,0.16,0.0,59.17,0.04,17.54,11.25,6.29,20.25,1.93,2.37
Galatasaray,25,13,12,0.38,0.92,3.23,100.38,0.08,1.54,6.62,0.38,56.54,0.54,3.38,12.08,10.15,6.08,0.85,2.69,0.15,0.15,0.0,64.54,0.15,20.31,13.31,7.0,20.15,2.18,1.31,0.17,1.67,2.33,92.17,0.08,2.83,3.92,0.5,42.17,1.17,1.58,12.5,10.92,8.0,0.58,2.0,0.17,0.17,0.0,58.17,0.08,13.08,8.42,4.67,17.08,1.46,2.75,3.08,8.96,3.08,0.6,0.6,1.08,0.8,1.88,1.2,4.08,4.88,96.0,84.0,64.0,44.0,16.0,4.0,52.0,1.28,1.29,5.59,5.98,1.63,1.72,1.22,2.12,3.86,1.7,2.06,1.7,1.5,1.93,2.43,1.9,1.12,1.46,2.16,,2.16,,1.75,2.17,1.76,1.52,1.84,2.44,1.98,1.15,1.47,2.21,0.28,1.28,2.8,96.44,0.08,2.16,5.32,0.44,49.64,0.84,2.52,12.28,10.52,7.0,0.16,0.16,0.0,61.48,0.12,16.84,10.96,5.88,18.68,1.83,2.0
Gaziantep FK,24,12,12,0.17,1.58,4.83,90.75,0.17,3.5,7.08,0.33,44.08,1.67,2.25,12.67,16.75,6.92,1.75,1.33,0.08,0.08,0.0,56.42,0.25,15.42,10.5,4.92,18.17,1.64,3.0,0.08,2.33,1.33,63.25,0.0,3.25,2.75,0.58,27.5,0.83,1.42,13.92,17.0,9.0,1.58,1.17,0.17,0.17,0.0,45.33,0.17,10.5,7.08,3.42,17.17,1.1,3.0,2.92,9.71,2.92,0.67,0.83,0.79,0.62,1.42,1.5,4.21,5.5,91.67,87.5,66.67,29.17,12.5,4.17,58.33,2.96,3.15,3.81,3.88,4.7,5.04,1.33,2.59,3.07,1.48,2.09,1.7,1.54,2.05,2.31,1.81,1.23,1.79,2.88,1.38,2.71,3.17,1.5,2.21,1.71,1.58,1.93,2.32,1.87,1.25,1.82,3.01,0.12,1.96,3.08,77.0,0.08,3.38,4.92,0.45,35.79,1.25,1.84,13.3,16.88,7.96,0.12,0.12,0.0,50.88,0.21,12.96,8.79,4.17,17.67,1.37,3.0
Gençlerbirliği,24,12,12,0.17,1.25,2.5,72.58,0.08,2.0,4.75,0.42,29.92,0.75,2.25,12.83,13.33,10.33,1.33,1.58,0.17,0.17,0.0,42.5,0.08,12.83,8.08,4.75,18.92,1.36,1.92,0.08,1.92,1.58,67.42,0.0,2.67,3.42,0.25,31.08,0.58,1.75,14.17,14.42,9.75,1.5,0.75,0.0,0.0,0.0,40.75,0.33,9.17,6.75,2.42,19.17,0.98,2.17,2.58,9.58,2.58,0.71,0.46,0.83,0.58,1.42,1.17,4.88,4.67,91.67,66.67,58.33,25.0,8.33,4.17,62.5,3.02,3.08,3.73,3.93,5.54,6.43,1.3,2.63,2.82,1.37,1.87,1.73,1.54,1.98,2.12,1.67,1.22,1.82,3.05,1.41,2.94,3.03,1.43,2.03,1.85,1.61,2.02,2.28,1.8,1.29,1.95,3.32,0.12,1.58,2.04,70.0,0.04,2.34,4.08,0.34,30.5,0.66,2.0,13.5,13.88,10.04,0.08,0.08,0.0,41.62,0.2,11.0,7.42,3.58,19.05,1.17,2.04
Göztepe,25,12,13,0.08,1.5,2.92,100.08,0.08,2.58,5.08,0.25,44.92,1.08,2.17,17.25,9.17,6.92,0.42,1.17,0.0,0.0,0.0,39.83,0.25,13.92,9.67,4.25,21.25,1.5,2.33,0.08,1.23,1.69,92.08,0.15,2.31,4.23,0.54,39.69,1.08,2.54,16.23,9.38,7.92,1.0,1.08,0.0,0.0,0.0,37.85,0.08,13.46,8.85,4.62,19.23,1.46,2.23,1.84,9.64,1.84,0.56,0.2,0.52,0.56,1.08,0.76,4.6,5.04,76.0,60.0,36.0,12.0,0.0,0.0,36.0,2.02,2.1,3.56,3.63,3.31,3.71,1.4,2.83,2.76,1.39,1.89,1.83,1.56,2.03,2.28,1.81,1.3,1.98,3.41,1.43,3.03,2.93,1.41,1.97,1.9,1.55,1.96,2.36,1.85,1.34,2.08,3.65,0.08,1.36,2.28,95.92,0.12,2.44,4.64,0.4,42.2,1.08,2.36,16.72,9.28,7.44,0.0,0.0,0.0,38.8,0.16,13.68,9.24,4.44,20.2,1.48,2.28
