team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Atlanta United FC,13,8,5,0.0,1.12,2.12,101.62,0.12,2.38,4.62,0.0,39.12,1.25,1.38,11.0,8.12,8.0,1.75,1.38,0.0,0.0,0.0,55.25,0.0,13.5,8.88,4.62,20.5,1.46,2.38,0.0,0.6,2.6,94.6,0.2,1.8,6.8,1.2,47.4,1.2,4.2,13.8,9.8,6.8,1.4,0.6,0.0,0.0,0.0,51.8,0.0,12.6,9.0,3.6,20.8,1.39,1.8,2.69,10.62,2.69,0.62,0.31,0.77,1.0,1.77,0.92,4.46,5.08,92.31,84.62,53.85,30.77,7.69,0.0,61.54,2.47,2.55,3.56,3.68,3.59,4.34,1.31,2.55,3.28,1.5,2.21,1.6,1.46,1.88,2.51,1.99,1.21,1.73,2.74,1.36,2.6,3.26,1.52,2.25,1.69,1.52,1.79,2.42,2.02,1.24,1.76,2.85,0.0,0.92,2.3,98.92,0.15,2.16,5.46,0.46,42.3,1.23,2.46,12.08,8.77,7.54,0.0,0.0,0.0,53.92,0.0,13.15,8.93,4.23,20.62,1.43,2.16
Austin,14,7,7,0.14,2.14,3.29,89.57,0.0,2.86,5.43,0.86,44.29,0.71,2.14,11.86,14.71,7.71,0.86,1.29,0.0,0.0,0.0,54.43,0.0,12.57,7.71,4.86,14.43,1.46,2.86,0.29,0.71,0.29,66.0,0.14,1.71,3.43,0.14,29.71,0.86,1.86,11.43,12.14,10.43,3.14,1.43,0.14,0.14,0.0,39.0,0.14,8.86,5.71,3.14,15.14,1.0,1.43,3.36,11.07,3.36,0.64,0.57,1.57,0.57,2.14,1.21,4.5,4.57,92.86,85.71,71.43,50.0,21.43,14.29,64.29,2.35,2.61,3.71,3.95,4.85,4.96,1.31,2.57,3.33,1.51,2.13,1.67,1.41,1.81,2.65,2.02,1.22,1.74,2.85,1.36,2.55,3.28,1.55,2.13,1.76,1.47,1.72,2.54,2.11,1.24,1.77,2.88,0.22,1.42,1.79,77.78,0.07,2.28,4.43,0.5,37.0,0.78,2.0,11.64,13.42,9.07,0.07,0.07,0.0,46.72,0.07,10.72,6.71,4.0,14.78,1.23,2.14
Charlotte,14,8,6,0.0,1.12,3.38,91.12,0.0,2.12,5.88,0.25,41.88,1.0,2.5,9.88,14.62,6.62,1.12,2.12,0.25,0.25,0.0,50.62,0.0,12.88,7.25,5.62,16.5,1.51,2.12,0.0,1.83,2.0,86.33,0.33,2.83,3.33,0.17,44.0,1.0,1.33,8.67,10.5,8.67,2.33,1.0,0.0,0.0,0.0,43.67,0.0,8.5,5.17,3.33,17.67,1.09,2.83,3.29,9.29,3.29,0.79,0.57,1.43,0.5,1.93,1.36,3.93,5.36,92.86,78.57,71.43,42.86,21.43,14.29,71.43,2.1,2.2,3.56,3.73,3.39,3.67,1.31,2.5,3.37,1.53,2.28,1.59,1.51,1.99,2.4,1.9,1.2,1.69,2.67,1.36,2.62,3.25,1.52,2.42,1.6,1.54,1.87,2.4,1.92,1.22,1.72,2.77,0.0,1.42,2.79,89.07,0.14,2.42,4.79,0.22,42.79,1.0,2.0,9.36,12.85,7.5,0.14,0.14,0.0,47.64,0.0,11.0,6.36,4.64,17.0,1.33,2.42
Chicago Fire,13,7,6,0.14,1.0,2.86,100.43,0.29,1.71,5.71,0.14,55.43,0.57,2.0,12.71,10.0,6.0,1.14,2.0,0.29,0.29,0.0,55.14,0.14,17.86,12.29,5.57,23.57,1.92,1.43,0.0,2.5,2.0,90.5,0.33,3.33,3.67,0.17,37.33,0.83,1.67,13.17,11.67,7.83,1.17,1.83,0.17,0.17,0.0,50.67,0.0,11.33,6.67,4.67,18.17,1.32,3.33,3.08,10.62,3.08,0.62,0.62,1.0,0.85,1.85,1.23,4.46,5.54,92.31,76.92,69.23,38.46,23.08,7.69,53.85,1.67,1.68,3.96,4.03,2.8,2.91,1.26,2.32,3.58,1.61,2.33,1.58,1.49,1.93,2.42,1.94,1.17,1.58,2.45,1.34,2.37,3.32,1.64,2.34,1.65,1.52,1.86,2.44,1.95,1.19,1.63,2.53,0.08,1.69,2.46,95.85,0.31,2.46,4.77,0.15,47.08,0.69,1.85,12.92,10.77,6.84,0.23,0.23,0.0,53.08,0.08,14.85,9.7,5.15,21.08,1.64,2.31
Colorado Rapids,14,5,9,0.4,1.4,1.0,93.4,0.0,2.4,6.0,0.4,43.8,0.8,2.2,12.4,13.4,8.4,1.4,2.8,0.2,0.2,0.0,55.2,0.2,15.0,9.2,5.8,19.6,1.67,2.0,0.11,2.0,1.89,76.67,0.11,3.44,4.22,0.44,37.56,1.33,1.67,15.11,16.11,6.33,1.67,1.11,0.0,0.0,0.0,55.33,0.22,8.22,4.78,3.44,17.11,1.04,3.11,3.29,9.71,3.29,0.79,0.64,1.29,0.57,1.86,1.43,3.21,4.0,92.86,71.43,57.14,50.0,35.71,7.14,57.14,2.35,2.29,4.01,4.22,4.94,5.49,1.25,2.31,3.57,1.6,2.37,1.54,1.39,1.75,2.74,2.1,1.16,1.55,2.4,,2.33,,1.65,2.41,1.63,1.45,1.68,2.59,2.14,1.17,1.57,2.39,0.21,1.79,1.57,82.64,0.07,3.07,4.86,0.43,39.79,1.14,1.86,14.14,15.14,7.07,0.07,0.07,0.0,55.28,0.21,10.64,6.36,4.28,18.0,1.27,2.71
Columbus Crew,14,6,8,0.17,0.67,0.67,114.67,0.0,1.17,5.17,0.5,57.5,0.5,3.17,10.17,10.83,6.5,1.0,1.17,0.0,0.0,0.0,58.5,0.0,12.5,8.17,4.33,18.0,1.52,1.17,0.38,1.0,3.0,100.25,0.12,1.62,6.0,0.62,56.12,0.62,3.0,10.75,9.5,6.12,2.12,1.5,0.12,0.12,0.0,56.25,0.0,11.0,7.12,3.88,20.12,1.37,1.62,3.0,9.57,3.0,0.71,0.57,1.0,0.71,1.71,1.29,4.93,3.79,92.86,85.71,64.29,35.71,21.43,0.0,71.43,1.76,1.73,3.78,3.95,2.3,2.39,1.28,2.42,3.47,1.57,2.31,1.55,1.54,1.93,2.35,1.84,1.18,1.63,2.5,1.33,2.44,3.32,1.58,2.46,1.61,1.58,1.94,2.33,1.87,1.21,1.68,2.65,0.29,0.86,2.0,106.43,0.07,1.43,5.64,0.57,56.71,0.57,3.07,10.5,10.07,6.28,0.07,0.07,0.0,57.21,0.0,11.64,7.57,4.07,19.21,1.43,1.43
DC United,14,6,8,0.17,1.83,3.5,86.83,0.0,2.17,5.67,0.33,46.67,0.33,2.17,15.0,12.0,5.5,2.0,1.17,0.0,0.0,0.0,43.0,0.0,12.83,8.33,4.5,21.83,1.46,2.17,0.0,1.12,1.38,83.5,-0.12,2.0,3.75,0.25,38.12,0.88,1.75,12.88,10.62,8.0,1.12,1.25,0.25,0.25,0.0,36.75,0.12,11.12,7.5,3.62,21.0,1.24,1.88,2.71,10.43,2.71,0.43,0.57,0.71,1.0,1.71,1.0,4.21,5.43,85.71,64.29,50.0,35.71,14.29,7.14,50.0,2.82,2.81,3.62,3.64,4.27,4.56,1.34,2.67,3.13,1.47,2.05,1.72,1.49,1.94,2.43,1.91,1.25,1.83,3.01,1.4,2.96,3.08,1.43,2.11,1.78,1.53,1.86,2.41,1.94,1.28,1.9,3.2,0.07,1.42,2.29,84.93,-0.07,2.07,4.57,0.28,41.78,0.64,1.93,13.79,11.21,6.93,0.14,0.14,0.0,39.43,0.07,11.85,7.86,4.0,21.36,1.33,2.0
FC Cincinnati,14,6,8,0.0,1.67,2.33,106.83,0.17,2.67,4.83,0.0,36.67,0.83,2.5,13.5,12.33,9.0,2.0,2.33,0.5,0.5,0.0,51.17,0.17,14.67,9.67,5.0,18.0,1.55,2.33,0.0,2.12,2.12,96.25,0.0,3.12,4.5,0.38,39.38,0.62,2.0,11.25,10.5,8.62,2.88,2.0,0.25,0.25,0.0,47.25,0.5,11.88,6.38,5.5,18.88,1.42,2.25,4.64,9.5,4.64,1.0,0.93,1.64,1.07,2.71,1.93,4.43,4.79,100.0,85.71,64.29,64.29,57.14,50.0,71.43,2.02,2.16,3.7,3.96,3.13,3.38,1.25,2.27,3.74,1.65,2.48,1.5,1.48,1.86,2.42,1.92,1.15,1.55,2.39,,2.3,,1.69,2.32,1.64,1.5,1.84,2.47,1.97,1.19,1.59,2.46,0.0,1.93,2.21,100.78,0.07,2.93,4.64,0.22,38.22,0.71,2.21,12.21,11.28,8.78,0.36,0.36,0.0,48.93,0.36,13.08,7.79,5.29,18.5,1.48,2.28
FC Dallas,14,9,5,0.44,1.11,2.33,85.44,0.0,2.33,4.33,0.56,40.33,1.22,1.33,13.89,11.22,5.67,1.78,2.0,0.22,0.22,0.0,43.89,0.0,12.11,8.11,4.0,16.0,1.34,2.33,0.2,1.6,2.6,89.6,0.0,2.4,5.0,0.6,41.0,0.8,2.4,12.4,9.8,8.2,1.0,2.0,0.0,0.0,0.0,43.4,0.0,14.0,7.2,6.8,17.6,1.66,2.4,3.5,10.36,3.5,0.93,1.07,0.71,0.79,1.5,2.0,4.07,5.36,92.86,78.57,64.29,57.14,35.71,14.29,64.29,2.32,2.44,3.68,3.87,4.76,5.19,1.27,2.37,3.49,1.59,2.38,1.55,1.44,1.87,2.57,2.01,1.18,1.62,2.5,1.36,2.44,3.26,1.6,2.34,1.64,1.52,1.77,2.43,2.04,1.2,1.66,2.6,0.35,1.28,2.43,86.93,0.0,2.36,4.57,0.57,40.57,1.07,1.71,13.36,10.71,6.57,0.14,0.14,0.0,43.72,0.0,12.78,7.78,5.0,16.57,1.45,2.36
Houston Dynamo,13,7,6,0.0,1.43,3.29,65.0,0.0,3.0,5.29,1.14,43.86,1.0,2.0,10.29,12.57,7.14,0.86,1.14,0.0,0.0,0.0,40.86,0.57,12.57,8.14,4.43,14.29,1.42,1.86,0.0,1.0,1.83,76.67,0.0,2.17,4.0,0.67,36.5,1.17,2.17,11.33,13.33,8.17,2.67,1.67,0.0,0.0,0.0,44.83,0.17,14.33,9.0,5.33,16.33,1.54,2.0,3.08,9.46,3.08,0.62,0.54,1.23,0.69,1.92,1.15,4.62,4.62,100.0,61.54,46.15,30.77,30.77,15.38,38.46,2.47,2.58,3.61,3.77,3.28,3.51,1.3,2.44,3.32,1.53,2.3,1.57,1.39,1.82,2.7,2.08,1.2,1.67,2.58,1.34,2.46,3.35,1.58,2.41,1.61,1.5,1.72,2.48,2.1,1.21,1.69,2.67,0.0,1.23,2.62,70.39,0.0,2.62,4.69,0.92,40.46,1.08,2.08,10.77,12.92,7.62,0.0,0.0,0.0,42.69,0.39,13.38,8.54,4.85,15.23,1.48,1.92
Inter Miami,14,5,9,0.4,1.8,3.6,106.8,0.0,2.4,8.8,1.2,61.6,0.6,5.2,12.4,8.8,5.8,1.8,2.0,0.0,0.0,0.0,59.6,0.0,22.0,13.2,8.8,16.2,2.44,2.4,0.11,1.67,2.56,95.67,0.11,2.89,4.67,0.11,35.89,1.11,2.11,13.44,13.78,7.56,1.67,2.56,0.11,0.11,0.0,56.0,0.11,13.11,7.78,5.33,17.0,1.47,2.67,4.07,9.57,4.07,0.86,0.71,0.93,1.57,2.5,1.57,4.79,4.79,92.86,92.86,71.43,57.14,42.86,28.57,71.43,1.33,1.39,4.46,4.64,2.36,2.47,1.2,2.02,4.18,1.8,2.61,1.46,1.48,1.98,2.43,1.9,1.1,1.39,2.05,,2.01,,1.88,2.62,1.54,1.56,1.88,2.36,1.92,1.16,1.48,2.18,0.21,1.72,2.93,99.64,0.07,2.72,6.14,0.5,45.07,0.93,3.21,13.07,12.0,6.93,0.07,0.07,0.0,57.29,0.07,16.28,9.72,6.57,16.71,1.82,2.57
LA Galaxy,14,6,8,0.5,2.17,2.0,88.5,0.0,2.83,5.33,0.0,42.67,0.67,1.5,11.17,14.33,6.67,1.17,1.5,0.17,0.17,0.0,49.33,0.17,13.83,7.33,6.5,17.83,1.64,2.67,0.0,1.25,1.88,79.0,0.0,2.0,4.62,-0.12,40.88,0.75,1.88,8.38,11.62,8.12,1.75,1.5,0.0,0.0,0.0,49.75,0.12,12.88,7.75,5.12,17.88,1.47,1.88,3.0,8.14,3.0,0.86,0.5,0.79,0.86,1.64,1.36,3.21,3.21,100.0,100.0,71.43,21.43,7.14,0.0,85.71,2.32,2.36,3.81,3.94,3.14,3.31,1.25,2.32,3.6,1.6,2.45,1.5,1.37,1.72,2.71,2.09,1.16,1.56,2.36,1.34,2.36,3.37,1.63,2.53,1.55,1.52,1.72,2.43,2.1,1.19,1.61,2.49,0.21,1.64,1.93,83.07,0.0,2.36,4.92,-0.07,41.65,0.72,1.72,9.58,12.78,7.5,0.07,0.07,0.0,49.57,0.14,13.29,7.57,5.71,17.86,1.54,2.22
Los Angeles FC,14,7,7,0.14,1.57,2.57,96.29,0.0,2.0,5.71,0.71,49.29,0.43,3.14,13.29,11.86,6.86,1.14,2.0,0.0,0.0,0.0,47.0,0.0,13.71,9.0,4.71,15.29,1.55,2.0,0.14,1.86,4.0,102.29,0.0,2.43,6.14,0.14,54.57,0.57,2.0,10.71,10.43,5.71,1.29,1.29,0.0,0.0,0.0,48.86,0.0,14.43,9.43,5.0,18.0,1.66,2.43,2.86,10.43,2.86,0.86,0.29,0.79,0.93,1.71,1.14,4.57,5.79,85.71,71.43,57.14,35.71,28.57,7.14,42.86,1.49,1.54,4.09,4.32,2.3,2.44,1.27,2.37,3.58,1.6,2.23,1.62,1.45,1.88,2.55,1.99,1.18,1.59,2.51,1.34,2.36,3.33,1.64,2.34,1.66,1.5,1.81,2.49,2.0,1.18,1.6,2.48,0.14,1.72,3.28,99.29,0.0,2.22,5.92,0.42,51.93,0.5,2.57,12.0,11.14,6.29,0.0,0.0,0.0,47.93,0.0,14.07,9.22,4.85,16.64,1.6,2.22
Minnesota United,14,6,8,0.0,1.5,2.83,98.5,0.17,2.67,5.17,0.67,46.33,1.17,2.33,12.83,11.67,5.33,0.67,0.83,0.0,0.0,0.0,48.83,0.0,15.67,11.33,4.33,17.83,1.63,2.67,0.0,1.12,2.75,85.62,0.12,1.75,5.25,0.0,42.5,0.62,2.25,13.62,11.25,6.5,2.12,1.5,0.12,0.12,0.0,43.88,0.0,11.5,6.62,4.88,17.12,1.38,1.75,2.71,10.79,2.71,0.79,0.64,0.79,0.5,1.29,1.43,4.57,5.21,92.86,64.29,57.14,35.71,14.29,7.14,50.0,2.14,2.13,3.74,3.88,3.95,4.18,1.3,2.49,3.29,1.52,2.22,1.61,1.43,1.79,2.61,2.03,1.2,1.67,2.69,1.36,2.62,3.26,1.52,2.21,1.7,1.5,1.75,2.47,2.06,1.22,1.71,2.74,0.0,1.28,2.78,91.14,0.14,2.14,5.22,0.29,44.14,0.86,2.28,13.28,11.43,6.0,0.07,0.07,0.0,46.0,0.0,13.29,8.64,4.64,17.42,1.49,2.14
Montreal Impact,13,6,7,0.17,2.33,4.5,85.83,0.0,2.83,6.67,-0.17,45.67,0.5,1.5,15.33,13.17,6.67,1.17,1.67,0.33,0.33,0.0,45.5,0.0,14.17,8.67,5.5,18.5,1.61,2.83,0.43,1.0,1.57,76.86,0.14,1.86,4.0,0.14,37.0,0.57,2.29,12.86,13.14,6.43,2.86,1.14,0.29,0.29,0.0,50.0,0.29,12.29,8.0,4.29,18.14,1.34,1.29,3.46,10.0,3.46,1.15,0.62,1.15,0.54,1.69,1.77,3.85,5.23,100.0,92.31,76.92,38.46,23.08,7.69,46.15,2.46,2.56,3.75,3.92,4.2,4.68,1.28,2.4,3.44,1.56,2.29,1.58,1.51,1.92,2.39,1.88,1.19,1.62,2.5,1.35,2.45,3.32,1.58,2.31,1.65,1.52,1.86,2.43,1.95,1.21,1.66,2.63,0.31,1.61,2.92,81.0,0.08,2.31,5.23,-0.0,41.0,0.54,1.93,14.0,13.15,6.54,0.31,0.31,0.0,47.92,0.16,13.16,8.31,4.85,18.31,1.46,2.0
Nashville SC,13,6,7,0.33,1.5,1.67,96.5,0.0,1.67,5.0,1.17,41.5,0.17,3.33,12.5,9.67,7.0,1.33,3.5,0.17,0.17,0.0,59.67,0.0,14.0,7.33,6.67,19.67,1.65,1.67,0.0,1.43,2.29,95.14,0.14,2.29,4.14,0.14,37.0,0.86,1.14,11.14,10.71,7.86,0.29,1.14,0.0,0.0,0.0,51.29,0.14,9.86,5.86,4.0,19.14,1.18,2.14,3.0,9.15,3.0,0.92,0.62,0.85,0.62,1.46,1.54,3.77,4.54,84.62,69.23,61.54,46.15,30.77,7.69,46.15,1.69,1.73,3.78,3.8,2.8,3.14,1.33,2.53,3.27,1.5,2.18,1.63,1.58,2.05,2.23,1.77,1.21,1.71,2.76,1.36,2.67,3.24,1.5,2.2,1.71,1.62,2.04,2.23,1.77,1.24,1.79,2.91,0.15,1.46,2.0,95.77,0.08,2.0,4.54,0.62,39.08,0.54,2.15,11.77,10.23,7.46,0.08,0.08,0.0,55.16,0.08,11.77,6.54,5.23,19.38,1.4,1.92
New England Revolution,13,8,5,0.25,1.12,1.62,87.0,-0.12,1.62,4.12,0.5,42.5,0.5,2.5,10.62,14.12,6.62,0.88,2.12,0.38,0.38,0.0,50.88,0.0,11.12,6.62,4.5,14.25,1.33,1.62,0.0,1.4,2.4,75.0,0.0,1.8,3.0,0.0,33.4,0.4,0.6,11.6,13.8,7.6,2.0,1.0,0.0,0.0,0.0,43.2,0.0,8.0,4.6,3.4,13.6,0.99,1.8,3.0,9.38,3.0,0.92,0.54,1.15,0.38,1.54,1.46,4.46,4.92,100.0,76.92,69.23,23.08,15.38,7.69,61.54,2.34,2.45,3.72,3.79,4.58,4.56,1.32,2.54,3.25,1.51,2.18,1.63,1.53,1.96,2.33,1.84,1.22,1.74,2.83,1.38,2.65,3.15,1.52,2.25,1.68,1.56,1.93,2.36,1.88,1.25,1.83,3.02,0.15,1.23,1.92,82.38,-0.07,1.69,3.69,0.31,39.0,0.46,1.77,11.0,14.0,7.0,0.23,0.23,0.0,47.93,0.0,9.92,5.84,4.08,14.0,1.2,1.69
New York City,14,8,6,0.0,0.5,2.0,96.88,0.0,0.88,4.38,0.0,42.5,0.38,1.38,10.25,12.25,5.12,1.62,2.38,0.12,0.12,0.0,56.38,0.0,13.62,7.25,6.38,17.75,1.62,0.88,0.17,1.67,2.5,97.5,0.0,2.83,2.83,0.0,46.67,1.17,0.33,13.33,15.0,7.33,1.0,0.83,0.17,0.17,0.0,58.17,0.17,9.17,5.83,3.33,16.67,1.16,2.67,3.07,8.79,3.07,1.0,0.43,0.79,0.86,1.64,1.43,3.57,4.43,100.0,85.71,50.0,28.57,21.43,7.14,57.14,1.84,1.92,3.81,3.8,3.38,3.29,1.31,2.5,3.35,1.52,2.19,1.61,1.46,1.86,2.5,1.94,1.21,1.68,2.69,1.35,2.59,3.3,1.53,2.22,1.71,1.52,1.84,2.44,1.97,1.23,1.74,2.81,0.07,1.0,2.21,97.15,0.0,1.72,3.72,0.0,44.29,0.72,0.93,11.57,13.43,6.07,0.14,0.14,0.0,57.15,0.07,11.71,6.64,5.07,17.29,1.42,1.65
New York RB,14,7,7,0.14,1.57,2.86,112.0,0.0,1.86,6.0,0.43,61.71,0.29,3.14,12.43,11.0,7.14,2.0,1.86,0.0,0.0,0.0,52.43,0.0,12.71,8.43,4.29,22.57,1.56,1.86,0.14,1.43,2.86,112.29,0.0,2.43,6.86,0.29,47.0,0.86,2.71,11.71,9.29,7.86,2.43,1.43,0.14,0.14,0.0,53.71,0.14,14.57,8.71,5.86,17.0,1.68,2.14,3.86,11.0,3.86,0.93,0.64,1.21,1.07,2.29,1.57,4.86,5.36,100.0,92.86,64.29,50.0,35.71,21.43,71.43,2.06,2.19,3.86,4.06,3.78,4.49,1.26,2.26,3.68,1.64,2.4,1.52,1.51,1.91,2.4,1.85,1.15,1.55,2.37,1.36,2.32,3.26,1.7,2.31,1.65,1.53,1.9,2.42,1.9,1.17,1.57,2.4,0.14,1.5,2.86,112.15,0.0,2.14,6.43,0.36,54.36,0.57,2.92,12.07,10.14,7.5,0.07,0.07,0.0,53.07,0.07,13.64,8.57,5.08,19.78,1.62,2.0
Orlando City,14,7,7,0.0,1.14,2.0,77.14,0.0,2.43,3.29,0.29,34.29,1.29,1.29,11.43,12.14,9.43,1.86,2.0,0.14,0.14,0.0,46.29,0.14,12.71,7.71,5.0,15.86,1.4,2.29,0.0,1.43,2.57,72.57,0.29,2.86,4.0,0.43,33.57,1.29,1.43,10.0,13.43,8.29,3.57,1.0,0.14,0.14,0.0,43.71,0.14,8.43,4.71,3.71,16.43,1.04,2.57,4.21,11.36,4.21,1.57,0.43,1.21,1.0,2.21,2.0,6.21,5.14,100.0,92.86,71.43,57.14,57.14,28.57,64.29,2.41,2.59,4.33,4.48,5.81,6.03,1.24,2.26,3.76,1.67,2.38,1.52,1.46,1.83,2.52,1.97,1.15,1.53,2.31,1.35,2.3,3.31,1.67,2.51,1.58,1.52,1.84,2.44,1.97,1.17,1.54,2.36,0.0,1.28,2.28,74.86,0.14,2.64,3.64,0.36,33.93,1.29,1.36,10.72,12.78,8.86,0.14,0.14,0.0,45.0,0.14,10.57,6.21,4.35,16.14,1.22,2.43
Philadelphia Union,14,6,8,0.0,0.83,4.5,113.83,0.17,1.83,7.33,0.67,63.67,1.0,2.83,13.5,13.0,4.67,1.0,0.5,0.17,0.17,0.0,48.5,0.17,14.33,10.33,4.0,25.67,1.65,1.67,0.0,2.12,3.0,103.88,0.0,3.5,5.12,0.0,53.5,1.12,2.12,16.62,12.38,5.12,2.25,1.38,0.0,0.0,0.0,45.75,0.25,14.62,10.75,3.88,23.5,1.58,3.0,2.71,9.07,2.71,0.64,0.36,0.86,0.86,1.71,1.0,4.14,4.93,85.71,71.43,57.14,21.43,14.29,14.29,64.29,2.04,2.22,3.45,3.55,2.67,2.97,1.33,2.66,3.14,1.48,2.16,1.66,1.52,1.91,2.4,1.9,1.24,1.8,2.93,1.38,2.77,3.15,1.48,2.23,1.71,1.54,1.89,2.39,1.93,1.28,1.9,3.18,0.0,1.57,3.64,108.14,0.07,2.78,6.07,0.29,57.86,1.07,2.42,15.28,12.65,4.93,0.07,0.07,0.0,46.93,0.22,14.5,10.57,3.93,24.43,1.61,2.43
Portland Timbers,13,5,8,0.2,1.2,2.0,99.4,0.4,2.4,3.2,0.2,41.8,1.0,1.2,8.8,12.6,8.2,1.6,2.6,0.0,0.0,0.0,49.2,0.2,10.6,5.8,4.8,11.4,1.32,2.0,0.0,1.5,1.5,82.12,0.0,1.88,5.0,0.38,41.0,0.25,2.25,9.25,14.12,8.62,2.12,1.0,0.0,0.0,0.0,48.12,0.12,12.75,8.88,3.88,14.38,1.37,1.62,3.54,11.46,3.54,1.38,0.69,0.92,0.54,1.46,2.08,4.85,4.92,100.0,100.0,61.54,46.15,38.46,7.69,61.54,2.91,2.79,4.35,4.48,5.01,5.52,1.23,2.16,3.83,1.7,2.46,1.51,1.42,1.76,2.67,2.07,1.15,1.49,2.16,,2.19,,1.75,2.58,1.54,1.52,1.71,2.42,2.11,1.15,1.47,2.17,0.08,1.38,1.69,88.77,0.15,2.08,4.31,0.31,41.31,0.54,1.85,9.08,13.54,8.46,0.0,0.0,0.0,48.54,0.15,11.92,7.7,4.23,13.23,1.35,1.77
Real Salt Lake,13,8,5,0.5,1.0,2.25,94.38,0.12,1.5,4.25,0.38,47.0,0.5,2.0,12.38,10.12,7.5,1.0,2.25,0.0,0.0,0.0,49.88,0.0,17.25,10.0,7.25,18.5,1.93,1.5,0.0,1.8,1.0,98.2,0.0,3.0,4.4,0.6,37.8,1.2,1.6,11.0,14.6,7.8,2.0,1.4,0.0,0.0,0.0,50.8,0.0,13.2,8.4,4.8,18.6,1.45,3.0,3.31,9.31,3.31,1.15,0.62,1.0,0.54,1.54,1.77,4.31,4.0,100.0,92.31,76.92,38.46,15.38,7.69,69.23,1.79,1.92,4.14,4.26,3.71,4.38,1.27,2.3,3.57,1.62,2.35,1.55,1.41,1.82,2.6,2.01,1.17,1.59,2.48,1.39,2.35,3.13,1.64,2.17,1.74,1.49,1.75,2.49,2.05,1.18,1.59,2.46,0.31,1.31,1.77,95.85,0.07,2.08,4.31,0.46,43.46,0.77,1.85,11.85,11.84,7.62,0.0,0.0,0.0,50.23,0.0,15.69,9.38,6.31,18.54,1.75,2.08
