team_name,total_games,home_games,away_games,home_avg_0_10_min_goals,home_avg_2h_cards,home_avg_2h_corners,home_avg_attacks,home_avg_cards_0_10_min,home_avg_cards_num,home_avg_corners,home_avg_corners_0_10_min,home_avg_dangerous_attacks,home_avg_fh_cards,home_avg_fh_corners,home_avg_fouls,home_avg_freekicks,home_avg_goalkicks,home_avg_goals_conceded,home_avg_goals_scored,home_avg_penalties_won,home_avg_penalty_goals,home_avg_penalty_missed,home_avg_possession,home_avg_red_cards,home_avg_shots,home_avg_shotsOffTarget,home_avg_shotsOnTarget,home_avg_throwins,home_avg_xg,home_avg_yellow_cards,away_avg_0_10_min_goals,away_avg_2h_cards,away_avg_2h_corners,away_avg_attacks,away_avg_cards_0_10_min,away_avg_cards_num,away_avg_corners,away_avg_corners_0_10_min,away_avg_dangerous_attacks,away_avg_fh_cards,away_avg_fh_corners,away_avg_fouls,away_avg_freekicks,away_avg_goalkicks,away_avg_goals_conceded,away_avg_goals_scored,away_avg_penalties_won,away_avg_penalty_goals,away_avg_penalty_missed,away_avg_possession,away_avg_red_cards,away_avg_shots,away_avg_shotsOffTarget,away_avg_shotsOnTarget,away_avg_throwins,away_avg_xg,away_avg_yellow_cards,totalGoalCount,totalCornerCount,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,corner_fh_count,corner_2h_count,over05,over15,over25,over35,over45,over55,btts,avg_odds_ft_1,avg_pinnacle_ft_1_odd,avg_odds_ft_x,avg_pinnacle_ft_x_odd,avg_odds_ft_2,avg_pinnacle_ft_2_odd,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,avg_odds_btts_no,avg_odds_btts_yes,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_pinnacle_1st_half_over05_odd,avg_pinnacle_1st_half_over15_odd,avg_pinnacle_1st_half_under05_odd,avg_pinnacle_1st_half_under15_odd,avg_pinnacle_btts_no_odd,avg_pinnacle_btts_yes_odd,avg_pinnacle_corners_over_85_odd,avg_pinnacle_corners_over_95_odd,avg_pinnacle_corners_under_85_odd,avg_pinnacle_corners_under_95_odd,avg_pinnacle_ft_over15_odd,avg_pinnacle_ft_over25_odd,avg_pinnacle_ft_over35_odd,total_avg_0_10_min_goals,total_avg_2h_cards,total_avg_2h_corners,total_avg_attacks,total_avg_cards_0_10_min,total_avg_cards_num,total_avg_corners,total_avg_corners_0_10_min,total_avg_dangerous_attacks,total_avg_fh_cards,total_avg_fh_corners,total_avg_fouls,total_avg_freekicks,total_avg_goalkicks,total_avg_penalties_won,total_avg_penalty_goals,total_avg_penalty_missed,total_avg_possession,total_avg_red_cards,total_avg_shots,total_avg_shotsOffTarget,total_avg_shotsOnTarget,total_avg_throwins,total_avg_xg,total_avg_yellow_cards
Albion,6,4,2,0.25,3.5,3.0,96.5,0.0,4.25,4.25,0.0,41.75,0.75,1.25,13.5,1.75,8.25,1.5,1.25,0.0,0.0,0.0,58.75,0.25,9.5,5.5,4.0,15.5,1.19,4.0,0.0,0.5,3.0,98.0,0.0,1.5,5.5,0.0,51.0,0.5,2.5,3.5,2.0,3.0,1.0,1.0,0.0,0.0,0.0,52.0,0.5,9.0,4.5,4.5,7.0,1.26,0.5,2.5,9.33,2.5,0.5,0.67,0.67,0.67,1.33,1.17,3.67,5.67,83.33,66.67,66.67,33.33,0.0,0.0,50.0,3.39,3.4,3.1,3.19,2.68,2.78,1.5,3.32,2.43,1.26,1.74,2.06,1.64,2.4,2.16,1.72,1.46,2.47,4.48,1.54,,2.47,,1.71,2.15,1.64,2.03,2.21,1.76,1.48,2.52,4.84,0.17,2.5,3.0,97.0,0.0,3.33,4.67,0.0,44.83,0.67,1.67,10.17,1.83,6.5,0.0,0.0,0.0,56.5,0.33,9.33,5.17,4.17,12.67,1.21,2.83
Boston River,6,4,2,0.0,2.25,2.25,78.0,0.0,3.5,3.5,0.0,37.75,1.0,1.25,8.75,0.75,6.5,1.0,0.25,0.0,0.0,0.0,47.0,0.25,7.25,3.25,4.0,18.25,1.02,3.0,0.0,2.0,1.5,118.5,0.5,3.0,2.0,0.0,39.5,1.0,0.5,5.0,0.0,6.0,1.5,0.5,0.0,0.0,0.0,50.0,0.0,6.0,4.5,1.5,14.0,0.79,3.0,1.5,8.0,1.5,0.17,0.33,0.5,0.5,1.0,0.5,3.5,4.5,83.33,50.0,16.67,0.0,0.0,0.0,33.33,3.16,3.79,3.0,3.13,2.62,2.74,1.27,2.82,1.92,1.04,1.42,1.7,1.34,1.85,1.74,1.4,1.23,2.4,3.84,1.52,,2.5,,1.75,2.09,1.73,2.15,2.07,1.66,1.49,2.56,5.0,0.0,2.17,2.0,91.5,0.17,3.33,3.0,0.0,38.33,1.0,1.0,7.5,0.5,6.33,0.0,0.0,0.0,48.0,0.17,6.83,3.67,3.17,16.83,0.94,3.0
Central Español,6,3,3,0.0,1.33,2.33,90.0,0.33,2.0,5.33,0.67,56.33,0.67,3.0,7.0,0.67,10.33,1.67,1.0,0.0,0.0,0.0,39.0,0.0,9.0,5.33,3.67,16.0,1.24,2.0,0.33,0.33,1.67,92.67,0.0,0.67,2.0,0.0,53.0,0.33,0.33,8.33,0.33,7.0,0.0,1.33,0.33,0.33,0.0,37.33,0.0,11.33,7.0,4.33,17.33,1.41,0.67,2.0,9.33,2.0,0.0,0.5,0.5,1.0,1.5,0.5,4.5,4.67,83.33,50.0,50.0,16.67,0.0,0.0,33.33,3.66,4.04,3.27,3.25,3.5,3.69,1.49,3.2,2.4,1.27,1.66,2.07,1.67,2.28,2.02,1.68,1.42,2.35,4.6,1.52,2.91,2.53,1.4,1.7,2.16,1.72,2.16,2.07,1.66,1.47,2.48,4.75,0.16,0.83,2.0,91.34,0.16,1.34,3.67,0.34,54.66,0.5,1.66,7.66,0.5,8.67,0.16,0.16,0.0,38.16,0.0,10.17,6.16,4.0,16.66,1.32,1.34
Cerro,6,4,2,0.25,2.0,0.75,91.0,0.0,3.75,1.5,0.25,50.25,1.75,0.75,13.75,2.25,4.75,1.0,0.5,0.0,0.0,0.0,39.25,0.25,9.5,6.75,2.75,23.0,1.16,3.5,0.0,1.5,0.5,103.5,0.0,4.5,3.5,1.0,55.0,2.5,3.0,14.0,5.5,10.0,2.0,0.0,0.0,0.0,0.0,44.5,0.5,14.0,11.5,2.5,20.5,1.46,3.5,1.67,7.33,1.67,0.33,0.17,0.67,0.5,1.17,0.5,3.5,3.83,100.0,50.0,16.67,0.0,0.0,0.0,33.33,2.99,3.46,2.89,3.02,3.92,4.14,1.55,3.52,2.29,1.23,1.68,2.04,1.65,2.2,2.05,1.63,1.53,2.56,4.99,1.58,,2.38,,1.65,2.25,1.78,2.24,2.0,1.6,1.55,2.71,5.41,0.17,1.83,0.67,95.17,0.0,4.0,2.17,0.5,51.83,2.0,1.5,13.83,3.33,6.5,0.0,0.0,0.0,41.0,0.33,11.0,8.33,2.67,22.17,1.26,3.5
Cerro Largo,7,3,4,0.0,2.67,2.0,100.0,0.0,3.0,4.0,0.33,61.67,0.33,2.0,7.67,1.67,5.67,1.33,1.33,0.0,0.0,0.0,49.33,0.0,10.0,7.0,3.0,16.67,1.29,3.0,0.0,2.0,3.25,99.0,0.0,3.0,5.5,0.0,64.25,1.0,2.25,9.5,1.5,6.25,1.0,1.0,0.0,0.0,0.0,46.75,0.0,10.25,6.5,3.75,16.5,1.38,3.0,2.29,10.57,2.29,0.14,0.71,1.0,0.43,1.43,0.86,5.0,5.57,100.0,57.14,42.86,28.57,0.0,0.0,42.86,2.95,3.33,3.05,3.14,3.29,3.69,1.49,3.22,2.39,1.28,1.75,1.95,1.66,2.15,2.14,1.7,1.43,2.31,4.56,1.51,3.28,2.55,1.32,1.78,2.04,1.67,2.09,2.14,1.71,1.44,2.41,4.61,0.0,2.29,2.71,99.43,0.0,3.0,4.86,0.14,63.14,0.71,2.14,8.72,1.57,6.0,0.0,0.0,0.0,47.86,0.0,10.14,6.71,3.43,16.57,1.34,3.0
Danubio,6,3,3,0.0,2.0,1.67,118.67,0.0,2.67,4.67,1.0,59.67,0.67,3.0,6.33,0.33,4.67,1.0,2.67,0.0,0.0,0.0,57.0,0.0,11.33,5.67,5.67,16.33,1.55,2.67,0.33,1.33,1.0,83.67,0.0,2.33,1.67,0.0,43.67,0.67,0.67,14.33,2.0,9.0,1.67,0.67,0.0,0.0,0.0,53.67,0.33,5.33,3.67,1.67,24.0,0.78,1.67,3.0,7.67,3.0,0.67,0.33,1.5,0.5,2.0,1.0,4.83,2.83,100.0,83.33,50.0,50.0,16.67,0.0,50.0,2.2,2.27,3.09,3.08,3.69,4.09,1.51,3.29,2.4,1.26,1.68,2.07,1.59,2.07,2.23,1.75,1.46,2.41,4.5,1.54,3.36,2.48,1.31,1.74,2.11,1.59,1.99,2.26,1.78,1.48,2.5,4.84,0.16,1.66,1.34,101.17,0.0,2.5,3.17,0.5,51.67,0.67,1.84,10.33,1.16,6.84,0.0,0.0,0.0,55.34,0.16,8.33,4.67,3.67,20.16,1.16,2.17
Defensor Sporting,7,3,4,0.0,1.33,2.33,118.67,0.0,1.67,6.0,1.0,64.33,0.33,3.67,2.33,0.67,2.33,0.33,1.0,0.0,0.0,0.0,56.33,0.0,13.67,9.0,4.67,7.67,1.66,1.67,0.25,1.75,1.75,108.75,0.0,2.75,3.75,0.25,53.0,1.0,2.0,10.75,1.0,8.5,1.0,0.75,0.0,0.0,0.0,48.5,0.25,9.5,7.0,2.5,16.25,1.17,2.5,1.57,9.71,1.57,0.57,0.43,0.43,0.14,0.57,1.0,4.29,5.43,85.71,42.86,28.57,0.0,0.0,0.0,42.86,2.57,2.85,3.08,3.19,2.86,3.04,1.47,3.15,2.48,1.29,1.77,1.92,1.65,2.36,2.09,1.65,1.38,2.27,4.22,1.45,3.25,2.74,1.34,1.81,2.01,1.68,2.11,2.12,1.68,1.42,2.34,4.37,0.14,1.57,2.0,113.0,0.0,2.29,4.71,0.57,57.86,0.71,2.72,7.14,0.86,5.86,0.0,0.0,0.0,51.86,0.14,11.29,7.86,3.43,12.57,1.38,2.14
Deportivo Maldonado,7,3,4,0.0,1.0,2.0,107.67,0.0,1.67,4.33,0.0,56.67,0.67,2.33,11.0,1.33,8.33,0.33,1.67,0.67,0.67,0.0,60.67,0.0,16.0,11.0,5.0,23.33,1.77,1.67,0.25,1.5,4.0,100.0,0.0,2.25,6.25,0.25,46.0,0.75,2.25,12.5,0.5,6.75,1.75,1.5,0.25,0.25,0.0,49.75,0.0,14.0,9.75,4.25,16.75,1.52,2.25,2.71,10.14,2.71,0.57,0.71,1.14,0.29,1.43,1.29,5.14,5.0,85.71,71.43,57.14,28.57,14.29,14.29,57.14,2.18,2.08,3.3,3.33,4.08,3.8,1.45,3.22,2.58,1.29,1.76,1.94,1.62,2.09,2.15,1.69,1.38,2.23,4.1,1.48,3.34,2.62,1.32,1.77,2.06,1.7,2.13,2.1,1.68,1.42,2.34,4.44,0.14,1.29,3.14,103.29,0.0,2.0,5.43,0.14,50.57,0.72,2.28,11.86,0.86,7.43,0.43,0.43,0.0,54.43,0.0,14.86,10.29,4.57,19.57,1.63,2.0
Juventud,6,3,3,0.0,2.0,2.67,101.33,1.33,3.67,6.67,1.0,69.67,1.67,4.0,9.33,2.0,5.33,1.0,1.0,0.0,0.0,0.0,52.33,0.0,12.33,5.0,7.33,24.33,1.79,3.67,0.0,3.0,1.33,104.67,0.33,5.0,3.0,0.67,42.67,2.0,1.67,14.67,3.67,11.67,2.67,1.33,0.33,0.33,0.0,43.33,0.33,9.0,5.67,3.33,23.67,1.12,4.67,3.0,9.17,3.0,1.0,0.5,0.83,0.67,1.5,1.5,5.33,3.83,100.0,66.67,66.67,50.0,16.67,0.0,66.67,3.93,5.0,3.39,3.65,5.08,5.81,1.45,3.17,2.59,1.29,1.73,2.0,1.52,1.98,2.32,1.85,1.37,2.22,4.05,1.46,3.14,2.73,1.36,1.71,2.15,1.53,1.88,2.41,1.88,1.4,2.27,4.23,0.0,2.5,2.0,103.0,0.83,4.34,4.84,0.84,56.17,1.84,2.83,12.0,2.83,8.5,0.16,0.16,0.0,47.83,0.16,10.66,5.34,5.33,24.0,1.46,4.17
Liverpool FC Montevideo,6,3,3,0.0,1.0,3.33,84.0,0.0,2.0,6.0,1.0,44.67,0.33,2.67,10.33,4.67,8.67,0.67,1.0,0.0,0.0,0.0,49.33,0.67,11.67,7.33,4.33,27.0,1.36,0.67,0.0,1.0,2.0,96.33,0.0,1.67,5.0,0.67,51.67,0.67,3.0,7.67,4.0,8.67,0.67,1.33,0.0,0.0,0.0,49.0,0.0,10.67,7.33,3.33,20.0,1.29,1.67,1.83,9.67,1.83,0.33,0.67,0.5,0.33,0.83,1.0,4.67,5.0,83.33,66.67,33.33,0.0,0.0,0.0,50.0,2.12,2.2,3.11,3.24,2.12,2.13,1.46,3.27,2.45,1.28,1.75,1.96,1.66,2.25,2.1,1.68,1.4,2.29,4.24,1.49,3.26,2.61,1.34,1.81,2.02,1.64,2.07,2.17,1.72,1.42,2.33,4.35,0.0,1.0,2.66,90.16,0.0,1.84,5.5,0.84,48.17,0.5,2.83,9.0,4.34,8.67,0.0,0.0,0.0,49.16,0.34,11.17,7.33,3.83,23.5,1.32,1.17
