date,league,game_week,home_name,away_name,pre_match_home_ppg,pre_match_away_ppg,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,btts_potential,o05HT_potential,o15HT_potential,u15_potential,o15_potential,o25_potential,u25_potential,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_btts_yes,odds_btts_no,odds_corners_under_85,odds_corners_under_95,odds_corners_over_85,odds_corners_over_95,odds_1st_half_over05,odds_1st_half_over15,odds_1st_half_under05,odds_1st_half_under15
2025-12-29 14:35:00,Saudi Arabia Professional League,12,Al Khaleej,Al Fateh,1.75,0.4,1.46,1.31,2.77,65,68,45,23,78,68,33,2.15,3.7,2.81,1.13,1.5,2.11,1.4,2.7,2.55,2.07,1.42,1.7,1.23,2.1,3.42,1.63
2025-12-29 17:30:00,Saudi Arabia Professional League,12,Al Riyadh,Al Hazm,1.4,1.5,1.06,1.12,2.18,64,65,37,27,74,45,55,2.5,3.12,2.62,1.28,2.0,3.34,1.74,2.04,2.36,1.85,1.6,1.91,1.4,2.88,2.62,1.34
2025-12-29 17:30:00,Saudi Arabia Professional League,12,Al Taawon,Al Najma,2.0,0.17,1.14,1.1,2.24,72,64,35,9,92,72,29,1.29,4.65,6.8,1.17,1.7,2.95,1.83,1.86,2.43,1.87,1.52,2.12,1.3,2.5,3.08,1.44
2025-12-29 18:00:00,England Championship,24,Coventry City,Ipswich Town,2.64,1.18,2.06,1.51,3.57,64,69,27,23,78,50,50,2.37,3.32,2.88,1.23,1.87,3.0,1.67,2.16,2.88,2.16,1.33,1.61,1.4,2.77,2.81,1.38
2025-12-29 19:45:00,England Championship,24,Stoke City,Sheffield United,1.82,1.0,1.45,1.22,2.67,44,70,22,39,61,52,49,2.6,3.21,2.67,1.28,1.95,3.38,1.78,2.0,2.88,2.15,1.33,1.61,1.4,2.94,2.88,1.35
2025-12-29 19:45:00,England Championship,24,Leicester City,Derby County,1.45,1.64,1.46,0.94,2.4,73,82,23,14,87,55,46,1.95,3.25,4.0,1.33,2.17,3.95,1.91,1.79,2.55,2.06,1.36,1.65,1.44,3.21,2.59,1.35
2025-12-29 19:45:00,England Championship,24,Middlesbrough,Hull City,2.18,1.36,1.45,1.37,2.82,73,73,41,23,78,69,32,1.64,4.1,4.7,1.2,1.72,2.95,1.67,2.08,3.02,2.24,1.3,1.57,1.3,2.5,3.15,1.52
2025-12-29 19:45:00,England Championship,24,Millwall,Bristol City,1.67,1.64,1.57,1.47,3.04,35,66,35,35,66,39,61,2.33,3.18,3.07,1.28,1.98,4.0,1.76,2.0,2.55,1.98,1.49,1.72,1.4,2.95,2.8,1.38
2025-12-29 19:45:00,England Championship,24,Norwich City,Watford,0.91,0.91,1.54,1.23,2.77,69,64,32,27,73,55,45,2.75,3.37,2.44,1.23,1.77,3.0,1.6,2.19,2.67,2.03,1.39,1.63,1.33,2.5,2.99,1.48
2025-12-29 19:45:00,England Championship,24,Oxford United,Swansea City,1.18,0.73,1.64,1.19,2.83,55,73,36,32,69,55,46,2.65,3.15,2.67,1.38,2.15,3.75,1.85,1.9,2.63,2.05,1.38,1.72,1.44,2.88,2.77,1.33
2025-12-29 19:45:00,England Championship,24,Portsmouth,Charlton Athletic,1.25,0.83,1.61,1.1,2.71,46,63,13,38,63,38,63,2.44,3.13,2.93,1.43,2.2,4.37,1.89,1.81,2.46,1.91,1.5,2.06,1.4,3.35,2.5,1.3
2025-12-29 19:45:00,England Championship,24,Sheffield Wednesday,Blackburn Rovers,0.25,1.55,1.19,1.4,2.59,35,83,26,22,78,52,49,3.61,3.28,2.05,1.3,1.92,3.12,1.83,1.93,3.04,2.25,1.29,1.7,1.38,2.75,2.81,1.43
2025-12-29 19:45:00,England Championship,24,West Bromwich Albion,Queens Park Rangers,1.73,1.25,1.76,1.26,3.02,66,74,30,30,70,43,57,2.06,3.34,3.52,1.29,1.95,3.7,1.89,2.0,2.84,2.13,1.34,1.8,1.41,2.85,2.65,1.4
2025-12-29 19:45:00,England Championship,24,Wrexham,Preston North End,1.67,1.55,1.63,1.24,2.87,70,87,39,22,78,43,57,2.21,3.16,3.32,1.31,2.15,4.1,1.8,2.0,2.51,1.94,1.44,1.99,1.41,2.75,2.75,1.34
2025-12-29 19:45:00,Italy Serie A,17,Roma,Genoa,1.88,1.14,1.6,1.24,2.84,57,68,7,32,69,50,51,1.6,3.59,6.0,1.4,2.3,4.33,2.2,1.62,2.15,1.71,1.72,2.07,1.52,3.2,2.5,1.29
2025-12-29 20:15:00,England Championship,24,Birmingham City,Southampton,2.0,1.0,1.99,1.54,3.53,82,79,44,9,91,69,31,2.13,3.4,3.26,1.22,1.87,3.0,1.63,2.14,2.79,2.1,1.49,1.88,1.36,2.62,2.89,1.45
2025-12-29 20:15:00,Portugal Liga NOS,16,Porto,AVS,2.71,0.14,1.65,1.0,2.65,36,86,50,22,79,72,29,1.08,10.0,23.0,1.09,1.4,1.93,2.55,1.45,2.2,1.72,1.6,2.34,1.21,1.95,3.75,1.69
